Era,Name,"Notes
(yellow border indicates a detag, audio fix, or a good fake)",Made By,Type,Available Length,Link(s)
Fake,"3500 [Demo] 
(feat. Future & 2 Chainz)","Sounds as though someone took the outro and layered it over the top of the song. Leaked in 2016; circulated via some old compilations and was relatively unheard of, but it's still worth mentioning.",,Fake,Not Available,
Fake,"4x4 [Demo]
(feat. / ref. Kanye West)","Edit that leaked in May 2026. Kanye's vocals come from a Donda 2 freestyle called ""Tsunami"" which uses a similar trumpet-heavy instrumental, hence the quite decent combination.",,Edit,Not Available,
Fake,Aerial,"Snippet with Music Mafia tags thrown over the top. It's just ""Stunt Mr. Scott"" from 'Buddy Rich'.",,Mislabel,Not Available,
Fake,"Kanye West - Alien
(feat. Travis Scott)",Made up by Waterfalls. Another version with Kacy on it was also falsely said to be Travis.,,False Rumour,Not Available,
Fake,"Kacy Hill - All Alone 
(feat. Travis Scott)","Said to be a 'scrapped interlude' with a spoken outro by Travis. Travis's vocals were taken from a narration for a short film made by Nick Knight known as 'The Seven Deadly Sins of Edward Enniful', and the rest is merely an interlude already released on Kacy's 'Like a Woman'. Kacy confirmed that it's fake via Twitter.",,Fake,Not Available,
Fake,"The Weeknd - All I Know [Demo] 
(feat. Travis Scott)","Rumour tweeted about by RodeoTheAlbum, which led to a news article being written. The song doesn't exist.",,False Rumour,Not Available,
Fake,Another Check,"Solo version of Surf Club's ""Go Off""; it's merely an edit and not a demo.",,Edit,Not Available,
Fake,Antidote [Demo],"Snippet that contains the lyrics ""I just hit a three-peat, fucked the same one from last week / I don't do no old hoes, all I do is bankroll"". Fake version made from unused/re-recorded vocal takes.",,Fake,Not Available,
Fake,Astrothunder [Demo],Leaked as 'V4'; has the final vocals with a mix of the final instrumental and Demo 1's instrumental.,,Fake,Not Available,
Fake,"Lil Uzi Vert - Aye [Demo]
(feat. Travis Scott)
[prod. BNYX, Clif Shayne & Brandon Finessin']","AI edit previously on the tracker; missing some adlibs, and the 808 sounds off.",,Fake,Not Available,
Fake,Blue Pill [Demo],"Leaked as 'V3' by someone who owns the session. Contains real unreleased vocals, but isn't a real version.",,Fake,Not Available,
Fake,Brix,"Looped snippet made using the ""bricks"" adlib from ""Upper Echelon"".",,Fake,Not Available,
Fake,Butterfly Effect [Demo],Fake open-verse demo made using multitracks.,,Fake,Not Available,
Fake,"Butterfly Effect (Remix)
(feat. Quavo)","Not a traditionally 'fake' song, but a remix doesn't actually exist; Quavo had a different song over the beat titled ""Bigger Than You"" that was mixed into ""Butterfly Effect"" during a Chase B set.",,Mislabel,Not Available,
Fake,"NAV - Burbs [Demo]
(feat. Travis Scott)",Made-up April Fools joke from 2025 based on zero evidence that somehow stuck around.,,False Rumour,Not Available,
