Era,Name,Notes,Made By,Type,Link(s),Proof
Detox [V2],"There They Go
(feat. Melloe Won, Nate Dogg & Snoop Dogg)","Released on the fan-made mixtape ""Dretox"". Dr. Dre's verse is taken from Nate Dogg's ""Your Wife"". The beat used is the same beat as Joe Beast's ""Piece A Mind"".",DJ Exclusive,Fake Leak,,
Detox [V2],"Where I'm From [V2]
(feat. The Game & Nate Dogg) (prod. Focus...)","Released on the fan-made mixtape ""Dretox"". Is an edit made using an actual snippet of Dr. Dre's verse and the released song.",DJ Exclusive,Fake Leak,https://pillows.su/f/9867043eb94127f68f99d41aaf7fb40d,Song wave forms
Detox [V2],"??? [V1]
(feat. JAY-Z) (prod. DJ Silk)
(Talking To My Diary)","The beat that ended up being used for ""Talking to My Diary"" was originally meant for a JAY-Z and Dr. Dre collaboration, with writing by Snoop Dogg, most likely done during Kingdom Come sessions.

Quote from DJ Silk:
""Snoop picked the record to write to that I literally did for JAY-Z and Dre. And that ended up being a song called ""Talking to My Diary"" that's on the Compton soundtrack.""

This entry from an older Dre tracker was actually a misunderstanding from what DJ Silk said as Jay did write for the song, however only in 2010, and not any time before.",A simple misunderstanding,Fake Rumor,https://youtu.be/wC5pfpQzaYw?si=bT4uYbwWkL7-4Frj&t=4558,DJ Silk
Detox [V2],"Linkin Park - Numb / Encore (Remix)
(feat. JAY-Z, Dr. Dre, Eminem & 50 Cent)","A fake remix of Numb / Encore using the verses from Eminem's ""Encore"" song was released on ""Dretox"".",DJ Exclusive,Fake Leak,,
Detox [V2],"Obie Trice - The Way We Came Up
(feat. 50 Cent & Stat Quo) (prod. Dr. Dre)","Was on the fan-made mixtape ""Dretox"". Obie Trice's verse is from ""Back To Back"" by Promatic.",DJ Exclusive,Fake Leak,https://pillows.su/f/d5fc2b7e4f5eb1193878de1d837fa90e,
Detox [V2],"The Game - One Blood [V1]
(prod. Dr. Dre)
(Murder Dem Murderers)","A common fake leak is Game's vocals from ""One Blood"" on the Murder Dem Murderers beat. It is a common misconception that this remix is a legit original version leak of One Blood. There is a fake instrumental upload of Murder Dem Murderers with the title ""One Blood Original (Instrumental)"" which also helps fuel the misinformation.",bigmaneastside,Fake Leak,https://www.youtube.com/watch?v=QpXE6dPyJik,
Detox [V3],"Eminem - Cannabis Club
(feat. Snoop Dogg & Dr. Dre) (prod. Dr. Dre)",Listed on a fake King Mathers tracklist.,soperman005,Fake Rumor,http://forum.trshady.com/viewtopic.php?f=3&t=41414,
Detox [V3],"Eminem - How It Is
(feat. Dr. Dre) (prod. Dr. Dre)",Listed on a fake King Mathers tracklist.,soperman005,Fake Rumor,http://forum.trshady.com/viewtopic.php?f=3&t=41414,
Detox [V3],"Eminem - Jade
(feat. Mary J. Blige) (prod. Dr. Dre)",Listed on a fake King Mathers tracklist.,soperman005,Fake Rumor,http://forum.trshady.com/viewtopic.php?f=3&t=41414,
Detox [V3],"Eminem - Love's Fucked
(prod. Dr. Dre)",Listed on a fake King Mathers tracklist.,soperman005,Fake Rumor,http://forum.trshady.com/viewtopic.php?f=3&t=41414,
Detox [V3],"Eminem - One Last Chance
(feat. 50 Cent & Stat Quo) (prod. Dr. Dre)",Listed on a fake King Mathers tracklist.,soperman005,Fake Rumor,http://forum.trshady.com/viewtopic.php?f=3&t=41414,
Detox [V3],"Eminem - See You In Hell
(prod. Dr. Dre)",Listed on a fake King Mathers tracklist.,soperman005,Fake Rumor,http://forum.trshady.com/viewtopic.php?f=3&t=41414,
Detox [V3],"Eminem - Slim Is Back
(prod. Dr. Dre)",Listed on a fake King Mathers tracklist.,soperman005,Fake Rumor,http://forum.trshady.com/viewtopic.php?f=3&t=41414,
Planets,"The Planets
(prod. Dr. Dre & Focus...)",Posted sometime between 2015-2019 claiming to be the title track from Planets produced by Dre and Focus but it is really a song called Minhas Nights by T-Rex,Unknown,Fake Leak,https://pillows.su/f/f23cd5e778c2ff1136cf00ccb6e8de8b,https://open.spotify.com/track/01Kh1ygn3CNY8E5yKT08Sg
Detox [V4],"Crack A Bottle Pt. 2
(feat. Eminem, 50 Cent, ??? & ???)","A snippet of a song called Crack A Bottle Pt. 2 was leaked by Navjosh in early July 2009, and according to him it had Em, 50 and 2 other unknown artists on it (unknown due to being a 9 second snippet). The snippet is lost as of currently, and Navjosh wasn't able to obtain the full song. The snippet was later debunked, and the other 2 artists was likely referring to Ca$his and Bobby Creekwater from the remix.",Navjosh,Fake Leak,https://hiphop-n-more.com/2009/07/dr-dre-crack-a-bottle-part-2-snippet/,https://pixeldrain.com/u/E4t4Rnyw
Detox [V4],Get It (Instrumental),Obviously fake remake of the instrumental.,???,Fake Leak,https://pillows.su/f/e616df8dd8c35dbe93236fc1115968ce,listen to the og song bru this is not even close
Detox [V4],"Eminem - Back In The Day
(feat. Dr. Dre)",Listed on a fake Recovery tracklist.,zRelaspe2,Fake Rumor,https://youtu.be/U7rVrv4mHQI?si=PdCWUIr79kYRU7_L,
Detox [V4],"Eminem - Bygones
(prod. Dr. Dre)","Listed on a fake Relapse 2 tracklist, said to be 4:45 long.",Some Blogspot fella,Fake Rumor,http://datsnewsnewnews.blogspot.com/2009/09/relapse-2-tracklist-1.html?m=1,
Detox [V4],"Eminem - Complexity
(feat. Dr. Dre)","Listed on a fake Recovery tracklist. Misspelled as ""Compexity"" on the tracklist.",zRelaspe2,Fake Rumor,https://youtu.be/U7rVrv4mHQI?si=PdCWUIr79kYRU7_L,
Detox [V4],"Eminem - Devil Girl
(prod. Dr. Dre)","Listed on a fake Relapse 2 tracklist, said to be 3:56 long.",Some Blogspot fella,Fake Rumor,http://datsnewsnewnews.blogspot.com/2009/09/relapse-2-tracklist-1.html?m=1,
Detox [V4],"Eminem - Here Comes The Tears
(prod. Dr. Dre)","Listed on a fake Relapse 2 tracklist, said to be 5:37 long.",Some Blogspot fella,Fake Rumor,http://datsnewsnewnews.blogspot.com/2009/09/relapse-2-tracklist-1.html?m=1,
Detox [V4],"Eminem - I'm Done
(feat. Dr. Dre) (prod. Dr. Dre)","Listed on a fake Relapse 2 tracklist, said to be 5:03 long.",Some Blogspot fella,Fake Rumor,http://datsnewsnewnews.blogspot.com/2009/09/relapse-2-tracklist-1.html?m=1,
Detox [V4],Eminem - My Mom [V1],"""Entertainment purposes only, this is not real. This was originally created by “itseratime” but I decided to remake it in high quality.""",itseratime?,Fake Leak,https://youtu.be/qGUXeJLyp9w?si=ePIw8x9pmLBvG_pd,
Detox [V4],"Eminem - The Truth Revealed
(prod. Dr. Dre)","Listed on a fake Relapse 2 tracklist, said to be 5:04 long.",Some Blogspot fella,Fake Rumor,http://datsnewsnewnews.blogspot.com/2009/09/relapse-2-tracklist-1.html?m=1,
