Era,"Name
(Check out the tracker website!)","Notes
(Join the Discord for updates and suggestions!)",Length,Date,Director(s),Currently Available,In Circulation?,Link(s)
,So Far Gone,,,,,,,
So Far Gone,Best I Ever Had,"Official music video for ""Best I Ever Had"".",5:38,"Jul 1, 2009",Kanye West,Officially Released,Officially Released,https://www.youtube.com/watch?v=HnpHMen64KE
So Far Gone,"Forever
(with Kanye West, Lil Wayne & Eminem)","Explicit version of the Forever music video for the film ""More Than A Game"".",6:14,"Sep 22, 2009",Hype Williams,Officially Released,Officially Released,https://www.youtube.com/watch?v=eDuRoPIOBjE
So Far Gone,"Replacement Girl 
(with Trey Songz)",240p lmao. Drake is merely pixels.,3:58,2007,Shane Stirling,Officially Released,Officially Released,https://www.youtube.com/watch?v=yM2T6JSc1vM&pp=ygUQcmVwbGFjZW1lbnQgZ2lybA%3D%3D
,Features,"
",,,,,,
So Far Gone,"Jenna Gawne - Change You
(feat. Drake)","Official music video for ""Change You"" by Jenna Gawne featuring Drake.",3:44,2006,Chris G,Officially Released,Officially Released,https://www.youtube.com/watch?v=l_I5IRKM950
,"We Are Young Money
(Collaboration with Young Money)",,,,,,,
We Are Young Money,"BedRock
(with Lil Wayne, Gudda Gudda, Nicki Minaj, Drake, Tyga & Jae Millz) (feat. Lloyd) (prod. Kane Beatz)","Official music video for ""BedRock"".",,"Dec 7, 2009",Dayo,Officially Released,Officially Released,https://www.youtube.com/watch?v=Ha80ZaecGkQ
We Are Young Money,"Every Girl In The World
(with Lil Wayne, Drake, Jae Millz, Gudda Gudda & Mack Maine) (prod. Tha Bizness)","Official music video for ""Every Girl In The World"".",,"Apr 6, 2009",Unknown,Officially Released,Officially Released,https://youtu.be/QGzq2HQ2YRs
,Thank Me Later,,,,,,,
Thank Me Later,Find Your Love,"Official music video for ""Find Your Love"".",5:49,"May 11, 2010",Anthony Mandler,Officially Released,Officially Released,https://www.youtube.com/watch?v=Xyv4Bjja8yc
Thank Me Later,Over,"Official music video for ""Over"".",4:02,"Apr 12, 2010",Anthony Mandler,Officially Released,Officially Released,https://www.youtube.com/watch?v=2lTB1pIg1y0&pp=ygUQZHJha2Ugb3ZlciB2aWRlbw%3D%3D
Thank Me Later,"Miss Me
(feat. Lil Wayne)","Official music video for ""Miss Me"" with Lil Wayne.",6:01,"Aug 19, 2010",Anthony Mandler,Officially Released,Officially Released,https://www.youtube.com/watch?v=TRLSQDCkcaA
,Take Care,,,,,,,
Take Care,Headlines,"Official music video for ""Headlines"".",4:04,"Oct 2, 2011","Lamar Taylor
J. Maylen
Al Mukadem",Officially Released,Officially Released,https://www.youtube.com/watch?v=cimoNqiulUE
Take Care,HYFR (Hell Ya Fucking Right),"Official music video for ""HYFR (Hell Ya Fucking Right)"".",3:53,"Apr 6, 2012",Director X,Officially Released,Officially Released,https://www.youtube.com/watch?v=0KCWqnldEag
Take Care,Marvin's Room,"Official music video for ""Marvin's Room"", originally released on the OVO Vimeo page. Only available via reuploads.",3:17,"Jun 28, 2011","Lamar Taylor
Hyghly Alleyne",Officially Released,Full HQ,https://www.youtube.com/watch?v=1VAqaftzcC8&pp=ygUSZHJha2UgbWFydmlucyByb29t
Take Care,"Take Care
(feat. Rihanna)","Official music video for ""Take Care"" with Rihanna.",4:09,"Apr 6, 2012",Yoann Lemoine,Officially Released,Officially Released,https://www.youtube.com/watch?v=-zzP29emgpg
Take Care,"The Motto (Remix)
(feat. Lil Wayne & Tyga)","Official music video for the remix of ""The Motto"".",4:03,"Feb 10, 2012","Lamar Taylor
Hyghly Alleyne",Officially Released,Officially Released,https://www.youtube.com/watch?v=BYDKK95cpfM
Take Care,"We'll Be Fine
(feat. Birdman)","Scrapped video for ""We'll Be Fine"", directed by Mikael Columbu. The song was meant to be the 7th single for 'Take Care', however it was cancelled, along with the video. A trailer for the video was released on Jaunary 15, 2012, and the full video leaked on December 7, 2013 with unrelated audio over it.",,"Dec 7, 2013",Mikael Columbu,Full,High Quality,Link Needed
,"Nothing Was The Same
(exec prod. Drake, 40, Oliver El-Khatib, Lil Wayne, Birdman, Slim, J. & Jas Prince)",,,,,,,
Nothing Was The Same,"Hold On, We're Going Home
(feat. Majid Jordan)","Official music video for ""Hold On, We're Going Home"".",7:02,"Sep 24, 2013",Bill Pope,Officially Released,Officially Released,https://www.youtube.com/watch?v=GxgqpCdOKak
Nothing Was The Same,Started From The Bottom,"Official music video for ""Started From The Bottom"".",5:21,"Feb 10, 2013",Director X,Officially Released,Officially Released,https://www.youtube.com/watch?v=RubBzkZzpUA
Nothing Was The Same,Worst Behavior,"Official music video for ""Worst Behavior"".",4:38,"Nov 11, 2013","Drake
Director X",Officially Released,Officially Released,https://www.youtube.com/watch?v=CccnAvfLPvE
,"If You're Reading This It's Too Late
(exec prod. Drake & Boi-1da)",,,,,,,
If You're Reading This It's Too Late,Energy,"Official music video for ""Energy"".",2:58,"Jul 10, 2015",Fleur & Manu,Officially Released,Officially Released,https://www.youtube.com/watch?v=7LnBvuzjpr4
If You're Reading This It's Too Late,Jungle,"Official music video/short film for ""Jungle"".",14:41,"Feb 13, 2015",Swiss Karim Huu Do,Officially Released,Officially Released,https://www.youtube.com/watch?v=xnF3ePutWaA
,"Views
(Views From The 6)
(exec prod. Drake, 40 & Oliver El-Khatib)",,,,,,,
Views,Hotline Bling,"Official music video for ""Hotline Bling"".",4:56,"Oct 19, 2015",Director X,Officially Released,Officially Released,https://www.youtube.com/watch?v=uxpDa-c-4Mc
Views,Childs Play,"Official music video/short film for ""Childs Play"".",12:08,"Sep 4, 2016","Drake
Carlos ""Spiff TV"" Suarez",Officially Released,Officially Released,https://www.youtube.com/watch?v=2F2GlWMb_l4
,Scorpion [V1],,,,,,,
Scorpion [V1],God's Plan,"Official music video for ""God's Plan"".",5:57,"Feb 16, 2018",Karena Evans,Officially Released,Officially Released,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
Scorpion [V1],Nice For What,"Official music video for ""Nice For What"".",4:23,"Apr 6, 2018",Karena Evans,Officially Released,Officially Released,https://www.youtube.com/watch?v=U9BwWKXjVaI
,"Scorpion [V2]
(exec prod. Drake, 40 & Oliver El-Khatib)",,,,,,,
Scorpion [V2],I'm Upset,"Official music video for ""I'm Upset"".",6:31,"Jun 14, 2018",Karena Evans,Officially Released,Officially Released,https://www.youtube.com/watch?v=rIhx2wZ8jnA
Scorpion [V2],Nonstop,"Official music video for ""Nonstop"".",5:16,"Jul 27, 2018",Theo Skudra,Officially Released,Officially Released,https://www.youtube.com/watch?v=lJTRVX9R5EA
Scorpion [V2],In My Feelings,"Official music video for ""In My Feelings"".",8:00,"Aug 2, 2018",Karena Evans,Officially Released,Officially Released,https://www.youtube.com/watch?v=DRS_PpOrUZ4
,Certified Lover Boy [V1],,,,,,,
Certified Lover Boy [V1],"Laugh Now Cry Later
(feat. Lil Durk)","Music video for ""Laugh Now Cry Later"".",5:02,"Aug 14, 2020",Dave Meyers,Officially Released,Officially Released,https://www.youtube.com/watch?v=JFm7YDVlqnI
Certified Lover Boy [V1],"Money In The Grave
(feat. Rick Ross)","Music video for ""Money In The Grave"".",4:18,"Aug 26, 2019",Theo Skudra,Officially Released,Officially Released,https://www.youtube.com/watch?v=R0ykLlhg0AQ
Certified Lover Boy [V1],Toosie Slide,"Music video for ""Toosie Slide"".",5:12,"Apr 3, 2020",Theo Skudra,Officially Released,Officially Released,https://www.youtube.com/watch?v=xWggTb45brM
Certified Lover Boy [V1],War,"First ""Dark Lane Demo Tapes"" video.",3:05,"Dec 24, 2019",Theo Skudra,Officially Released,Officially Released,https://www.youtube.com/watch?v=lIlMtVGI5Pg
Certified Lover Boy [V1],"When To Say When/Chicago Freestyle
(feat. Giveon)","Music video for ""When To Say When"" & ""Chicago Freestyle"".",4:41,"Mar 1, 2020",Theo Skudra,Officially Released,Officially Released,https://youtu.be/0jz0GAFNNIo?t=143
,Features,"
",,,,,,
Certified Lover Boy [V1],"Meek Mill - Going Bad
(feat. Drake) ","Music video for ""Going Bad"" by Meek Mill.",4:25,"Feb 7, 2019",Kid Art,Officially Released,Officially Released,https://www.youtube.com/watch?v=S1gp0m4B5p8
Certified Lover Boy [V1],"PARTYNEXTDOOR - LOYAL
(feat. Drake)","Music video for ""LOYAL"" by PARTYNEXTDOOR.",3:19,"Jan 21, 2020",Unknown,Officially Released,Officially Released,https://www.youtube.com/watch?v=Q4SRlZtuHoQ
Certified Lover Boy [V1],"Future - Life Is Good
(feat. Drake)","Music video for ""Life Is Good"" by Future.",5:36,"Jan 10, 2020",Director X,Officially Released,Officially Released,https://www.youtube.com/watch?v=l0U7SxXHkPY
Certified Lover Boy [V1],"Bad Bunny - MIA
(feat. Drake)","Music video for ""MIA"" by Bad Bunny.",3:31,"Oct 11, 2018",Fernando Lugo,Officially Released,Officially Released,https://www.youtube.com/watch?v=OSUxrSe5GbI
Certified Lover Boy [V1],"Chris Brown - No Guidance
(feat. Drake)","Music video for ""No Guidance"" by Chris Brown.",9:07,"Jul 26, 2019",Chris Robinson,Officially Released,Officially Released,https://www.youtube.com/watch?v=6L_k74BOLag
Certified Lover Boy [V1],"Headie One - Only You Freestyle
(feat. Drake)","Music video for ""Only You Freestyle"" by Headie One.",4:10,"Jul 20, 2020","Nathan James Tettey
Theo Skudra",Officially Released,Officially Released,https://www.youtube.com/watch?v=znQriFAMBRs
