Era,"Name
(Check out the Tracker website!)","Notes
(Join the Discord for updates and suggestions!)",Format,Image,Art Type,Use,Link(s)
Y.H.N.I.C.,Youngest Head Nigga in Charge,"Front cover of ""Youngest Head Nigga in Charge"".",Digital,,Front Cover,Used,https://i.ibb.co/RBDrKXS/Y-N-I-C.jpg
Training Day,Training Day,"Front cover of ""Training Day"".",Digital,,Front Cover,Used,https://i.ibb.co/4McYcND/Training-Day.jpg
Training Day,Blood Sport,"""Blood Sport"" single cover posted on Kendrick's old MySpace page.",Digital,,Front Cover,Used,https://i.ibb.co/VWB7n0HF/AHOq17-GCx-Ch-I7-v-o-X29o-Klp3-ODn-SDDHfs-Z6ke-W3qr-Cd-Ui-B75-CZjm3-M09-F3-Jok6ieau6-K3-BYZCw-Fo-Tt.gif
No Sleep 'Til NYC,No Sleep Til NYC,"Front cover of ""No Sleep 'Til NYC"".",Digital,,Front Cover,Used,https://i.ibb.co/d4kX6Bng/AHOq17-EI6-C3-GUai6he-Tl-RIs0-nz-P1iq5-Ax9n-1t37q-K4pxku-A997-UIn-TY0mav8-YXe-Ewuf-H0e-CTZf72ylm-FEe.jpg
No Sleep 'Til NYC,No Sleep 'Til NYC [Back Cover],"Back cover of ""No Sleep 'Til NYC"".",Scan,,Back Cover,Used,https://i.ibb.co/hRLqZ5FH/AHOq17-G-Vc-Kc-Y3mq-HRRTFwn-J3-WMMik-LVgf-O5f264-FKCPs-Zdg-Hu9-UB1grc-Ls-TD3-TT-pi-AWY8incya-MPKz-Cc.jpg
C4,C4,"Front cover of ""C4"".",Digital,,Front Cover,Used,https://i.ibb.co/FWCG4C5/C4.jpg
C4,C4 [Back Cover],"Back cover of ""C4"".",Digital,,Back Cover,Used,https://i.ibb.co/TxjQTNkx/AHOq17-H5-H9ks-Vc-FXq-VI3-UJak3-PM6-WXz-Pxmdi9-IIt6vg-QF8-z-Gexf-N-z-Je-MXLc-BCq-Dewwt-Ez5g-IUEv1-Cy.jpg
C4,good kid madd city [Rough Draft],"Rough draft of the cover of the 2008 version of good kid, m.A.A.d city described and drawn by Kendrick in the Kendrick Lamar Watts 2008 video made by mister fifou, who was contacted by Kendrick to shoot the photos for the cover, to which he declined. Described by Kendrick to be 'basically an irony', the cover would have been a photo of Kendrick sitting on the front porch of a house smiling with a sign in his hand that read 'Peace in compton', he would have had a black eye and a piru and blood member throwing up their gang signs on either side of him. Funnily enough he wrote 'good good madd city' in the drawing instead of the album title. A higher quality version of the drawing is available in fifou's book 'Archives'",Photo,,Front Cover,Draft,https://ibb.co/wNfDrL86
The Kendrick Lamar EP,The Kendrick Lamar EP,"Front cover of ""The Kendrick Lamar EP"".",Digital,,Front Cover,Used,https://i.ibb.co/8XC0LcQ/Kendrick-Lamar-EP.jpg
The Kendrick Lamar EP,The Kendrick Lamar EP [Back Cover],"Back cover of ""The Kendrick Lamar EP"".",Scan,,Back Cover,Used,https://i.ibb.co/1ts5z1kd/AHOq17-Ht-Ica-E31x-LZd-OS-lzcbo-Pg-To2a29p-Jees4-Anql-Ui8-Kv84qb-MPg-Qtxpn-ZY02h-Go-Hq9-Vl-I3-K7e-I2.jpg
The Kendrick Lamar EP,B-4 I Commit Suicide,Recreation of the logo seen on Kendrick's shirt during the 'Fuck A Hook' music video. Done by @oknora_,Recreation,,Other,Unused,https://ibb.co/KpC1T7K6
Overly Dedicated,Overly Dedicated,"OG Filename: 20100904-KENDRICKOD
The album cover art was revealed to the public on September 4, 2010, and was designed by 2DopeBoyz featuring Hassana Lynne and Dave Free. The cover features pop culture icons such as Michael Jackson, Jim Morrison, Bruce Lee, ODB, Jimi Hendrix, Dash Snow, Sacer, and Pimp C. All of these artists overdosed, or OD’d, from one substance or another, fitting with the project’s initials. The woman in the center of the image is sitting in a Sukhasana position; a pose commonly associated with meditation. ",Digital,,Front Cover,Used,https://a1.mzstatic.com/r40/Music124/v4/b9/e6/e9/b9e6e9e7-6802-cf32-1be7-f668df1ee20d/888915295939_cover.jpg
Overly Dedicated,Overly Dedicated [Recreation],"Recreation of the front cover for ""Overly Dedicated"". Made by osunnfx.",Recreation,,Front Cover,Used,https://i.ibb.co/JFxKZfbc/OVERLYDEDICATED-KL3000xx3000.png
Overly Dedicated,Overly Dedicated [Back Cover],Back Cover of Overly Dedicated.,Scan,,Back Cover,Used,https://i.ibb.co/k20M2jpN/AHOq17-HLKa6-MU6v-W-qjad75-Cfm-DXS0dmaej4lg739-Vk-L6-EX0-Td-ZKVYao-KUw-Irai-MGGW3-Y3dha68-Vq-RFv-Xwl.jpg
Section.80,Section.80,"Front cover of ""Section.80"".",Digital,,Front Cover,Used,https://a1.mzstatic.com/r40/Music115/v4/d7/d3/37/d7d33750-6d28-6e73-4913-7139ebd80906/888915968772_cover.jpg
Section.80,Section.80 [Back Cover],"Back cover of ""Section.80"".",Scan,,Back Cover,Used,https://i.ibb.co/PXZ3WLN/AHOq17-Fmp-Zn-Pbk16-V0m-EY3t-AOZl-Xk9db-Kloy-Cozg-PNc-Zb-DD3-PY85cb-Kk-H3q-Bdwg-F21-AUDTh-Bmw-Y7-P7c.jpg
Section.80,Section.80 [Reference Photo],"Reference photo for the front cover of ""Section.80"".",Digital,,Front Cover,Draft,https://i.ibb.co/XxRk9BZb/s80-ref.png
Section.80,Section.80 [Autographed CD],"Autographed CD of ""Section.80"".",Photo,,Physical Packaging,Used,https://i.ibb.co/tSwmTNK/R-4550311-1681076427-7315.jpg
Section.80,Look Out For Detox,Full image used as the single cover for its release on SoundCloud.,Digital,,Front Cover,Used,https://i.ibb.co/Psg9GPCd/AHOq17-E-0d-A2lqwto-JCGx-Tkbb-Eq-FZs-Vo-HFu3dg-W4a-DIVRe-PEPP9x9n101-B-d-QIk-Y1b-P-6-Kh-Ew-Er8-Nt-LU.png
Section.80,6'7' Freestyle,Full image used as the single cover for its release on SoundCloud.,Digital,,Front Cover,Used,https://i.ibb.co/B5Tp8C8X/AHOq17-F6qjv4t-G9-IOPH082v8x-YBdng-m-ZHQy-VEfr0-PE6l-D89-Tm822-Pl-YCa-VTFBU-WQPsg-9r-Wzr-HTomtv-EHDL.png
Section.80,HiiiPoWeR,"Cover for the digital single of ""HiiiPoWeR"".",Digital,,Front Cover,Used,https://a1.mzstatic.com/r40/Music124/v4/01/a0/f7/01a0f739-0f3f-7e30-9021-fa811dee2605/mzi.xhoujzxb.jpg
Section.80,Sex With Society,Full image used as the single cover for its release on SoundCloud.,Digital,,Front Cover,Used,https://i.ibb.co/v5dtK4m/artworks-000007881408-34nlg5-original.jpg
Section.80,Ronald Reagan Era,"Cover for the digital single of ""Ronald Regan Era"".",Digital,,Front Cover,Used,https://i.ibb.co/tMYbd7dV/AHOq17-F5-NOot2-USPG2zb-WPBij-GTDv-Acs51nfk97-BMP4-JVg-VVa-ZO6631-RISX7l-Xk-B9-Ezidy-Tj-Ulaz-LNMIIbz.jpg
Section.80,Cloud 10,"Cover for the digital single of ""Cloud 10"".",Digital,,Front Cover,Used,https://i.ibb.co/CpxDxtJH/AHOq17-Hc4-Gcj11p-I-f-SVmk-Ysf-Sm5-HUCd7fp-Sspnl-YM5u-AYMWs-Mm-E6-TXh-FJ-c5y-CV62hx-I0yl-H7a-WZYBsa.jpg
Section.80,Skeme - I Remember,"Front cover of the single ""I Remember"".",Digital,,Front Cover,Used,https://i.ibb.co/gFVG57B7/image.png
"good kid, m.A.A.d city","good kid, m.A.A.d city","Front cover of ""good kid, m.A.A.d city""",Digital,,Front Cover,Used,https://a1.mzstatic.com/r40/Music112/v4/86/d2/5d/86d25d08-2db3-b7f1-d688-96bc78719c28/12UMGIM52989.rgb.jpg
"good kid, m.A.A.d city","good kid, m.A.A.d city [Clean]",Clean version of the album cover.,Digital,,Front Cover,Used,https://a1.mzstatic.com/r40/Music122/v4/36/86/ec/3686ec99-dec4-0a01-8b74-2d8a9a0263a7/12UMGIM52988.rgb.jpg
"good kid, m.A.A.d city","good kid, m.A.A.d city (Deluxe)","Cover art for the deluxe edition of good kid, m.A.A.d city.",Digital,,Front Cover,Used,https://a1.mzstatic.com/r40/Music122/v4/ca/5b/c0/ca5bc0b3-d81d-cc6c-0d19-54b9eedb6dbd/12UMGIM52990.rgb.jpg
