Era,"Name
(Check out the Tracker website!)","Notes
(Join the Discord for updates and suggestions!)","Full
Length","File
Date","Leak
Date",BPM,Key,"Available
Length",Quality,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable","The Kendrick Lamar EP
(The Kendrick Lamar LP, Kendrick Lamar)","(January 30th, 2009) (Kendrick releases C4 mixtape)
(Mid 2009) (Kendrick scraps the Before I Commit Suicide mixtape and the original version of good kid, m.A.A.d city)
(December 31st, 2009) (Kendrick releases ""The Kendrick Lamar EP"", a street album)",,,"Kendrick Lamar is an EP by American rapper Kendrick Lamar that was released as a free digital download on December 31, 2009 by Top Dawg Entertainment. It is his first project to be released under his birth name, previously releasing music under the moniker K.Dot, from 2006 to mid 2009. Executive produced by DudeDawg, dee:jay:dave and Sounwave.",,,,,
The Kendrick Lamar EP,"She Needs Me
(prod. Sounwave)","Instrumental for ""She Needs Me"".",3:31,,,100.01,,Full,CD Quality,https://pillows.su/f/17c5bfd85889eda5bf798d8a2af29204
"0 OG File(s)
5 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable","Section.80
(Good Kid in a Mad City)","(September 4th, 2010) (Kendrick releases his fifth and final mixtape Overly Dedicated)
(Feburary 14, 2011) (Kendrick and J. Cole played and recorded two songs at a meet and greet)
(July 2nd, 2011) (Section.80 is released)",,,"Section.80 is Kendrick Lamar’s first full-length project, released on July 2, 2011, via Top Dawg Entertainment; although the project was marketed and distributed like a studio album, Lamar has consistently referred to it as a mixtape. The title, Section.80, is a combination of Section 8 Housing and the decade that Kendrick was born in—the 1980s. The subject matter ranges from Black people’s strife due to the missteps of the Reagan Administration, women’s issues, drug abuse, and conspiracy theories about the government; all of this without sacrificing precise, agile lyricism. “The Spiteful Chant” was notably removed from streaming services in August 2019. (While the issue was never discovered, it’s presumed to be because of sample clearance issues.)",,,,,
,Instrumentals,,,,,,,,,
Section.80,"HiiiPoWer [Inst.]
(prod. J. Cole)
(Black HiiiPoWer)","OG Filename: Klamar - HiiiPower.Isnt
Leaked by Gamma on May 11, 2023. Metadata shows that it was encoded by iTunes 10.2.1, which was released in Mar 8, 2011 and the single itself was released in Apr 12, 2011 so the file date could've been somewhere between those dates.",4:30,,"May 11, 2023",81,C♯ Minor,Full,High Quality,https://pillows.su/f/77ac156834e85e720a600eb6a50847e7
Section.80,"That's The Way It's Got To Be [Inst.]
(prod. Just Blaze)","Instrumental for ""That's The Way It's Got To Be"" intended as a bonus for its groupbuy. Metadata shows that it was encoded by iTunes 10.2.1, which was released in Mar 8, 2011.",4:50,,"Jul 4, 2023",81,A Minor,Full,High Quality,https://pillows.su/f/f856bb5d173a68a3f6ab1f1f123fb5e9
Section.80,"Jay Rock - Hood Gone Love It [Inst.]
(feat. Kendrick Lamar) (prod. J.U.S.T.I.C.E League)","Found on the MP3MP website by ComplexCandle. Surfaced on November 15, 2025.",4:50,,"Nov 15, 2025",,,Full,High Quality,https://pillows.su/f/f856bb5d173a68a3f6ab1f1f123fb5e9
Section.80,"Prince Charlez - West Coast State of Mind [Inst.]
(prod. Knotch)","Instrumental of ""West Coast State of Mind"" by Prince Charlez.",3:33,,,,,Full,CD Quality,https://pillows.su/f/7bb92f203f598f3a44c51bf37814bf23
,Acapellas,,,,,,,,,
Section.80,"HiiiPoWer [Aca.]
(prod. J. Cole)
(Black HiiiPoWer)",Phase inverted acapella of HiiiPower.,4:30,,"May 11, 2023",81,C♯ Minor,Full,High Quality,https://pillows.su/f/f8180de22192a66f9c6da725ec7318de
"0 OG File(s)
22 Full
1 Tagged
0 Partial
1 Snippet(s)
0 Stem Bounce(s)
0 Unavailable","good kid, m.A.A.d city
(good kid, m.A.A.d city: a short film by Kendrick Lamar)","(2009) (Before Dr. Dre contributions there was already a whole finished version of a good kid, m.A.A.d city project that MixedByAli says ""will never see the light of day."")
(July 2nd, 2011) (Section.80 is released)
June 26th, 2012) (The album is officially titled 'good kid, m.A.A.d. city')
(October 22nd, 2012) (good kid, m.A.A.d city is released)",,,"good kid, m.A.A.d city is Kendrick Lamar’s major label debut, released on October 22, 2012 through Top Dawg Entertainment, Aftermath Entertainment and Interscope Records. Subtitled “A Short Film by Kendrick Lamar,” this concept album depicts a day in the life of a 17-year-old Lamar as he rides around Compton in his mom’s minivan. The first twelve tracks make up the standard edition of the album, and there are a variety of different deluxe editions including various bonus tracks. The album was re-released on March 19, 2013 with a bonus remix of “Bitch, Don’t Kill My Vibe” featuring JAY-Z.",,,,,
,Sessions,,,,,,,,,
"good kid, m.A.A.d city","1Train
(feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.) (prod. Hit-Boy)","Sessions for ""1Train"" confirmed in circulation. Features various vocal takes from every artist. The acapella for an early take for ""1Train"" showing that Rocky had some alternate lines, but it's unknown if a version with these vocals was ever bounced. The snippet was posted by a seller called ""dj german susman"" on February 1st, 2024.",N/A,,"Feb 1, 2024",84,D Minor,Snippet,CD Quality,https://pillows.su/f/76260f925ff07ebb3612709eb8161c8e
,Stems,,,,,,,,,
"good kid, m.A.A.d city","Pusha T - Nosetalgia [Stems]
(feat. Kendrick Lamar) (prod. Kanye West & Nottz)","Track 10 on My Name Is My Name by Pusha T, featuring Kendrick Lamar. Leaked on May 16, 2024. Password is oklama.",N/A,,"May 16, 2024",81,C Major,Full,Lossless,https://pillows.su/f/070ec921f26ec1953d73ef8f93fb8136
"good kid, m.A.A.d city","A$AP Rocky - Fuckin' Problems [Stems]
(feat. Drake, 2 Chainz & Kendrick Lamar) (prod. Drake & 40)","Stems for ""Fuckin' Problems"" that leaked as a bonus for the Mr. Morale sessions GB.",N/A,,"May 18, 2023",96,B♭ Minor,Full,Lossless,https://pillows.su/f/44ebce7e0ba7f6256ba7b0af1fe33aa8
,Acapellas,,,,,,,,,
"good kid, m.A.A.d city","Swimming Pools (Drank) [Aca.]
(prod. T-Minus)",Phase inverted acapella of Swimming Pools (Drank).,4:07,,,148,B Minor,Full,Lossless,https://pillows.su/f/dbcc4939f634bd375f5957cf4b963fee
"good kid, m.A.A.d city","Sing About Me [Aca.]
(prod. Skhye Hutch, Like & Sounwave)",Phase inverted acapella of Sing About Me.,7:06,,,83.02,G♯ Minor,Full,Lossless,https://pillows.su/f/c80bd7ba4ff9dc907068dfc613d07368
"good kid, m.A.A.d city","Eminem - Love Game [Aca.]
(feat. Kendrick Lamar) (prod. Rick Rubin)","Official acapella of ""Love Game"" by Eminem.",5:00,,,105.5,A Major,Full,Lossless,https://pillows.su/f/598aca91cdb013aed10b5604fc090043
,Instrumentals,,,,,,,,,
"good kid, m.A.A.d city","Hit-Boy [Inst.]
(prod. Hit-Boy)
(Backseat Freestyle)","OG Filename: Hit-Boys1582
Leaked on January 8, 2022 by Saya. The original instrumental to ""Backseat Freestyle"" from 2011 found within some Watch The Throne files. It features an unused intro and was likely the version meant to Ciara record over before being scrapped and given to Kendrick.",3:20,,"Jan 8, 2023",154,F Minor,Full,Lossless,https://pillows.su/f/e5e25e3db830b0ddd2a36b65afc4d03a
