Era,"Name
(Join The Discord!)",Notes,Track Length,Release Date,Type,Streaming,Quality,Link(s)
"14 Album Track
0 Single
9 Feature
0 Production
2 Other","Exclusive Audio Footage
(Collaboration with Malice)","(05/13/1977) (Terrence LeVarr Thornton is born)                                                 (4/28/1999) Exclusive Audio Footage was intended to release, instead being shelved by Elektra.",,"In 1994 the brothers would start recording together. Pusha, five years Malice's junior, would accompany his brother to recording sessions at Hugo's house. He eventually decided to rap as well. They recorded their first song together ""Thief in the Night"", featuring vocals from Pharrell, who suggested they should become a duo, calling themselves Full Eclipse, later shortening their name to only Clipse. The Neptunes helped them secure a recording contract with Elektra Records in 1996. Under Elektra, and with the Neptunes handling its production, the Clipse recorded its debut album, Exclusive Audio Footage. The group's first single, ""The Funeral"", helped to generate fan interest in the album, but failed to make a significant chart impact. With ""The Funeral"" deemed a failure, Exclusive Audio Footage itself was shelved. ",,,,
,Singles,,,,,,,
Exclusive Audio Footage,"The Funeral (2022 Release)
(prod. The Neptunes)","One of the tracks from Clipse's 1999 shelved album ""Exclusive Audio Footage"" which leaked sometime in 2004-2005. This song was released as a single for the album but failed performance wise which caused the whole album to be shelved. In 2022 Clipse decided to bring it back onto streaming services. ",3:30,"Jun 1, 1999",Single,Yes,Lossless,https://music.apple.com/us/song/the-funeral/1502733894
,Features,,,,,,,
Exclusive Audio Footage,"Kelis - Good Stuff
(feat. Terrar) (prod. The Neptunes)","Track two off of Kelis's first debuted studio album ""Kaleidoscope"". Features Pusha T.",3:52,"Jul 12, 1999",Feature,Yes,Lossless,https://music.apple.com/us/song/good-stuff-feat-terrar/1712510708
Exclusive Audio Footage,"Kelis - Ghetto Children
(feat. N*E*R*D  & Marc Dorsey)","Track nine off of Kelis's first debuted studio album ""Kaleidoscope"". Features N*E*R*D, Marc Dorsey and Pusha T as the backing. Pusha T is not credited on this track.",4:48,"Jul 12, 1999",Feature,Yes,Lossless,https://music.apple.com/us/song/ghetto-children-feat-n-e-r-d-marc-dorsey/1712512280
Exclusive Audio Footage,"⭐️ N*E*R*D - Truth Or Dare (UK Advance CD)
(feat. Kelis & Terrar) (prod. The Neptunes)
","Track six off of N*E*R*D's first debuted studio album ""In Search Of... (Advance CD)"" . It was released in 2001 but exclusive to United Kingdom due to the record company ""Virgin Records"" being shitty. ""In Search Of... (Advance CD) was released but production of the CD's has stopped later in the same year. Pharrell and Chad decided to rework the album with Spymob to make it more rock.",4:52,"Aug 6, 2001",Feature,No,Lossless,https://pillows.su/f/e191e26f52c65b5a1b707f68cc1e7d98
Exclusive Audio Footage,"⭐️ N*E*R*D - Am I High (UK Advance CD)
(feat. Malice) (prod. The Neptunes)
","Track eleven off of N*E*R*D's first debuted studio album ""In Search Of... (Advance CD)"" . It was released in 2001 but exclusive to United Kingdom due to the record company ""Virgin Records"" being shitty. ""In Search Of... (Advance CD) was released but production of the CD's has stopped later in the same year. Pharrell and Chad decided to rework the album with Spymob to make it more rock. Strange reason Malice is not credited instead it's Pusha T/Terrar.",5:00,"Aug 6, 2001",Feature,No,Lossless,https://pillows.su/f/47ae367cee5b4c310de02e9948a665df
,,,,,Feature,No,Lossless,
Exclusive Audio Footage,"Guns N' Roses 
(prod. The Neptunes)","Track twelve off of ""Training Day"" Album. Not Avaliable on streaming. Don't get too exicted. This track is not in the movie.",3:38,"Sep 11, 2001",Feature,No,Lossless,https://pillows.su/f/f7c93ea12932a875fb395dbee411a628
