Row,Name,DL Text,DL URL,Stream Text,Stream URL
7,"Before The College Dropout
(Get Well Soon..., I'm Good..., Kon The Louis Vuitton Don)",,,,
9,⭐Dream Killers,MEGA,https://mega.nz/folder/oDYBHTzS#_Tby6acaaHWRT2Ipl5AsUA,,
11,"Freshmen Year
Remastered","MEGA
",https://mega.nz/folder/MYUFXCaA#HPltIZiLuej993oGzLn1HQ,,
11,,Pillowcase,https://pillowcase.su/f/4ed4d30eada09354d16ef2a3c963208f,,
12,The College Dropout,,,,
14,⭐Most Unlikely To Succeed,"MEGA
",https://mega.nz/file/jPp3QKIR#ng7JwFjYYA9c1jgUzd5eGZjheG6DwAVX0c-RdZNN9I4,"Yedits.net
",https://yedits.net/comp/t6XxIYt8D9Tgavsgj9Sf
14,,MEGA,https://mega.nz/folder/ywpVnAoL#ItVWk_K1wyBf3wHJHbQqUg,[untitled],https://untitled.stream/library/project/JGUNfiWYzlrqNqBevLVwr
14,,Google Drive,https://drive.google.com/drive/folders/1_KrAopt83jpZp0m-NOPLusDtJyQno1Ws?usp=sharing,,
16,"The College Dropout
Remastered","MEGA
",https://mega.nz/folder/BBV1TZYD#-C4wivGbpNutkexdBY09kQ,,
16,,Pillowcase,https://pillowcase.su/f/9d9ce9e005747bc26eb20b71ea3bbc92,,
17,Late Registration,,,,
19,"✨The Good, The Bad & The Ugly
(The Magnificent 2.0) (with Common & Consequence)",MEGA,https://mega.nz/folder/yA8VFKCb#6XDA-Ui-wBHu3mQN2alI6g,Yedits.net,https://yedits.net/comp/j2ymwjmjKIRCjGQOWs2r
19,,"
",https://mega.nz/folder/yA8VFKCb#6XDA-Ui-wBHu3mQN2alI6g,,
19,,MEGA,https://mega.nz/folder/DmA21RJZ#ifJjIAyVQjFSi62J34wMpg,,
19,," (Deluxe)
",https://mega.nz/folder/DmA21RJZ#ifJjIAyVQjFSi62J34wMpg,,
19,,MEGA,https://mega.nz/folder/iI0CzBDY#jlQzkIoDAR4NUkuoqJVqig,,
19,,MEGA,https://mega.nz/folder/v2hxFIyb#Qnqnz-rDdpA1BiORahDXIA,,
21,"⭐Sorry, Mr. West Is Gone",MEGA,https://mega.nz/file/DH5xVaTA#VQnj_556yDBMRhDtwygpGjF8tgT8QuUuiBRv1S5X6_Q,"Yedits.net
",https://yedits.net/comp/U8jILd5XepIIXKQNUYQO
21,,MEGA,https://mega.nz/folder/PkZQSZRR#l9HnrYmL4XvmGuuAWikcfg,[untitled],https://untitled.stream/library/project/zDNRCNloc5tym1jIq__Tv
23,"Late Registration
Remastered","MEGA
",https://mega.nz/folder/FNUhAZTT#5TKmIgjxxaMl9GvTKJoOTw,,
23,,Pillowcase,https://pillowcase.su/f/a97bdfa944f491ff9e6c244a3993d31c,,
24,Late Orchestration,,,,
26,⭐Late Orchestration,MEGA,https://mega.nz/folder/kxMCTbwQ#r-VveHTJUT39cSc_uzLUPw,[untitled],https://untitled.stream/library/project/Qqvn3Qm2QKlxFqfOv17zD
27,Graduation,,,,
29,"⭐Graduation
Reworked","MEGA
",https://mega.nz/folder/21oVBCYB#gbQlpkX38XkSFjkE_y0tdw,[untitled],https://untitled.stream/library/project/z8TFqiIGYxKKaDnYCyYsN
29,,Pillowcase,https://pillowcase.su/f/728b918b8d6c3a6c1c34c9a8a32ace73,,
31,Graduation - Rising Stars,"MEGA
",https://mega.nz/file/uTozyS6Q#2HFBS-pSFoAviloqseJbEvhOX-y_BDxZ4QC8nZt_tus,[untitled],https://untitled.stream/library/project/CGJG-eAsI53xw1hEYuaFN
31,,Google Drive,https://drive.google.com/drive/folders/1BSlALHVFHZZWwWgR20pjWI5RBC7-EOQi,,
32,Homecoming,"MEGA
",https://mega.nz/file/7egHzaKJ#eKzRF3pNN5G2D4DI2n7mhdjNUaoXVve5rY6W9GEdLPI,Yedits.net,https://yedits.net/comp/dkUmEdWgZOU9VZPtRNoY
32,,"MEGA
",https://mega.nz/folder/Dt5yWCSC#Mncjz5OVbr9IgM213Cfhqw,,
