Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""!
Do NOT do this if you are an Editor!",,,,,,,
"0 Album Track(s)
3 Single(s)
12 Feature(s)
55 Production
1 Other","Before The College Dropout
(Get Well Soon..., I'm Good..., Kon The Louis Vuitton Don)","(06/08/1977) (Kanye West is born in Atlanta)
(08/18/2002) (Kanye announces he signed to Roc-A-Fella)",,,"Before Kanye released his first album to critical acclaim in 2004, he pursued many other projects, including a rap trio group named the ""Go Getters"" and production for other rappers, including, but not limited to JAY-Z, Common, Talib Kweli, and Scarface. Two years before the release of The College Dropout, Kanye began releasing a series of mixtapes to generate hype and publicity for the eventual release of his first album. Kanye eventually signed with Roc-A-Fella records in August 2002.",,
Before The College Dropout,"Raw Stylus - Believe In Me (E-Smoove Soul Mix)
(feat. Kanye West)","First professional Kanye appearence. Released as a single for Raw Stylus' 1995 album Pushing Against The Flow on November 1st, 1995, alongside other remixes of the song. Also track 9 on Raw Stylus' 2025 compilation The Early Years. Written by Donna Gardier, Kanye West, Ski Oakenfull, and Max J. Brookes.",4:27,"Nov 1, 1995",Feature,Yes,"https://pillows.su/f/d494bef3ae164b748b88caf69d22ad54
https://open.spotify.com/track/6NVLFIUSHAudsaFtlXEc6g?si=1bea7cbe00bd4835"
Before The College Dropout,"Raw Stylus - Believe In Me (E-Smoove Essence Mix)
(feat. Kanye West)","Track 11 on Raw Stylus' 1995 album Pushing Against The Flow. Features bass from Jonathan Maron, drums from Bernard Purdie, guitar from Nemo Jones, percussion from Bashiri Johnson, tenor and alto saxophone from Lou Marini, trombone from Dave Bargeron, and flufelhorn from Randy Brecker. Written by Donna Gardier, Kanye West, Ski Oakenfull, and Max J. Brookes. Samples ""Bring The Pain"" by Method Man. Only on physical copies of the album.",4:31,"Nov 14, 1995",Feature,No,https://pillows.su/f/fd3ae9379c244133a05ea11fbede2d56
Before The College Dropout,"⁉️ Peanut Butter - Blind Man's Masquerade (Radio Version)
(prod. Kanye West)","Thought to be Kanye's first credited song as a producer. Released as a single on September 16th, 1996. Currently lost.",4:35,"Sep 16, 1996",Production,No,Link Needed
Before The College Dropout,"Grav - World Domination
(prod. Kanye West)",Track 3 on the 1996 album Down to Earth.,3:47,"Oct 11, 1996",Production,Yes,http://tidal.com/track/384393598
Before The College Dropout,"Grav - Sick Thoughts
(prod. Kanye West)",Track 5 on the 1996 album Down to Earth.,3:47,"Oct 11, 1996",Production,Yes,"https://tidal.com/track/384393600
https://pillows.su/f/bc3661a317499cabc14f5f74460a8af7"
Before The College Dropout,"Grav - City To City
(feat. Al Tariq & Lil Ray) (prod. Kanye West)","Track 6 on the 1996 album Down to Earth. Samples ""Cyclops"" by Eddie Henderson.",3:35,"Oct 11, 1996",Production,Yes,"https://tidal.com/track/384393601
https://pillows.su/f/f7475e7a5deafe83f35b3c394004f87e"
Before The College Dropout,"Grav - Thought It Was On
(feat. Liz Mercado) (prod. Kanye West)",Track 7 on the 1996 album Down to Earth. Features background vocals from Liz Mercado.,4:02,"Oct 11, 1996",Production,Yes,"https://tidal.com/track/384393602
https://pillows.su/f/1f4d66f4ebd9e8c5c3d02341676d9691"
Before The College Dropout,"Grav - Line For Line
(feat. Kanye West, Seldom C, Sway & Rashaun) (prod. Kanye West)","Track 8 on the 1996 album Down to Earth. Features verses from Grav, Kanye, Seldom C, Sway & Rashaun.",4:22,"Oct 11, 1996",Feature,Yes,"https://tidal.com/track/384393603
https://pillows.su/f/cfcad70bcc93ead14c52493ffaffddd9"
