Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Unknown | Completely Unheard | Snippet / Partial / Recording Available | Alternate Version Available | Confirmed Version Available,,,,,,,
530,530,"Unofficial tracklist found archived on a Russian website called VK.

1. POSTED (feat. YNGROY)
3. TOOLY
4. LANE SWITCH (feat. YNGROY & Marcuss)
5. MARGIELA ROOF
6. JAPAN",N/A,Date Needed,Clear,Yeat,N/A
1500,3PYEAT,"Partial tracklist for 3PYEAT, a deleted EP from Yeat's SoundCloud. Known to include ""Fences,"" however, the other tracks are unknown and have been lost.

#?. Fences",N/A,"Sep 9, 2017",N/A,Yeat,N/A
1500,Unknown [Scrapped Mixtape],"On March 16, 2018, Yeat tweeted ""All 10 these songs on my tape boutta go crazy, no cap.""

1. ???
2. ???
3. ???
4. ???
5. ???
6. ???
7. ???
8. ???
9. ???
10. ???",,"Mar 16, 2018",N/A,Yeat,https://twitter.com/yeat1_/status/974754952559017984
1500,FOREVERWORLD,"On April 24, 2018, BigBabyGucci tweeted that there would be a 1500 label tape coming in the summer featuring the label members:

""@1FOREVERWORLD
 TAPE THIS SUMMER! ❤️💜🖤💙💚💛🧡

with
@yeatglobal
@_lilcoupe 
@BBYGOYARD
@1500SKINNER 
@ELIBLXCK
+ 
@30ROCKBABY""",Image Needed,"Apr 24, 2018",N/A,Secondary,https://twitter.com/BIGBABYGUCCI/status/988778840486006784
1500,FOREVERWORLD,"On June 30, 2018, BigBabyGucci tweeted that there would be a ""a FOREVERWORLD tape with songs from bigbabygucci @30ROCKBABY @BBYGOYARD @yeat1_ @30ROCKBABY and @1500SKINNER alllll on one compilation of super secret never before heard music 📜📜📜📜📜"" and that he would be ""releasing the audio [that] summer... and it’s 7 songs and a video holy shit .. 😱.""

1. ???
2. ???
3. ???
4. ???
5. ???
6. ???
7. ???",Image Needed,"Jun 30, 2018",N/A,Secondary,"https://twitter.com/BIGBABYGUCCI/status/1013128590521749506
https://twitter.com/BIGBABYGUCCI/status/1013129101056598016
https://twitter.com/BIGBABYGUCCI/status/1013129728352571392"
Deep Blue $trips,Unknown,"Yeat privately uploaded the following tracks to his SoundCloud on May 23-24, 2018, listed in the order of the time it was uploaded:

#?. $OLD
#?. ROUND UP
#?. TRU RELIGION
#?. Loot! (feat. JBans2Turnt)
#?. Tsunami
#?. SINPHONY
#?. Better off (feat. SwagHollywood)
#?. Dead Presidents
#?. Lamb (feat. SwagHollywood)
#?. Comme De Garflex
#?. Boot Up
#?. FU (feat. BigBabyGucci)
#?. Just Know
#?. Calling All 9 - 5
#?. Again
#?. Intervene
#?. Ready 2 Go
#?. Cant Trust Nobody
#? DA$H",N/A,"May 23, 2018",N/A,Leaked,N/A
Deep Blue $trips,Unknown,"Yeat privately uploaded the following tracks to his SoundCloud on May 30, 2018, listed in the order of the time it was uploaded:

#?. Gotta Bounce
#?. Money Conversation
#?. Propain
#?. No vacation
#?. Drop
#?. Rondo",N/A,"May 30, 2018",N/A,Leaked,N/A
Super Sonic,"Super Sonic
(with Danny Wolf)","Tracklist for Super Sonic with Danny Wolf. Privately uploaded to Yeat's SoundCloud on August 25, 2018.

#?. Deep Blue (feat. Yung Bans)
#?. 100% (feat. Nessly)
#?. Jet Lagg
#?. MadMan
#?. On me
#?. Severe
#?. The Latest / Greatest",Leaked Tracklist,"Aug 25, 2018",N/A,Leaked,N/A
Deep Blue $trips,Deep Blue $trips,"Official tracklist for Deep Blue $trips.

1. I Can Tell
2. Going Out Sad
3. Brink!",Official Release,"Sep 20, 2018",Clear,Yeat,N/A
Wake Up Call,"Wakeup Call
(Wake Up Call)","Yeat privately uploaded the following tracks to his SoundCloud on October 23, 2018 with placeholder Wakeup Call artwork, listed in the order of the time it was uploaded:

#?. DamnChanel
#?. Better Believe
#?. Katchup
#?. Adios
#?. Hard Headed
#?. Missed U",N/A,"Oct 23, 2018",N/A,Leaked,N/A
Wake Up Call,Wake Up Call,"Yeat privately uploaded the following tracks to his SoundCloud on November 26, 2018 with the Wake Up Call artwork, listed in the order of the time it was uploaded:

#?. Smoke UP!
#?. This is it
#?. Damn Chanel
#?. Bag In
#?. With EASE #ididntevenstartyet",N/A,"Nov 26, 2018",N/A,Leaked,N/A
Wake Up Call,Wake Up Call,"Official tracklist for Wake Up Call.

1. Admit It
2. This Is It
3. Celine
4. Alright
5. Impatient (feat. Oodaredevil)
6. Pilot
7. Stay Up",Official Release,"Jan 9, 2019",Clear,Yeat,N/A
Elegance,Two Face,"Privately uploaded to Yeat's SoundCloud on February 2, 2019.

1. 2 Faced
2. Bank Calling
3. Say Less
4. LA Vibes
5. Red Flu
6. CDG
7. We Alien Freestyle
8. 2 Bright
9. Thats Y
10. Stack Up
11. Fearful
12. Chem High
13. Money Munchies
14. New Shoes oooh
15. I got me",N/A,"Feb 2, 2019",Clear,Leaked,N/A
Elegance,Unknown,"An unknown scrapped project was privately uploaded to Yeat's SoundCloud on February 19, 2019, listed in the order of the time it was uploaded:

#?. Chem High
#?. Shiver
#?. L.A Vibes
#?. Up Up
#?. Money Munchies
#?. Fearful
#?. Its Me
#?. On My Own (feat. JudoBeatz)",N/A,"Feb 19, 2019",N/A,Leaked,N/A
Elegance,Chemistry,"Privately uploaded to Yeat's SoundCloud on March 3, 2019.

1. Dont Remember
2. Original
3. Getaway
4. Jog
5. Chem High
6. 4 Years Freestyle
7. Bye Bye
8. Number 1",N/A,"Mar 3, 2019",Clear,Leaked,N/A
Elegance,Alien EP,"Privately uploaded to Yeat's SoundCloud on March 10, 2019.

1. Know my worth
2. Calm Down
3. Switch it UP
4. In My Head
5. Steady (feat. Oodaredevil)
6. Number 1
7. Sinked In",N/A,"Mar 10, 2019",Clear,Leaked,N/A
