Era,Name,Notes,Length,File Date,Release Date,Type,Streaming,On DSPs,Link(s)
,"Purple Thoughtz
(Purple Thoughtz EP Vol. 1)
℗ 2014 Warner Music Group",,,,,,,,
,Singles and throwaways,,,,,,,,
Purple Thoughtz,"On My Lean
(prod. ???)","Uploaded to Uzi's SoundCloud in 2012, has since been deleted.
Currently lost.",,,2012,Throwaway,Released on DSPs,No,N/A
Purple Thoughtz,"Raw Vertical
(prod. ???)","Uploaded to Uzi's SoundCloud in 2012, has since been deleted.
Currently lost.",,,2012,Throwaway,Released on DSPs,No,N/A
Purple Thoughtz,Rich Nigga                                                       (prod. ???),"Uzi's  supposedly first single, released in 2012. Has since been deleted from other plateforms but still remains on his old Youtube account",   3:45,,"Mar 12, 2012",Throwaway,Released on DSPs,No,https://www.youtube.com/watch?v=QcgJtTaFZJw
Purple Thoughtz,"✨ RIGAMORTIS.....VERTICAL FREESTYLE
(prod. Sounwave & Willie B)
(Riggi, Rigamortus, Rigamortis Vertical (Freestyle))","Released on February 27, 2012. It's a freestyle over Kendrick Lamar's 'Rigamortus'. Was previously uploaded to Uzi's SoundCloud in 2012, was deleted but has been recovered",2:53,,"Feb 27, 2012",Remix,Released on DSPs,No,https://pillows.su/f/589efed118f0986e600039644ca7d77b
Purple Thoughtz,"Don't Give A Fuck
(feat. DJ Diamond Kuts) (prod. DJ L Beats)","2013 feature from ""Philly Freshman Class"" mixtape
Unfortunately went down when datpiff went down, so reupload linked - if anyone can grab it here's og link:
https://www.datpiff.com/DJ-Diamond-Kuts-Philly-Freshman-Class-2013-mixtape.555399.html",1:39,,"Nov 28, 2013",Single,Released on DSPs,No,https://pillows.su/f/c7e444d8f01ce3b460fafa5d4dd5d6fe
Purple Thoughtz,"✨ In Da Field (Freestyle)
(prod. Big Cam Da Bully)","SoundCloud Freestyle, sounds as if it was recorded in 2013. 6/22/2023 currently earliest upload of the track on Uzi's soundcloud.",3:57,"??? ??, 2013","Jan 15, 2014",Single,Released on DSPs,No,https://soundcloud.com/liluzivert/in-da-field-freestyle
,Features,,,,,,,,
Purple Thoughtz,"William Aston - Cool Ass Nigga
(feat. Lil Uzi Vert) (prod. ???)","Uploaded to Uzi's SoundCloud in 2012, was deleted but has been recovered",4:10,,2012,Feature,Released on DSPs,No,https://pillows.su/f/02cb3e0a8db7e701de3fabadced7b5f4
Purple Thoughtz,"Steaktown - Steaktown Anthem
(prod. ???)","Steaktown is a group comprised of Uzi, William Aston and A.Y.
Uzi's first 'released' song",4:00,,"Jul 22, 2012",Feature,Released on DSPs,No,https://www.youtube.com/watch?v=eqkQ5flubvM
Purple Thoughtz,"Flu Game
(feat. William Aston) (prod. Dr. Boca)","Uploaded to Uzi's SoundCloud in 2013, has since been deleted.
Currently lost.",,,2013,Feature,Released on DSPs,No,N/A
Purple Thoughtz,"12 Bars (Remix)
(feat. Chief Keef) (prod. Dolan Beats)","Uploaded to Uzi's SoundCloud in 2014, has since been deleted.
Currently lost.",,,2014,Remix,Released on DSPs,No,N/A
,"Purple Thoughtz EP, Vol 1 (DSPs) - Released Jan. 19, 2014",,,,,,,,
Purple Thoughtz,"GG (Intro)
(feat. GG Allin) (prod. Lil Uzi Vert)","Track #1 on Purple Thoughtz EP, Vol. 1.",1:51,,"Jan 19, 2014",Mixtape,Released on DSPs,No,LINK NEEDED
