Era,Name,Tracklist,Date,Availability,Quality,Image
Unknown | Completely Unheard | Snippet Available | Version Available | Confirmed Version Available,,,,,,
Purple Thoughtz,Purple Thoughtz,"Tracklist for the released version of Purple Thoughtz.

1. GG (Intro)
2. White Shirt
3. Don't Stop
4. Puff
5. We Workin
6. I Got Bandz
7. Cartel
8. Did It On My Own","Jan 19, 2014",Clear,Uzi,N/A
Home Economic$,Home Economic$ (feat. Reese LaFlare),"
Tracklist for the scrapped collab with Reese LaFlare.

1. Servin (feat. KEY!)
2. 400 Degrees
3. Woe
4. Uzi
5. Faded
6. Pretty Boy Anthem (feat. Lil B)
",,Clear,Uzi,N/A
The Real Uzi,The Real Uzi,"
Tracklist for the released version of The Real Uzi.

1. Uzi Intro
2. Uzi
3. We On It
4. Understand
5. Trunk Got Birdies
6. Whippin
7. Decapacitator
8. Senor Guapo
9. What You Off
10. Tropics
11. Dumber
12. I'm Sorry
13. As!an Chicks
14. I Don't Know Nuffin
15. Plugged In
16. Like 50
17. Trappin Work
",,Clear,Uzi,N/A
Luv Is Rage,Luv Is Rage,"
Intro was allegedly the original intro track to an early copy of Luv Is Rage. It's unknown what else was on this version of the album.

#?. Intro
",,Blocked,Leaked,LINK NEEDED
Luv Is Rage,Luv Is Rage (Soundcloud Release),"
Tracklist for the soundcloud release of Luv Is Rage.

1. Safe House
2. Banned from TV
3. Super Saiyan
4. 7AM
5. Yamborghini Dream
6. Right Now
7. Moist
8. Top
9. Queso
10. All My Chains
11. Belly
12. Wit My Crew X 1987
13. Nuyork Nights at 21
14. Enemies
15. Ballin
16. Paradise
",,Clear,Uzi,N/A
Luv Is Rage,Luv Is Rage (Streaming Release),"
Tracklist for the streaming release of Luv Is Rage.

1. Safe House
2. Banned from TV
3. Super Saiyan
4. 7AM
5. Yamborghini Dream
6. Right Now
7. Top
8. All My Chains
9. Belly
10. Enemies
11. Ballin
12. Paradise
",,Clear,Uzi,N/A
Lil Uzi Vert vs. The World,Lil Uzi Vert vs. The World,"
Tracklist for the official release of Lil Uzi Vert vs. The World.

1. Canadian Goose
2. Hi Roller
3. Money Longer
4. Grab the Wheel
5. You Was Right
6. Baby Are You Home
7. Ps & Qs
8. Team Rocket
9. Scott and Ramona
",,Clear,Uzi,N/A
The Perfect LUV Tape,The Perfect LUV Tape,"
Tracklist for the official release of The Perfect LUV Tape.

1. Do What I Want
2. Of Course We Ghetto Flowers
3. Original Uzi (4 of Us)
4. Money Mitch
5. SideLine Watching (Hold Up)
6. I Can Drive
7. You're Lost
8. Erase Your Social
9. Ronda (Winners)
10. Seven Million
",July 2016,Clear,Uzi,N/A
1017 Vs. The World,1017 vs. the World (w/ Gucci Mane),"
Tracklist for the official release of 1017 vs. the World.

1. Changed My Phone
2. Today
3. Blonde Brigitte
4. Threesome
5. Fresh
6. In O4
7. Secure The Bag
",November 2016,Clear,Uzi,N/A
Luv Is Rage 1.5,Luv Is Rage 1.5,"
Tracklist for the official release of Luv Is Rage 1.5.

1. Boring Shit
2. Luv Scars K.o 1600
3. XO TOUR Llif3 
4. YSL
",February 2017,Clear,Uzi,N/A
Luv Is Rage [V2],Luv Is Rage 2,"
An early tracklist for Luv Is Rage 2 from early 2017.

#?. Stay This Way (Flex Up)
#?. Ain't Enough
#?. Come This Way
",Early 2017,Blocked,Leaked,LINK NEEDED
2 Luv Is 2 Rage,2 Luv Is 2 Rage,"
Tracklist for the official release of 2 Luv Is 2 Rage

1. Like This (Alone Time)
2. Bag
3. Let You Know (Pretty Mami)
4. Loaded
5. Pet
6. Walking Around With A Bank 
7. Repercussions
",July 2017,Clear,Uzi,N/A
Luv Is Rage [V2],Luv Is Rage 2,"
Tracklist for an earlier version of Luv Is Rage 2

1. 20 Minutes
2. Flex By Mistake
3. Let U Know
4. This That
5. Wolf Moon (Moon Relate)
6. Sauce It Up
7. For Real
8. Half Baked (Early 20 Rager)
9. Leonardo
10. Break The Bank
11. Die Today
12. Loaded
13. Wondergurl (Automatic)
14. Xo Tour Llif3 Remix feat. The Weeknd
",Mid 2017,Clear,Leaked,
Luv Is Rage [V2],Luv Is Rage 2,"
Tracklist for the official release of Luv Is Rage 2

1. Two®
2. 444+222
3. Sauce It Up
4. No Sleep Leak
5. The Way Life Goes
6. For Real
7. Feelings Mutual
8. Neon Guts
9. Early 20 Rager
10. UnFazed
11. Pretty Mami
12. How To Talk
13. X
14. Malfunction
15. Dark Queen
16. XO Tour Llif3
",August 2017,Clear,Uzi,N/A
Luv Is Rage [V2],Luv Is Rage 2 (Deluxe),"
Tracklist for the official release of Luv Is Rage 2 (Deluxe)

1. Two®
2. 444+222
3. Sauce It Up
4. No Sleep Leak
5. The Way Life Goes
6. For Real
7. Feelings Mutual
8. Neon Guts
9. Early 20 Rager
10. UnFazed
11. Pretty Mami
12. How To Talk
13. X
14. Malfunction
15. Dark Queen
16. XO Tour Llif3
17. Skir Skirr
18. Loaded
19. Diamonds All on My Wrist
20. 20 Min
",November 2017,Clear,Uzi,N/A
Luv Is Rage [V2],''Album Ideas'' Folder - Luv Is Rage 2 (Deluxe),"
A folder was found titled ''Album Idea'' and dated to November 20th, 2017. Strangely includes songs that already released on Luv Is Rage 2 and Playboi Carti's Self-Titled.

Uzi 808 All My Friends Are Dead 1 26 edit - Bm.m4a
Uzi Kodie Shane Left Me Lone - Bm.m4a
Uzi TM88 Loaded - Gm.m4a
Uzi Nowadays - Ebm.m4a
01 Uzi Pablo Zabombafoo - Abm.m4a
Uzi Maaly Raw Half Baked rough - Ebm.m4a
Uzi Raf slowed - rough - Cm.m4a
Uzi Just Keep Her - F.m4a 
Uzi 20 Till 1 1 16 edi - Abm.m4a
Uzi Cart 2 16 LMM - Am.m4a
Uzi 200 My Dash - Gb.m4a
Uzi Addy (Drugs) - Eb.m4a
Lil Uzi Vert - UZI CARTI SQAUD MM - Dm.m4a
",November 2017,Clear,Leaked,LINK NEEDED
Luv Is Rage [V2],Luv Is Rage 2 (Japanese Release),"
Tracklist for the official japanese release of Luv Is Rage 2

1. Two®
2. 444+222
3. Sauce It Up
4. No Sleep Leak
5. The Way Life Goes
6. For Real
7. Feelings Mutual
8. Neon Guts
9. Early 20 Rager
10. UnFazed
11. Pretty Mami
12. How To Talk
13. X
14. Malfunction
15. Dark Queen
16. XO Tour Llif3
17. Skir Skirr
18. Loaded
19. Diamonds All on My Wrist
20. 20 Min
21. Money Longer
22. Do What I Want
",December 2017,Clear,Uzi,N/A
Lil Uzi Vert vs. The World 2 [V1],Lil Uzi Vert vs. the World 2,"
""Zoom"" was said to be on a Lil Uzi Vert vs. The World 2 tracklist. Nothing else is known about this copy of the album.

#?. Zoom
",2017,Blocked,Leaked,LINK NEEDED
Lil Uzi Vert vs. The World 2 [V1],Lil Uzi Vert vs. the World 2,"December 2017 idea folder, in alphabetical order.

#?. 1600
#?. Diamonds In My Cartis
#?. Doin' The Most
#?. I Live It
#?. I'm Livin'
#?. Jamaican Flow
#?. More Hundreds
#?. Philly
#?. Run It Up
#?. Slatt
#?. Target
#?. This Way
#?. U A Winner
#?. With Your Girl
#?. Won't Let Me In
#?. Zoom",December 2017,Blocked,Leaked,LINK NEEDED
Tsunami Island,Tsunami Island -  Lil Uzi Paramount StudioA 010218 ,"
Tracklist of recorded songs on Jan 2, 2018 for ""Tsunami Island"", based off OG Filenames

1. Sleep Walk
2. Hurt Too (Don't Get Murked Up)
3. Keep Me Up
4. Killa (Watch Out)
5. ???
6. Jet Blown (Big Flex)
7. Location
8. ???
9. No Sir 
",January 2018,Blocked,Leaked,LINK NEEDED
Tsunami Island,Tsunami Island,"
Tracklist for ""Tsunami Island"", leaked by Chris. However, this may be inaccurate

1. Killa (Watch Out)
2. Hurt Too (Don't Get Murked Up)
3. Location
4. No Sir
5. Sleep Walk
6. Big Flex (Jet Blown)
7. Get It Back 
8. ???
9. ???
",January 2018,Blocked,Leaked,LINK NEEDED
Eternal Atake [V1],Eternal Atake,"
Partial September 2018 tracklist for ""Eternal Atake"". Full tracklist has yet to be revealed. The original partial tracklist that was listed ended up being fake.
 
#? Our Year
#?.Cant Save Her
#?.Dont Wanna Wait 
",September 2018,Blocked,Leaked,LINK NEEDED
