Era,Name,Notes,Length,Release Date,Shoot Date,Type,Availability,Status,Link(s)
Aviation Class,Jordan acting stupid [Studio Footage],"The famous Jordan acting stupid video, where he showcases some beats he made, and makes a song (alongside acting stupid). Original video got taken down.",4:28,"May 28, 2009",,Studio Footage,Full,Unofficially Released,https://www.youtube.com/watch?v=NIDaVK_osOY
Young Mi$fit,$oon [Promo],Teaser for Young Mi$fit and Zombie mv.,0:20,"Jan 24, 2013",N/A,Promo,Full,Officially Released,https://www.youtube.com/watch?v=yDK4VkZLkYY
Young Mi$fit,TFZ THE INFECTION [Mini Documentary],"A mini documentary for TFZ Carti's primary collective during the $ir Cartier era. The original youtube link is:
https://www.youtube.com/watch?v=UR1geLoQsCw",3:15,"Nov 3, 2012",N/A,Documentary,Full,Deleted,https://www.youtube.com/watch?v=g7Z8OjpckWM
Playboi Carti,Rise To Fame [Documentary],"Documentary on Cartis rise to fame, recording started in late 2015 and lasted until 2019. Presumably ends with footage of a Carti & Yung Lean studio session (presumably the same session Yung Lean mentioned in a 2025 interview). Being sold for for roughly $5,000 & is 4 hours long. Includes various unheard songs and interviews.",4:00:00,"Sep 11, 2025",2015-2019,Documentary,Snippet,Unreleased,"https://music.froste.lol/image/0e93e50f300f9245dd59f9eb670cfe51 
https://music.froste.lol/video/49fd79971b53019958c50cd61d04b688 
https://music.froste.lol/video/c41a880ee8366d50af327200c9c98419 
https://music.froste.lol/video/72ee12f50ac8e91f87b00103586c6840"
Die Lit,Love Hurts [V1] [Promo/Music Video],"Old promo used for 'Love Hurts', possibly part of a music video filmed for it. Posted by chrisskylark on Instagram. Edited by Art Dealer",N/A,N/A,N/A,Promo/Music Video,Partial,Officially Released,http://music.froste.lol/video/0bbd9911dabd2bff2ee0e101330b5155/play
Die Lit,Love Hurts [V2] [Promo/Music Video],Posted by Carti on his @nineninesixteensixteen account. Contains a lot of more edits and is slightly longer.,N/A,N/A,N/A,Promo/Music Video,Partial,Unofficially Released,https://imgur.gg/f/8NeQGoo
Die Lit,Die Lit Tour [Promo],Old unused promo video for a Die Lit Tour,0:37,"Feb 19, 2021",N/A,Promo,Full,Unofficially Released,https://www.youtube.com/watch?v=FrEZPWdsqXk&t
Die Lit,???,"A video with no audio of Carti cleaning his jewelry surfaced Jan 26, 2025 in Carti Hub. showing that it likely isn't a MV and it's unknown what it could be, potentionally some sort of interview or documentary.",N/A,"Jan 26, 2025",2018,Documentary,Snippet,Unreleased,"https://krakenfiles.com/view/P8O3kv6aiY/file.html
https://imgur.gg/f/AnXeHhW"
Die Lit,"XXL 2017 Freshmen Freestyle
(feat. Kamaiyah, A Boogie Wit Da Hoodie, PnB Rock, Madeintyo, Playboi Carti, Aminé, Kap G, Kyle, Ugly God & XXXTENTACION) (prod. Sonny Digital & Mathaius Young)","The 2017 XXL freshmen freestyle, featuring a verse from Playboi Carti at the start.",3:03,"Jul 12, 2017",N/A,Live Performance,Full,Officially Released,https://www.youtube.com/watch?v=aO12BCNUlLU
Whole Lotta Red [V2],Carti iCloud Leak,Includes random photos & videos from cartis icloud,N/A,"Apr 6, 2026",2018-2020,Other,Partial,Unreleased,https://mega.nz/folder/aBNVxRhL#67E5weTSVwSXHgE60_ElyA
