Era,Name,Notes,Length,Release Date,Shoot Date,Type,Availability,Status,Link(s)
Killing Me Softly,Cry [Music Video],MV for Cry,3:30,"Jul 17, 2011",,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=tIWpD2A155E
Kream,$teeze [Music Video],MV for $teeze,2:56,"Aug 4, 2012",,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=H2dv-nfl15c
Kream,Blue Crystal$ [Music Video],MV for Blue Crystal$,3:40,"Sep 3, 2012",,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=ByNad3rKPu0
Young Mi$fit,🥉 Zombie$ [Music Video],At the end of $oon there is a snippet of Zombie$ music video shown.,N/A,"Jan 24, 2013",N/A,Music Video,Snippet,Unreleased,https://www.youtube.com/watch?v=yDK4VkZLkYY
$ensation,Outchea [Music Video],Reupload of Outchea music video. First released on 9:30pm on Mar 29 2013.,2:59,"Mar 29, 2013",N/A,Music Video,Full,Deleted,https://www.youtube.com/watch?v=SLnrEDv9Zlw
$ensation,H2O [Music Video],Now deleted music video for H2O. Released on 7pm. The only snippet we have as of now is a really short gif and a screenshot. The original youtube link is: https://www.youtube.com/watch?v=340iNyVmW_8,2:33,"May 6, 2013",N/A,Music Video,Snippet,Deleted,"https://www.tumblr.com/yungcarti/49615548215/wartsky-s?source=share
https://music.froste.lol/image/d879f7ef1adc8904ca10333148906370/play"
Awful Records,"UnoTheActivist & Kevin Hussain - I Doubt It [Music Video]
(dir. Visualante)","Music Video for ""I Doubt It"" by UnoTheActivist & Kevin Hussain, Carti appears multiple times throughout the video.",4:57,"Jul 7, 2014",N/A,Music Video,Full,Officially Released,https://youtu.be/tCZeW-DFqjE?si=lGMY0kxfIyIu4kYw
Awful Records,"Fetti [Music Video]
(dir. Bird Medina)","Music Video for ""Fetti"". Uses a different outro.",5:17,"Jul 1, 2015",N/A,Music Video,Full,Deleted,https://www.youtube.com/watch?v=qMZmftuqNhs
Awful Records,"Mercedez [Music Video]
(dir. Alex Russell)","Music Video for ""Mercedez""",1:37,"Feb 2, 2015",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=s1jQY0s2foM
Awful Records,talk [Music Video],"Music Video for ""talk"".",2:18,"Aug 6, 2015",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=VdtxO0lFxnE
Awful Records,"#PRAY #4 #ME [Music Video]
(dir. Thermal Taveras)","Music video for ""#PRAY #4 #ME"".",2:09,"Apr 19, 2016",N/A,Music Video,Full,Officially Released,https://www.youtube.com/watch?v=gUmvl68O8Ic
Awful Records,Broke Boi [Music Video] [V1],"OG Music video for ""Broke Boi"".",N/A,N/A,N/A,Music Video,Full,Unreleased,https://www.youtube.com/watch?v=LBBG5qI9l2Q
Awful Records,Broke Boi [Music Video] [V2],"Music video for ""Broke Boi"". Infamously gets head during the music video.",3:50,"Oct 1, 2015",N/A,Music Video,Full,Officially Released,https://youtu.be/TvJiWz0PJXY
Awful Records,By Myself / No Help [Music Video],"MV for By ""Myself / No Help"", released by Awful Records.",2:29,"Dec 9, 2014",N/A,Music Video,Full,Officially Released,https://youtu.be/xWCzMx4jURI?si=dxSDZ8SIsZagijp5
Awful Records,Chill Freestyle [Music Video],"A music video for Chill Freestyle was recorded but never released. Preview surfaced on September 16, 2018. The video that is linked is just a mashup of what we currently have.",N/A,"Sep 16, 2018",N/A,Music Video,Snippet,Unreleased,"https://www.youtube.com/watch?v=tH0UP2dJkwM 
https://imgur.gg/f/fCjoCkr"
Awful Records,Soul [Music Video],Music Video for soul. Has a snippet of previously unheard song. Previewed in a resurfaced video by presumably Fauni.,N/A,N/A,N/A,Music Video,LQ Snippet,Unreleased,https://mega.nz/folder/xusjiLKZ#9_Szd4KE6oO2ygGDX6GuSw
Awful Records,smash [Music Video],"Music video for ""smash"", released in 2015 and deleted sometime later.",N/A,"Oct 21, 2015",N/A,Music Video,Full,Deleted,https://youtu.be/JA1N0vCIH-U
Awful Records,YUNGXANHOE [Music Video],"Unreleased music video for ""YUNGXANHOE"". Said by leakers to be leaked soon. A screenshot in the snippet shows the music video is 3:34 minutes long.",3:34,"Nov 20, 2025",N/A,Music Video,Partial,Unreleased,"https://www.youtube.com/watch?v=c85DXy3eQM0
https://imgur.gg/f/lwlRLuW"
