Era,Name,"Notes
(Join the Discord to help fix any issues + help with dead links)",Full Length,Leak Date,"File
Date",Quality,Available Length,Link(s)
,Aviation Class,,,,,,,
,Instrumentals,,,,,,,
Aviation Class,"Lil Chay Is A Bitch [Instrumental]
(prod. JCee)","Instrumental for ""Lil Chay Is A Bitch"" previewed by Carti right before recording on it. (Earrape warning)",,"May 28, 2009",,Instrumental,Partial,https://imgur.gg/f/wCSehlT
,"The High Chronical$
(THC: The High Chronicals)",,,,,,,
,Instrumentals,,,,,,,
THC: The High Chronical$,"Carolina Blue Freestyle [Instrumental]
(prod. Cookin Soul)","Instrumental for ""Carolina Blue Freestyle"".",,"Sep 6, 2023",,Instrumental,Yes,https://pillows.su/f/4117853410e10f5abfed58b2be629c1b
THC: The High Chronical$,"Living Reckle$$ [Instrumental]
(prod. Ski Beatz)","Instrumental for ""Living Reckle$$""",,2011,,Instrumental,Yes,https://music.froste.lol/song/3d80020b078918d3f8d890d227b1cb7f
THC: The High Chronical$,??? [instrumental],Instrumental used in a THC song Raahim owns. [1],,N/A,,Instrumental,Yes,https://imgur.gg/f/up6tyhB
,Young Mi$fit,,,,,,,
,Instrumentals,,,,,,,
Young Mi$fit,"36 Villainz [Instrumental]
(prod. Cold Hart)
(36IllVillianz)","Instrumental for ""36 Villainz"".",,"Sep 6, 2023",,Instrumental,Yes,https://pillows.su/f/c48c52331047d309bad4d23252adcb9a
Young Mi$fit,"Blue Crystal$ [Instrumental]
(prod. Tom Voduz)","Instrumental for ""Blue Crystal$"".",,"May 23, 2023",,Instrumental,Yes,https://pillows.su/f/a987ae16bfa2832945439194b7dcdc54
Young Mi$fit,"$teeze [Instrumental]
(prod. TDeeZy)","Instrumental for ""$teeze"".",,"May 23, 2023",,Instrumental,Yes,https://pillows.su/f/0dc0c870fb5dc06d94871be7d0aa37a0
Young Mi$fit,"Van Go [Instrumental]
(prod. Cold Hart)","Instrumental for ""Van Go"".",,"May 23, 2023",,Instrumental,Yes,https://pillows.su/f/e5c7850a37d5f02cc07a52c4585fe5b1
,Samples,,,,,,,
Young Mi$fit,"Paper Cha$e [Sample]
(prod. SonoSoloSoul)","Samples ""The 6th Sense"" by Common.",,N/A,,Sample,Yes,https://open.spotify.com/intl-it/track/4uEgNznLaLZAfkHn36s7cC
,Sen$ation,,,,,,,
,Instrumentals,,,,,,,
Sen$ation,"Dope [Instrumental]
(prod. Jones Beatz)","The original instrumental for Dope was a type beat prod. by Jones Beatz and uploaded Dec 7, 2012. The song was only heard at the end of the H2O song so only a short bit was heard as it was a teaser for the Dope.",,"Dec 7, 2012",,Instrumental,Yes,"https://pillows.su/f/87340eada5294e30f65aab6c10ce0e7a
https://www.youtube.com/watch?app=desktop&v=CzGwRe-EJFA"
Sen$ation,"Faster [Instrumental]
(prod. Naughty Gawd)","Instrumental for ""Faster"".",,2012,,Instrumental,Yes,https://music.froste.lol/song/5bf109fb6eaf58b6afb51519ea6b7d40
Sen$ation,"Outchea [Instrumental]
(prod. Tay Lewis)","Instrumental for ""Outchea"".",,"May 23, 2023",,Instrumental,Yes,https://music.froste.lol/song/21ecfdc178b3227bdce80519dd03298b
Sen$ation,"So Cold [Instrumental]
(prod. J Endo Productions)","Instrumental for ""So Cold"".",,"May 23, 2023",,Instrumental,Yes,https://music.froste.lol/song/359eaac1bb9af849082c5057f533ef34
Sen$ation,"Terror Shit [Instrumental]
(prod. E.beats, 1panicattack & MelroseZee)","Instrumental for ""Terror Shit"".",,"May 23, 2023",,Instrumental,Yes,https://pillows.su/f/ddaa6ee89e0ec4bb6f7a15c7c5f57f87
Sen$ation,"This Cash [Instrumental]
(prod. MelroseZee & DbeatzBitch)","Instrumental for ""This Cash"".",,2024,,Instrumental,Yes,https://pillows.su/f/78f5ee362be2377db405aef981edc82d
Sen$ation,"YUNGXANHOE [Instrumental]
(prod. Sqvxlls)","The original instrumental for YUNGXANHOE was a type beat prod. by Sqvxlls and uploaded Feb 6, 2013. The beat is cut short on Carti's track and therefore the full beat is much longer.",,"Feb 6, 2013",,Instrumental,Yes,https://www.youtube.com/watch?v=Qz1ogaZTBJg
,Samples,,,,,,,
Sen$ation,"For My Set [Sample]
(prod. Indolympus)","Samples ""Come Morning"" by Rocco Ventrella.",,N/A,,Sample,Yes,https://open.spotify.com/intl-it/track/3HiIM4HrK9swDwzQM4ATcW
,Death In Tune,,,,,,,
,Session,,,,,,,
Awful Records,"Forgiato [Vocal Stems]
(prod. Chupi)
(She Onna Block)","Vocal stems for the unreleased song ""Forgiato"" leaked in 2019 alongside the song.",,N/A,,Session,Yes,https://pillows.su/f/f265a2b8acc120a6e466a86c8334c045
Awful Records,"Chill Freestyle [Instrumental]
(prod. MexikoDro & BeatPluggz)","Instrumental for Chill Freestyle, previewed by MexikoDro on his IG live.",,N/A,,Instrumental,Snippet,https://imgur.gg/f/FGrmtaf
,Samples,,,,,,,
Awful Records,"VVS Diamonds [Sample]
(prod. Zach Diamonds)",Sample used in VVS Diamonds,,N/A,,Sample,Yes,https://blumarten.bandcamp.com/album/blu-mar-ten-jungle-jungle-1989-to-1999-samplepack
,Cash Carti The Mixtape,,,,,,,
,Instrumentals,,,,,,,
Cash Carti The Mixtape,"Talk (ICYTWAT Remix) [Instrumental]
(prod. ICYTWAT)","OG Filename: t icytwat
Official instrumental released by ICYTWAT.",,"Sep 12, 2017",,Instrumental,Yes,https://pillows.su/f/2854826af52931a95404b79c101fd0d4
Cash Carti The Mixtape,"Ethereal - Freestyle / 4 The People [Loop]
(feat. Playboi Carti)","OG Filename: 4thepeople 113 
Instrumental loop for Freestyle 4 The People",,"Mar 30, 2025",,Sample,Yes,http://music.froste.lol/song/867a9a3c37999acf7c7864a6473ee2fd/play
,Stems,,,,,,,
Cash Carti The Mixtape,"Nobody [Stems]
(prod. R.I.P. Ali)","Unleaked stems to the released song ""Nobody"".",,N/A,,Studio Stems,No,LINK NEEDED
,Samples,,,,,,,
Cash Carti The Mixtape,"Splur Gang [Sample]
(prod. Ant Spittah)","Samples ""Laurie's Theme"" by John Carpenter.",,N/A,,Sample,Yes,https://pillows.su/f/b2ca801222cff8de5e3eb06e3636482b
,Ca$h Carti Season,,,,,,,
,Instrumentals,,,,,,,
Ca$h Carti Season,"Evil [Instrumental]
(prod. Galli)","OG Filename: Eager (Instrumental) X MINUS CG1
Instrumental for ""Evil""",,N/A,Instrumental,Instrumental,Yes,https://imgur.gg/f/8Ro3eGe
