Era,Name,Notes,BPM,Song Key,Available Length,Quality,Link(s)
CONTACT ZANTHIN IF YOU HAVE ANY WAV's OR OG FILES FOR ANY INSTRUMENTALS,,,,,,,
ALL INSTRUMENTALS ARE THE EXACT ONES AND NOT REPRODS NOR ISOLATIONS,,,,,,,
,"CD Mixtape
(Mona Lisa)","(07/11/2013) (X plans to release the first track off the mixtape)
(11/02/2014) (The first song off of XXX UNMASTERED is released)",,,,"The CD Mixtape is X’s earliest known project, being developed in early 2013 and allegedly being released on X’s Facebook mid 2013, and being uploaded to CD’s. This tape was frequently talked about on X’s Twitter by X and his older friend, J $oul. The tape supposedly featured around 10-12 tracks on it, The tape is boom bap based, featuring X rapping with 90s influence and a hint of Jamaican.",
,Instrumentals,,,,,,
CD MIxtape,"Flock
(prod. TheOriginalBeat, Homi, & Tyler, The Creator)",Odd Future - Oldie,88,E Minor,Full,High Quality,https://drive.google.com/file/d/1kV-xq3_k1KTM885WC1ynRXh4SbyqsdJ9/view?usp=sharing
CD MIxtape,"News
(prod. Mixla)",Mixla - MOBB DEEP UNDERGROUND HIP HOP DARK INSTRUMENTAL,88,D Minor,Full,Lossless,https://drive.google.com/file/d/1YgiSKaqNMLkJBSlufXEOe5miSFlelUVa/view?usp=drive_link
CD MIxtape,"Ruff neck (snippet)
(prod. Wreckx-N-Effect, Aqil Davidson, Markell Riley & Walter ‘Mucho’ Scott)",MC Lyte - Ruffneck [Instrumental],102,D Minor,Full,CD Quality,https://drive.google.com/file/d/1dDI_iyXoqchigWOPi_5xKs49mSS1DmQR/view?usp=drive_link
,"XXX (UNMASTERED)
(XXX *unfinished*)","(11/02/2014) (The first song off of XXX UNMASTERED is released)
(06/03/2014) (The final track for XXX UNMASTERED is released)",,,,"X’s debut mixtape, XXX mainly consisted of his earlier songs from 2013 and 2014 on SoundCloud. “Vice City,” “al.one,” “M011Y,” “DEAD” and “THE END IS NIGH” were supposedly on the project but he ended up putting other songs he made instead. It has since been privated and a lot of songs were lost, but ""Vice City”, X’s oldest public song on his SoundCloud to this day, survived. More than half of the mixtape is leaked. The full version can’t be found anywhere on the Internet.",
,Stems,,,,,,
XXX (UNMASTERED),"DUTTY (Hi-Hat Loop)
(prod. Canis Major)","OG Filename: Cosmics Live Hi-hat Loop 8.wav
Hi-Hat loop used in DUTTY's instrumental.",,N/A,OG File,Lossless,https://drive.google.com/file/d/1x7kSMNzjl1sLOCPzgtemiWZXDoai65Mq/view?usp=drive_link
,Acapellas,,,,,,
XXX (UNMASTERED),"Palm Trees
(feat. Jajfaru, Nyora Spouse) (prod. ???)","Individual acapella's for the track leaked Jan 28th, 2023. However the exact instrumental is lost.",91,B Minor,OG File,Lossless,https://drive.google.com/drive/folders/1nRsPsq_Zul2DriUIWn73G9rvQi9xMo35?usp=drive_link
XXX (UNMASTERED),"Nyora Spouse - $LUMPED WHIP (SNIPPET UNMASTERED)
(feat. NewAge & XXXTENTACION) (prod. Kidrio)","Acapella for the track leaked July 13th, 2019 in a groupbuy",138,C Minor,OG File,Lossless,https://drive.google.com/drive/folders/1aT4oMsqX768DadVuOG8ljHL9k6mxRQch?usp=drive_link
,Instrumentals,,,,,,
XXX (UNMASTERED),"DEAD
(prod. ItsGoodBeats)",ItsGoodBeats - A$AP Ferg x A$AP Rocky x Kendrick Lamar Type Beat Instrumental,,,Full,High Quality,https://drive.google.com/file/d/1PySpqg9IFFco32CkCNd09U0DR2EuWuu6/view?usp=drive_link
