Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"Number of Leaks
Number of LQs
Number of Snippets
Number of Recordings
Number of Unavailable",Age Ain't Nothing But A Number,,,,,,,
Age Ain't Nothing But A Number,Ave Maria,,,,,Snippet,Low Quality,https://fileditchfiles.me/file.php?f=/s21/AyNwWsSFArPeoUiEtLO.mp3
"Number of Leaks: 2
Number of LQs
Number of Snippets
Number of Recordings
Number of Unavailable: 40",One In A Million,,,,,,,
One In A Million,"Death Of A Playa
(feat. Rashad Haughton)","Throaway from the ""One In A Million"" sessions, however was included as a bonus tracks temporarily later on in some of the album's singles CD's.",,,,Full,High Quality,https://fileditchfiles.me/file.php?f=/s21/RTIzGvSQsrcrZQSpRqKC.mp3
One In A Million,"If Your Girl Only Knew [Cutso Remix]
(prod. Missy Elliot, Timbaland)",,,,,Full,High Quality,https://fileditchfiles.me/file.php?f=/s21/EBezWjDSbDmPjCnjqDd.mp3
One In A Million,⭐️ La La La,"Throwaway from the ""One In A Million"" sessions",,,,Full,CDQ,https://fileditchfiles.me/file.php?f=/s21/InUHMGUPjUOIcOoazHtC.mp3
One In A Million,Let Me Down Easy,"Cover of the Isley Brothers track ""Let Me Down Easy""",,,,Full,High Quality,https://fileditchfiles.me/file.php?f=/s21/mkIudTgEAOZJMlClklFj.mp3
One In A Million,"No Day's Go By [V1]
(Prod. Vincent Herbert)",Early version of ''No Day's Go By'' with the sample of Slick Rick's voice in the background.,,,,Full,CDQ,
One In A Million,"No Day's Go By [V2]
(Prod. Vincent Herbert)",“No Days Go By” is a B-side to Aaliyah’s cover of Marvin Gaye’s “Got To Give It Up” released on the Australian and European singles as well as the Japanese version of her One in a Million album.,4:41,,,Full,CDQ,https://fileditchfiles.me/file.php?f=/s21/PcYygPpdazwxVibEPgl.mp3
One In A Million,x40 songs,During a Q+A Timbaland was asked how many tracks were left unreleased from the album to which he said that him and Aaliyah had recorded over 40 tracks which ended up not making the final cut of the album.,,,,Confirmed,Not Available,
One In A Million,"Lil Kim - Queen Bitch 
(feat. Aaliyah) (Prod. Carlos Broady)","In this unreleased version, Aaliyah sings the chorus.",,,,Full,High Quality,https://fileditchfiles.me/file.php?f=/s21/YLMGTAuxpmVLveRScvS.mp3
"Number of Leaks
Number of LQs
Number of Snippets
Number of Recordings
Number of Unavailable",Aaliyah,,,,,,,
Aaliyah,Ask,Throwaway from the Red sessions (Australian session),,,,Confirmed,Not Available,
Aaliyah,Back In Time,Throwaway from the Red Sessions. The song was seen on a tape that was being sold on E-Bay for $500,,,,Confirmed,Not Available,
Aaliyah,"Breakdown
(Prod. Dent)","Throwaway from the Red Sessions. The song was seen on a tape purchased at an auction from one of Blackground Records' former offices, which was bought by a third party.",,,,Confirmed,Not Available,
Aaliyah,Can't Do It Alone,"Throwaway from the Red Sessions. The song was seen on a picture taken of a recording tape from 1999 along with other tracks that were released posthumously in the ""I Care 4 U"" compilation album. This song however never saw an official release. This song was later reworked to another unreleased song called ""Can't Do It On My Own"".",,,,Confirmed,Not Available,
Aaliyah,"C.E.O [V1]
(ref. Static Major) (Prod. Bud'da)",Reference track of C.E.O recorded by 'Static Major' for the Red sessions.,,,,Full,High Quality,https://fileditchfiles.me/file.php?f=/s21/VcrKsrlZneVGuEKpNavy.m4a
Aaliyah,"C.E.O [V2]
(prod. Bud'da)","Throwaway from the Red Sessions (Australian session). The producer ""Bud'da"" shared some insight on the song and confirmed that Aaliyah recorded the hook and bridge, however never got the chance to finish recording the song.",,,,Confirmed,Not Available,
