Era,"Name
(A$AP Rocky Tracker website!)","Notes
(Join the Rocky Hub Discord server!)",Copy Length,Cover Art,Date,Available Length,Quality,Link
,Purple Swag,"(November-December 2010) (Rocky begins to work on his first mixtape)
(~March-April 2011) (The mixtape is deleted, forcing Rocky to start over)",,,,"According to multiple A$AP Bari interviews, Rocky had a whole mixtape before ""LIVE.LOVE.A$AP"" but the engineer Rocky was working with deleted all of the songs and the only songs recovered were ""Purple Swag"", ""Roll One Up"" and ""Demons"". This means this project was deleted inbetween March 7th, 2011, the day the ""Numb"" instrumental was released by Clams Casino, which Rocky would later use to make ""Demons"" and April 14th, 2011, the day ""Purple Swag"" was released as a single and Rocky would not have to recover a released song. In another interview he mentioned ""Get High"" and ""Toast To The Gods"" were on the tracklist. It's unknown what the other songs that would have appeared are but those are lost forever. The cover included for this era is the single cover for the original version of ""Houston Old Head"".",,
Purple Swagg,Purple Swag [Mixtape],"According to multiple A$AP Bari interviews, Rocky had a whole mixtape before ""LIVE.LOVE.A$AP"" but the engineer Rocky was working with deleted all of the songs and the only songs recovered were ""Purple Swag"", ""Roll One Up"" and ""Demons"". In another interview he mentioned ""Get High"" and ""Toast To The Gods"" were on the tracklist. It's unknown what the other songs that would have been but those are lost forever. This mixtape was deleted inbetween March 7th, 2011, the day the ""Numb"" instrumental was released by Clams Casino, which Rocky would later use to make ""Demons"" and prior to April 14th, 2011 as that is when ""Purple Swag"" released as a single and Rocky would not have to recover a released song. It is highly likely this mixtape is titled ""Purple Swagg"", as in the description of the behind the scenes video for Rocky and Seth Narley's track ""Grown Up"", which was uploaded on December 23rd, 2010 it states that the song was meant for a Seth Narley mixtape titled ""FreshManInHighSchool"" and for a apparent Rocky mixtape titled ""Purple Swagg"". When contacting the person who made the video he stated that ""Purple Swagg"" was not a real title, but based on the fact that the song ""Purple Swag"" did not come out until four months later it is possible it was the real title of Rocky's mixtape at the time. It seems like too much a coincidence that the name ""Purple Swagg"" was used in the description if it was not real, meaning it is likely the name of the deleted mixtape.",??:??,???,Dec-Apr 2011,Confirmed,Not Available,N/A
,"Me, Myself & A$AP
(Me, Myself And ASAP)","(~March-April 2011) (The mixtape is deleted, forcing Rocky to start over)
(April 14th, 2011) (The song ""Purple Swag"" is uploaded to A$AP Yams' HarlemzMostHated YouTube channel, with Me, Myself & A$AP being mentioned by Yams on his @realniggatumblr account with the song)
(May 2011) (Mixtape is still titled Me, Myself & A$AP as soon as a few days before the first known Mouth Fulla Gold copy being sent out)
(May 16th, 2011) (A full copy of Mouth Fulla Gold is sent out to select fans by A$AP Yams to receive feedback)",,,,"After the ""Purple Swagg"" mixtape was deleted, Rocky was forced to start over on making his first mixtape. While feeling uninspired A$AP Yams convinced Rocky to let Yams upload the song ""Purple Swag"", which later blew up online giving Rocky new motivation to start over on the tape. Many ideas were circulating on what to do with this new tape, such as selling physical copies exclusively on cassetes, and releasing sometime in the summer of 2011. Eventually this tape would morph into Mouth Fulla Gold in May of 2011, making this era very short lived. The cover for this era is the YouTube thumbnail for the original upload of Purple Swag.",,
"Me, Myself & A$AP","Me, Myself & A$AP [Mixtape]",,??:??,???,Apr 2011,Confirmed,Not Available,N/A
,Mouth Fulla Gold,"(October 3rd, 1988) (Rakim Mayers is born in Harlem)
(July 5th, 2011) (LIVE.LOVE.A$AP is mentioned for the first time by A$AP Yams)",,,,"Following the success of 'Purple Swag"", Rocky began working on a new project titled ""Mouth Fulla Gold"" and had the full mixtape ready on May 16th, 2011. During that month, likely around the time “Wassup” was released, Rocky stopped selling drugs and started take his brothers advice and truly focus on his rapping career. Rocky would continue to work on ""Mouth Fulla Gold"" as it was reworked in June and until around July 5th, 2011 when the ""Purple Swag"" music video was released. On this day A$AP Yams took to his now deleted Tumblr ""realniggatumblr"" and mentioned the name ""LIVE.LOVE.A$AP"" for the first time, which was then due at the end of July 2011.",,
Mouth Fulla Gold,⭐️ Mouth Fulla Gold [Mixtape] [V1],"Full MP3 copy of Rocky's earliest available mixtape titled Mouth Fulla Gold, which was sent out to select fans by A$AP Yams on May 16th, 2011. Most of the songs featured on this mixtape would eventually appear on Rocky's actual debut mixtape titled LIVE.LOVE.A$AP, with only a few songs being left off. Leaked by KILLRITE and Zanthin after a $250 groupbuy.",37:32,,"May 16, 2011",Full,High Quality (192kbps),https://pillows.su/f/7efe919155b20e1d7441d51b7d6a3157
Mouth Fulla Gold,Mouth Fulla Gold [Mixtape] [V2],"Another copy of the mixtape dated June 17th, 2011. This version removes ""Purple Swag"" from the main tracklist, while still featuring it as a bonus track while adding the song ""Wassup"" also as a bonus. Aside from that, the files featured are the same as they were on the May 16th, 2011 copy. Leaked by Inertia on February 28th, 2025.",,,"Jun 17, 2011",Full,High Quality (192kbps),https://krakenfiles.com/view/KVurDAyliw/file.html
,LIVE.LOVE.A$AP,"(July 5th, 2011) (LIVE.LOVE.A$AP is mentioned for the first time by A$AP Yams)
(October 31st, 2011) (LIVE.LOVE.A$AP is released)",,,,"Following the hype and high expectations from the first single's music video, Rocky then released another single later on July 21st, 2011 titled “Peso”, another hit under Rocky’s belt, just before the mixtape was intended to release. From here, the mixtape was then delayed to August for unknown reasons. While this release date also did not go as planned Rocky 'leaked' a song from the mixtape, an early version of ""Trilla"" on September 17th, 2011. The excitement by fans for the upcoming project was through the roof, Drake even saw how big Rocky was getting and invited him to be a part of him and Kendrick Lamar’s Club Paradise tour. In early October Rocky signed a recolutionary two-year $3 million dollar record deal. Finally after all the waiting, on Halloween 2011 the project “LIVE.LOVE.A$AP” was officially released. This mixtape is widely known for its slowed down, Houstan influanced, psychedelic and dream-like sounds which made it stand out from many other hip-hop projects from this time period and it would become a gigantic pioneer for the genre of cloud-rap for many years to come. Much later in 2021 the tenth anniversary of the mixtape released which was missing certain songs such as ""Kissin' Pink"" ""Out Of This World"" and ""Purple Swag: Chapter 2"" along with different versions of the songs ""Leaf"" and ""Acid Drip"", but featured a new song inspired by the original project titled “Sandman” dedicated to the late A$AP Yams who evidently had a ton of influence on the project with production by someone who had plenty of production on the original mixtape, Clams Casino along with a newer collaborator Kelvin Krash.",,
LIVE.LOVE.A$AP,💎 LIVE.LOVE.A$AP,Full official mp3 copy of the original release of LIVE.LOVE.A$AP that released on October 31st 2011. released independently on varous mixtape websites.,53:52,,"Oct 31, 2011",Full,"CD Quality
(320kbps)",https://pillows.su/f/95dc3f0c543d4b2f08b0ac4cb11e6653
LIVE.LOVE.A$AP,LIVE.LOVE.A$AP [Promo CD],"Promo CD of LIVE.LOVE.A$AP made around 2011 after LIVE.LOVE.A$AP released. Features slightly different versions of songs like Kissin' Pink, Leaf and others. The exact date of release is lost if anyone knows contact a Tracker editor.",53:06,,Nov-Dec 2011,Full,"Lossless
(FLAC)",https://mega.nz/folder/igpgQIwZ#zOZ-Ita8spKv5b44E8vPwg
