Era,Name,Notes,Designer,Date,Image,Art Type,Use,Link(s)
,A$AP,,,,,,,
A$AP,"Been Around The World [V1]
(prod. Sunny J Beats)","OG Filename: rockyasap1.jpg
Black and white photo of A$AP Rocky taken by Mikey B Lyke used in the OnSmash.com article by LEGEND about Rocky's then newly released song ""Been Around The World"". The photo comes from a early May 2010 photoshoot, with this same photo being uploaded to Mikey B Lyke's now deleted Tumblr page on May 6th, 2010. Another photo from this photoshoot was used on multiple videos uploaded to A$AP Yams' HarlemzMostHated YouTube channel from May to October 2010.",Mikey B Lyke ,"May 10, 2010",,Other,Used,https://ibb.co/N2fkD07d
,"HarlemzMostHated
(with A$AP Yams)",,,,,,,
Harlemz MostHated,"HarlemzMostHated [YouTube Thumbnails]
(Uptown, Bittersweet Symphony Part 2, Been Around The World (Slow Lane Remix)","Another photo black and white photo of A$AP Rocky taken by Mikey B Lyke in a ~May 2010 photoshoot that was used in multiple thumbnails by A$AP Yams for his HarlemzMostHated YouTube channel where he uploaded some 'unreleased' songs by Rocky as a way to get recognition throughout May to October 2010. This photo was used in the uploads for ""Uptown"" on May 2010, ""Been Around The World (Slow Lane Remix)"" on October 20th, 2010 and ""Bittersweet Symphony"" on October 23rd, 2010. It is possible other songs were uploaded to the channel with this photo but it has been wiped from YouTube and the Wayback Machine.",Mikey B Lyke ,May-October 2010,,Other,Used,https://ibb.co/3mSFDMND
,"Purple Swagg
(Purple Swag)",,,,,,,
Purple Swagg,"Houston Old Head [V1]
(prod. DJ Burn One)","Cover art attached to the file for the original version of ""Houston Old Head"" uploaded to A$AP Yams' then famous and now deleted Tumblr page 'realniggatumblr' on November 1st, 2010. The cover features rather poor graphic design with an otherwise unseen 'A$AP ROCKY' logo with the title in 3D text. The background of the cover is a reference to lean as it shows jolly ranchers and cough syrup, which matches the purple vibe of the art.",N/A,"Nov 1, 2010",,Front Cover,Used,https://ibb.co/mVjbPGdS
Purple Swagg,"Been Around The World [V2/Tumblr Release]
(prod. Sunny J Beats)","Cover attached to the file of the reupload/rerelease of the song ""Been Around The World"" that was uploaded to A$AP Yams' then famous and now deleted Tumblr page 'realniggatumblr' on December 8th, 2010. The cover shows a low-quality still from the ""Nuthin' But A ""G"" Thang' music video by Dr. Dre of a man revealing a woman's nude breasts with the text ""ASAP ROCKY"" and ""BEEN AROUND THE WORLD"".",N/A,"Dec 8, 2010",,Front Cover,Used,
,"Me, Myself & A$AP
(Me, Myself And ASAP)",,,,,,,
"Me, Myself & A$AP","Purple Swag [V1/YouTube Thumbnail]
(prod. A$AP Ty Beats)","Selfie taken by A$AP Rocky in what seems to be the backseat of a vehicle that was used as the YouTube thumbnail for the original release of the song ""Purple Swag"" on A$AP Yams' 'HarlemzMostHated' channel on April 14th, 2011.",A$AP Rocky,"Apr 14, 2011",,Other,Used,https://ibb.co/1ftDTmRM
"Me, Myself & A$AP",Deep Purple,"Cover for the unofficial compilation ""Deep Purple"" before Rocky blew up. Because of this Rocky promoted the compilation and even had it as his FaceBook profile picture in 2011, giving it some form of legitimacy.",PureBakingSoda,"Apr 22, 2011",,Front Cover,Unused,
,Mouth Fulla Gold,,,,,,,
