Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2026,"$14,765",MULTI-ERA,Future Buys,???,$???,???,???,Upcoming,Upcoming,
2026,"$14,765",DON'T BE DUMB [V2],🏆🥇 Re-Up,"🏆🥇 Re-Up
(prod. ???)",$1200,???,???,Upcoming,Upcoming,
2026,"$14,765",DON'T BE DUMB [V3],"🏆🥈 Pop Them Drugs
(Hosted by Sidepiece Hub)","🏆🥈 Playboi Carti - Pop Them Drugs
(feat. A$AP Rocky) (prod. Kelvin Krash & Ojivolta)
(Grim Reaper)",$5750,"Jun 13, 2026","Jun 25, 2026",Normal,Yes,
2026,"$14,765",Pre-TESTING,"🏆🥉 Untitled (Check It Out)
(Hosted by Sidepiece Hub)","🏆🥉 Untitled
(with Playboi Carti) (prod. Young Chop)
(Check It Out, Left That Bihh, Boss Up)",$1650,"Jun 3, 2026","June 5, 2026",Normal,Yes,
2026,"$14,765",Cozy Tapes Vol. 3 [V1],California Dreams,"California Dreams
(with A$AP Nast) (prod. ???)",$550,"May 2, 2026","May 10, 2026",Normal,No,
2026,"$14,765",GRIM,🏆🥈 Pesoflacko,"🏆🥈 Pesoflacko
(feat. Peso Pluma) (prod. ???)
BONUS CONTENT:
Calling Me [V3]
(prod. Take A Daytrip)
Distorted Records [Alt]
(prod. A$AP Rocky, Héctor Delgado, Nez & Rio)
Jim Legxacy - ???
Jim Legxacy - Borrowed Time",$660,"Apr 10, 2026","May 2, 2026",Reworked,Bonus Only,
2026,"$14,765",GRIM,⭐️ Missing Parents,"⭐️ Missing Parents
(feat. slowthai) (prod. ???)
BONUS CONTENT:
💎 American Sabotage [V3]
(feat. Tommy Revenge) (prod. Damon Albarn, Gino Nano, KayCyy & Klahr)",$890,"Mar 14, 2026","Mar 23, 2026",Normal,Yes,
2026,"$14,765",DON'T BE DUMB [V1],⭐️ Untitled (Drummer Boy),"⭐️ Untitled
(feat. James Blake) (prod. ???)
(Drummer Boy)
BONUS CONTENT:
Prince
(prod. Metro Boomin & Southside)
Drumma Boy
(feat. Santigold) (prod. Drumma Boy)",$670,"Feb 28, 2026","Mar 4, 2026",Normal,Yes,
2026,"$14,765",THE GRIM,⭐️ Stars and Snow,"⭐️ James Blake - Stars and Snow
(feat. A$AP Rocky & slowthai) (prod. James Blake)",$505,"Feb 24, 2026","Feb 25, 2026",Normal,Yes,
2026,"$14,765",L.O.R.D.,🏆🥈 Roll Up,"🏆🥈 Roll Up
(with A$AP Rocky, A$AP Nast, A$AP Twelvyy) (feat. Joey Fatts) (prod. ???)
(Lucky Like The Lotto)",$505,"Feb 23, 2026","Feb 24, 2026",Reworked,No,
