Era,Name,Notes,Image,Date Made,Available Length,In Circulation?,Link(s)
,"Before                    Mouth Fulla Gold
(Deep Purple, Purple Swagg)",,,,,,
,Freestyles,,,,,,
A$AP,2008 Freestyle,"An early Rocky freestyle where he is recorded sitting on a bed of some sort. The origins of the freestyle are currently not known, but the timeframe is likely late 2007 to sometime in 2008. This is because Rocky can be seen wearing a limited edition Alife Ball-Out T-Shirt which was released on November 27th, 2007 making 2008 more likely.",,2008,Full,Recording,https://youtu.be/U-AlCDOQIkk?si=zCsO5VY8Bvb8h8an
A$AP,2008 Freestyle,"Freestyle recorded from a webcam in which it's origins are currently unknown, but said to be from 2008. This possibly came from Rocky's cuurrently lost UStream account prior to his fame, but nothing is confirmed. The video linked here is one minute long and partial as the full video is lost as of right now.",,2008,Snippet,Recording,https://youtu.be/lV7ZfEvm5eo?si=gkO6LqBN1uYJAyHp
A$AP,2010 Cypher Freestyle,"On August 28th, 2016 a video was uploaded to YouTube with the title of ""Throwback Footage Of A$AP Rocky In A Cypher Back In 2010! Asap Rocky 2016"". In this video a pre-fame Rocky can be seen at 3:42 in a Harlem New York freestyle Cypher sometime in 2010.",,2010,Full,Recording,https://youtu.be/jIz-ErY148w?si=NY3gEPtPgoFPLBBS
A$AP,"2010 Rap Battle
(with A$AP Ferg)","Video said to have been recorded in 2010 where Rocky and A$AP Ferg, then D-Ferg, freestyle in The Standard Hotel in New York City. Allegedly, Rocky used the lyrics from this rap battle in other freestyles. ",,2010,Full,Recording,https://youtu.be/3jSDlFQaYPY?si=HMjxTheHbqojSt3-
,Music Videos,,,,,,
A$AP,"Get High [Music Video]
(feat. A$AP Ferg) (dir. King Zulu)","Music video for the song ""Get High"" featuring A$AP Ferg which was directed by King Zulu. The video released on November 23rd, 2010.",,"Nov 23, 2010",Full,CD Quality,https://youtu.be/b_nDzu0uMJw?si=Z9JOlWArouNZsdPY
A$AP,"Bittersweet Symphony Part 2 [Music Video]
(dir. Nabil El Hajjouti)","Music video for the song ""Bittersweet Symphony Part 2"" which was made during an interview with Press Pause with the video being directed by Nabil El Hajjouti. The video starts out with a quote from the song, then shows Rocky rapping the lyrics spoken word. This transitions into the actual song, but ends before the song can finish. The video uses clips from the ""Wassup"" music video from Noisey.",,,Full,CD Quality,https://vimeo.com/45869623
,Mouth Fulla Gold,,,,,,
,Music Videos,,,,,,
Mouth Fulla Gold,"Purple Swag
(dir. Jason Ano & A$AP Rocky)","Music video for the song ""Purple Swag"" which was directed by Jason Ano and A$AP Rocky. The video was released on July 5th, 2011. Towards the end of the music video it cuts into a slowed down version of the track ""Peso"", then goes back into the actual song. The video features Anna Trill, a friend of the mob at the time, lip-syncing to the song which Rocky specifically wanted a white girl to do.",,"Jul 5, 2011",Full,CD Quality,https://youtu.be/KuZ2QZKYj7c
,LIVE.LOVE.A$AP,,,,,,
,Freestyles,,,,,,
