Era,Name,"Notes
(Join the Rocky Hub Discord server!)",Length,Cover Art,Release Date,Type,Streaming,Quality,Link(s)
"This tab is under a huge rework, with the goal to be more similar to the unreleased tab with full notes on every song, you can find the partially finished old notes for now, but they will be updated will be added with time. We appreciate your patience.",,,,,,,,,
"0 Project(s)
0 Album Song(s)
0 Mixtape Song(s)
0 Single(s)
0 Loose Song(s)
0 Feature(s)
0 Other",A$AP,"(2006) (A$AP Mob is founded by A$AP Yams, A$AP Bari and A$AP Illz)
(2007) (Rocky joins the A$AP Mob, officially taking on the name A$AP Rocky)
(January-April 2008) (A$AP Bari introduces A$AP Rocky to A$AP Yams at a party)
(~2008) (A$AP Rocky slowly drifts away from MDB, eventually leaving)
(September-December 2008) (six months later Rocky contacts Yams telling him he wants to get serious about music)
(May 10th, 2010) (""Been Around The World"" is released, and featured on the front page of OnSmash.com, giving him a reputation in the Harlem area)
(October 23rd, 2010) (The final 'leak' is posted to the HarlemzMostHated YouTube channel, ""Bittersweet Symphony Part 2"")",,,,"Sometime during 2006, while Rocky was still an active member in 'MDB', another Harlem based group was founded, entitled the 'A$AP Mob'. The collective was founded by A$AP Yams, A$AP Bari and A$AP Illz while together in SoHo as Bari explains, ""I was like, 'Yo, we're always trying to come up with different names and shit. We should just be called PIF Unit.' The shit was like, Paid In Full, something. So one day, Yams was like, 'Fuck that. We're called A$AP'"". The monicker 'A$AP' is an acronym meaning to 'Always $trive And Prosper', a saying Yams had gotten from another forgotten founder of A$AP unfinished WIP. Rocky joined the A$AP Mob in 2007. Rocky met A$AP Yams in 2008. In 2010, Yams would begin to release throwaways on the YouTube channel “HarlemzMostHated"" while acting like he didn't know who Rocky was to try and gain fame, which would be featured on a fan-made mixtape titled “Deep Purple” which was released on April 22nd, 2011 and is commonly confused to be Rocky’s first project. While this compilation isn't official, it began to give Rocky more traction with his music.",,,
A$AP (2010),"💎 Been Around The World [V1]
(prod. Sunny J Beats)","Rocky's original semi-breakout track and first official song known to have been put out by Rocky, rather than A$AP Yams ""unofficially"" uploading the song onto YouTube, titled ""Been Around The World"". The song was released on May 10th, 2010 and was very notably featured on the front page of a popular music website at the time, OnSmash.com with an article by LEGEND. Due to its popularity in the early 2010s, this article and release gained Rocky his first bit of local popularity in the Harlem area, which A$AP Yams posted on Twitter about saying, ""yo my artist Rocky ASAP just made the OnSmash front page"". Shortly after this release of the song, A$AP Yams started to ""unofficially"" release other Rocky songs on his HarlemzMostHated YouTube channel, acting as if he did not know who Rocky was to try and gain hype for him and ""Been Around The World"" was possibly later released on the HarlemzMostHated YouTube channel around this time, but it is not confirmed as of now. The songs producer is currently completely unknown, but by the sound of the producer tag at the begining of the track it has been assumed to be ""Sunny J Beats"", or something very close to that. Sometime in 2010, producer DJ Burn One reposted ""Been Around The World"" on his blog at the time, which is likely how Rocky and Yams got the connection to him to make the songs ""Houston Old Head"" and ""Roll One Up"" in 2010. Later in the year the song was then sent to DJ DP by A$AP Yams on October 15th, 2010 to do an official ""Slow Lane Remix"" of the track, who DJ DP is known for making chopped and screwed tracks with this title. The remix was sent back just five days later and uploaded to the HarlemzMostHated channel ""unofficially"" on October 20th, 2010. On December 8th, 2010 A$AP Yams posted the file for the song on his then famous ""realniggatumblr"" Tumblr account with the name being ""Been Around The World [Main]"", a cover for the song with a screenshot of a naked woman the music video of Dr. Dre's song titled ""Nuthin' But A ""G"" Thang"" along with a description of the song which reads, ""ASAP Rocky-“Been Around The World” (N/A, 2010) I remember snatching this up from DJ Burn One’s blog a while back and completely forgetting about this. Some smooth ass playa shit that’ll have the bitches giving up the grits. Just listen to that pimp ass guitar on the intro. The production on this is reminiscent of some older Timbaland stuff. I’m not usually a fan of these type of tracks untill they get the Chopped & Screwed treatment."" Later on, the song was featured on the notorious fan-made mixtape ""Deep Purple"" created by a French fan of Rocky who goes by the name PuréBakingSoda, who owns a blog of the same name, was released on April 22nd, 2011 on his blog. The file of the song on the compilation was much worse quality than the original release for the song, making the high quality version lost for years. The song's original file high quality file that was sent to DJ DP to make the ""Slow Lane Remix"" was leaked by community member KILLRITE alongside the then completely lost and resurfaced ""Been Around The World (Slow Lane Remix)"" on January 2nd, 2024, and both of those files can be found in the 'Unreleased' tab of the Tracker. The song was later reused as track three of the May 16th, 2011 copy of Rocky's ""Mouth Fulla Gold"" mixtape along with the remix with no differences at all to the song released more than a year prior, along with the remix with no changes as well. The files that were used on that copy of the album were leaked by community members KILLRITE and Zanthin on July 18th, 2024 as a part of the successful $250 groupbuy for a copy of the ""Mouth Fulla Gold"" mixtape. On a copy of ""Mouth Fulla Gold"" from June 17th, 2011, the song and remix appeared on the tracklist with the original song as track two on the mixtape, in which the file leaked with the entire mixtape copy on February 28th, 2025. During the sessions for ""LIVE.LOVE.A$AP"", ""Been Around The World"" was being considered for the tracklist, as there are engineers that had sent the acapella and TV track to Rocky's label for a potential release, with this version of the song reportedly having a much higher quality instrumental compared to all other known versions of the song according to someone who owns this unreleased version.",4:02,,"May 10, 2010",Loose,No,Standard Quality (160kbps),https://imgur.gg/f/A7oevCx
A$AP (2010),"⭐️ Uptown
(feat. Ty Nast (A$AP Nast) & Two Twelve Mel (A$AP Twelvyy)) (prod. ???) (co-prod. Arthur McArthur & Boi-1da)","A track titled ""Uptown"" which was the first song that was released onto A$AP Yams' HarlemzMostHated YouTube channel on May 28th, 2010, just a few weeks after A$AP Rocky's first song was featured on the front page of OnSMASH. The song is an ode to where Rocky is from, Harlem, New York (also known as 'Uptown'). The track has a hard-hitting instrumental by an unknown producer (producer tag: ""Ayo, S you crazy for this one!) featuring a sped up sample of the song ""Uptown"" by Drake, Lil Wayne and Bun B (which samples ""Uptown Girl"" by Billy Joel), primarily using the beat and a small part of Lil Wayne's verse saying ""I'm so uptown, and motherfucker if you ain't, don't go uptown, yeah"". There are two guest features on the song including fellow A$AP Mob members A$AP Nast and A$AP Twelvyy who go both by the alternate names Ty Nast and Two Twelve Mel on this release for unknown reasons, although both were in the Mob at the time. The song was recorded earlier that year on January 22nd, 2010 based on a Tweet by A$AP Nast from that day stating ""in da studio wit ASAP!!! UPTOWN our new track on da way!!!"" signaling he was recording with the other two A$AP members. After the official release of the song it was featured on the fan-made ""Deep Purple"" compilation mixtape by PuréBakingSoda that was released on April 22nd, 2011. The track was reposted by both A$AP Nast and A$AP Twelvyy multiple times throughout 2011, and on September 23rd, 2021 Twelvyy brought the song up in his Discord server challenging members to answer ""what is the first A$AP Mob song and what year was it released?"" and stated ""That’s the first mob song ever"" after revealing the answer and posting a link for the track.",4:09,,"May 28, 2010",Loose,No,Standard Quality (128kbps),https://pillows.su/f/4895f9636449490dcea1e2309702afea
A$AP (2010),"⭐️ Seth Narley - Grown Up [V1]
(feat. A$AP Rocky) (prod. The Olympicks)","The initial release of the song ""Grown Up"" by Bronx artist Seth Narley and A$AP Rocky was included as track fifteenth on Seth's ""FreshMenNHighSkool"" mixtape which was released on July 4th, 2010. The song samples the iconic Rick Ross ""Mayback Music"" tag on th intro which builds up into a luxurious instrumental produced by the Michigan based producer group The Olympicks (who notably also produced Rocky's song ""Out Of This World""). This is the first known official collaboration between Rocky and Seth Narley who grew close around 2009 and 2010 as the two have even been confirmed to have lived together at some point, but it is unknown when this song was actually originally recorded. Months after the tracks release, a behind the scenes video of the song was posted on YouTube by sckrelloRS, a close friend of Seth's, on December 23rd, 2010 in a video titled ""ASAP Rocky Ft Seth Narley  Grown Up BEHIND THE SCENES"". In the description of this video it states ""Off Of Seth Narley's FreshMenNHighSkool Mixtape an ASAP Rocky's Purple Swagg"" insinuating that the song was not only intended for Seth's previously mentioned project, but was also to appear on a mixtape Rocky started working on just a few weeks earlier in December 2010 titled ""Purple Swag"" (aka. Purple Swagg"" (which is believed to be the infamous 'deleted mixtape')) when he first collaborated with A$AP Ty Beats to make the song ""Purple Swag"". Much later on, the track was re-released as the outro, track eleven, on Seth Narley's ""The Sigma Fly EP"" on December 20th, 2011.",3:11,N/A,"Jul 4, 2010",Feature ,No,Standard Quality (160kbps),https://pillows.su/f/229a21ee13ac4bd4e710a8963bd88162
A$AP (2010),"✨ Bittersweet Symphony
(host. Mr. LoOn3 & HitterCXC) (prod. Youth) (co-prod. The Verve)","The original version of the song ""Bittersweet Symphony Part 2"", more simpily titled ""Bittersweet Symphony"", was released on a mixtape by Mr. LoOn3 and HitterCXC titled ""Interstate Mixtape Volume 1"" which is a compilation of songs from artists from all around the United States with track six being ""Bittersweet Symphony"", with the song being listed as ""Rocky ASAPNew York - Bittersweet Symphony"". The tag stating ""interstate mixtapes"" during the the intro of this version of the song comes from this said mixtape, but it is unknown if a version without it exists. It is possible before the mixtape, which was released on a currently unknown release date, this said version without the tag was released. If the song was put out earlier it would have likely released on A$AP Yams' HarlemzMostHated YouTube channel at some point in 2010, but again it is unconfirmed if it does exist. The song itself is a has a direct sampleof the song ""Bitter Sweet Symphony"" by The Verve, which was produced by The Verve and Youth. In the song Rocky talks about the struggles in his life and overcoming them, and during the outro the track interpolates a Christian 18th century children's bedtime prayer known as ""Now I Lay Me Down to Sleep"" with some of the wording changed. After the song was released on ""Interstate Mixtapes Volume 1"" in 2010 a second part of the song was recorded where Rocky would re-record the his lyrics in a more upbeat tone with the same instrumental with the song being titled ""Bittersweet Symphony Part 2"". The second 'part' of the song was released on the HarlemzMostHated YouTube channel on October 23rd, 2010 with a few minor lyric changes and more upbeat tone. Later on, this first version of the song was featured on the notorious fan-made mixtape titled ""Deep Purple"" by a French fan named PureBakingSoda along with many other songs from this era instead of the second part on April 22nd, 2011. It is unknown why PureBakingSoda selected the original version of the song, but on the compilation the song was listed as ""New York Bittersweet Symphony"" likely due to a language barrier with the songs original listing being ""Rocky ASAPNew York - Bittersweet Symphony"", with New York just stating where Rocky is from rather than the title. Because of the mass popularity of this fan-made mixtape the name was thought to be real by many and stuck, but was never truly the title of the song.",2:35,N/A,"Aug 9, 2010",Loose,No,Standard Quality (128kbps),https://pillows.su/f/08275ad2e221828f4440148f57540cd7
A$AP (2010),"💎 Get High
(feat. DEEFERG (A$AP Ferg)) (prod. Danger Mouse)","The song titled ""Get High"" was released on September 3rd, 2010 according to A$AP Ferg on his Tumblr stating ""we just made a song called “GET HIGH” fuckin retarted"". DEEFERG, as he went by then, released the full song on his Tumblr as well on the same day, September 3rd, 2010. The track then had then had a music video recorded and directed by King Zulu on A$AP Ferg's birthday on October 20th, 2010 and then released on November 27th, 2010. The tracks instrumental directly samples ""Would Be Killer"" by Gnarls Barkley and was possibly posted to the HarlemzMostHated YouTube channel at some point, but this is unknown. The song is featured on the notorious fan-made mixtape ""Deep Purple"" along with many other songs from Rocky's early career. In the now deleted April 21st, 2015 episode of Complex’s “Magnum Opus” series about the song ""Purple Swag"" that before the release ""LIVE.LOVE.A$AP"" Rocky wanted him and A$AP Ferg to be in a duo that went by the name of A$AP Red. It was then confirmed that him and Rocky worked on a mixtape under the title of ""Rug Of War 1994"" seemingly worked on under that alias, this song is the only confirmed track on the mixtape.",2:40,N/A,"Sep 3, 2010",Loose,No,Standard Quality (160kbps),https://pillows.su/f/c175201036e81ec583ff42f476831788
A$AP (2010),"⭐️ Chase Fetti - Light Up (Freestyle) [V1]
(feat. A$AP Rocky) (prod. 40 & Tone Mason)
(Light Up Rmx, Sour State Of Mind)","The original release of Chase Fetti's song ""Light It Up (Freestyle)"" which is a remix of Drake and JAY-Z's song ""Light Up"" produced by Tone Mason and 40, was released on September 13th, 2010 with Chase Fetti Tweeting at many random people and celebrities with a copy and paste message reading ""Light Up (freestyle) ft Asap Rocky! http://twiturm.com/22o2t fuck wit me"" and also posting ""Light up (freestyle) Chase fetti ft. Asap Rocky"" on Facebook the same day.",3:02,N/A,"Sep 13, 2010",Feature,No,High Quality (192kbps),https://pillows.su/f/9a224f9b9a2aa08b04f4987f9d6a104a
A$AP (2010),"✨ Been Around The World (Slow Lane Remix)
(c&s. DJ DP) (prod. Sunny J Beats)","An official 'Slow Lane Remix' done by DJ DP to the song ""Been Around The World"" which was originally released on May 10th, 2010. The song was first sent to DJ DP by someone ""on Rocky's team"", who is rumored to be A$AP Yams, on October 15th, 2010 requesting for the song to be remixed along with stating the song would have a cover art with DJ DP's name on it, then the freshly-made remix was sent back to that person on October 20th, 2010 and was uploaded to A$AP Yams' HarlemzMostHated YouTube channel on the same day. The remix was completely lost until it resurfaced by KILLRITE on January 1st, 2024 with the OG file leaking on January 2nd, 2024 along with the OG file for the non-remix version of the song also by KILLRITE. The remix was reused as track eleven intended for the May 16th, 2011 copy of the May 16th, 2011 copy of Rocky's ""Mouth Fulla Gold"" mixtape along with the original song, these were the only 2010 songs on the mixtape. The files that were used on that copy of the album were leaked by KILLRITE and Zanthin on July 18th, 2024 as a part of the successful $250 groupbuy for the ""Mouth Fulla Gold"" mixtape.",5:14,,"Oct 20, 2010",Loose,No,Standard Quality (128kbps),https://pillows.su/f/5c0d197292536a965ace7a6fbf94df78
A$AP (2010),"💎 Bittersweet Symphony Part 2
(prod. Youth) (co-prod. The Verve)","Re-recorded version of the original ""Bittersweet Symphony"" which was posted on the HarlemzMostHated YouTube channel on October 23rd, 2010. Compared to the original, this song features a more upbeat flow and a few minor lyric changes, but features the same instrumental and sample of ""Bitter Sweet Symphony"". The outro is an interpolation of a Christian 18th century children's bedtime prayer known as ""Now I Lay Me Down to Sleep"" with some of the same wording changed from the previous version. After the song was released the original 'part one' of the song was used on the famous fan-made compilation ""Deep Purple"" by PureBakingSoda instead of this version for unknown reasons. Both versions of the song have been known as ""New York Bittersweet Symphony"" due to it being titled that on ""Deep Purple"". This is likely due to a language barrier as the creator is from France. The said miscommunication is from the original upload of ""Bittersweet Symphony"", the version that appeared on ""Deep Purple"", was listed as ""Rocky ASAPNew York - Bittersweet Symphony"", with the New York being an indicator of where Rocky is from, but the ""New York Bittersweet Symphony"" stuck due to the popularity of the compilation, but it was never officailly the title at any point.",2:41,,"Oct 23, 2010",Loose,No,Standard Quality (128kbps),https://pillows.su/f/5739186aa0a32e6c576c2f735f77988e
