Era,"Name
(A$AP Rocky Tracker website!)","Notes
(Join the Rocky Hub Discord server!)",Full Length,"File
Date",Key,BPM [WIP],Available Length,Quality,Link(s)
"0 Project(s)
0 Album Song
0 Mixtape Song
0 Single
0 Loose Song
0 Feature
0 Other",A$AP,,,,,,,,
,Acapella,,,,,,,,
A$AP,"Been Around The World
(prod. Sunny J Beats)","Acapella, Instrumental and TV Tracks for the song ""Been Around The World"" are confirmed to exist as the song would be considered for an official release for the mixtape ""LIVE.LOVE.A$AP"".",4:02,,,135,Confirmed,Not Available,N/A
,Instrumental,,,,,,,,
A$AP,"Been Around The World
(prod. Sunny J Beats)","Acapella, Instrumental and TV Tracks for the song ""Been Around The World"" are confirmed to exist as the song would be considered for an official release for the mixtape ""LIVE.LOVE.A$AP"".",4:02,,,135,Confirmed,Not Available,N/A
A$AP,"Bittersweet Symphony
(prod. Marvin Glover)
(New York Bittersweet Symphony)",Instrumental for Bittersweet Symphony or (New York Bittersweet Symphony) which is just the instrumental for The Verve's song of the same name. Unknown as to when exactly the instrumental appeared online.,6:00,,E Major,85,Full,High Quality,https://pillows.su/f/48d22fc501a83acf30e15de6cfdc64ca
A$AP,"Bittersweet Symphony Part 2
(prod. Marvin Glover)
(New York Bittersweet Symphony)",Instrumental for Bittersweet Symphony Part 2 or (New York Bittersweet Symphony) which is just the instrumental for The Verve's song of the same name. Unknown as to when exactly the instrumental appeared online.,6:00,,E Major,85,Full,High Quality,https://pillows.su/f/48d22fc501a83acf30e15de6cfdc64ca
A$AP,"Get High
(feat. A$AP Ferg) (prod. Danger Mouse)","Instrumental for Get High which is just the instrumental for Gnarls Barkley's song ""Would Be Killer"" which is produced by Danger Mouse who Rocky would later work with officially. posted onto YouTube December 28th 2010. which was a few months before Rocky and Ferg would record ""Get High"".",2:22,"Dec 28, 2010",,142,Full,High Quality,https://pillows.su/f/3e7aa67530ed538783ce39b562248756
A$AP,"Chase Fetti - Light Up (Freestyle)
(feat. A$AP Rocky) (prod. Tone Mason & 40)
(Sour State Of Mind)",Official instrumental for Light Up (Freestyle) by Chase Fetti and A$AP Rocky.,,,,86.55,Full,CD Quality,
,TV Track,,,,,,,,
A$AP,"Been Around The World
(prod. Sunny J Beats)","Acapella, Instrumental and TV Tracks for the song ""Been Around The World"" are confirmed to exist as the song would be considered for an official release for the mixtape ""LIVE.LOVE.A$AP"".",4:02,,,135,Confirmed,Not Available,N/A
,Mouth Fulla Gold,,,,"Following the breakout success of 'Purple Swag"", Rocky began working on a new project titled ""Mouth Fulla Gold"" and had the full mixtape ready on May 16th, 2011. During that month, likely around the time “Wassup” was released, Rocky stopped selling drugs and started take his brothers advice and truly focus on his rapping career. Rocky would continue to work on ""Mouth Fulla Gold"" as it was reworked in June and until around July 5th, 2011 when the ""Purple Swag"" music video was released. On this day A$AP Yams took to his now deleted Tumblr ""realniggatumblr"" and mentioned the name ""LIVE.LOVE.A$AP"" for the first time, which was then due at the end of July 2011.",,,,
,Instrumental,,,,,,,,
Mouth Fulla Gold,"Toast To The Gods
(add. A$AP Bari) (prod. Havoc)","Instrumental for the song Toast To The Gods which is just ""The Future"" by Diddy which is produced by one half of Mobb Deep, Havoc.",4:42,,Ab Major,85,Partial,High Quality,https://pillows.su/f/5adacb700b70499bf05efebb40e2bb28
,LIVE.LOVE.A$AP,"(July 5th, 2011) (LIVE.LOVE.A$AP is mentioned for the first time by A$AP Yams)
(August 2011) (Mixtape was set to release, but is delayed for unknown reasons)
(October 3rd, 2011) (Mixtape was set to release on Rocky's birthday, but is delayed for unknown reasons)
(October 31st, 2011) (LIVE.LOVE.A$AP is released)
(November 29th, 2011) (Rocky announces a deluxe edition of LIVE.LOVE.A$AP)
(December 21st, 2011) (Rocky mentions the deluxe edition for the last time)",,,"Following the hype and high expectations from the first single's music video, Rocky then released another single on July 21st, 2011 titled “Peso”, another hit under Rocky’s belt. From here, the mixtape was then delayed to August for unknown reasons. Rocky later 'leaked' an early version of ""Trilla"" on September 17th, 2011. In early October, Rocky signed a revolutionary two-year $3 million dollar record deal. Finally after all the waiting, on Halloween 2011 the project “LIVE.LOVE.A$AP” was officially released. This mixtape is widely known for its slowed down, Houstan influenced, psychedelic and dream-like sounds which made it stand out from many other hip-hop projects from this time period and it would become a gigantic pioneer for the genre of cloud rap for many years to come. Much later in 2021 the mixtape was re-released on streaming services, missing certain songs such as ""Kissin' Pink"" ""Out Of This World"" and ""Purple Swag: Chapter 2"" along with featuring different versions of the songs ""Leaf"" and ""Acid Drip"", but added a new song titled “Sandman” dedicated to the late A$AP Yams with production by long time collaborator Clams Casino along with a newer producer Kelvin Krash.",,,,
,Instrumental,,,,,,,,
