Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Before HAPPY 2 BE HERE,"(09/26/1991) (Anthony Clemons Jr is born)
(03/??/2019) (Ant Clemons begins work on Happy 2 Be Here)",,,"Anthony Clemons, a struggling artist, is searching for any way to feature on a mixtape or album to make money. In early 2018 Jeremih who was introduced to Ant Clemons by Bongo ByTheWay would be invited by Ye to Wyoming where he was working on his self titled album. During the sessions in Wyoming Jeremih would rework ""All Mine"" to contain Ant Clemons. Ye enjoyed Ant Clemons voice and personally him to Wyoming which would kick start his dying career.",,,
,Never Recorded,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
,Other,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
,Alternate Era Names/Projects,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
Before HAPPY 2 BE HERE,,,,,,,,
