Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
HAPPY 2 BE HERE WITH YOU,"Ty Dolla $ign - Say It [V1]
(prod. Caleb Bryant, Aye YB & Hitmaka)","Original solo Ty version, featuring two entirely different verses, as well as minor differences including Aye YB's producer tag on the intro and slightly different lyrics on the hook. First played by Ty on stream November 24th, 2025. Played by Ty on stream July 13th, 2026.",,"Jan 1, 2025","Jul 13, 2026",Partial,Recording,"https://pillows.su/f/de6b3d59a3dba8d4fe92e58620039191
https://pillows.su/f/c9e94190a5b5f867808335cc8ee589ad"
HAPPY 2 BE HERE WITH YOU,"Ty Dolla $ign - Say It [V2]
(feat. Playboi Carti & Rema) (prod. Caleb Bryant, Aye YB & Hitmaka)","Version with a full verse from Rema. Played by Ty on stream July 13th, 2026.",,,"Jul 13, 2026",Snippet,Recording,https://pillows.su/f/c306fc39305716c927d1f60e21347615
HAPPY 2 BE HERE WITH YOU,"Ty Dolla $ign - Paid [V4]
(ref. Ant Clemons) (feat. Kanye West) (prod. Stryv, Chrishan & Kanye West)
(Get Paid, 3AM)","OG Filename: VERSE W BEAT
Version from Japan likely made shortly after Ye’s initial freestyle. Was said to be a feature, but it’s more likely that this is a reference for Ye’s verse due to Ant’s lyrics and flow. Has alternate takes from Ty heard in the other Japan version, but is the first version with a structure heard in later versions. Snippet leaked June 9th, 2026.",3:31,"Jul 23, 2023","Jun 29, 2026",OG File,CD Quality,https://pillows.su/f/dc526ca189bec5ac5ebd25df99c0d8e8
HAPPY 2 BE HERE WITH YOU,"¥$ - Paid [V8]
(ref. Ant Clemons) (feat. K-Ci) (prod. Stryv, Chrishan & Kanye West)
(Get Paid, 3AM)","Ant Clemons reference track. Original snippet leaked June 9th, 2026.",2:48,,"Jun 29, 2026",Full,CD Quality,https://pillows.su/f/e1609a846afc2f5f73195dca8d46a228
HAPPY 2 BE HERE WITH YOU,"⭐ ¥$ - Amazing [V4]
(ref. Ant Clemons) (prod. Skrillex & Ojivolta)","OG Filename: amazing ( OV) 3
Later version with more Ant Clemons vocals and an open verse for Ye to record over. Snippet leaked June 9th, 2026.",2:54,,"Jun 28, 2026",OG File,CD Quality,https://pillows.su/f/cab3b0bb6063317588325eed702c13d4
HAPPY 2 BE HERE WITH YOU,"¥$ - Bad Bitch Playbook
(ref. Ant Clemons) (prod. Camper)","OG Filename: BAD BITCH PLAYBOOK 10.29.23
Bad Bitch Playbook title track with reference vocals from Ant Clemons. Unknown if a Ye version exists, although seeing as how this is dated after most of the era had already passed and they were in Saudi, it's likely. Interpolates ""Super Freak"" by Rick James. Original snippet leaked June 9th, 2026.",3:48,"Oct 29, 2023","Jun 28, 2026",OG File,High Quality,https://pillows.su/f/a1f4ddf30652dd415eb6d2327f1db942
HAPPY 2 BE HERE WITH YOU,"¥$ - Don't Kill The Party [V9]
(ref. Ant Clemons) (prod. BNYX®, BBYKOBE, Lasik, Matty Spats & 206DEREK)","OG Filename: FaithwalkerXDontkilltheparty - FaithwalkerxAnt - B1
Version with reference vocals from Ant Clemons, cowritten by TrueFaithWalker. Snippet leaked June 9th, 2026.",2:16,,"Jun 28, 2026",OG File,CD Quality,https://pillows.su/f/dcc3c29e47a37470d27a876abb1c3ce4
HAPPY 2 BE HERE WITH YOU,"¥$ - Everything [V2]
(ref. Ant Clemons) (feat. Mamii) (prod. Camper)
(ONCE AGAIN, RAIN ON ME)","OG Filename: EVERYTHING 11.1.23
According to an instagram post by Ant Clemons, he worked on ""PAID"", ""TALKING"", and ""PROBLEMATIC"", more than likely referring to reference tracks for these songs. Has a completely different instrumental compared to later versions and uses Mamii's vocals. First previewed on Ant's Instagram February 7th, 2024. Leaked after a groupbuy.",1:54,"Nov 1, 2023","Jun 28, 2026",OG File,High Quality,https://pillows.su/f/374493b094a423344896590fc6d3a95e
HAPPY 2 BE HERE WITH YOU,"¥$ - Everything [V3]
(feat. Ant Clemons) (prod. Camper)
(ONCE AGAIN, RAIN ON ME)","OG Filename: EVERYTHING 11.2.23 TY_1
Version with a completely different hook. Uses the beat from the Ant Clemons reference and uses his vocals more like a feature than a reference. Has an open verse likely for Ye to record. HQ snippet leaked June 9th, 2026.",2:54,"Nov 2, 2023","Jun 28, 2026",OG File,CD Quality,https://pillows.su/f/bdd2c3f22544645290c1435f0965d9a6
HAPPY 2 BE HERE WITH YOU,"¥$ - LIFESTYLE [V6]
(ref. Ant Clemons) (feat. Lil Wayne) (prod. ¥$, Nico Baran, FNZ, London On Da Track & Wheezy)","OG Filename: Lifestyle_Ant x Ty_150 C_12.19.23
First version with reference vocals from Ant Clemons.",4:54,"Dec 19, 2023","Jun 28, 2026",OG File,CD Quality,https://pillows.su/f/4d36e2604fdc24fa19b972ce942043c8
HAPPY 2 BE HERE WITH YOU,"¥$ - LIFESTYLE [V9]
(ref. Ant Clemons) (feat. Lil Wayne) (prod. ¥$, Nico Baran, FNZ, Triangle Park, London On Da Track & Wheezy)","OG Filename: Lifestyle_Ant x Ty_ Triangle Park_150 C_12.21.23
Second version with reference vocals from Ant Clemons and alternate production from Triangle Park, a production duo consisting of Ali P and ROBOTSCOTT. New production uses the ""SO RE 80 melodic stack cherry vibes Cmaj"" loop from the Splice sound bank. Original snippet leaked June 9th, 2026.",4:54,"Dec 21, 2023","Jun 28, 2026",OG File,High Quality,https://pillows.su/f/22c9323919f5f8b381c3bbbcdf8e5192
HAPPY 2 BE HERE WITH YOU,"¥$ - Promotion [V8]
(ref. Ant Clemons) (feat. Future) (prod. AyoAA, Wheezy, London On Da Track & The Legendary Traxster)
(GORGEOUS)","OG Filename: PROMOTION 12.11.23 ant ref_1
Ant Clemons reference track. Has an alternate take on the ""like we always do at this"" line, taken from Ye's original freestyle. Original snippet leaked June 14th, 2026.",3:31,"Dec 11, 2023","Jun 28, 2026",OG File,CD Quality,https://pillows.su/f/372c42a7ff9a6a7161ae9585228a95cb
HAPPY 2 BE HERE WITH YOU,"¥$ - Beg Forgiveness [V13]
(ref. Ant Clemons) (prod. Kanye West)","First known Ant Clemons reference track for the song. Snippet leaked June 24th, 2026.",,,"Jun 24, 2026",Snippet,High Quality,https://pillows.su/f/4807654144e233fdd6f50c7e006517c5
HAPPY 2 BE HERE WITH YOU,"¥$ - BEG FORGIVENESS [V24]
(ref. Ant Clemons) (feat. Chris Brown) (prod. Kanye West, Anthony Kilhoffer, London on da Track & VITALS)","Second Ant Clemons reference track. Snippet leaked June 24th, 2026.",,,"Jun 24, 2026",Snippet,High Quality,https://pillows.su/f/a0ab74baa28f8b18b8075cb53387a5fd
HAPPY 2 BE HERE WITH YOU,"¥$ - Easy Come Easy Go [V3]
(ref. Ant Clemons) (prod. Ojivolta)
(LOST AND FOUND)","Version with vocals from Ant Clemons. Samples ""Pump Up The Jam"" by Technotronic. Snippet leaked June 9th, 2026.",,,"Jun 9, 2026",Snippet,High Quality,https://pillows.su/f/c14532d8ab71b41460e013350342af95
Before HAPPY 2 BE HERE,"She's Perfect [V1]
(prod. Triangle Park)
(Lovely, She's Lovely)","OG Filename: She's Perfect - Ant.TP & SHE's PERFECT_TP_ANT_ft
Earliest known version. Originally Ant Clemons' song before it was given to Ye.",3:42,,"May 22, 2026",OG File,CD Quality,https://pillows.su/f/c6bcb5db96f9b6396dbc2b9bc9dde279
LOVE.$WEAT.TEAR$,"Ty Dolla $ign - Sum Ain't Right
(feat. Gunna & Ant Clemons) (prod. Southside)","OG Filename: 01 TY - SUM AINT RIGHT Ft GUNNA
Finished song from 2020 with Gunna and Ant Clemons. Producer unknown, but the 808 Mafia tag and overall drum/production style points to the song being produced by Southside. Leaked April 3, 2026.",3:44,,"Apr 3, 2026",OG File,CD Quality,https://pillows.su/f/800cf5c6d0762ee25e22022291a85c8a
HAPPY 2 BE HERE,"Jozzy - Finishline
(prod. Ant Clemons & BONGO ByTheWay)","OG Filename: JOZZY x BONGO x ANT - FINISHLINE
Finished Jozzy song with background vocals from Ant Clemons. Likely made around 2020.",3:24,,"Apr 2, 2026",OG File,CD Quality,https://pillows.su/f/5d4f5fd8a0a321bcd2f2ad4bd6a2f441
HAPPY 2 BE HERE,"Jozzy - Justice
(feat. Ant Clemons) (prod. Ant Clemons & BONGO ByTheWay)
(Robot)","OG Filename: JOZZY JUSTICE  x BONGO x ANT_robot
Finished song by Jozzy with a small amount of background vocals from Ant Clemons. Likely made around 2020 as Jozzy started working with BONGO at that time. Metadata refers to the song as ""robot"".",2:50,,"Apr 2, 2026",OG File,CD Quality,https://pillows.su/f/037ddd9e54d48a311c79aada03b3f2a9
Ongoing,"Ty Dolla $ign - ??? [V3]
(prod. Ty Dolla $ign)
(don't worry bout it)","Song written with Ant Clemons and recorded on stream. Played by Ty on stream March 28, 2026, with added sound effects.",,,"Mar 28, 2026",Partial,Recording,https://pillows.su/f/26d4d11dca08265cb5baecf3ac9eec22
Ongoing,"Ty Dolla $ign - ??? [V3]
(feat. ???) (prod. Ty Dolla $ign)
(only thing)","Song written with Ant Clemons and recorded on stream. Features background vocals from an unidentified female artist on the outro. Played by Ty on stream March 28, 2026, with added sound effects.",3:00,,"Mar 28, 2026",Full,Recording,https://pillows.su/f/6c2b376759b8b1c656c94005807e6664
Ongoing,"Ty Dolla $ign - ??? [V1]
(prod. Ty Dolla $ign)
(only thing)","Original instrumental which Ty and Ant would freestyle over. Played by Ty on stream March 24, 2026.",,,"Mar 24, 2026",Partial,Recording,https://pillows.su/f/6b279725fc7e21a1ca8022c120a2c450
Ongoing,"Ty Dolla $ign - ??? [V2]
(prod. Ty Dolla $ign)
(only thing)","Initial version recorded on stream on March 24, 2026.",,"Mar 24, 2026","Mar 24, 2026",Partial,Recording,"https://pillows.su/f/094ab382e3c4fa98d63ecd2ce6dfae56
https://pillows.su/f/e79f70387c835fcabfc658819c2816cc
https://pillows.su/f/615f2d6749866a7e5ac1a6a05a2b109a
https://pillows.su/f/579d2d81f756d3d182e32b6f611bfb36"
Ongoing,"Ty Dolla $ign - ???
(prod. Ty Dolla $ign)","Instrumental played by Ty on stream March 24, 2026, that he and Ant Clemons would freestyle over.",,,"Mar 24, 2026",Partial,Recording,https://pillows.su/f/2bc6110b19271246ed4c28fbd14150ce
