Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",Before HAPPY 2 BE HERE,,,,,,
Before HAPPY 2 BE HERE,"Franky Hill - 1 Night in AC
(feat. Ant Clemons) (prod. Ant Clemons and JTabb)",Released on Soundcloud very early in Ant's career.,2:03,"Mar 25, 2016",Feature,No,https://soundcloud.com/usingfrank/1-night-in-ac-feat-ant-clemons?si=820d3f7b38034621baf05fa9e99e153f&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Before HAPPY 2 BE HERE,"Tone The Voice - So Anxious
(prod. ???)",One of the first dated songs that Ant has a writing credit on. Kind of debateable whether the Ant Clemons credited is actually him considering how little data there is to go off of.,2:03,"Aug 27, 2016",Other,Yes,https://open.spotify.com/track/7KyA3Fz7hVFHy0AIiJWEKe?si=52bdd6415abe488d
Before HAPPY 2 BE HERE,"Luke James - Drip [V1]
(prod. Sir Dylan)","First major song that Ant Clemons had a writing credit on. Released as a single in 2017. Written by Ryan Toby, Zshakira Gray, Anthony Clemons, Luke Boyd, and Dylan Wiggins. Mixed by Hoate Alexander Jang and Dylan Wiggins. Engineered by Ryan Toby.",3:37,"Aug 18, 2017",Other,Yes,https://open.spotify.com/track/4Qzdf5Dmuk0YO8LC0QCaTY?si=cc944a0cfa994e08
Before HAPPY 2 BE HERE,"King Los - Safe Place (the prelude)
(feat. Ant Clemons & Devin Cruise) (prod. ???)","Released on Soundcloud as a single for King Los's album ""I Am Not A Industry Plant "".",3:37,"Nov 21, 2017",Other,Yes,https://open.spotify.com/track/4Qzdf5Dmuk0YO8LC0QCaTY?si=cc944a0cfa994e08
Before HAPPY 2 BE HERE,"Ye - All Mine
(feat. Ty Dolla $ign & Ant Clemons) (prod. Ye, MIKE DEAN, Francis & the Lights & Scott Carter)
(Medulla Oblongata, Pussy Mine, Pootie Tang)","Track 3 from Ye's 2018 album ye. Written by Ye, MIKE DEAN, Malik Yusef, Terrence Boykin, Kenneth Pershon, Cydel Young, Dexter Mills, Francis Starlite, Jordan Thorpe, Danielle Balbuena, Tyrone Griffin Jr, Jeremy Felton, Uforo Ebong, and Anthony Clemons. Mixed by MIKE DEAN and Jess Jackson. Engineered by MIKE DEAN, Mike Malchicoff, Zack Djurich, and Sean Solymar. Was originally a solo Ant song titled ""Pootie Tang"" before being taken by Ye.",2:25,"Jun 1, 2018",Feature,Yes,https://open.spotify.com/track/3U21A07gAloCc4P7J8rxcn?si=753a328f466f46a2
Before HAPPY 2 BE HERE,"BizkitBNB - Sunset Venice
(feat. Ant Clemons & Dax) (prod. BizkitBNB & Keith Justice)","Track 3 on BizkitBNB's album ""Jawn"". Unknown who wrote and engineered it as it's not listed anywhere.",3:57,"Jun 19, 2018",Feature,Yes,https://open.spotify.com/track/1C1NXZraboXMO9pNCMiznp?si=7cd22316f48e4286
Before HAPPY 2 BE HERE,"Luke James - Drip [V2]
(prod. Sir Dylan) (feat. A$AP Ferg)",Second version of the song with a new A$AP Ferg feature.,3:44,"Nov 10, 2017",Other,Yes,https://open.spotify.com/track/6gn1duUUcXWUZZMIZ4Op4M?si=935f3353429a4439
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",HAPPY 2 BE HERE,,,,,,
HAPPY 2 BE HERE,"4 Letter Word
(feat. Timbaland) (prod. Angel Lopez, Federico Vindver, Timbaland & The Roommates)","First proper single ever released by Ant Clemons, would letter be track 2 for his debut album ""HAPPY 2 BE HERE"". Written by Anthony Clemons.",1:53,"Oct 1, 2019",Single,Yes,https://open.spotify.com/track/6Q9u2w14ntxGWnK35Vq6il?si=960752fe70cb4652
HAPPY 2 BE HERE,"Jim-E Stack - Good Enough
(feat. Ant Clemons) (prod. Jim-E Stack)","Single released by Jim-E Stack that would later be track 7 on his album ""EPHEMERA"".",2:21,"Oct 16, 2019",Feature,Yes,
HAPPY 2 BE HERE,"G-Eazy - Full Time Cappers
(feat. Ant Clemons, French Montana & Moneybagg Yo) (prod. 1stClass & jetsonmade)","3rd track on Scary Nights EP by G-Eazy. Features Ant Clemons, French Montana, and Money Bagg Yo.Written by Anthony Clemons Jr, DeMario White, Gerald Gillum, Karim Kharbouch, Khaleel Kenyatta Griffin, Raynford Humphrey, and Tahj Morgan. Engineered by Alessandro Di Camillo, Dakaria, DJ Riggins, Jacob Richards, Jaycen Joshua, Jonny Breakwell, and Mike Seaberg.",3:52,"Oct 18, 2019",Feature,Yes,https://open.spotify.com/track/30HWAg6jpqDlRrHLt5TQs6?si=fr8UN9_JTaeSaHREQnTFWA
HAPPY 2 BE HERE,"Quentin Miller - Reign
(feat. Ant Clemons) (prod. NickxMiles)
(Let It Reign)","Originally released by Quentin as a single in 2019, before being taken down. Was put back up by Quentin himself on his YouTube channel in 2022.",2:33,"Oct 23, 2019",Feature,No,https://www.youtube.com/watch?v=nA2QR_kH8oM
HAPPY 2 BE HERE,"Excited
(feat. Ty Dolla $ign) (prod. House of Vibe)",Track 3,,"Dec 4, 2019",Single,Yes,
HAPPY 2 BE HERE,"Beep
(prod. Some Randoms)",Track 6,,"Jan 15, 2020",Single,Yes,
HAPPY 2 BE HERE,"Consequence - Thanks Ye
(feat. Ant Clemons, KayCyy & BONGO ByTheWay) (prod. BONGO ByTheWay, Consequence, Arden Altino & Zack Djurich)","Single released by Consequence where he praises his frequent collaborator, Ye. Also had a remix contest held for it. Mixed by Rich Keller. Engineered by Tom MacLean. Mastered by Mike Tucci. Taken off streaming pretty quickly after it's release. The song linked is an unoficial bounce made from stems due to the real one being lost.",,"Feb 6, 2020",Feature,No,https://pillows.su/f/b44300227f7a6e0d30ba1d8cb68186a5
HAPPY 2 BE HERE,"Mama I Made It
(prod. Johan Lenox & Loshendrix)",Track 1,,"Feb 28, 2020",Album Track,Yes,
HAPPY 2 BE HERE,"Aladdin
(feat. Pharell Williams) (prod. Stereotypes)",Track 4,,"Feb 28, 2020",Album Track,Yes,
HAPPY 2 BE HERE,"Good 4 U
(prod. Jack Rochon & Uforo Ebong)",Track 5,,"Feb 28, 2020",Album Track,Yes,
HAPPY 2 BE HERE,"Best Friend
(prod. Triangle Park)",Track7,,"Feb 28, 2020",Album Track,Yes,
HAPPY 2 BE HERE,"Pinky Promise
(prod. Capi & Needlz)",Track 8,,"Feb 28, 2020",Album Track,Yes,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",LOVE.$WEAT.TEAR$,,,,,,
LOVE.$WEAT.TEAR$,"Noah Cyprus - Wonder Years
(feat. Ant Clemons)",Track 7 on THE END OF EVERYTHING,,"May 15, 2020",Feature,Yes,
LOVE.$WEAT.TEAR$,6LACK - Float,,,"Jun 26, 2020",Other,Yes,
LOVE.$WEAT.TEAR$,6LACK - Outside,,,"Jun 26, 2020",Other,Yes,
LOVE.$WEAT.TEAR$,"Freak
(prod. BoogzDaBeast & Charlie Heat)
(Freak Freak, Free)","Song that was originally a Ye reference track from Yandhi but was later released by Ant as a single. Despite this, Ye has no credits on the song. Written by Ant Clemons, Angel Lopez, Federico Vindver, Jordan Mosley, Justin Mosley & Timbaland.",,"Jul 30, 2020",Single,Yes,
LOVE.$WEAT.TEAR$,"Sullen Sunday
(feat. Ty Dolla $ign & Nia Miranda) (prod. Skrillex & Virtual Riot)
(Change)",Track 2 on REPRISE: A Roc Nation Album.,,"Oct 9, 2020",Album Track,Yes,
LOVE.$WEAT.TEAR$,"Better Days
(feat. Justin Timberlake)",,,"Dec 3, 2020",Single,Yes,
LOVE.$WEAT.TEAR$,"Better Days (Live)
(feat. Justin Timberlake)",,,"Jan 21, 2021",Single,Yes,
LOVE.$WEAT.TEAR$,Story Of My Life,,,"Mar 19, 2021",Single,Yes,
LOVE.$WEAT.TEAR$,"Section
(feat. Kehlani)",,,"Jul 7, 2021",Single,Yes,
LOVE.$WEAT.TEAR$,"Appreciation
(feat. 2 Chainz & Ty Dolla $ign)",,3:23,"Aug 4, 2021",Single,Yes,
LOVE.$WEAT.TEAR$,"G-Eazy - Scars
(feat. Ant Clemons)",Track 27 on These Things Happen Too (Deluxe),,"Sep 24, 2021",Feature,Yes,
LOVE.$WEAT.TEAR$,"Wale - Extra Special
(feat. Ant Clemons)",Track 13 on Folarin II,,"Oct 22, 2021",Feature,Yes,
LOVE.$WEAT.TEAR$,Ed Sheeran - Visiting Hours,,,"Oct 25, 2021",Other,Yes,
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",4Play,,,,,,
4Play,"Sticks & Stones
(prod. Brian Kennedy & James Fauntleroy)",Track 1 on 4Play.,,"Jan 14, 2022",Album Track,Yes,"https://open.spotify.com/track/2mg9EKBPlCPPvsYuUWIhVA?si=6e2809418f324aa5
https://music.apple.com/us/song/sticks-stones/1599822146"
4Play,"Head Over Heels
(prod. Rex Kudo, MyGuyMars, Carlton McDowell & Larrance Dopson)",Track 2 on 4Play.,,"Jan 14, 2022",Album Track,Yes,"https://open.spotify.com/track/2YMWqGQ2dOmatDebpwThq2?si=d84a1fe172cf4b9c
https://music.apple.com/us/song/head-over-heels/1599822226"
4Play,"In Between
(prod. Eric Hudson, Ezzra & Phillip Lewis)",Track 3 on 4Play.,,"Jan 14, 2022",Album Track,Yes,"https://open.spotify.com/track/1LdDAXK9A2O5kWwF1Yqhqh?si=26ae7ca26d894987
https://music.apple.com/us/song/in-between/1599822231"
4Play,"Come With Me
(prod. Eric Hudson, Ezzra & Phillip Lewis)",Track 4 on 4Play.,,"Jan 14, 2022",Album Track,Yes,"https://open.spotify.com/track/7xDWUhy7YerkQMFUGwwaOr?si=80e1f2ee893e4224
https://music.apple.com/us/song/come-with-me/1599822240"
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",4PIECE,,,,,,
4PIECE,"Make U Retire
(prod. ???)",Track 1 on 4PIECE.,1:56,"Apr 13, 2025",Album Track,No,https://youtu.be/EcYj711oz5E
4PIECE,"What We Not Fina Do
(prod. Metro Boomin)","Track 2 on 4PIECE. Was originally a track on Ty's 2021 album ""Featuring Ty Dolla $ign"" under the name ""Matters"".",2:54,"Apr 13, 2025",Album Track,No,https://youtu.be/pyNZEyXrVrs
4PIECE,"Father’s Day
(prod. ???)",Track 3 on 4PIECE.,2:37,"Apr 13, 2025",Album Track,No,https://youtu.be/Hcc9tK30RbU
4PIECE,"Could’ve Been Fucking Years Ago
(prod. ???)",Track 4 on 4PIECE.,2:29,"Apr 13, 2025",Album Track,No,https://youtu.be/ZzD4CXC8pqo
"0 OG File(s)
0 Full
0 Tagged
0 Partial
0 Snippet(s)
0 Stem Bounce(s)
0 Unavailable",HAPPY 2 BE HERE WITH YOU,,,,,,
HAPPY 2 BE HERE WITH YOU,"Latto - Sunshine
(feat. Lil Wayne, Childish Gambino, Ant Clemons, Jasmine Morrow, Vanessa Wood, Ashley Clemons, Shameka McDonald, Julian Tabb, Scott Carter, Solomon Fulton, Darien Champagne & Jonathan Caulkins) (prod. BONGO ByTheWay, Luke S. Crowder, Ant Clemons, MIKE DEAN, Phillip Cornish, Ralston Albert & Cordarius Bradley)","Track 5 on Latto's album ""777"". Written by Anthony Clemons Jr., Alyssa Stephens, BONGO ByTheWay, Dwayne Carter Jr., Donald Glover, Luke S. Crowder, Philip Cornish, Sage Skolfield & Sean Solymar. Mixed by Sage Skolfield & Sean Solymar. Engineered by Joey Galvan, Manny Galvez, Kevin Luu & Dylan Del Olmo. Mastered by Sage Skolfield & Sean Solymar. Features keyboards from Phillip Cornish, trumpet from Ralston Albert, & trombone from Cordarius Bradley. Features choir vocals from Ant Clemons, Jasmine Morrow, Vanessa Wood, Ashley Clemons, Shameka McDonald, Julian Tabb, Scott Carter, Solomon Fulton, Darien Champagne & Jonathan Caulkins.",,"Mar 25, 2022",Other,Yes,https://open.spotify.com/track/3Lf16tRdqj4H7MBtCSztDS?si=aa72ce5e0ab3495a
HAPPY 2 BE HERE WITH YOU,"Takis - Wait For Me - RYVN Remix
(feat. Ant Clemons & Goody Grace) (prod. Takis, Goody Grace, Milan D'Agostini, Nick Henriques & RYVN)",,,"Apr 22, 2022",Feature,Yes,
HAPPY 2 BE HERE WITH YOU,"Takis - Wait For Me - Nalestar Remix
(feat. Ant Clemons & Goody Grace) (prod. Takis, Goody Grace, Milan D'Agostini, Nalestar & Nick Henriques)",,,"Apr 22, 2022",Feature,Yes,
