Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Before HAPPY 2 BE HERE,Imaginary Love Story,"According to waterfalls it was a 9 track album from 2017-2018. Nothing else is known

#?. Missing You
#?-9. ???",,,Blocked,Leaked,
HAPPY 2 BE HERE,HAPPY 2 BE HERE,"Tracklist for release.

1. Mama I Made It
2. 4 Letter Word
3. Excited
4. Aladdin
5. Beep
6. Good 4 U
7. Best Friend
8. Pinky Promise",,"Feb 28, 2020",Clear,Ant,
LOVE.$WEAT.TEAR$,LOVE.$WEAT.TEAR$,"Partial tracklist only known by leaked files. May not be 100% accurate.

1. ???
2. After All
3-7. ???
8. Head To Toe
9. ???
10. Amazing",,Dec 2020,Partial,Leaked,
LOVE.$WEAT.TEAR$,LOVE.$WEAT.TEAR$,"Ant Clemons confirmed in an interview that Better Days was originally on the album and then meant for Justin Timberlakes album.

#?-?. ???
#?. Better Days
#?-?. ???",,2021,Blocked,Ant,
LOVE.$WEAT.TEAR$,HAPPY 2 BE HERE (Anniversary Edition),"Tracklist for release.

1. June 1st 
2. Mama I Made It
3. 4 Letter Word
4. Excited
5. Aladdin
6. Beep
7. Good 4 U
8. Best Friend
9. Pinky Promise",,"Feb 26, 2021",Clear,Ant,
4Play,4Play,"Tracklist for release.

1. Sticks & Stones
2. Head Over Heels
3. In Between
4. Come With Me",,"Jan 14, 2022",Clear,Ant,
4PIECE,Ty Dolla $ign & Ant Clemons,"Tracklist for the exclusive release on Youtube.

1. Make U Retire
2. What We Fina Do
3. Father's Day
4. Could've Been Fucking Years Ago",,"Apr 13, 2025",Clear,Ant,
HAPPY 2 BE HERE WITH YOU,HAPPY 2 BE HERE WITH YOU,"Ant posted on Twitter how his album had no features. Unknown what songs were considered.

#?-?. ???",,May 2023,Blocked,Ant,
HAPPY 2 BE HERE WITH YOU,HAPPY 2 BE HERE WITH YOU,"Alt tracklist found in the metadata of a leaked album copy.

1. COULDN'T BE ME
2. MEMORIES
3. MORE THAN A FRIEND
4. OBSESSED
5. ON MY MIND
6. PETIT (PETITE)
7. SINGING IN THE RAIN
8. SOFA
9. YOU AND YOUR BODY",,Sep 2025,Clear,Leaked,
HAPPY 2 BE HERE WITH YOU,HAPPY 2 BE HERE WITH YOU,"Tracklist made before release with alt mixes.

1. ON MY MIND
2. PETITE
3. YOU AND YOUR BODY
4. OBSESSED
5. SOFA
6. SINGING IN THE RAIN
7. COULDN'T BE ME
8. MORE THAN A FRIEND
9. MEMORIES",,Sep 2025,Clear,Leaked,
HAPPY 2 BE HERE WITH YOU,HAPPY 2 BE HERE WITH YOU,"Tracklist for release.

1. ON MY MIND
2. PETITE
3. YOU AND YOUR BODY
4. OBSESSED
5. SOFA
6. SINGING IN THE RAIN
7. COULDN'T BE ME
8. MORE THAN A FRIEND
9. MEMORIES",,"Sep 26, 2025",Clear,Ant,
4Play II,4Play II,"Tracklist for release.

1. Uh Uh Uh
2. Coming Soon
3. Come Over
4. Head To Toe",,"Jan 16, 2026",Clear,Ant,
