Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Hear This Music Era,"Spiff TV - Thinkin [V2]
(feat. Anuel AA, Bad Bunny & Future) (prod. The Runners)","OG Filename: Future Bad Bunny Anuel_Thinking mix_(mastered)
OG File for Thinkin.",4:08,2018,"Mar 9, 2026",OG File,CD Quality,https://pillows.su/f/26b7c6c3d290c83ca4d45113ba203420
YHLQMDLG,"Ignorantes [V1]
(prod. Soteldo)",Original version of Ignorantes that Bad showed Sech when he came to record with him on Miami. No differences are known other than the song obviously not having Sech yet.,,,"Dec 8, 2025",Confirmed,Not Available,https://youtu.be/QlEcRGetc3c?si=uk-6aLruroEQi-Ij&t=2043
Un Verano Sin Ti,"Sech - 911 (Remix) [V1]
(prod. CRBRO & Dímelo Flow)",Open verse for 911 Remix that Sech sent to Bad for him to record over. It's unknown if Bad did anything on it.,,,"Dec 8, 2025",Confirmed,Not Available,https://youtu.be/QlEcRGetc3c?si=Kf6VnTP1bDGJSdBs&t=1979
Un Verano Sin Ti,"Sech - 911 (Remix) [V3/4]
(feat. JHAYCO & KAROL G) (prod. CRBRO & Dímelo Flow)","Sech mentioned on an interview that 911 (Remix) had both KAROL G and JHAYCO, but they had to take Karol out of it due to label issues.",,,"Dec 8, 2025",Confirmed,Not Available,https://youtu.be/QlEcRGetc3c?si=q5cUNRVqgJ2vju6w&t=1942
Hear This Music Era,"Amorfoda (Remix)
(feat. Luis Fonsi) (prod. Bad Bunny, Fino Como El Haze & Mambo Kingz)
(Amor Jodido)",DJ Luian mentioned on a Kick stream that an Amorfoda Remix with Luis Fonsi out of all people existed while talking about unreleased songs.,,,"Nov 15, 2025",Confirmed,Not Available,https://www.instagram.com/p/DRCQw9MEYfs/?img_index=2
Un Verano Sin Ti,"Residente - Ron En El Piso [V1]
(prod. Vinylz)","Original version of Ron En El Piso made after Residente's cousin Julian passed away, differences with released are unknown.",,,"Nov 20, 2024",Confirmed,Not Available,https://youtu.be/zHR_ZRICug8?si=81JD-8hCbMi2-r4w&t=1878
Un Verano Sin Ti,"Residente - Ron En El Piso [V2]
(feat. Bad Bunny) (prod. Vinylz)",Residente said on an interview with Chente Ydrach that he showed Ron En El Piso to Bad with the intention of him recording on it. We don't know for sure if Bad recorded anything on it.,,,"Nov 20, 2024",Confirmed,Not Available,https://youtu.be/zHR_ZRICug8?si=XzmFrBU8Og8qZrrk&t=1959
EL ÚLTIMO TOUR DEL MUNDO,"Anuel AA - BENDICIONES [V1]
(prod. Tainy, Gaby Music & Chris Jedi)",Solo Anuel AA version of BENDICIONES. Most likely meant as a ref for his part in the final song.,3:09,,"Oct 29, 2024",Full,CD Quality,https://pillows.su/f/3c926b278f3ad1e04fa17365df9c9ec2
Hear This Music Era,"Spiff TV - So Drunk [V2]
(feat. Bad Bunny, Tory Lanez & Rick Ross) (prod. Spiff TV, DJ Luian & Mambo Kingz)
(DRUNK)","OG Filename: Bad Bunny Tory Lanez Rick Ross - So Drunk New Reff
Throwaway from Spiff TV's scrapped album The Union. Features Bad Bunny, Tory Lanez & Rick Ross. Dated 2017.",3:20,,"Aug 8, 2024",OG File,CD Quality,https://pillows.su/f/e26a7fbb03598159e12f4052db1bc3db
Un Verano Sin Ti,"✨ Spiff TV - Drunk [V7]
(feat. Bad Bunny, Kodak Black, Tory Lanez & Ty Dolla $ign) (prod. Spiff TV, DJ Luian & Mambo Kingz)
(So Drunk)","OG Filename: Drunk V1.3
Version of the song with vocals from Ty Dolla $ign, Bad Bunny, and Kodak Black, alongside an entirely different beat to oher vesions. Has Kodak's verse offgrid and Tory Lanez backing vocals. Likely still Spiff TV's song at this point, as Bad Bunny's ""Dimelo Spiff, The Union"" intro adlibs are still there. According to the metadata this is from 2021, though it is said to have been used during ¥$ sessions (check Fakes).",3:15,,"Aug 8, 2024",OG File,CD Quality,https://pillows.su/f/431297a1db627c0a6cd08f0f402f8d08
X 100PRE,"⭐ No Prometo Nada [V1]
(prod. Tainy)","Throwaway from the X 100PRE sessions. Was one of the songs Bad Bunny played on an IG Livestream. Bad said it was on a X 100PRE tracklist with 3 scrapped songs (No Prometo Nada, Tu Me Gustas, ???). Was later given to Tommy Torres for his album La Playlist De Anoche. Leaked by [REDACTED] on leakedcx on June 7, 2024.",3:01,,"Jun 7, 2024",Full,CD Quality,https://pillows.su/f/98f71b023fcbc56a5df6e8af8be68d2a
OASIS,"⭐ Spiff TV - So Drunk [V3]
(feat. Tory Lanez, Bad Bunny & J Balvin) (prod. Spiff TV, DJ Luian & Mambo Kingz)
(DRUNK)","Seemingly finished version of So Drunk. Cuts Rick Ross's verse and replaces him with J Balvin. Leaked by Scorpion on December 25th, 2023.",3:49,,"Dec 25, 2023",Full,CD Quality,https://pillows.su/f/375df886c724deb8bec7645804e2c587
nadie sabe lo que va a pasar mañana,"Bryant Myers - Gracias X Nada [V1]
(prod. Chris Jedi)
(GRACIAS POR NADA)","GRACIAS POR NADA was originally a Bryant Myers's song, was given to Bad for nadie sabe lo que va a pasar mañana after it leaked on March 7th, 2023.",2:42,,"Mar 7, 2023",Full,High Quality,https://pillows.su/f/aa830a8049325bf46dfe5966a17a190c
Un Verano Sin Ti,"✨ Gorillaz - Tormenta [V1]
(feat. Bad Bunny)","Damon Albarn confirmed on September 17th, 2021 that Gorillaz recorded a song with Bad Bunny in Jamaica. Most likely referring to Tormenta. Has different structuring and instrumentation. Leaked February 20, 2023.",2:54,,"Feb 20, 2023",Full,Low Quality,https://pillows.su/f/37b607b9925a3f9a75a02da96267830c
Un Verano Sin Ti,"???
(prod. Santana The Golden Boy)
(Este Piquete, Piquete)",Snippet posted by Santana The Golden Boy on Instagram.,,,"Jul 9, 2021",Snippet,Recording,https://pillows.su/f/f71e91e2021f85a713e583c37c60056b
Hear This Music Era,"Hace Tiempo*
(feat. Darell)",Previewed on Darell's Instagram story on 2017. Barely anything is known about this song. Rumored to be from Hear This Music era.,,,"Jun 25, 2021",Snippet,Recording,https://pillows.su/f/f3ba55601ab18a7aa1b00ddd496c2f88
EL ÚLTIMO TOUR DEL MUNDO,"⭐ ROSALÍA - Tagliatelle Santeria [V2]
(feat. Bad Bunny) (prod. El Guincho)
(Santería)",Later version with a revamped electronic-dance beat and a Bad verse. Likely same session as LA NOCHE DE ANOCHE.,2:23,,"May 26, 2021",Full,CD Quality,https://pillows.su/f/c311291e03b98ba6743c48148ecf6b91
X 100PRE,"MÍA [V2]
(prod. DJ Luian, Mambo Kingz & Alex Killer)",Alt version of MÍA used for the ESPN Genesis Halftime Show. Has a slightly different beat and vocal take from released. No Drake vocals.,1:30,,"Nov 28, 2018",Full,High Quality,https://pillows.su/f/159c445de4ef0549798a0bce74947d7b
Hear This Music Era,"🥇 Nicky Jam - El Ganador (Remix) [V2]
(feat. Arcángel, Bad Bunny & J Balvin) (prod. Young Crunk, J. Cortes and Saga WhiteBlack)","Later version of the remix featuring Arcángel and J Balvin. Snippets shared by Nicky Jam in December 5th, 2017. Had a music video recorded according to Árcangel. Didn't release due to Nicky Jam not wanting to release a remix to a 9 month old song. Arcángel's verse was partially reused for the song 'Swaggy' by Alex Rose.",,,"Dec 5, 2017",Partial,Recording,"https://pillows.su/f/e30e2322752b65709858be322c822747
https://pillows.su/f/c85a2112a8b59192560768014d52fc07
https://pillows.su/f/501ab961045c41ce462419c80287be19"
