Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"0 Album Tracks
0 Loosies
0 Features
23 Singles
0 Remixes
0 Productions
0 Other","Before Hear This Music
(The Lost Tapes)","(03/10/1994) (Benito Antonio Martínez Ocasio is born on Vega Baja, Puerto Rico)
(08/??/2016) (DJ Luian discovers Bad through Diles and signs him to Hear This Music)",,,Other,,
Before Hear This Music,"✨ Guerreando Con Lebron
(prod. Bad Bunny)",Bad Bunny's first known song from SoundCloud. Was lost for a long ass time before being found in lq. Released sometime in 2013. Written and produced by Bad Bunny.,4:27,2013,Single,No,https://pillows.su/f/09fa2d624b9da175bb3a099051270b39
Before Hear This Music,"Get
(prod. Bad Bunny)",Released 2013. Written and produced by Bad Bunny.,4:27,2013,Single,No,https://pillows.su/f/09fa2d624b9da175bb3a099051270b39
Before Hear This Music,"Another (Freestyle)
(prod. Bad Bunny)",Released 2013 on SoundCloud. Written by Bad Bunny. Produced by Bad Bunny.,3:01,2013,Single,No,https://pillows.su/f/c895c4704e60718a43009855cdd2c7be
Before Hear This Music,"Estamos Cabron
(feat. Robby) (prod. La Paciencia)",Released 2014 on SoundCloud. Written by Bad Bunny & Robby. Produced by La Paciencia.,3:40,2014,Single,No,https://pillows.su/f/0409e74de4cc17bf10849ed4d235171d
Before Hear This Music,"Hot Nigga (Freestyle)
(prod. Jahlil Beats & Bad Bunny)","Remix of ""Hot Nigga"" by Bobby Shmurda. Written by Bad Bunny. Produced by Jahlil Beats & Bad Bunny.",3:00,2014,Single,No,https://pillows.su/f/7ff981b94bc326695c565d6aacff9e9c
Before Hear This Music,"Tentación
(prod. La Paciencia)",Released 2014 on SoundCloud. Written by Bad Bunny. Produced by La Paciencia,3:15,2014,Single,No,https://pillows.su/f/cc401d4b7a03903831866635563c51a5
Before Hear This Music,"Flow Exagerao
(feat. Angel Wavy) (prod. Bad Bunny)",Released 2014 on SoundCloud. Written by Bad Bunny. Produced by Bad Bunny.,3:40,2014,Single,No,https://pillows.su/f/5fd625a2fa9c75a47e19ce476c7b8de3
Before Hear This Music,Calentando (Freestyle),Released 2014 on SoundCloud. Written by Bad Bunny. Produced by Bad Bunny.,3:13,2014,Single,No,https://pillows.su/f/47250b675932cffb4179407e7ba4a2e7
Before Hear This Music,"El Chapo (Freestyle)
(prod. La Paciencia)",Released in 2015. One of the more popular SoundCloud era tracks. Written by Bad Bunny. Produced by La Paciencia,2:36,2015,Single,No,https://pillows.su/f/6c0de11dee815cbe52c6b1222399e83f
Before Hear This Music,"No Perdamos Tiempo
(prod. Bad Bunny & La Paciencia)",Released 2015. Written by Bad Bunny. Produced by Bad Bunny & La Paciencia,4:05,2015,Single,No,https://pillows.su/f/3b25d0210c1d0ef6f0d62d2f4cfb2d2e
Before Hear This Music,"Lo De Nosotros
(prod. Bad Bunny)",Released 2015. Written by Bad Bunny. Produced by Bad Bunny.,4:20,2015,Single,No,https://pillows.su/f/d23926efa1db7578b30122684dfd71b2
Before Hear This Music,"En Lo Que (Freestyle)
(prod. La Paciencia)",Released 2015. Written by Bad Bunny. Produced by La Paciencia.,3:07,2015,Single,No,https://pillows.su/f/692d36ef1036f5a7f86904bae446c5e0
Before Hear This Music,"Explícame
(feat. Mat Lanez) (prod. La Paciencia)",Released in 2015. Written by Bad Bunny & Mat Lanez. Produced by La Paciencia.,4:29,2015,Single,No,https://pillows.su/f/4f16d5dbc4f8819dedf8c733a38c5647
Before Hear This Music,"Vamos A Llegar
(prod. DJ Orma & Bad Bunny)",Released in 2015. Written by Bad Bunny. Produced by DJ Orma & Bad Bunny.,3:58,2015,Single,No,https://pillows.su/f/cbe4879a40a453be4b0b87b7d323b8e7
Before Hear This Music,Soy Culpable,Released in 2015. Written by Bad Bunny. Produced by Bad Bunny.,3:01,2015,Single,No,https://pillows.su/f/124283999f142c298dd101a20e8458d9
Before Hear This Music,"Solo Avísame
(prod. La Paciencia)",Released in 2015. Written by Bad Bunny. Produced by La Paciencia.,4:11,2015,Single,No,https://pillows.su/f/e045d8b2a3054b09b91bf33bbc6c6b8e
Before Hear This Music,"✨ CYNH2
(prod. La Paciencia)",Released in 2016. Written by Bad Bunny. Produced by La Paciencia. Engineered by La Paciencia.,4:47,2016,Single,No,https://pillows.su/f/e8a2d599037670bc44bc7d590d2445f2
Before Hear This Music,"⭐ La Vida
(prod. Bad Bunny)","Released in 2016. Written by Bad Bunny. Produced by Bad Bunny. Samples the song ""Born To Die"" by Lana Del Rey.",3:48,2016,Single,No,https://pillows.su/f/1779b73e91547ae96535295578ba3d31
Before Hear This Music,"Mood (Freestyle)
(prod. Bad Bunny & La Paciencia)",Released in 2016. Written by Bad Bunny. Produced by La Paciencia & Bad Bunny.,3:03,2016,Single,No,https://pillows.su/f/b1ff0a87301e8ca0128201cbf4b07db4
Before Hear This Music,"✨ Diles
(prod. Bad Bunny & La Paciencia)","Released on Bad Bunny's SoundCloud on January 25, 2016. Written by Bad Bunny. Engineered by La Paciencia.",4:24,"Jan 25, 2016",Single,No,https://soundcloud.com/badbunny15/diles?si=13dcd3ea85a94b6b92fb09a7de3cb9af&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Before Hear This Music,"Pa’ Que Le De
(feat. Brray) (prod. Young Martino & La Paciencia)","Released as a single in February 11th, 2016. Written by Bad Bunny & Brray.",3:43,"Feb 11, 2016",Single,No,https://pillows.su/f/7bd9f37d46880b1ea91b8f176a38c42d
Before Hear This Music,"✨ Me Importa Un Carajo
(prod. Young Martino)","Released as a single in May 22nd, 2016. Written by Bad Bunny.",3:20,"May 22, 2016",Single,No,https://soundcloud.com/badbunny15/me-importa-un-carajo?si=7bb3db0b821f44a4b8b42687b731cbc6&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Before Hear This Music,"⭐ Pa’ Que Le De (Remix)
(feat. Brray, Myke Towers, Joyce Santana, Papi Sousa & Álvaro Díaz) (prod. La Paciencia & Young Martino)","Remix of ""Pa' Que Le De"" by Bad Bunny and Brray. Released as a single in June 10, 2016. Written by Bad Bunny, Brray, Myke Towers, Papi Sousa, Joyce Santana & Álvaro Díaz.",6:11,"Jun 10, 2016",Single,No,https://pillows.su/f/83d1ff03b0d3945dd3c2a555b42b7ee7
"0 Album Tracks
0 Loosies
0 Features
23 Singles
0 Remixes
0 Productions
0 Other",Hear This Music Era,"(08/??/2016) (DJ Luian discovers Bad through Diles and signs him to Hear This Music)
(06/06/2018) (The music video for Como Soy is recorded, during the video's shooting Daddy Yankee tells Bad to take a hiatus and focus on his life instead of constantly recording music)",,,Other,,
Before Hear This Music,"Kelmitt - Otra Vez
(feat. Bad Bunny & Darell) (prod. Subelo NEO)","Remix of ""Otra Vez"" by Kelmitt. Released as a single in July 30, 2016. Written by Freddy “El Syntethyzer”, Noah Assad, Kelmitt, Bad Bunny & Darell.",5:55,"Jul 30, 2016",Single,Yes,https://open.spotify.com/intl-es/track/1TqafPEsBS77cOefzHXs3s?si=4a74da4bc9d045d4
Before Hear This Music,"✨ Diles (Remix)
(feat. Ozuna, Arcángel, Farruko, Ñengo Flow, Mambo Kingz & DJ Luian) (prod. La Paciencia, Bad Bunny, DJ Luian & Mambo Kingz)
(Diles, DILES rmx)","Remix of ""Diles"" by Bad Bunny. Released as a single in August 26th, 2016. Written by Xavier Semper, Weezy Kingz, DJ Luian, Farruko, Ñengo Flow, Ozuna, Arcángel & Bad Bunny.",4:46,"Aug 26, 2016",Single,Yes,https://open.spotify.com/intl-es/track/6C1RD7YQVvt3YQj0CmuTeu?si=826dbe3dc86f46f5
Before Hear This Music,"Papi Sousa - Maldades (Remix)
(feat. Bad Bunny, Álvaro Díaz, Lito Kirino, Brray & Myke Towers) (prod. Hydro, Kiid Favelas & Young Martino)","Remix of ""Maldades"" by Papi Sousa. Released as a single in September 24th, 2016. Written by Papi Sousa, Bad Bunny, Álvaro Díaz, Lito Kirino, Brray & Myke Towers.",7:26,"Sep 24, 2016",Feature,No,https://soundcloud.com/sousapr/maldadesremix?si=aac4bdffca8b4f3eaf2d7c55097ae9d4&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Hear This Music Era,"⭐ Arcángel - Tu No Vive Así
(feat. Bad Bunny, DJ Luian & Mambo Kingz) (prod. Bad Bunny, DJ Luian & Mambo Kingz)","Released as a single in September 30th, 2016. Written by Arcángel & Bad Bunny.",4:24,"Sep 30, 2016",Feature,Yes,https://open.spotify.com/intl-es/track/6NSMQFKgjpQb0KkjMDYIK0?si=828efb808df7497c
Hear This Music Era,"Arcángel - Me Llamas
(feat. De La Ghetto, Bad Bunny, Mark B & Amenazzy) (prod. DJ Luian, Mambo Kingz, Mailo Peñalo, BF & Light GM)","Released as a single in November 9th, 2016. Written by Mark B, Amenazzy, De La Ghetto, Arcángel & Bad Bunny.",5:27,"Nov 9, 2016",Feature,Yes,https://open.spotify.com/intl-es/track/3LgtCt7CVhMvNSMGoQD9i1?si=4eaa91e23db84d8d
Hear This Music Era,"Maluma - Un Polvo
(feat. Arcángel, Ñengo Flow, De La Ghetto & Bad Bunny) (prod. DJ Luian, Mambo Kingz & Josh “The Secret Code”)","Released as a single in November 16th, 2016. Written by Weezy Kingz, Xavier Semper, DJ Luian, BF, Arcángel, De La Ghetto, Ñengo Flow, Maluma & Bad Bunny.",5:06,"Nov 16, 2016",Feature,Yes,https://open.spotify.com/intl-es/track/3oBbmwqbKTtTRtfCJQUkJH?si=4107bf6c22da4b26
Hear This Music Era,"EZ Made Da Beat - Prayer
(feat. Yomo, I-Octane, Almighty, Bad Bunny, Benny Benni & DJ Luian) (prod. EZ Made Da Beat)","Track 1 on EZ Made Da Beat's 2016 album Los Tiempos Cambian. Written by I-Octane, Benny Benni, Bad Bunny, Yomo, DJ Luian, EZ Made Da Beat & Almighty.",5:12,"Nov 18, 2016",Feature,Yes,https://open.spotify.com/intl-es/track/3oBbmwqbKTtTRtfCJQUkJH?si=30fe7f4599104489
Hear This Music Era,"Joyce Santana - Otra Noche
(feat. Bad Bunny) (prod. ArKey-O, Young Martino & HI D3F)","Released as a single in November 28th, 2016. Written by Joyce Santana & Bad Bunny. Interpolates the song ""Dile"" by Don Omar.",3:51,"Nov 18, 2016",Feature,No,https://soundcloud.com/joycesantana/otranoche?si=791f46aa91374074914d5c1ce994f259&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Hear This Music Era,"⭐ El Alfa - Dema Ga Ge Gi Go Gu
(feat. Bad Bunny) (prod. Chael Produciendo)
(Lo Que Yo Diga)","Released as a single in December 2nd, 2016. Also became track 1 on El Alfa's 2018 album Disciplina (Puerto Rico Edition). Considered to be the greatest song of all time. Written by Bad Bunny & El Alfa. Samples the song ""Formation"" by Beyoncé, Im not kidding listen to it",3:38,"Dec 2, 2016",Feature,Yes,https://open.spotify.com/intl-es/track/47trirgpaLmWk4Lqk3RrZk?si=1d444cba4b5a48b2
Hear This Music Era,"⭐ Soy Peor
(prod. Bad Bunny & Alex Killer)
(Ahora Soy Peor)","Released as a single in December 8th, 2016. Bad's first solo song under Hear This Music. Written by Bad Bunny, Noah Assad, DJ Luian, Xavier Semper & Weezy Kingz.",4:17,"Dec 8, 2016",Single,Yes,https://open.spotify.com/intl-es/track/1JxhrUWZjuI8AOjDJ1JpMN?si=e7453cd1b0634104
Before Hear This Music,"Kelmitt - Otra Vez (Remake)
(feat. Farruko, Bad Bunny, Bryant Myers & Darell) (prod. Subelo NEO)","Remix of ""Otra Vez"" by Kelmitt. Released as a single in December 11, 2016. Written by Bryant Myers, Darell, Bad Bunny, Farruko & Kelmitt.",6:27,"Dec 11, 2016",Feature,Yes,https://open.spotify.com/intl-es/track/5phL1KSn7jUCI9A1CCiLFD?si=7d67d3ab8b714d81
Hear This Music Era,"Farruko - Liberace (Remix)
(feat. Anuel AA, De La Ghetto, Darell, Bad Bunny, Alexio, Noriel, Bryant Myers & Lary Over) (prod. EZ Made Da Beat)","Remix of ""Liberace"" by Farruko and Anuel AA. Released as a single in December 23, 2016. Written by Farruko, Anuel AA, EZ Made Da Beat, De La Ghetto, Alexio, Bad Bunny, Bryant Myers, Noriel, Darell & Lary Over. Features additional vocals from Jessica Gomes.",6:33,"Dec 23, 2016",Feature,No,https://www.youtube.com/watch?v=1ibz9NdScl4
Hear This Music Era,"Revol - Caile
(feat. Bad Bunny, Bryant Myers, Zion & De La Ghetto) (prod. Kavy Kali, Revol & Chris Jedi)","Released as a single on December 25th, 2016. Written by Revol, Chris Jedi, De La Ghetto, Zion, Bryant Myers & Bad Bunny.",5:00,"Dec 25, 2016",Feature,Yes,https://open.spotify.com/intl-es/track/5lr877wwUsB8inLGywHKxa?si=fe890e13d0454b1e
Hear This Music Era,"⭐ Pa Ti
(feat. Bryant Myers) (prod. Bad Bunny, Mambo Kingz, Alex Killer, DJ Luian & Kronix Magical)","Released as a single on December 26th, 2016. Written by Bryant Myers & Bad Bunny.",3:11,"Dec 26, 2016",Single,Yes,https://open.spotify.com/intl-es/track/2QrGCbW0ylj94JfkgLZFlA?si=ad9059f1b8134342
