Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Hear This Music Era,"Cardi B - I Like It
(feat. Bad Bunny & J Balvin) (prod. Tainy, DJ Luian, Invincible, J. White Did It, Craig Kallman & Nick Seeley)","Official instrumental for ""I Like It"" included in the 7' vinyl release.",,,4:06,130,Full,Lossless,Link Needed
Hear This Music Era,"Tory Lanez - So Drunk
(feat. Bad Bunny & Rick Ross)
(DRUNK)","OG Filename: SO DRUNK - ACA
Acapella for the version of ""So Drunk"" with Rick Ross.",,,3:20,128,OG File,Lossless,https://pillows.su/f/220adea7af3cd5ffb2e5151ef13c8d0c
X 100PRE,"La Romana
(feat. El Alfa & Tito Flow) (prod. Tainy, Bad Bunny, La Paciencia & Chael Produciendo)","Official acapella for ""La Romana"".",,,5:00,126/118,Full,CD Quality,https://pillows.su/f/1e27d9e78dab8e29c7eed5f5830dfa1f
EL ÚLTIMO TOUR DEL MUNDO,"Arcángel - Gucci en Mis Espejuelos
(feat. Bad Bunny) (prod. EHXX & Feniko)","OG Filename: Arcangel & Bad Bunny - Gucci en Mis Espejuelos
Folder called ""Arcangel & Bad Bunny - Gucci en Mis Espejuelos"" shown by producer EHXX on Instagram.",,,,,Confirmed,Not Available,https://ibb.co/34QHqHC
EL ÚLTIMO TOUR DEL MUNDO,"DÁKITI (Fortnite Festival Stems)
(feat. JHAYCO) (prod. Tainy, JHAYCO & Bad Bunny)","Fortnite Festival stems for ""DÁKITI"". Very likely to be AI separated.",,,,,OG File,Lossless,https://krakenfiles.com/view/wqrjuwcjbN/file.html
EL ÚLTIMO TOUR DEL MUNDO,"LA NOCHE DE ANOCHE
(feat. ROSALÍA) (prod. Gaby Music, Chris Jedi & Tainy)","Official instrumental for ""LA NOCHE DE ANOCHE"".",,,3:22,82,Full,Lossless,https://pillows.su/f/440b778b3c85f0d51908e0e5b81220fd
Un Verano Sin Ti,"Moscow Mule
(prod. Scotty Dittrich, Mick Coogan, La Paciencia & MAG)","OG Filename: 01 MOSCOW MULE (02) ACAPELLA
Official acapella for the released version of Moscow Mule. Leaked July 29th, 2022.",,,4:05,100,OG File,Lossless,https://pillows.su/f/8c56954b9175cce70d73a7689231acfc
Un Verano Sin Ti,"Ty Dolla $ign - Drunk
(feat. Bad Bunny & Kodak Black)
(So Drunk)","OG Filename: DRUNK 1.3 - ACA
Acapella for ""Drunk"" from when it was Ty Dolla $ign's song (The version in Fakes tab).",,,3:15,128,OG File,Lossless,https://pillows.su/f/3b6323a615b86cdbed51c5d719fa0db4
Un Verano Sin Ti,"Tainy - Lo Siento BB:/
(feat. Bad Bunny & Julieta Venegas) (prod. Tainy)","Officially released instrumental for ""Lo Siento BB:/"".",,,3:27,85,Full,Lossless,"https://open.spotify.com/intl-es/track/6gtLyNjAcgKgvCh2KQCxiJ?si=cef98e1972604ebc
https://pillows.su/f/122a8b55a1c20a9c0779aaab878e1a17"
nadie sabe lo que va a pasar mañana,"Moscow Mule
(prod. Scotty Dittrich, Mick Coogan, La Paciencia & MAG)","OG Filename: 01 MOSCOW MULE (02) ACAPELLA
Official acapella for the released version of Moscow Mule. Leaked July 29th, 2022.",,,4:05,100,OG File,Lossless,https://pillows.su/f/8c56954b9175cce70d73a7689231acfc
nadie sabe lo que va a pasar mañana,"Tainy - MOJABI GHOST
(feat. Bad Bunny) (prod. Tainy)","Officially released instrumental for ""MOJABI GHOST"".",,,3:52,122,Full,Lossless,"https://open.spotify.com/intl-es/track/6ab1FnnAj6wmGoELgKBnab?si=6c7325b04a0e4573
https://pillows.su/f/3039dbe04fd73113ea073de6b86a2da5"
nadie sabe lo que va a pasar mañana,"Tainy - PASIEMPRE
(feat. Arcángel, JHAYCO, Myke Towers, Omar Courtz, Arca & Bad Bunny) (prod. Tainy, Albert Hype & Arca)","Officially released instrumental for ""PASIEMPRE"".",,,5:55,164,Full,Lossless,"https://open.spotify.com/intl-es/track/0gXTMNAw3mCrElq6nSVAwZ?si=06573fffc5b14782
https://pillows.su/f/ceccec0f3e1391eea0067dce35455f45"
nadie sabe lo que va a pasar mañana,"Travis Scott - K-POP
(feat. Bad Bunny & The Weeknd) (prod. BNYX®, Boi-1da, Illangelo, Jahaan Sweet & DVLP)","Officially released instrumental for ""K-POP"".",,,3:05,121,Full,Lossless,"https://open.spotify.com/intl-es/track/2kvzSGkSaU9z3uywQIrhAg?si=a84e700ff3a34b1f
https://pillows.su/f/fe3b85902803aa28eb54133c14664394"
DeBÍ TiRAR MáS FOToS,"Myke Towers - ADIVINO
(feat. Bad Bunny) (prod. M. De La Cruz, Eiby, FinesseGTB, Jarom Su’a & Tainy)","Snippet for the ""ADIVINO"" session. Leaked by some dude on leaked.cx.",,,,,Snippet,Lossless,https://pillows.su/f/3e4579be16c8b552412f6782954e6495
DeBÍ TiRAR MáS FOToS,"DtMF
(prod. MAG, Scotty Dittrich, JULiA LEWiS & Tyler Spry)","OG Filename: Copy_of_16_DtMF_INST_HRA_SING_MASTER
Official instrumental for the released version of DtMF. Leaked February 27th, 2025",,,3:57,113,OG File,Lossless,https://pillows.su/f/7ce380f6f49b98bfda3b9605e3ede2b8
