Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
X 100PRE,X 100PRE,"Bad said on the snippet IG Live that there was an early X 100PRE tracklist with 3 scrapped tracks,Tu Me Gustas, No Prometo Nada and another unheard song.

#?. No Prometo Nada
#?. Tu Me Gustas*
#?. ???",,2018,N/A,Bad,
X 100PRE,X 100PRE,"Officially released tracklist for X 100PRE.

1. NI BIEN NI MAL
2. 200 Mph (Feat. Diplo)
3. ¿Quien Tu Eres?
4. Caro
5. Tenemos Que Hablar
6. Otra Noche En Miami
7. Ser Bichote
8. Si Estuviésemos Juntos
9. Solo de Mi
10. Cuando Perriabas
11. La Romana (feat. El Alfa)
12. Como Antes
13. RLDNT
14. Estamos Bien
15. MIA (feat. Drake)",,"Dec 24, 2018",Clear,Bad,
OASIS,OASIS,"Officially released tracklist for OASIS.

1. MOJAITA
2. YO LE LLEGO
3. CUIDAO POR AHÍ
4. QUE PRETENDES
5. LA CANCIÓN
6. UN PESO (feat. Marciano Cantero)
7. ODIO
8. COMO UN BEBÉ (feat. Mr Eazi)",,"Jun 28, 2019",Clear,Bad,
YHLQMDLG,Up Next (Live From Apple Piazza Liberty),"Officially released tracklist for Up Next (Live From Apple Piazza Liberty).

1. NI BIEN NI MAL (Live)
2. 200 Mph (Live)
3. Caro (Live)
4. Solo De Mi (Live)
5. La Romana (Live)
6. Si Estuviésemos Juntos (Live)
7. Estamos Bien (Live)",,"Aug 30, 2019",Clear,Bad,
YHLQMDLG,YHLQMDLG,"Chavos, Prendas, Drogas, Putas was said to be on a YHLQMDLG, this is likely to be true due to it being registered on ASCAP. Nothing else is known about this copy of the album

#?. No Voy A Cambiar",,,N/A,Leaked,
YHLQMDLG,YHLQMDLG,"Officially released tracklist for YHLQMDLG.

1. Si Veo A Tu Mamá
2. La Difícil
3. Pero Ya No
4. La Santa (feat. Daddy Yankee)
5. Yo Perreo Sola
6. Bichiyal (feat. Yaviah)
7. Soliá
8. La Zona
9. Que Malo (feat. Ñengo Flow)
10. Vete
11. Ignorantes (feat. Sech)
12. A Tu Merced
13. Una Vez (feat. Mora)
14. Safaera (feat. Jowell & Randy & Ñengo Flow)
15. 25/8
16. Está Cabrón Ser Yo (feat. Anuel AA)
17. Puesto Pa' Guerrial (feat. Myke Towers)
18. P FKN R (feat. Kendo Kaponi & Arcángel)
19. Hablamos Mañana (feat. Duki & Pablo Chill-E)
20. <3",,"Feb 29, 2020",Clear,Bad,
EL ÚLTIMO TOUR DEL MUNDO,"May 3rd, 2020 Livestream","In a livestream on IG Live. Bad previewed numerous songs, most of these would end up releasing on LAS QUE NO IBAN A SALIR or EL ÚLTIMO TOUR DEL MUNDO

1. SI ELLA SALE
2. HACIENDO QUE ME AMAS
3. Tu Me Gustas*
4. BYE ME FUI
5. ???
5. Árcangel - Gucci En mis Espejuelos (feat. Bad Bunny)
6. BENDICIONES
7. MÁS DE UNA CITA (feat Zion & Lennox)
8. ???
9. MÁS DE UNA CITA (feat Zion & Lennox)
10. ???
11. No Prometo Nada
12. No Voy A Cambiar
13. CYNH2
14. BENDICIONES
15. Matemos Las Ganas*
16. Anuel AA - Así Soy Yo (feat. Bad Bunny)
17. Tiempo Perdido*
18. PA' ROMPERLA [V1]
19. random whatsapp voice note (🏆)
20. MÁS DE UNA CITA (feat Zion & Lennox)
21. BENDICIONES
22. Árcangel - Gucci En mis Espejuelos (feat. Bad Bunny)
23. Anuel AA - Así Soy Yo (feat. Bad Bunny)",,"May 3, 2020",N/A,Bad,
EL ÚLTIMO TOUR DEL MUNDO,LAS QUE NO IBAN A SALIR,"Officially released tracklist for LAS QUE NO IBAN A SALIR.

1. SI ELLA SALE
2. MÁS DE UNA CITA (Feat. Zion & Lennox)
3. BYE ME FUI
4. Yandel - CANCIÓN CON YANDEL (feat. Bad Bunny)
5. PA' ROMPERLA (feat. Don Omar)
6. BAD CON NICKY (feat. Nicky Jam)
7. BENDICIONES
8. JHAYCO - COMO SE SIENTE - Remix (feat. Bad Bunny)
9. RONCA FREESTYLE
10. EN CASITA (feat. Gabriela)",,"May 10, 2020",Clear,Bad,
EL ÚLTIMO TOUR DEL MUNDO,EL ÚLTIMO TOUR DEL MUNDO,"Officially released tracklist for EL ÚLTIMO TOUR DEL MUNDO.

1. EL MUNDO ES MÍO
2. TE MUDASTE
3. HOY COBRÉ
4. MALDITA POBREZA
5. LA NOCHE DE ANOCHE (feat. ROSALÍA)
6. TE DESEO LO MEJOR
7. YO VISTO ASÍ
8. HACIENDO QUE ME AMAS
9. BOOKER T
10. LA DROGA
11. DÁKITI (feat. JHAYCO)
12. TRELLAS
13. SORRY PAPI (feat. ABRA)
14. 120
15. ANTES QUE SE ACABE
16. Trio Vegabajeño - CANTARES DE NAVIDAD",,"Nov 27, 2020",Clear,Bad,
Un Verano Sin Ti,Un Verano Sin Ti,"Officially released tracklist for Un Verano Sin Ti.

Side A
1. Moscow Mule
 2. Después de la Playa
 3. Me Porto Bonito (feat. Chencho Corleone)
 4. Tití Me Preguntó
 5. Un Ratito
 6. Yo No Soy Celoso
 7. Tarot (feat. JHAYCO)
 8. Neverita
 9. La Corriente (feat. Tony Dize)
 10. Efecto
 11. Party (feat. Rauw Alejandro)
 12. Aguacero

Side B
 13. Enséñame a Bailar
 14. Ojitos Lindos (feat. Bomba Estéreo)
 15. Dos Mil 16
16. El Apagón
17. Otro Atardecer (feat. The Marías)
18. Un Coco
19. Cam'ron - Takeover Freestyle
20. Me Fui de Vacaciones
21. Un Verano Sin Ti
22. Agosto
23. Callaita (with. Tainy)",,"May 6, 2022",Clear,Bad,
