Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
The Graduates,"The Graduates EP
(with Chris Holloway)","EP released on MySpace sometime in 2008; was later deleted at some point and resurfaced on July 19, 2013, after being acquired from Tony Loney by KTT users xxman and Carlos. Has remixes of Kid Cudi's ""Day n Nite"" and Kanye West's ""Flashing Lights"". ",,,Album Track,No,Pillowcase
The Graduates,"Chris Holloway - Who Am I
(feat. Travis Scott)","Found in early April 2013 on an old MySpace page. Said by KTT user Carlos to be a single that wasn't part of 'The Graduates EP', instead being part of a Chris Holloway EP.",3:30,,Feature,No,Pillowcase
The Classmates,"B.A.P.E. Mixtape
(with OG Chess)",Mixtape released on MySpace in 2009.,,,Album Track,No,Pillowcase
The Classmates,"Buddy Rich
(with OG Chess & Spuf Don)","Mixtape released with Spuf Don on MySpace and Travis's blog on December 9, 2009.",,"Dec 9, 2009",Album Track,No,Pillowcase
The Classmates,"Cruis'n USA
(with OG Chess)","Final project released on Facebook and MySpace on June 1, 2011. A deluxe edition later dropped on July 11 (and is the version linked).",,"Jun 1, 2011",Album Track,No,Pillowcase
The Classmates,"The Classmates EP
(with OG Chess)","9-track EP released on MySpace in 2011, prior to 'Cruis'n USA'.",,,Album Track,No,Pillowcase
Owl Pharaoh,Meadow Creek,"Released on May 21, 2013. Track 1 from 'Owl Pharaoh'.",1:48,"May 21, 2013",Album Track,No,Pillowcase
Owl Pharaoh,"Bad Mood / Shit On You
[prod. Emile Haynie, J Gramm & Travis Scott]","Released on May 21, 2013. Track 2 from 'Owl Pharaoh'. A narrated and slightly altered version can be streamed through 'We Run This, Vol. 10'.",5:18,"May 21, 2013",Album Track,Yes (Alt. Version),Pillowcase
Owl Pharaoh,"Upper Echelon [V1]
(feat. T.I.)
[prod. J Gramm, Travis Scott, Anthony Kilhoffer, MIKE DEAN & Kanye West]","Track 3 from 'Owl Pharaoh'. Cuts off before 2 Chainz's verse; it was speculated that it had to be altered so that Travis could use it, as Epic Records owned the rights to the full song. Released on May 21, 2013. ",2:53,"May 21, 2013",Album Track,No,Mega
Owl Pharaoh,"Chaz Interlude
(feat. Toro y Moi)
[prod. Toro y Moi]","Released on May 21, 2013. Track 4 from 'Owl Pharaoh'.",1:40,"May 21, 2013",Album Track,No,Pillowcase
Owl Pharaoh,"Uptown
(feat. A$AP Ferg)
[prod. WondaGurl & Travis Scott]","Released on May 21, 2013. Track 5 from 'Owl Pharaoh'. Samples Asha Bhosle's ""Kamar Meri Lattu"", The Airplane Boys' ""La Rude, Lord Of The Flies"" and Reverend W.A. Donaldson's ""Baptizing Scene"".",4:29,"May 21, 2013",Album Track,No,"Pillowcase

Music Video (YouTube)"
Owl Pharaoh,"Hell of a Night
[prod. DJ Dahi, Rahki, Rey Reel & Travis Scott]","Released on May 21, 2013. Track 6 from 'Owl Pharaoh'. Features uncredited additional vocals from James Fauntleroy. Samples Fleet Foxes' ""Oliver James"".",3:14,"May 21, 2013",Album Track,No,Pilllowcase
Owl Pharaoh,"Blocka La Flame
[prod. Young Chop, MIKE DEAN & Travis Scott]","Released on December 14, 2012. Track 7 from 'Owl Pharaoh'. Originally released as a loosie. Features uncredited vocals from Popcaan.",3:38,"Dec 14, 2012",Album Track,No,Pillowcase
