Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Owl Pharaoh,"Armageddon [Instrumental]
[prod. Travis Scott]","Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman.",,"Jul 19, 2013",,,Full - HQ,,KrakenFiles
Owl Pharaoh,"Fear [Instrumental]
[prod. Travis Scott]","Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman.",,"Jul 19, 2013",,,Full - HQ,,KrakenFiles
Owl Pharaoh,"Floating [Instrumental]
[prod. Travis Scott]","Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman.",,"Jul 19, 2013",,,Full - HQ,,KrakenFiles
Owl Pharaoh,"Gifted [Instrumental]
[prod. Travis Scott]","Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman.",,"Jul 19, 2013",,,Full - HQ,,Pillowcase
Owl Pharaoh,"Hero [Instrumental]
[prod. Travis Scott]","Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman. L$ stated that the song was supposed to sample ""Maniac"" by Kid Cudi",,"Jul 19, 2013",,,Full - HQ,,KrakenFiles
Owl Pharaoh,"Home [Instrumental]
[prod. Travis Scott]","Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman.",,"Jul 19, 2013",,,Full - HQ,,Pillowcase
Owl Pharaoh,"Manor [Instrumental]
[prod. Lifted]","Leaked by Fitz on KTT on June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx.",,"Jun 1, 2013",,,Full - HQ,,KrakenFiles
Owl Pharaoh,"Smith & Western [Instrumental]
[prod. Portishead & Travis Scott]","Leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman.",,"Jul 19, 2013",,,Full - HQ,,Pillowcase
Owl Pharaoh,"travis1 [Instrumental]
[prod. Travis Scott]","Unnamed instrumental produced by Travis that was presumably never recorded on. Leaked by Fitz on KTT on June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx.",,"Jun 1, 2013",,,Full - HQ,,Pillowcase
Owl Pharaoh,"Upper Echelon [Instrumental]
[prod. J Gramm, Travis Scott, Anthony Kilhoffer, Mike Dean & Kanye West]","Official instrumental released by J Gramm via SoundCloud on June 1, 2013.",,"Jun 1, 2013",,,Full - HQ,,Pillowcase
Owl Pharaoh,"Upper Echelon [SXSW Version]
(feat. T.I.)
[prod. J Gramm, Anthony Kilhoffer, Travis Scott & Mike Dean]","Basically Demo 2, but the version that Travis performed over during his main SXSW 2013 set had an open second verse; he rapped it live.",,,,,Full (Essentially) - LQ,,Pillowcase
Owl Pharaoh,"XX [TV Track]
[prod. Lex Luger]","Version with ""random cuts in and out"" previously available from Waterfalls. Likely a performance version. Snippet leaked September 11, 2021. Possibly lost.",,,,,Snippet - HQ,,Pillowcase
,For / Pre-Travis,"(Unused beats, or early versions before Travis got them)",,,,,,,
Owl Pharaoh,"Upper Echelon [Instrumental Demo]
[prod. J Gramm]","OG Filename: EXTENDO CLIPS JGRAMM
Original version of the instrumental that was sent to Travis in December 2012. Released by J Gramm on KTT on April 22, 2013, but was lost until it was recovered on November 12, 2023.",,"Apr 22, 2013",,,Full - HQ,,Pillowcase
,Unconfirmed,,,,,,,,
Owl Pharaoh,"Very Wild Night [Instrumental]
[prod. WondaGurl & xxman(*)]","Instrumental leaked by KTT user xxman on July 11, 2013; finished version of the ""God Level"" beat. Unconfirmed as it's a strange case; xxman did the production himself, but he is known to have worked with Travis. xxman claimed that both L$ and Travis himself confirmed that it's real, but the proof is lost. Pharaohxx also supposedly said that it was real, but this is according to Carlos who was quoting an email from him.",,"Jul 11, 2013",,,Full - HQ,,Pillowcase
Days Before Rodeo,"Mamacita [TV Track]
(feat. Rich Homie Quan & Young Thug)
[prod. Metro Boomin, DJ Dahi & Travis Scott]","OG Filename: Travis Scott-Mamacita [tv] MSTR1
TV track with open verses; has the hooks and all background vocals. Leaked December 19, 2022.",,"Dec 19, 2022",,,Full - HQ,,KrakenFiles
Days Before Rodeo,"Oh No [Instrumental | Multitracks]
[prod. Kyor Gyoti]","Multitracks for an early version of the beat that's missing the screams. Seems to have been titled ""BLUNTED"". Leaked January 9, 2024.",,"Jan 9, 2024",,,Full - HQ,,Mega
Days Before Rodeo,"Skyfall [TV Track]
(feat. Young Thug)
[prod. Metro Boomin]","OG Filename: Young Thug x Travis Scott - Skyfall - TV Track_01
TV track with portions of quieter vocals, for performing over. Leaked December 25, 2022.",,"Dec 25, 2022",,,Full - HQ,,Pillowcase
Days Before Rodeo,Work It [Session],"Snippet of an unbounced song posted to UnreleasedSounds, possibly on February 4, 2023.",,,,,Snippet - HQ,,"Pillowcase
(Edited to make the bleed louder)"
,Features,,,,,,,,
Days Before Rodeo,"Kanye West - Black Skinhead (Remix) [TV Track] 
(feat. Miley Cyrus & Travis Scott) 
[prod. Mike WiLL Made-It]","OG Filename: BSH RMX TV FOR REHEARSAL
TV track; has open verses. Leaked December 14, 2022.",,"Dec 14, 2022",,,Full - HQ,,N/A - LEGAL ISSUES
