Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
The Classmates,"TJ Maxx [October 21, 2010]
(Source: Travis Scott)","Tweeted about by Travis. 

01. Duke of Earl
02. High
03. Good Love
04. Jam

Tracklist for the unconfirmed mixtape 'TJ Maxx'",,,Clear,,Trackllist (Screenshot)
Owl Pharaoh,"Owl Pharaoh [September 14, 2011]
(Source: Travis Scott)","Earliest known tracklist. Tweeted by Travis and preserved through a KTT poster who conveniently quoted the full thing with a timestamp.

01. Fear
02. Love
03. Hero
04. Smith & Western
05. Angels vs. Demons
06. That B!tch Crazy

L$ said that ""Love"" was ""Lights (LoveSick)"", though it is more likely to be ""L.O.V.E. Interlude"".",,,Clear,,Tracklist (Screenshot)
Owl Pharaoh,"Owl Pharaoh [Late September - October 2011]
(Source: Travis Scott, L$)","A tracklist very similar to the previous one was one of two tracklists included in an email to L$ from Travis. It's likely that this is from a similar time, as it essentially has the same songs as the above tracklist, just in a different order.

01. Unknown
02. Fear
03. Hero
04. Cracks
05. Love
06. That B!tch Crazy
07. Smith & Western

It's unclear when exactly the two tracklists are from, and why Travis would send them together, but they do appear to be from different stages.",,,Clear,,Email (Screenshot)
Owl Pharaoh,"Owl Pharaoh [~Late 2011]
(Source: Travis Scott, L$)","Tracklist provided by L$. L$ noted that this was from before Travis met Kanye and began reworking the project, and it appears to be an evolution of the previous tracklists, so is likely from later in 2011.

01. Fear
02. Hero
03. Cracks / Angels vs. Demons
04. Love
05. That B!tch Crazy
06. Swith & Western
07. Treehouse
08. Avenues of America

Track 4 was likely ""L.O.V.E. Interlude"" rather than ""Lights (LoveSick)"".",,,Clear,,Tracklist (Screenshot)
Owl Pharaoh,"Owl Pharaoh [~Late 2011]
(Source: Travis Scott, L$)","The second of two tracklists included in an email to L$ from Travis. It may not be exact as ""Cracks"" appears twice.

01. Pharaoh
02. Treehouse
03. That B!tch Crazy
04. Smith & Western
05. Angels vs. Demons / Cracks
06. Love
07. Fear
08. Hero
09. Cracks

It's unclear when exactly the two tracklists are from, and why Travis would send them together, but they do appear to be from different stages.",,,Clear,,Tracklist (Screenshot)
Owl Pharaoh,"Owl Pharaoh [~Late 2011]
(Source: Travis Scott, L$)","Appears on various discography threads on KTT, referenced as being posted by L$, though I have been unable to find the original post. Appears to be a slightly later version of the previous tracklist.

01. Pharaoh
02. Hero
03. Cracks / Angels vs. Demons
04. Lights (LoveSick)
05. L.O.V.E. Interlude
06. That B!tch Crazy
07. Swith & Western
08. Treehouse
09. Avenues of America

Another variation of this tracklist likely exists, as ""L.O.V.E. Interlude"" was leaked as track 6 of something.",,,Clear,,Tracklist From Discography Thread (Screenshot)
Owl Pharaoh,"Owl Pharaoh [Late 2011 - Early 2012]
(Source: L$)","Tracklist provided by L$, without a date. If an unsourced Wikipedia claim is to be believed about Travis announcing 'Owl Pharaoh' as an 11 track EP with 2 bonus tracks, this tracklist is from late 2011. That being said, it's also possible that the Wikipedia entry was written by someone who saw this on KTT. Either way, it's the last version to use certain 2011 songs, so it was likely one of the final versions before it was reworked.

01. Illamerica
02. Owl City
03. Phoenix
04. Avenues of America / (16 Chapels)
05. Treehouse
06. Pharaoh
07. Smith & Western
08. Fear
09. Hero
10. The City of Angels and Demons / Angels vs. Demons
11. Cracks
---------- Bonus ---------- 
12. Lights (LoveSick)
13. That B!tch Crazy

The tracklist as written by L$ had the slashes between the titles in tracks 4 and 10. The titles either side of the slash for track 10 seem to suggest that they are alternate titles rather than two songs connected together, meaning that ""Avenues of America"" is likely to be an alternative title for ""16 Chapels"" and not its own song.",,,Clear,,Tracklist (Screenshot)
Owl Pharaoh,"Owl Pharaoh [Mid-2012 / December 2012]
(Source: Pharaohxx, mikelangelo)","Supposed early version of the project that leaked on KTT on June 1, 2013. Pharaohxx sold it to KTT user Fitz, who leaked it. The original, unsequenced order of the files is as follows: 

01. 12 Disciples
02. Manor Ruff Beat
03. Night
04. Gold 88
05. Travis x Chip
06. Dust
07. Time Machine
08. travis1
09. Illamerica
10. Paradise V3
11. Phoenix
12. Gifted Beat
13. 16 Chapels
14. Owl Pharaoh Intro

It's unclear whether this is a genuine early version of the project or simply a collection of random demos. Pharaoxx stated that he left out the original version of ""Sin City"" and the version of ""Gold 88"" with Pusha T, which suggests that it's merely a compilation, though the inclusion of songs like ""16 Chapels"", ""Night"", and ""Illamerica"", which were all already released/leaked, suggest that the leak was an early version of the project, or at the very least a collection of songs that were being considered for the project. 

KTT user mikelangelo (who leaked the LQ version of ""Sin City"" and knew Travis) claimed to have heard a very similar version of the project over a phonecall with Travis. mikelangelo stated that the call took place in December 2012, so it's possible that he heard a later version; if this is the case, the songs being unfinished here makes more sense, and Pharaohxx's comment about leaving things out may have been a bluff. We know that ""Gold 88"" had Pusha T from July 28, 2012, at the latest, so it's possible that this is a version of the project from before he was added.

There are three probable scenarios (in no particular order): 1) this is a random compilation of demos that Pharaohxx had on-hand; 2) this is a collection of songs that were being considered for the project (effectively an early version) sometime close to July 2012; or 3) this is an incomplete version of the project from December 2012 that is missing some songs and some correct versions of songs.",N/A,,N/A,,"Pharaohxx Post (Screenshot)

mikelangelo Posts (Screenshots)"
Owl Pharaoh,"Owl Pharaoh [August 3, 2012]
(Source: Travis Scott)","A partial 'tracklist' of sorts was shared by Travis on August 3, 2012, showcasing a few songs that had been made since meeting T.I. and Kanye (the Instagram post was captioned ""tracklist so far""). Most of the titles are the session folder names. Note that these are simply in alphabetical order and not sequenced.

01. Last Night - Travis Scott - 03-08-12BS
02. manor (prod. Lifted )
03. Phoenix 9.0
04. Travis Scott ft. Chip the RIpper
05. Travis Scott- ft. juicy jprod (Cardo)
06. Travis Scott- Ah Sample
07. Travis Scott- Dust 2.0
08. Travis Scott- flocka (prod young chop)
09. Travis Scott- Follow Me
10. Travis Scott- Fuck ft kid cudi Kanye w
11. Travis Scott- Gold 88 ft pusha
12. Travis Scott- Harmonies
13. Travis Scott- Hitboy
14. Travis Scott- Time Machine

It's assumed that ""Ah Sample"", ""Hitboy"", and ""Harmonies"" are simply sessions with ideas and not proper songs.",,,Mostly Clear,,Tracklist (Screenshot)
Owl Pharaoh,"Owl Pharaoh [February 24, 2013]
(Source: Travis Scott)","Part of a tracklist that could be seen in a picture posted briefly to Instagram by Travis on February 24, 2013. Some guesses have to be made, as the beginning of the titles become progressively harder to read.

01. (Bl)ocka
02. (Upp)er Echelon
03. (Hom)e [?]
04. (Thank You For) Changing My Life
05. (16) Chapels
06. (Danc)ing on the Moon
07. (Driv)e [?]
08. (Quin)tana
09. (Old) English
10. (Bad) Mood

Unlikely to be sequenced. There may be more tracks that can't be seen underneath; for example, ""Bandz"" is very likely to be on here, as are ""MIA"" and ""Naked"".",,,Blocked,,Tracklist (Screenshot)
Owl Pharaoh,"Untitled Album [V1] [March - July 2013]
(Source: Travis Scott, Pharaohxx)","While it wasn't officially announced until later, Travis was openly working on a studio album alongside 'Owl Pharaoh'; he and Pharaohxx both made references to an album in March 2013, and Pharaohxx said that was originally meant to release in September 2013. Known songs from different periods are:

??. Armageddon
??. Can't Look In My Eyes
??. Untitled (""Somewhereinamerica"" instrumental)

Travis stated that the instrumental for JAY-Z's ""Somewhereinamerica"" was intended for the project, and he also said that he wanted to put ""Can't Look In My Eyes"" on it after Cudi initially scrapped it. According to Pharaohxx, ""Armageddon"" was also being saved for the album.",N/A,,N/A,,"""Somewhereinamerica"" Information (YouTube)

""Can't Look In My Eyes"" Information (Screenshots)

""Armageddon"" Information (Screenshot)"
Owl Pharaoh,"Owl Pharaoh [May 18, 2013]
(Source: Travis Scott)","Tracklist shared by Travis on May 18, 2013, three days before release.

01. medow creek 04.06.2013
02. Bad Mood / shit on you
03. Upper Echelon
04. naked 
05. CHAZZ INTERLUDE
06. UPtown
07. Travis Scott hell of night
08. Dance on the Moon
09. MIA 2.5
10. Drive Paris With Intro
11. TRAVI$ SCOTT - QUINTANA
12. 16 Chapels
13. Bandz

""Blocka La Flame"" is missing, ""Naked"" is the uncut version, ""Chazz Interlude"" is a lot longer, ""Dance on the Moon"" is notably shorter and ""Bandz"" notably longer, and ""Quintana"" is solo. Most other tracks are at least a few seconds different in length to what was released, excluding ""Quintana"" (was released as a single prior, and also used for the video) and ""16 Chapels"" (same as the version released in 2012).",,,Clear,,"Tracklist (Screenshot)

Original Instagram Post"
