Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
The Graduates,"Addiction
(with Chris Holloway)
[prod. Travis Scott]","Made in 2009. Snippet leaked March 31, 2023.",,"Jan 5, 2009",,Snippet - HQ,,Pillowcase
The Graduates,"GOL
(with Chris Holloway, Yung Scrilla & Ashton Travis)
[prod. Travis Scott]","OG Filename: GOL
Unknown year. Snippet leaked March 31, 2023.",,,,Snippet - HQ,,Pillowcase
The Graduates,"Just
(with Chris Holloway & ???)
[prod. Travis Scott]","OG Filename: just remake
Unknown year; has one unknown feature. Snippet leaked March 31, 2023.",,,,Snippet - HQ,,Pillowcase
The Graduates,"New Girl
(with Chris Holloway)
[prod. Travis Scott]","Released at some point in late 2008 and referenced by some users on The Graduates' MySpace account, but was deleted and is presumably lost. ",,,,N/A,,
The Graduates,"✨ Say You Will (Remix) [V1]
[prod. Kanye West]","OG Filename: kanye free
Freestyle remix of the '808s & Heartbreaks' track, intended as a pitch for Kanye and GOOD Music to sign The Graduates; Travis reads out his phone number. 6 minutes long and no mumble. Leaked May 26, 2024.",6:36,,"May 26, 2024",Full - HQ,,Pillowcase
The Graduates,"Say You Will (Remix) [V2]
[prod. Kanye West]","OG Filename: kanye freestyle
Second version; follows a similar structure with similar lyrics. Version order is unclear. Leaked February 28, 2026.",6:36,,"Feb 28, 2026",Full - HQ,,Pillowcase
The Graduates,"Wanna Party
(with Chris Holloway)
[prod. Travis Scott]","Full song over the instrumental (track 2) from 'The Graduates EP'. Snippet leaked March 31, 2023.",,,,Snippet - HQ,,Pillowcase
The Graduates*,"Welcome to TX
(with Yung Scrilla)
[prod. Travis Scott]","OG Filename: welcome tx
Unknown year. Snippet leaked March 31, 2023.",,,,Snippet - HQ,,Pillowcase
,Features,,,,,,,
The Graduates*,"Yung Scrilla - Been Missing
(feat. Travis Scott & Chris Holloway)",Unknown year.,,,,N/A,,
,"The Classmates
(2009 - 2011)","The Classmates, sometimes known as Travis n Jason, were a duo composed of Travis and Jason Eric (a.k.a. OG Chess), sometimes assisted by Spuf Don. Era begins after they signed up for MySpace on April 7, 2009, and ends roughly around the time that the deluxe version of 'Cruis'n USA' released in July 2011.",,,,,,
The Classmates,"$tay [Demo]
(with OG Chess)
[prod. Travis Scott]",Early version with no sample chop and no background vocals from Travis. Used in the trailer for the 'No Cigs No Guts' project.,,,,Snippet - HQ,,Pillowcase
The Classmates,"$uper Good [Demo]
(with OG Chess)
[prod. Travis Scott]","OG Filename: super Good !!!
Early version with slightly different production in places.",2:56,,,N/A,,
The Classmates,"10 Crack! [Demo]
(with OG Chess)
[prod. Travis Scott]","OG Filename: 10 crck!
Early version that's missing some of the repetition. Also has a different mix and a different outro.",3:00,,,N/A,,
The Classmates,"25th & Leone [Demo]
(with OG Chess)
[prod. Travis Scott]","OG Filename: 25th leon
Shorter version that ends after OG Chess's first verse.",2:16,,,N/A,,
The Classmates,"Bape [Demo]
(with OG Chess)
[prod. Travis Scott]","Bape was originally just a song before it became a mixtape from April 2009. Based on that, 'Buddy Rich' was probably worked from April to December 2009. Unknown what differences this version has.",,,,N/A,,
The Classmates,"Your Honor
(with OG Chess)
[prod. Travis Scott]","Unknown year, but likely from 2009.",,,,N/A,,
,Other Media,"(Promotional demos, music videos, tour versions, etc.)",,,,,,
The Classmates,"10 Crack! [Music Video]
(with OG Chess)","Released at some point, but was later deleted and likely lost. Referenced on KTT by user YoungxSho, who may've reuploaded it after it was deleted, but it wasn't archived.",,,,N/A,,
The Classmates,"Ahoy !! [Music Video]
(with OG Chess)","Released at some point, but was later deleted and likely lost. Referenced on The Classmates' MySpace.",,,,N/A,,
The Classmates,"Jam [Project]
(with OG Chess)","Old posts from April 2010 indicate that Travis and Chess were working on a tape called ""Jam"", with ""McBride"" being released as a single, though it seems that most songs from it ended up on the 'Cruis'n USA' deluxe. It's possible that the tape dropped and wasn't recovered.",,,,N/A,,
The Classmates,"No Cigs No Guts [Project]
(with OG Chess)",Mixtape that was in the works in 2011 and had a trailer made. Possibly evolved into 'Cruisin' USA'.,,,,N/A,,
,For / Pre-Travis,(Hover over 'Notes' for a breakdown),,,,,,
The Classmates,"Allen Ritter - Impossible [Demo]
(with ???)
[prod. Allen Ritter & ???]","Unreleased song that was sampled in ""Impossible"", made by Allen in 2010 with some friends in New York. Included here since it doesn't really fit anywhere else.",,,,Snippet - LQ,,Pillowcase
The Classmates,"Mr. Poindexter - Maybach Music Part 3
[prod. J.U.S.T.I.C.E. League]","Remix of Rick Ross's ""Maybach Music 2"", with open verses for Travis and OG Chess. It's not known if they recorded anything.",,,,N/A,,
,Unconfirmed / Unrecorded / Rumoured,(Things that might not exist for one reason or another),,,,,,
The Classmates,"Cabin Fever [Project]
(with OG Chess)",An old tape mentioned by KTT user xxman as being a potential acquisition from Tony Loney. xxman later said (per Tony) that the tape contained songs that were mostly recycled songs into other projects done with Chess.,,,,Unconfirmed,,
The Classmates,"Pill$ and Coco Puff$ [Project]
(with OG Chess & Spuf Don)","Several tracks from 'Buddy Rich' released on MySpace prior to the project were tagged as being from 'Pill$ and Coco Puff$' (also the name of track 1), so it's possibly a project that evolved into 'Buddy Rich'.",,,,Unconfirmed,,
The Classmates,"TJ Maxx [Project]
(with OG Chess)","An old tape mentioned by KTT user xxman as being a potential acquisition from Tony Loney. xxman later said (per Tony) that the tape contained songs that were mostly recycled songs into other projects done with Chess. Was supposed to be hosted by DJ Remy. A tracklist exists from October 21, 2010.",,,,Unconfirmed,,
,"Owl Pharaoh
(2011 - 2013)","Era begins (roughly) after the release of the deluxe version of 'Cruis'n USA' in July 2011, and ends when the project was released on May 21, 2013. 'Owl Pharaoh' missed multiple release dates and was reworked several times as Travis's industry connections grew (see the Tracklists section for more details).",,,,(Hover over the 'Owl Pharaoh' header for some background and context),,
