Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
The Big Day,"Handsome [V2]
(feat. Playboi Carti)","OG Filename (Partial): HANDSOME_L10M...
Version with a 40 second verse from Playboi Carti. Snippet previewed by JOTC on Sidepiece Hub on July 4, 2026. Was supposed to release, but it ended up releasing with a feature from Megan Thee Stallion. A $3,700 groupbuy was ran for the song, but ended due to backlash.",,,"Jul 4, 2026",Snippet,High Quality,https://pillows.su/f/b62c1d3f810183e15e1ad4a4e57732b8
Ongoing,"Going Back
(prod. 7000aka7k)","Fully finished song, released 8 months after STAR LINE. Might be a writing exercise for it, judging by the production of 7000aka7k, and might be the full version, but it seems to cut off the intro.",~3:50,,"Apr 8, 2026",Partial,Low Quality,
STAR LINE,"Lil Yachty - Special Ed
(with Chance The Rapper)
(Free Palenstine)","OG Filename: Special Ed_Edit 1
First previewed by Yachty on The Boat Show S02 E03 at 6:27-7:00. Confirmed to be recorded on August 16-17, 2020, with it being the last song of the session with Chance that happened after Yachty's drive in concert in Chicago. CDQ snippet later leaked by Propkers. Leaked for free after being passed on April 4, 2026. Last 40 seconds is open.",2:24,"Aug 16, 2020","Apr 6, 2026",OG File,CD Quality,https://pillows.su/f/7d22af611a729788ea63db67d9e2405a
STAR LINE,"The Fox & The Scorpion
(Writing Exercise #35)",,,,"Apr 2, 2026",Partial,Low Quality,
Ongoing,"⁉️ Untitled
(I Hope)","Finished song with 2 verses and a hook, confirmed to be made in 2026. The full version from Youtube is lost, and only the lower quallity snippet of the first verse is available.",2:06,,"Feb 7, 2026",Full,High Quality,
Coloring Book,"Waves / Father Stretch My Hands Pt. 1
(feat. Kanye West & Kid Cudi)","A tour mix Chance performed a couple of times, which includes ""Father Stretch My Hands"" in the outro. Not the same as the version Chance played for Zane Lowe. Snippet leaked June 19, 2022. Untagged snippet leaked January 11, 2026. Full song leaked 3 days later after a successful cravebuy.",,,"Jan 14, 2026",Full,CD Quality,https://pillows.su/f/1fa8ea15092b29369f3653ced1090749
Good Ass Job,"How To Go Crazy [V2]
(ref. Ant Clemons) (feat. Francis and the Lights) (prod. Bon Iver & Francis and the Lights)
(The Big Day)","Original version of the Chance the Rapper song ""The Big Day"" which ended up on Chance's album of the same name. Seller confirmed that it was recorded during the sessions for Good Ass Job. Has an Ant Clemons verse which is a reference for Kanye. There is a three minute open verse after Ant's verse. Francis doesn't do the screaming he does in the final song, although otherwise his and Chance's parts are the same. Instrumental is more laid back than the final.",,,"Jun 26, 2025",Full,CD Quality,https://pillows.su/f/edc88deb2251ca86055e85a541023e62
STAR LINE,"Kanye West - The Garden [V25]
(feat. Slim, Sunday Service Choir & Ty Dolla $ign)","Version of ""The Garden"" intended for release on the stem player. Leaked in full 12/12/24.",1:26,,"Dec 12, 2024",Full,High Quality,https://pillows.su/f/a0721f0f866154ed113fbf68149ada91
Owbum,"Ant Clemons - T-Shirt [V2]
(feat. Chance the Rapper)","OG Filename: 01 T Shirt Ant Clemons Chance The Rapper
Ant Clemons track very likely recorded in 2018 or 2019, due to the fact Chance and Ant were working together a lot during this time during sessions for GAJ18. Version without Chance leaked sometime in 2020, then later, on November 9th, it leaked in full alongside 55 other Ant Clemons songs. Unfortunately these have both been lost as the Dbree links are now broken. Contains a feature verse from Chance and background vocals from Ty Dolla $ign. Chance's vocals have been described as unmixed based on their audio quality and possibly contain some mumble. New snippet leaked June 4th, 2023. Full lyrics have been transcribed on Genius, so it's likely still in circulation. One of the most perplexing cases of unarchived leaks.",3:30,,"Dec 11, 2024",OG File,CD Quality,https://pillows.su/f/9f2928498f71cc6a865b0910e06e9fd8
Owbum,"Die For [V2]
(feat. Daniel Caesar)
(The Garden, Pets)","Cutdown of the ""Pets"" jam session. Has extra Daniel Ceasar vocals throughout that aren't heard in the previous version. Leaked on December 9th, 2024.",6:18,"Sep 7, 2017","Dec 9, 2024",OG File,CD Quality,https://pillows.su/f/741826bad1d28171b2e0a2b8c24f33a1
The Big Day,"Kanye West - The Garden [V13]
(ref. The WRLDFMS Tony Williams)
(Pets)","OG Filename: The Garden 10.08.18 [TONY WILLIAMS demo 2]
One of two Tony Williams ""Garden"" reference tracks. Leaked in full 11/30/24.",3:48,"Oct 8, 2018","Nov 30, 2024",OG File,CD Quality,https://pillows.su/f/f36aaaac718bdc4adf641c224383b13a
STAR LINE,"Consequence - Daybreak
(feat. Chance the Rapper) (prod. Consequence)","Announced on an Instagram post by Consequence. Features sample based production. Was assumed to be releasing along with his project Nice Doing Business With You, however it never did. Posted along with a snippet, but unfortunately this has been lost. Played by Consequence on an IG livestream on 10/16/24.",,,"Oct 16, 2024",Partial,Recording,https://pillows.su/f/5b0c2ed6db98fef3368e217e9af266ad
STAR LINE,"⭐ Writing Exercise #24
(prod. DexLvL & Gabe Jaskowiak)
(Mama)","Lyrically finished STAR LINE freestyle with a slightly rough take. Contains a sample of an unknown cover of ""Time"" by Eugene Record, and mixed by Gabe Jaskowiak. Loosely released on Chance's official Youtube channel.",,,"Sep 17, 2024",Full,High Quality,
STAR LINE,"Francis and the Lights - Take Me To The Light 2030 [V14]
(feat. Kanye West & Bon Iver)
(Fine Line, You Still Take Me To The Light, Metta World Peace)","Version likely planned for Francis' album. Has a more dynamic and upbeat version of the instrumental compared to other versions. Snippet from Teddy Walton's Instagram of a possible music video for a new version of ""Take Me To The Light"". Unofficial bounce.",3:00,,"Aug 16, 2024",Full,CD Quality,https://pillows.su/f/ad6d912d0ff8af65ded21c0735c56ec8
STAR LINE,"The Negro Problem [V1]
(Negro Problem)","Track 10 on the December 2022 STAR LINE tracklist. Information is unknown. performed by Chance when he showed up at The Ramova Theater to preview some STAR LINE tracks. performed again in much higher quality at Noochie’s ""Live From The Front Porch"" concert.",,,"Aug 13, 2024",Full,Recording,https://pillows.su/f/58403e2445b97956dcb02cf9976ee5af
Good Ass Job,"???
(Chop 10)",Kanye freestyle. Chance's vocals cannot be heard in the snippet. Snippet leaked 4/7/24. New snippet leaked 7/21/24.,,,"Jul 21, 2024",Snippet,CD Quality,"https://pillows.su/f/3be5827cfcb8f84bdd13bbe4f21033d1
https://pillows.su/f/61f7bbb4ac9ab9025da9278621a4caaa"
Acid Rap,"Miracle [V1]
(prod. The Social Experiment)","OG Filename: Miracle wed gnite kinda mixing now jl 6-18
Version of ""Miracle"" that is likely from Acid Rap sessions due to it being encoded with iTunes 10.6. Was later released on Surf. Ends abruptly. Leaked in the 62 gigabyte mass leak.",,"Jun 18, 2012","Jul 4, 2024",OG File,High Quality,Link Needed
Acid Rap 2,"4 Real
(feat. ???)","OG Filename: 4 real 1st draft ruff1B jl 8-17
The song’s era remains unconfirmed, though it closely resembles other tracks from these sessions. It also features an unknown female vocalist providing backing vocals for Chance. The track leaked as part of the 62GB mass leak.",,"Aug 25, 2014","Jul 4, 2024",OG File,High Quality,https://pillows.su/f/0a0c77b6a5e26d6e622d064e00827567
Acid Rap 2,And They Say…. [V1],"OG Filename: and They Say…. jl ruff1D 8-25
Version made a day before the one below. Has an earlier vocal take and a worse mix.",,"Aug 25, 2014","Jul 4, 2024",OG File,High Quality,https://pillows.su/f/0a0c77b6a5e26d6e622d064e00827567
Acid Rap 2,And They Say….. [V2],"OG Filename: And they say….. jl ruff2 8-26 112bpm
Throwaway that is likely from Acid Rap 2 sessions, due to being encoded with iTunes 12.0.1.26. Some medatata has been altered. Differences include new instrumentation, new vocal take, new adlibs and a better mix.",,"Aug 26, 2014","Jul 4, 2024",Full,High Quality,https://pillows.su/f/35eb9c99f525d522f500fb6fd61322dc
Acid Rap 2,"Body
(ref. ???)","OG Filename: body ref1 jl 8-12 maybe
Throwaway from sometime after Feburary 19, 2013, due to being encoded with iTunes 11.0.2. Contains a hook and open verse but no Chance vocals. Features the same unknown rapper as """". Possibly a reference track according to the filename. Leaked in the 62 gigabyte mass leak.",,"Aug 12, 2014","Jul 4, 2024",OG File,High Quality,https://pillows.su/f/9755930d268e2f33ef39de1abf32cf00
Acid Rap 2,"Callie [V1]
(feat. BJ The Chicago Kid)","OG Filename: 111chance 1
Track likely originating during sessions for Acid Rap 2, due to it's sound. Contains an unfinished 2nd Chance verse, which was later replaced by the feature verse. This is the full song, not a snippet.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/a6436b58e95d612611d3d8e5cde79644
Acid Rap 2,"Callie [V2]
(feat. BJ The Chicago Kid)","OG Filename: Callie Bj JL vox trackin 11-2
Version that was likely made after the previous one. Contains a worse mix.",,"Nov 2, 2014","Jul 4, 2024",OG File,CD Quality,Link Needed
Acid Rap 2,"Paradise
(feat. ???)","Metadata refers to the file as being from 2014 and it has a unknown feature, Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,Link Needed
Acid Rap 2,Pure,"OG Filenames: Pure idea jl 11-28 & pure  idea jl 1 11-29
Track from ""Acid Rap 2"" sessions. Metadata refers to the file as being bounced on November 29, while the filename says the 28th, meaning the date in the metadata is likely a typo. Leaked in the 62 gigabyte mass leak.",,"Nov 28, 2014","Jul 4, 2024",OG File,CD Quality,Link Needed
Acid Rap 2,Cold Stares [V1],"OG Filename: cold stares ruff1 JL 6-11 dcA
Early version of ""Cold Stares"" by Nasaj Thing from when it was a solo Chance song. Encoded with iTunes 10.6. Leaked in the 62 gigabyte mass leak.",,"Jun 11, 2014","Jul 4, 2024",OG File,High Quality,https://pillows.su/f/790a4c851f301ad70086fadf5cd8a102
Acid Rap 2,"Goofy Ass
(prod. The Social Experiment)","OG Filename: 1 GOOFYASS ROUGH
Throwaway likely from early Acid Rap 2 sessions, due to it being encoded with iTunes 11.1.3. Contains what seems to be production from The Social Experiment. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/c6709b4af18aaa63ed752287550e8e4e
Acid Rap 2,"Just Watch
(feat. ???)
(The Way)","OG Filename: just watch idea JL ruff1 no comp
Acid Rap 2 era track leaked in the 62 gigabyte mass leak. Contains pitched down Chance vocals and an unknown female vocalist. Chance's verse was later reused for his feature on ""The Way"" by Kehlani.",,,"Jul 4, 2024",OG File,High Quality,https://pillows.su/f/ea595487278c7dfe2b5aa01ae6b19496
Acid Rap 2,"The Bitches Like You [V4]
(prod. A-Trak, Raak & DJ Omega)
(Friendship Heights)","OG Filename: the bitches like U JL Chance vrs4
Solo version of ""Friendship Heights"" likely created Acid Rap 2 sessions. Later released by Wale, however this version is solo Chance. At least the fourth version of the track according to the filename. Leaked in the 62 gigabyte mass leak.",,,"Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/fc260c2ca051646c4314c630c9345a03
Acid Rap 2,"Slow Joint Freestyle
(with Jeremih)","OG Filename: slow joint freestuyle tk 1 jl 3-23
Freestyle with Jeremih likely made during sessions for Acid Rap 2. Leaked in the 62 gigabyte mass leak.",,"Mar 23, 2016","Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/0abb27339b0d4751b4c57fe1bcea03e9
Acid Rap 2,"Wanna Be Cool [V1]
(feat. Jeremih) (prod. The Social Experiment)","OG Filename: wannabcool_RSopenverses_ruffmix01
Early demo of ""Wanna Be Cool"", which would later release on Surf. Contains open verses. Likely from Acid Rap 2 sessions, due to being encoded with iTunes 11.1.4. Seemingly the first mix of the song. and lacks the Big Sean and KYLE features.",,,"Jul 4, 2024",OG File,High Quality,Link Needed
Acid Rap 2,"⭐️ We Ain't Kids
(with Jeremih)","OG Filename: we aint kids idea Charemih JL  12-7
Song with vocals from Jeremih and heavy autotune. Possibly intended for a colaborative project between the two judging by the filename.",,"Dec 7, 2014","Jul 4, 2024",OG File,High Quality,https://pillows.su/f/483ee7358586aef54c7149d2e59974f7
