Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
X,"Kid Ink - Main Chick [V1]
(ref. Jeremih)","Reference by Jeremih for Chris' parts of the song. The rest of the song is empty except for Jeremih's ref vocals. Chris changed a line or two for the release song. File dated May 18th, 2013.",,,"Jun 12, 2026",Full,Lossless,https://pillows.su/f/3d9dc3f6575a08201e3f22a983872954
X,"Loyal [V1]
(ref. Ty Dolla $ign)",Ty originally made the song for Bobby Brackins and Chris would later hear the song either from him or the producer and would cut the song if Ty was down. Only the opening lines were used by Chris with the other lines going unused.,,,"Jun 10, 2026",Full,CD Quality,https://pillows.su/f/9400c013fcf99a7fe222e7ecc1e01c7a
Heartbreak On A Full Moon,Future & Young Thug - High End [V1],"Chris said on an interview he got the song from Future & Young Thug during a session for their collab album and they gave it to him since the song wouldn't make the final cut. Leaked in June 2026. Has some production differences, unfinished mixing and less autotune.",,,"Jun 4, 2026",Full,High Quality,https://pillows.su/f/b88f9e8cadddb5673dd781fbc1d11e67
Breezy,"??? [V1]
(prod. London on da Track)
(Impatient)","Chris Brown originally had the beat to ""Impatient"" by Ty Dolla $ign and Jeremih. Marked as ""UNFINISHED"" by the seller who posted the snippet.",,,"Jun 1, 2026",Snippet,CD Quality,https://pillows.su/f/696ac0b08d3577c825d3b53256f5af14
Indigo,"🗑️ Lil Dicky - Freaky Friday [V1]
(ref. Lil Dicky) (feat. Chris Brown) (prod. benny blanco, Twice as Nice & Mustard)",Lil Dicky provides a ref for Lindsay Lohan and Ariana Grande in this original version of the song.,,,"Apr 5, 2026",Full,CD Quality,https://pillows.su/f/1428cbb0c4925e9b394d4d61430c5577
Fortune,"⭐ 50 Cent - Put Your Lighters Up [V3]
(feat. Chris Brown) (prod. DJ Felli Fel)",Third version of the song when 50 heard it and decided to record over it and use it for his album Street King Immortal that never came out. Lossless version leaked 3/14/26.,,,"Mar 14, 2026",Full,Lossless,https://pillows.su/f/b48426cdeed16aa58a11f9364cb73172
Fortune,"Get It [V2]
(feat. 2 Chainz & will.i.am)
(In Da Club)","Has a new hook, Chris verse and alt production along with a will.i.am feature. Snippet posted by a seller on leaked.cx on November 6, 2025. Full song leaked February 2026.",,,"Feb 5, 2026",Full,Lossless,https://pillows.su/f/a16b49c6b0d456e4abd21090d2f7dfa4
BROWN,Right Here,Said to be an album track however this is unconfirmed but it does sound modern so it was likely made recently. Snippet posted on leaked.cx by a seller on 11/6/2025. Was leaked in full in early January 2026. Judging off the encoder data this song was bounced some time in mid 2024 after the release of 11:11 Deluxe.,,,"Jan 5, 2026",Full,Low Quality,https://pillows.su/f/817a571a7524dd4eab3fb7639810b3ac
Breezy,"Take It All Back
(prod. Hitmaka)","Snippet owned by GucciTunes, sounds like Hitmaka additional vocals so it's produced by him.",,,"Dec 15, 2025",Snippet,CD Quality,https://pillows.su/f/3f63516e704bc8097bb09edced013055
11 : 11,"Tyga - ??? [V1]
(prod. Leo Son)
(Freak)",Snippet leaked 11/16/2025 along with other Tyga songs. Uses the same beat as Freak but it's unknown when this Tyga song is actually from so we're just putting it in 11:11 era.,,,"Nov 16, 2025",Snippet,High Quality,https://pillows.su/f/7139e5d743e606e4f015b44e3187cb26
