Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"24 Full
3 Tagged
2 Partial
0 Snippet(s)
2 Unavailable",Chris Brown,,,,,,,
Chris Brown,"Nothing But Love 4 U
(Nothing But Love For You)",Leaked in 2009.,,,,Full,Low Quality,https://pillows.su/f/bf8488536684f7d2a7b78f610fa4efa7
Chris Brown,"⭐ Who
(Who's Girl Is That)","Recorded in 2002 when Chris went under the name ""C. Sizzle"" and was randomly uploaded to streaming sites on an album ""C. Sizzle Undiscovered"" back in November 20th, 2015 but was never released under Chris or his team and has since been taken down.",,,,Full,CD Quality,https://pillows.su/f/d701942ea5f5b5ec01f7a2f548129bd8
Chris Brown,"TeGunz - Game Face
(feat. Chris Brown & Tion Pri)","From 2002/3 as Chris Brown calls himself ""C. Sizzle"". Nobody knows who either of these rappers are lol.",,,,Full,High Quality,https://pillows.su/f/204443f86ce443e1e942604d4e4c57b7
Chris Brown,ABC,Leaked in 2009 and is likely from the debut album era.,,,,Full,CD Quality,https://pillows.su/f/245c73c33e817eefa967ba278c34946e
Chris Brown,Apology,Leaked in 2009.,,,,Full,CD Quality,https://pillows.su/f/31145cc730f274caaf3885bf5aca0f44
Chris Brown,Boombox,Leaked in 2009.,,,,Full,High Quality,https://pillows.su/f/ccbf253f2005739615fd2576c4ac7529
Chris Brown,"🏆 Catch 22
(prod. Bryan-Micheal Cox & Kendrick Dean)","This is the only snippet of music that we have from the album that Chris Brown did with Bryan-Micheal Cox, Adonis Shropshire & Kendrick Dean. It's assumed this and the other tracks were done in sessions either with Say Goodbye or after. No actual producer credits for this song but its safe to assume that the same producers behind Say Goodbye produced all of the albums tracks.",,,,Partial,High Quality,https://pillows.su/f/5afb232211366040e7e7ba070055f6b9
Chris Brown,Cross Your Mind,Chris Brown era throwaway.,,,"Mar 22, 2010",Full,High Quality,https://pillows.su/f/7a173b428100d73fc34cd4957deef672
Chris Brown,Don't Need Much,Chris Brown era throwaway.,,,"Apr 25, 2010",Full,CD Quality,https://pillows.su/f/7aa072573047965a71d0576eb4b92b9b
Chris Brown,"Fired Up
(prod. Insomniax)",Chris Brown era throwaway.,,,"Feb 8, 2008",Full,High Quality,https://pillows.su/f/bce4c524d08d2dd0a3fbb00f390b6d08
Chris Brown,Gangsta Boo,Chris Brown era throwaway.,,,"Nov 23, 2006",Full,Low Quality,https://pillows.su/f/f6df6438964f11d7693a3ead4eb82da1
Chris Brown,"Gone Be My Girl
(Gon' Be My Girl)",Leaked in 2006.,,,,Full,Low Quality,https://pillows.su/f/da6a68308b5fd15ab540f6fdfa6ca93c
Chris Brown,I'm Afraid,Leaked in 2008 and has only one tag at the start.,,,,Tagged,High Quality,https://pillows.su/f/e0381a18bc41f9e5801b7384a3b5ebd2
Chris Brown,Keep It Movin,Seems like it was played on a radio or something however this is only a portion of the song and we are missing its 3rd verse which to this day hasnt leaked.,,,,Partial,Low Quality,https://pillows.su/f/56c1a9df107c7d44aa312def2d76f5ef
Chris Brown,⭐ Love Music,"Leaked in January 2009, but judging from the vocals It's likely from the debut album era.",,,,Full,High Quality,https://pillows.su/f/656e221b9bbb2f716f650084c167af0d
Chris Brown,"Never Leave
(feat. Jessica Mauboy)","Leaked July 21st, 2010.",,,"Jul 21, 2010",Full,High Quality,https://pillows.su/f/73b4e6d4a5519d2e6d91639b867c93e2
Chris Brown,"⭐ Nothing
(prod. The Underdogs)",Leaked in 2009.,,,"May 2, 2009",Full,High Quality,https://pillows.su/f/c8c259974fdd60c1511e1b03515c304a
Chris Brown,Now & Later,Leaked in 2006 and you know it's old cuz it got vinyl static or something.,,,,Full,Low Quality,https://pillows.su/f/3b2f7987f85574fbaa06f3bebb72781f
Chris Brown,"Oh Baby
(One Mo' Gin)",Leaked in 2007.,,,,Full,Low Quality,https://pillows.su/f/e8c3c4081c87f32350392c6958c80de2
