Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
WORK IN PROGRESS! CURRENTLY ADDING ALL LIVE OFFICIAL OR BOOTLEG PREFORMANCES BY THE BAND,,,,,,,,
,Early Days / Pre-Parachutes,,,, ,,,
,Music Videos,,,,,,,
Early Days,Bigger Stronger / Spies,"Coldplay's first MV. It was initially recorded for Spies, but later got redubbed with Bigger Stronger.",,,Music Video,Full,Toaster Quality,
,Videos,,,,,,,
Early Days,Bigger Stronger (Band Commentary),,,,Other,Full,Low Quality,
,Notable Live Performances,,,,,,,
Early Days,The Laurel Tree,Coldplay's live debut.,,"Jan 16, 1998",Live Performance,Confirmed,Not Available,N/A
Early Days,BBC Radio 1 Evening Session,Coldplay's first radio show.,,"Jan 3, 1999",Live Performance,Confirmed,Not Available,N/A
Early Days,BBC Radio 1 Evening Session,"Coldplay's second radio show, though the first one with public audio.",,"Mar 1, 1999",Live Performance,Confirmed,Not Available,
,Other,,,,,,,
Early Days,Blue Room Sessions,,,,Other,,,
,Parachutes,,,,N/A,,,
,Music Videos,,,,,,,
Parachutes,Shiver,"Directed by Grant Gee, who also made Meeting People Is Easy, the Shiver music video features Coldplay performing in a studio. The spinning globe from the Parachutes cover sits atop an amplifier—purchased by Chris Martin for £10 at WHSmith. The globe later appeared in animated form in Don't Panic and traveled with the band on the Parachutes World Tour.",5:00,"Mar 6, 2000",Music Video,Full,High Quality,YouTube
Parachutes,Yellow,"The video is a single continuous shot of Chris Martin walking alone on a rainy beach in England. Originally, the plan featured the full band on a sunny beach with extras, but after drummer Will Champion’s mother passed away, the other members attended her funeral. With the crew already in place, Martin filmed the video solo. The entire album, Parachutes, is dedicated to Will’s mother, Sara.",4:33,"May 23, 2000",Music Video,Full,High Quality,YouTube
Parachutes,Trouble (UK Version),"Original music video for Trouble. Made partly as an apology to Will after Chris kicked him out of the band. During filming of the video, 2 prositutes were jumping a homeless man across the road.",4:38,"Oct 3, 2000",Music Video,Full,High Quality,YouTube
Parachutes,Trouble (US Version),"The video embraces the ""Don't Panic"" motif with a unique two-dimensional cut-out style. It follows the band riding a horse-drawn carriage through a forest, while a woman tends to plants atop a mountain. A small crow from the carriage transforms into a dark cloud, bringing rain that leaves eerie holes and crow feathers in its wake. Ultimately, a tornado relocates the woman’s house to a suburban setting, blending surrealism with symbolism.",4:51,"Sep 25, 2001",Music Video,Full,High Quality,YouTube
Parachutes,Don't Panic,"Directed by British animator Tim Hope, the Don't Panic music video presents the band as two-dimensional paper cutouts performing household chores. Chaos ensues as floods overtake their home and village, forcing them to escape by boat. The video concludes with an animated take on the iconic yellow globe from Parachutes.",3:16,"Mar 19, 2001",Music Video,Full,High Quality,YouTube
,Videos,,,,,,,
Parachutes,Why Parachutes?,,,,Other,,,
Parachutes,Yellow video shoot,,,,Other,,,
Parachutes,Parachutes 'Music Video',,,,Music Video,,,
,Notable Live Performances,,,,,,,
Parachutes,,,,,,,,
Parachutes,,,,,,,,
Parachutes,,,,,,,,
Parachutes,,,,,,,,
Parachutes,,,,,,,,
,Other,,,,,,,
Parachutes,,,,,,,,
Parachutes,,,,,,,,
Parachutes,,,,,,,,
Parachutes,,,,,,,,
,A Rush of Blood to the Head,,,,,,,
,Music Videos,,,,,,,
A Rush Of Blood To The Head,In My Place,"The video was directed by Sophie Muller, and takes place in a large empty room. During the guitar solo, Martin runs off to chat with two women sitting on a step behind him. This was the makeup artist and the commissioner who were working on the set.",3:46,"Aug 5, 2002",Music Video,Full,High Quality,YouTube
A Rush Of Blood To The Head,The Scientist," Directed by Jamie Thraves, it starts with Chris Martin lying on a mattress and plays in reverse as we see how he got there. We learn that he was driving on a country road with his girlfriend in the passenger's seat when he swerved to avoid another vehicle, sending their car careening down a hill. His girlfriend is tossed through the windshield and presumably dead, but Martin wakes up and wanders off, eventually ending up on the mattress. Chris Martin had to learn how  to sing the song backwards for the video.",4:25,"Nov 4, 2002",Music Video,Full,High Quality,YouTube
A Rush Of Blood To The Head,Clocks,"The video was directed by Dominic Leung and shot at ExCeL London. It shows the band performing with a light show in front of an audience made up of local college students. On his left hand, Martin has handwritten the words ""MakeTradeFair.com."" The website, which shut down in 2004, was part of a campaign organized by Oxfam calling for fair trade policies.",4:15,"Apr 2, 2003",Music Video,Full,High Quality,YouTube
A Rush Of Blood To The Head,God Put a Smile Upon Your Face,"Directed by Jamie Thraves and starring Dead Man's Shoes actor Paddy Considine. A businessman notices that his hands start to slowly disappear. He runs through the city streets in a panic and eventually collapses on the sidewalk alone. As the song ends, the man disappears completely and his clothes fall limp on the ground.",4:59,"Jul 14, 2003",Music Video,Full,High Quality,YouTube
,Videos,,,,,,,
A Rush Of Blood To The Head,Jonny goes jazz,"A skit by Coldplay where Jonny is caught playing jazz, much to the band's dismay.",5:12,"Dec 1, 2001",Other,Full,Toaster Quality,YouTube
,Notable Live Performances,,,,,,,
A Rush Of Blood To The Head,"Live at Hordern Pavilion, Sydney","These shows were recorded for the live album ""Live 2003"".",,"Jul 21, 2002
Jul 22, 2002",Live Performance,Partial,CD Quality,(See released section for Live 2003 tracks)
A Rush Of Blood To The Head,Live on the Julie Slater Show,Solo appearance by Chris Martin; broadcast over FM radio. Notable for having the only acoustic performance of Moses.,,"Aug 27, 2003",Live Performance,Full,Low Quality,YouTube
,Other,,,,,,,
A Rush Of Blood To The Head,Clocks Sessions,,,,Stems,Not Publicly Available ,Not Available,
A Rush Of Blood To The Head,One I Love Sessions,,,,Stems,Not Publicly Available ,Not Available,
,X&Y,,,,,,,
,Music Videos,,,,,,,
X&Y,Speed of Sound,,,"Apr 23, 2005",Music Video,Full,High Quality,YouTube
X&Y,Fix You,,,,Music Video,Full,High Quality,YouTube
X&Y,Talk,,,,Music Video,Full,High Quality,YouTube
X&Y,The Hardest Part,,,,Music Video,Full,High Quality,YouTube
,Videos,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
,Notable Live Performances,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,,,,,,,,
X&Y,"Live at Rogers Stadium, Toronto","This gig was recorded for the cancelled  live release of the Twisted Logic tour entitled ""How We Saw The World Pt. 1"" It was later aired on TV, Due to that it was never able to be sold as a DVD",,"Mar 23, 2006",Live Performance,Full,High Quality,Full concert
,Other,,,,,,,
X&Y,🏆 Zero Theory Chicago 2003 sessions,,,10/9/2003,Other,Confirmed,Not Available,
,Viva la Vida or Death and All His Friends,,,,,,,
,Music Videos,,,,,,,
Viva la Vida,Violet Hill,,3:43,"May 18, 2008",Music Video,Full,High Quality,YouTube
Viva la Vida,Violet Hill (Dancing Politicians),"Directed by Mat Whitecross, the video is made up of clips, sometimes looped, featuring various politicians, scenes of war, clips of the band in Mader's version of the video, and firework displays.",3:41,,Music Video,Full,Low-Res,YouTube
Viva la Vida,Violet Hill (Alternate),"A previously unreleased music video for Violet Hill, which features Coldplay recording the song in the studio, was released on Apple Music in 2019.",4:02,,Music Video,Full,High Quality,LINK NEEDED
Viva la Vida,Viva La Vida,"The video, directed by Hype Williams, depicts the band performing against a blurry, warped version of Eugène Delacroix's painting La Liberté guidant le peuple, ending with the band members crumbling into rose petals.",4:02,"Aug 1, 2008",Music Video,Full,High Quality,YouTube
Viva la Vida,Viva La Vida (Anton Corbijn),,4:03,,Music Video,Full,High Quality,YouTube
Viva la Vida,Lovers in Japan,,,,Music Video,Full,High Quality,YouTube
Viva la Vida,Lost!,,4:21,"Sep 26, 2008",Music Video,Full,High Quality,YouTube
Viva la Vida,Lost?,"The music video for Lost? was chosen as part of a competition held by Coldplay in October 2008, in which fans were tasked with making homemade music videos for the song. The winning video was created by Paul O'Brien and features a mix of claymation and computer graphics.",3:37,"Nov 14, 2008",Music Video,Full,Low-Res,YouTube
Viva la Vida,Lost+,,4:43,"Nov 18, 2008",Music Video,Full,High Quality,YouTube
Viva la Vida,Life in Technicolor ii,,4:26,"Jan 20, 2009",Music Video,Full,High Quality,YouTube
Viva la Vida,Strawberry Swing,,4:14,"Jul 20, 2009",Music Video,Full,High Quality,YouTube
Viva la Vida,Cemeteries of London,"Unreleased music video.  a video directed by Asa Mader (who directed the ""Violet Hill"" video). His website briefly listed a ""Cemeteries of London"" project (with cinematography by Virginie Surdej and production by Max van Peebles) A snippet had resurfaced on the now  deleted Coldplay Archive server. Only remnant is this image

(See Below)",N/A,N/A,Music Video,Confirmed,Not Available,LINK NEEDED
,IMAGE,,,,,,,
,Videos,,,,,,,
Viva la Vida,"Chris, Will, Guy Jonny, Wronguy, Warm up their voices (Hilarious)",,,,,Full,Low Quality,
Viva la Vida,,,,,,,,
Viva la Vida,,,,,,,,
Viva la Vida,,,,,,,,
Viva la Vida,,,,,,,,
,Notable Live Performances,,,,,,,
Viva la Vida,Coldplay 2008 BBC Theatre,"A preformance i am not a big fan of, due to the missing of the techno hybrid Talk.",,"Aug 30, 2008",,Full,Low-Res,Entire Concert
Viva la Vida,Coldplay At the BBC 2008,This is where the Jay Z head bobbing meme came from. Yup. A short 40 minute preformance.,,2008,,Full,High Quality,Entire Concert
Viva la Vida,"Live in Toyko, Saitama Super arena","A live preformance, Released formally under 40 minutes. Missing a majority of songs, Recordings of Im a believer have leaked from offical camera's. However some are recoverable some are not. It is also less likely camcorders recorded the missing preformances",,"Feb 1, 2009",,Partial,High Quality,Partially released
Viva la Vida,Live Syndey Austraila Sound Relief,"A Short 40 minute preformance where, Coldplay perform in Sydney as part of the multi-venue concert ""Sound Relief"" to raise funds for those affected on the 2009 Victorian bush fires. FUN FACT: At the final part of fix you, AKA the ""Tears stream"" Part. Chris martin jumps down into the crowd and gets chased. Wronguy tried to help him but got tackled by a fan and a secruity officer. Chris did state he regretted doing that",,2009,,Full,High Quality,Entire Concert
Viva la Vida,,,,,,,,
Viva la Vida,"🏆 Live in Barcelona, Spain","This was the Viva la Vida tour date that was filmed for the unreleased Live in Barcelona concert film. Theorized to be called ""How  We See The World Part 2"" Unreleased concert film of a Viva la Vida tour performance in Barcelona, Spain. The film was supposedly scrapped due to audio issues during performances of Life in Technicolor and Violet Hill. The film was to be edited together by Done+Dusted, the production company behind Live 2003 & How  We See The World Part 1. ",,"Sep 4, 2009",Live Performance,Partial,Low Quality,Footage compilation (YouTube)
Viva la Vida,"Live in Nijmegen, Netherlands MUTICAM",May not be official but is a nice reflection of the past.,1:07:21,"Sep 9, 2009",,Full,Recording,Entire Concert
,Other,,,,,,,
Viva la Vida,Jonny Buckland Singing compilation,A compilation featuring Jonny Buckland the gituarist of coldplay Preforming backing vocals. Through his in ear mointer. ,,,Stems,LINK NEEDED,,
Viva la Vida,Guy Berryman Singing compliation,A compilation featuring Guy Berryman the Bassist of coldplay Preforming backing vocals. Through his in ear mointer. ,,,Stems,LINK NEEDED,,
Viva la Vida,Famous Old Painters Sessions,,,,Stems,Not Publicly Available ,Not Available,
,The Wedding Album, ,,N/A,,,,
,Music Videos,,,,,,,
The Wedding Album,Christmas Lights,,4:30,"Nov 30, 2010",Music Video,Full,High Quality,YouTube
,Videos,,,,,,,
The Wedding Album,,,,,,,,
,Notable Live Performances,,,,,,,
The Wedding Album,Top of the Pops 2010,,,,Live Performance,Full,High Quality,YouTube
,Mylo Xyloto,,,,,,,
,Music Videos,,,,,,,
Mylo Xyloto,Every Teardrop Is a Waterfall,,4:10,"Jun 28, 2011",Music Video,Full,High Quality,YouTube
Mylo Xyloto,Paradise,,4:20,"Oct 18, 2011",Music Video,Full,High Quality,YouTube
Mylo Xyloto,Paradise (Hype Williams),,,,Music Video,Confirmed,Not Available,
Mylo Xyloto,Paradise (Shynola),,4:44,"Jan 18, 2012",Music Video,Full,High Quality,YouTube
Mylo Xyloto,Charlie Brown,,4:45,"Feb 3, 2012",Music Video,Full,High Quality,YouTube
Mylo Xyloto,Princess of China,,3:34,"Jun 2, 2012",Music Video,Full,High Quality,YouTube
Mylo Xyloto,Hurts Like Heaven,,3:30,"Oct 8, 2012",Music Video,Full,High Quality,YouTube
,Videos,,,,,,,
Mylo Xyloto,,,,,,,,
,Notable Live Performances,,,,,,,
Mylo Xyloto,Stade de France,,,,,,,
,Ghost Stories,,,,,,,
,Music Videos,,,,,,,
Ghost Stories,Atlas,,,,,,,
Ghost Stories,Midnight,,,"Feb 25, 2014",Music Video,Full,High Quality,YouTube
Ghost Stories,Magic,,,"Apr 7, 2014",Music Video,Full,High Quality,YouTube
Ghost Stories,A Sky Full Of Stars,,,"Jun 19, 2014",Music Video,Full,High Quality,YouTube
Ghost Stories,A Sky Full Of Stars (Artisan),,,,Music Video,Full,High Quality,YouTube (reupload)
Ghost Stories,True Love,,,"Aug 22, 2014",Music Video,Full,High Quality,YouTube
Ghost Stories,All Your Friends,,,"Nov 7, 2014",Music Video,Full,High Quality,YouTube
Ghost Stories,Ghost Story,,,"Mar 9, 2015",Music Video,Full,High Quality,YouTube
Ghost Stories,Magic (Director's Cut),,,"Nov 24, 2014",Music Video,Full,High Quality,
Ghost Stories,Ink,,,"Dec 10, 2014",Music Video,Full,High Quality,YouTube
Ghost Stories,Miracles,,,"Dec 22, 2014",Music Video,Full,High Quality,YouTube
,Videos,,,,,,,
Ghost Stories,,,,,,,,
Ghost Stories,,,,,,,,
Ghost Stories,,,,,,,,
Ghost Stories,,,,,,,,
,Notable Live Performances,,,,,,,
Ghost Stories,"Live at Sony Pictures Studios, Culver City, California",This was a limited-attendance performance of the entire Ghost Stories album that was filmed for the Ghost Stories Live 2014 concert film.,,Mar 2014,Live Performance,Full,High Quality,(See below)
Ghost Stories,,,,,,,,
Ghost Stories,,,,,,,,
Ghost Stories,,,,,,,,
Ghost Stories,,,,,,,,
Ghost Stories,,,,,,,,
Ghost Stories,,,,,,,,
,Other,,,,,,,
Ghost Stories,Coldplay: Making Ghost Stories,An interview (by Fearne Cotton) of Coldplay discussing the making of Ghost Stories.,~30:00,"May 19, 2014",Film,Full,High Quality,LINK NEEDED
Ghost Stories,Ghost Stories Live 2014,This concert film captures a limited-attendance performance of the entirety of Ghost Stories in March 2014 (two months prior to the album's release).,41:57,"Nov 24, 2014",Film,Full,High Quality,LINK NEEDED
Ghost Stories,"Always In My Head (Live 2014, Alternate)",Alternate live take of Always In My Head from the Ghost Stories Live 2014 film.,3:35,"Nov 24, 2014",Other,Full,High Quality,LINK NEEDED
Ghost Stories,"Oceans (Live 2014, Alternate)",Alternate live take of Oceans from the Ghost Stories Live 2014 film.,5:13,"Nov 24, 2014",Other,Full,High Quality,LINK NEEDED
Ghost Stories,Game Of Thrones: The Musical,Comedic skit made for Red Nose Day on NBC where Coldplay teams up with the Game of Thrones cast in an attempt to create a Game of Thrones musical.,12:16,"May 22, 2015",Film,Full,High Quality,YouTube
Ghost Stories,"A Man For All Seasons (Still Goin' Strong)
(feat. Peter Dinklage)",Part of Game Of Thrones: The Musical.,,"May 19, 2015",Off-Streaming,Full,High Quality,YouTube
Ghost Stories,"Closer To Home
(feat. Nikolaj Coster-Waldau)",Part of Game Of Thrones: The Musical.,,"May 20, 2015",Off-Streaming,Full,High Quality,YouTube
Ghost Stories,"I'm a Real Bastard
(feat. Alfie Allen, Charlotte Hope & Iwan Rheon)",Part of Game Of Thrones: The Musical.,,2015,Off-Streaming,Full,High Quality,LINK NEEDED
Ghost Stories,"Rastafarian Targaryen
(feat. Emilia Clarke)",Part of Game Of Thrones: The Musical.,,"May 21, 2015",Off-Streaming,Full,High Quality,YouTube
Ghost Stories,"Red Wedding
(feat. Game Of Thrones cast)",Part of Game Of Thrones: The Musical.,,2015,Off-Streaming,Full,High Quality,LINK NEEDED
Ghost Stories,"Wildling
(feat. Kit Harrington)",Part of Game Of Thrones: The Musical. Parody of Wild Thing by The Troggs.,,2015,Off-Streaming,Full,High Quality,LINK NEEDED
,A Head Full Of Dreams,,,,,,,
,Music Videos,,,,,,,
A Head Full Of Dreams,Adventure of a Lifetime,,5:15,"Nov 29, 2015",Music Video,Full,High Quality,YouTube
A Head Full Of Dreams,Birds,,,,Music Video,Full,High Quality,
A Head Full Of Dreams,Hymn for the Weekend,,,,Music Video,Full,High Quality,
A Head Full Of Dreams,Up&Up,,,,Music Video,Full,High Quality,
A Head Full Of Dreams,A Head Full of Dreams,,,,Music Video,Full,High Quality,
A Head Full Of Dreams,Everglow,"A grayscale video of Chris Martin playing Everglow solo on piano. Unlike most music videos, it uses the audio of Chris' live performance rather than the studio version of the song. Also features a video of a 1977 speech by Muhammad Ali which was used in Everglow. Directed by Ben Mor.",5:05,"Dec 9, 2016",Music Video,Full,High Quality,YouTube
A Head Full Of Dreams,Everglow (Alternate),"A greyscale video of a lone woman figure skating on an empty ice rink set to Everglow's single version. Filmed in at the Eisstadion am Pferdeturm in Hanover, Germany on June 30, 2016. Only released through director Joe Connor's Vimeo channel in 2017.",4:27,"Mar 10, 2017",Music Video,Full,High Quality,Vimeo
A Head Full Of Dreams,Something Just Like This (Tokyo Remix),,,,Music Video,Full,High Quality,
,Videos,,,,,,,
A Head Full Of Dreams,,,,,,,,
A Head Full Of Dreams,,,,,,,,
A Head Full Of Dreams,,,,,,,,
,Notable Live Performances,,,,,,,
A Head Full Of Dreams,2017 BRIT Awards,"Live debut of Something Just Like This, performed on the day of its release.",,,,,,
A Head Full Of Dreams,,,,,,,,
A Head Full Of Dreams,,,,,,,,
,Other,,,,,,,
A Head Full Of Dreams,Live in São Paulo,"A concert film of one of the final shows on the AHFOD tour in São Paulo, Brazil.",,2018,Film,Full,High Quality,
A Head Full Of Dreams,Coldplay: A Head Full Of Dreams,A documentary featuring the history of Coldplay from their beginning as a band up through the release of A Head Full of Dreams (the album).,,"Nov 14, 2018",Film,Full,High Quality,
A Head Full Of Dreams,The Butterfly Package,"Compilation featuring Live in Buenos Aires, Live in São Paulo, and the A Head Full Of Dreams documentary. The set was also meant to include a live version of Live is Beautiful, but was scrapped before release.",,"Dec 7, 2018",Other,Full,High Quality,
A Head Full Of Dreams,Figures Of Ridicule,Arrangement of Trouble. Played on the AHFOD Documentary.,,2018,Off-Streaming,Full,High Quality,
A Head Full Of Dreams,Minions,Improvised song by Chris poking fun at the band's members. Played on the AHFOD Documentary.,,2018,Off-Streaming,Full,High Quality,
A Head Full Of Dreams,Paparazzi,Arrangement of Midnight. Played on the AHFOD Documentary.,,2018,Off-Streaming,Full,High Quality,
A Head Full Of Dreams,(I) Trust Life,"Arrangement of Fly On, includes elements of: Viva La Vida, A Sky Full Of Stars, Fix You, & Charlie Brown. Played on the AHFOD Documentary.",,2018,Off-Streaming,Full,High Quality,
A Head Full Of Dreams,Will Leaves,Arrangement of Midnight. Played on the AHFOD Documentary.,,2018,Off-Streaming,Full,High Quality,
,Everyday Life,,,,,,,
,Music Videos,,,,,,,
Everyday Life,Orphans,,4:00,"Oct 25, 2019",Music Video,Full,High Quality,YouTube
Everyday Life,Daddy,,4:59,"Nov 20, 2019",Music Video,Full,High Quality,YouTube
Everyday Life,Everyday Life,,6:21,"Dec 9, 2019",Music Video,Full,High Quality,YouTube
Everyday Life,Cry Cry Cry,,3:34,"Feb 14, 2020",Music Video,Full,High Quality,YouTube
