Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Early Days,Panic (Part 1),"Called Panic Part 1, but the released version is just called Don't Panic.",,,,,Full,Lossless,LINK NEEDED
Early Days,See You Soon,,,,,,Full,Lossless,LINK NEEDED
Early Days,We Never Change,Unreleased version from The Blue Room.,,,,,Full,Lossless,LINK NEEDED
,Parachutes,,,,,,"Parachutes is the debut studio album by the British rock band Coldplay. It was released on 10 July 2000 by Parlophone in the United Kingdom and on 7 November 2000 by Nettwerk in the United States. Ken Nelson and the band co-produced all songs except ""High Speed"", which was produced by Chris Allison alone.

This album is dedicated to Sara Champion, Will's mother.",,
Parachutes,Don't Panic,,,,,,Confirmed,Not Available,N/A
Parachutes,Shiver (Guitar Hero),,,,,,Full,High Quality,LINK NEEDED
Parachutes,Yellow (Guitar Hero),,,,,,Full,High Quality,LINK NEEDED
Parachutes,Yellow (Rock Band),,,,,,Full,High Quality,LINK NEEDED
Parachutes,Yellow (Demo),,,,,,Full,Lossless,LINK NEEDED
Parachutes,Yellow,Supposedly missing two stems.,,,,,Full,Lossless,LINK NEEDED
Parachutes,Don't Panic,,,,,,Full,Lossless,LINK NEEDED
Parachutes,Shiver,Seemingly an earlier mix.,,,,,Full,Lossless,LINK NEEDED
Parachutes,Spies,,,,,,Full,Lossless,LINK NEEDED
Parachutes,Sparks,Has vocal bleed due to the track being recorded in one performance.,,,,,Full,Lossless,LINK NEEDED
Parachutes,Yellow,Seemingly pitched up.,,,,,Full,Lossless,LINK NEEDED
Parachutes,Trouble,,,,,,Full,Lossless,LINK NEEDED
Parachutes,High Speed,Unreleased Parachutes version of the song,,,,,Full,Lossless,LINK NEEDED
Parachutes,Everything's Not Lost,,,,,,Full,Lossless,LINK NEEDED
Parachutes,Life Is for Living,The instrumental seems to repeat once.,,,,,Full,Lossless,LINK NEEDED
Parachutes,Bigger Stronger,Unreleased Parachutes version of the song,,,,,Full,Lossless,LINK NEEDED
Parachutes,Brothers & Sisters,Demo version of the Parachutes version of the song.,,,,,Full,Lossless,LINK NEEDED
,A Rush of Blood to the Head,,,,,,"A Rush of Blood to the Head is the second studio album by the British rock band Coldplay. It was released on 26 August 2002 by Parlophone in the United Kingdom, and a day later by Capitol in the United States.",,
A Rush Of Blood To The Head,Clocks,,,,N/A,,Not Publicly Available,Not Available,N/A
A Rush Of Blood To The Head,The One I Love,,,,N/A,,Not Publicly Available,Not Available,N/A
A Rush Of Blood To The Head,In My Place (Guitar Hero),,,,,,Full,High Quality,LINK NEEDED
A Rush Of Blood To The Head,The Scientist (Rock Band),,,,,,Full,High Quality,LINK NEEDED
A Rush Of Blood To The Head,Clocks (Demo),,,,,,Full,Lossless,Clocks (Demo) Stems
A Rush Of Blood To The Head,Clocks (Rock Band),,,,,,Full,High Quality,LINK NEEDED
A Rush Of Blood To The Head,God Put a Smile upon Your Face (Guitar Hero),,,,,,Full,High Quality,LINK NEEDED
A Rush Of Blood To The Head,One I Love (Demo),,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,Politik,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,In My Place,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,God Put a Smile upon Your Face,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,The Scientist,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,Clocks,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,Daylight,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,Green Eyes,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,Warning Sign,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,A Whisper,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,A Rush of Blood to the Head,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,Amsterdam,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,1.36,,,,,,Full,Lossless,LINK NEEDED
A Rush Of Blood To The Head,One I Love (With Tambourine),,,,,,Not Publicly Available,Not Available,LINK NEEDED
A Rush Of Blood To The Head,One I Love (Without Tambourine),,,,,,Not Publicly Available,Not Available,LINK NEEDED
,X&Y,,,,,,"X&Y is the third studio album by the British rock band Coldplay. It was released on 6 June 2005 by Parlophone in the United Kingdom, and a day later by Capitol in the United States. Produced by Coldplay and producer Danton Supple, the album was recorded during a turbulent period for the band, during which their manager and creative director, Phil Harvey, briefly departed. Producer Ken Nelson was originally tasked with producing the record; however, many songs written during his sessions were discarded due to the band's dissatisfaction with them. The album's cover art combines colours and blocks to represent the title in Baudot code.",,
X&Y,Fix You,,,,,,Full,High Quality,Fix You Sessions
X&Y,Fix You (Rock Band),,,,,,Full,High Quality,LINK NEEDED
X&Y,Square One,,,,,,Full,Lossless,LINK NEEDED
X&Y,What If,,,,,,Full,Lossless,LINK NEEDED
X&Y,White Shadows,,,,,,Full,Lossless,LINK NEEDED
X&Y,Fix You,,,,,,Full,Lossless,LINK NEEDED
X&Y,Talk,,,,,,Full,Lossless,LINK NEEDED
X&Y,X&Y,,,,,,Full,Lossless,LINK NEEDED
X&Y,Speed of Sound,Seemingly an earlier mix.,,,,,Full,Lossless,LINK NEEDED
X&Y,A Message,,,,,,Full,Lossless,LINK NEEDED
X&Y,The Hardest Part,,,,,,Full,Lossless,LINK NEEDED
X&Y,Low,,,,,,Full,Lossless,LINK NEEDED
X&Y,Swallowed in the Sea,,,,,,Full,Lossless,LINK NEEDED
X&Y,Twisted Logic,,,,,,Full,Lossless,LINK NEEDED
X&Y,Til Kingdom Come,,,,,,Full,Lossless,LINK NEEDED
X&Y,Gravity,,,,,,Full,Lossless,LINK NEEDED
X&Y,How You See the World,,,,,,Full,Lossless,LINK NEEDED
X&Y,Sleeping Sun,,,,,,Full,Lossless,LINK NEEDED
X&Y,The World Turned Upside Down,,,,,,Full,Lossless,LINK NEEDED
X&Y,Things I Don't Understand,Seemingly an earlier mix.,,,,,Full,Lossless,LINK NEEDED
,Viva la Vida or Death and All His Friends,,,,,,"Viva la Vida or Death and All His Friends, often referred to as simply Viva la Vida, is the fourth studio album by the British rock band Coldplay, released on 12 June 2008 by Parlophone in the United Kingdom. ""Viva la vida"" is a Spanish phrase, translated to English as ""long live life"" or simply ""live life"". Lyrically, the album contains references to love, life, death and war.",,
Viva la Vida,Famous Old Painters,"Consists of multiple takes for different instruments, alternate mixes of FOP, and takes of a demo called When You See Marie, which later turned into an AHFOD Tour song Houston #1.",,,N/A,,Full,High Quality,LINK NEEDED
Viva la Vida,Fun,Has stems of Chris harmonising with Natalie(?),,,N/A,,Not Publicly Available,Not Available,N/A
Viva la Vida,Prospekt's March,Corrupted.,,,N/A,,Not Publicly Available,Not Available,N/A
Viva la Vida,Violet Hill (Guitar Hero),,,,,,Full,High Quality,LINK NEEDED
Viva la Vida,Viva la Vida (Rock Band),,,,,,Full,High Quality,Viva la Vida Stems
Viva la Vida,Famous Old Painters (Phil's Feeling),"OG Filename: Famous-PhilsFeelingAcapella
Included in the Famous Old Painters sessions. Starts later and ends sooner than its instrumental counterpart.","Jan 22, 2008",,2:46,,OG File,Lossless,LINK NEEDED
Viva la Vida,Life in Technicolor,,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Cemeteries of London,Unmixed.,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Lost!,Officially released as a B-Side to Lost! under the name 'Lost-'.,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,42,,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Lovers in Japan,,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Reign of Love,,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Yes,Seemingly an earlier mix.,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Chinese Sleep Chant,,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Viva la Vida,Unmixed.,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Violet Hill,Features an unreleased track as an intro; Until The Water Flows Over. Unmixed,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Strawberry Swing,Officially released on Strawberry Swing's single. Leaked version has an alternative post-chorus instrumental.,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Death and All His Friends,Second half only.,,,,,Partial,Lossless,LINK NEEDED
Viva la Vida,The Escapist,,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Life in Technicolor ii,,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Glass of Water,,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Rainy Day,Early demo with School (DAAHF first half) as an intro and a shorter mix of Rainy Day as the second half.,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Prospekt's March / Poppyfields,,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Famous Old Painters,Unreleased song. Seems to be different from the Sessions mixes.,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Famous Old Painters (Phil's Feeling),"OG Filename: Famous-PhilsFeelingInstr
Included in the Famous Old Painters sessions.","Jan 22, 2008",,3:17,,OG File,Lossless,LINK NEEDED
Viva la Vida,Lukas,Unreleased song.,,,,,Full,Lossless,LINK NEEDED
Viva la Vida,Life in Technicolor ii (Alt. Instrumental),"From the BBC Radio 1 Instrumentals CD set. Different mixmaster that the one on the single, seems to predate the album's release.",,,,,Full,Lossless,LINK NEEDED
,The Wedding Album,,,,N/A,,"This album was unfortunately scrapped at some point in 2010 due to the songs not going in the ideal direction. Originally the album was supposed to release during Christmas 2009, which was later moved to Christmas 2010. The only official single from this album, Christmas Lights, was released instead. Life In Technicolor ii and Lhuna were originally planned to be released on this album before they were released as-is.",,
The Wedding Album,Christmas Lights,Unconfirmed,,,N/A,,Rumored,Not Available,
The Wedding Album,Spanish Rain,7 mixes confirmed to exist.,,,N/A,,Not Publicly Available,Not Available,
The Wedding Album,Wedding Bells,,2010,,N/A,,Rumored,Not Available,
The Wedding Album,Weirdo,Jams,2010,,N/A,,Not Publicly Available,Not Available,
The Wedding Album,Love in a Lethal Dose / Umbrella Man,,,,,,Not Publicly Available,Not Available,
The Wedding Album,Christmas Lights,Has quiet vocals on pre-chorus and full volume vocals on the bridge and part of the outro.,,,,,Full,Lossless,LINK NEEDED
The Wedding Album,Love in a Lethal Dose / Umbrella Man,,,,,,OG File,Lossless,LINK NEEDED
,Mylo Xyloto,,,,,,Don't ever let go,,
Mylo Xyloto,Tomorrow,OG Filename: TOMORROW RS002 monmix 20110810 B DG export for BR D,"Aug 10, 2011",,N/A,,Not Publicly Available,Not Available,
Mylo Xyloto,Every Teardrop is a Waterfall (Rock Band),,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Paradise (Guitar Hero),,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Mylo Xyloto,Released version is already instrumental.,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Hurts Like Heaven,Officially released on Hurts Like Heaven's single.,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Paradise,Officially released on Paradise's single.,,,,,Full,CD Quality,Paradise (Instrumental)
Mylo Xyloto,Charlie Brown,Officially released on Charlie Brown's single.,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Us Against the World,,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,M.M.I.X.,Released version is already instrumental.,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Every Teardrop is a Waterfall,,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Major Minus,,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,U.F.O.,,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Princess of China,Officially released on Princess of China's EU single.,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Up in Flames,,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,A Hopeful Transmission,Released version is already instrumental.,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Don't Let It Break Your Heart,,,,,,Full,High Quality,LINK NEEDED
Mylo Xyloto,Up with the Birds,,,,,,Full,High Quality,LINK NEEDED
Ghost Stories,Lethal Drug,Contains versions from 2010 - 2020.,,,N/A,,Full,High Quality,Lethal Drug Sessions
Ghost Stories,A Sky Full of Stars (Multitrack),,,,,,Full,Lossless,A Sky Full of Stars Stems
Ghost Stories,Midnight (Multitrack),,,,,,Confirmed,Not Available,
Ghost Stories,Always in My Head,,,,3:36,,Full,High Quality,Always in My Head (Instrumental)
Ghost Stories,Magic,,,,4:45,,Full,High Quality,Magic (Instrumental)
Ghost Stories,Ink,,,,3:48,,Full,High Quality,Ink (Instrumental)
Ghost Stories,True Love,,,,4:06,,Full,High Quality,True Love (Instrumental)
Ghost Stories,Midnight,,,,4:54,,Full,High Quality,Midnight (Instrumental)
Ghost Stories,Another's Arms,,,,3:54,,Full,High Quality,Another's Arms (Instrumental)
Ghost Stories,A Sky Full of Stars,,,,4:29,,Full,CD Quality,A Sky Full of Stars (Instrumental)
Ghost Stories,O,,,,5:24,,Full,High Quality,O (Instrumental)
Ghost Stories,Atlas,,,,3:56,,Full,High Quality,Atlas (Instrumental)
,A Head Full Of Dreams,,,,,,Believe in Love,,
