Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
Early Days,Ode to Deodorant Promo Cassette,"Officially released tracklist for the Ode to Deodorant Promo Cassette as 'The Coldplay'.

1. Ode to Deodorant
2. Brothers + Sisters",,1998,Clear,Coldplay,
Early Days,Safety E.P.,"Early tracklist from the Safety E.P.'s recording sessions according to Nikki Rosetti, the EP's producer.

1. High Speed
2. Such a Rush
3. Ode to Deodorant
4. If All Else Fails
5. Bigger Stronger
6. Panic (Don't Panic)
7. No More Keeping My Feet on the Ground",,,Clear,Secondary,
Early Days,Safety E.P.,"Officially released tracklist for the Safety E.P.

1. Bigger Stronger
2. No More Keeping My Feet on the Ground
3. Such a Rush",,"May 25, 1998",Clear,Coldplay,
Early Days,Panic E.P.,"Made public through Debs Wild's Life In Technicolor book. Not in order. Made by 'Starfish'.

So Sad
Panic (Don't Panic)
High Speed",,"May 25, 1998",Clear,Secondary,
Early Days,Rough Demos Cassette,"Early demo cassette meant to be sent to Supergrass by Coldplay, but was instead sent to Debs Wild.

1. Shiver
2. Wooden House (We Never Change)
3. Bigger Stronger
4. Brothers + Sisters
5. Ode (to Deodorant)
+ many others....",,,Clear,Secondary,
Early Days,The Blue Room E.P.,"Early unnamed version of The Blue Room. Only 30 copies made.

1. Don't Panic
2. Spies
3. High Speed
4. See You Soon",,1999,Clear,N/A,
Early Days,The Blue Room E.P.,"Officially released tracklist for The Blue Room E.P.

1. Bigger Stronger
2. Don't Panic
3. See You Soon
4. High Speed
5. Such a Rush",,1999,Clear,Coldplay,
Parachutes,Parachutes,"Early unnamed version of Parachutes. French Promo CD.

1. Shiver
2. Trouble
3. Parachutes
4. Yellow
5. Spies
6. Sparks
7. Everything's Not Lost
8. Don't Panic
9. High Speed
10. We Never Change
11. Life Is For Living",,2000,Clear,N/A,
Parachutes,Parachutes,"Officially released tracklist for Parachutes.

1. Don't Panic
2. Shiver
3. Spies
4. Sparks
5. Yellow
6. Trouble
7. Parachutes
8. High Speed
9. We Never Change
10. Everything's Not Lost (inc. Life Is For Living)",,2000,Clear,Coldplay,
Parachutes,Acoustic E.P.,"Officially released tracklist for the Acoustic E.P.

1. Sparks
2. Careful Where You Stand
3. Yellow (Acoustic Version From Jo Whiley's Lunchtime Social)
4. See You Soon",,2000,Clear,Coldplay,
A Rush of Blood to the Head,"A Rush of Blood to the Head (?) (""COLDPLAY 2ND ALBUM"")","Unknown what this tracklist is for. Seen in the 'Jonny Goes Jazz' Video.

1. I Ran Away
2. Eyes For Eyes
3. Warning Sign
4. Amsterdam
5. Harmless
6. Deserter
7. Green Eyes",,Dec 2001,Blurry,Coldplay,
A Rush of Blood to the Head,A Rush of Blood to the Head,"Officially released tracklist for A Rush Of Blood To The Head.

1. Politik
2. In My Place
3. God Put A Smile Upon Your Face
4. The Scientist
5. Clocks
6. Daylight
7. Green Eyes
8. Warning Sign
9. A Whisper
10. A Rush Of Blood To The Head
11. Amsterdam",,2002,Clear,Coldplay,
X&Y,Zero Theory,"Rumoured early tracklist of Coldplay's third album, at the time called Zero Theory. Theorized to be from 2003 leaking in 2004 partially

1. Square/1 (Square One)
2. Talk
3. Something Ain't Right
4. Fury
5. Till Kingdom Come (Til Kingdom Come)
6. Blasphemy
7. What If
8. Echo My Name (I Can't Believe You're Gone)
9. X&Y
10. The Hardest Part
11.  Deja Vu",,2003,Clear,Secondary,
X&Y,Zero Theory,"Theorized late-Zero Theory tracklist. Not in any order. Due to the tracklist missing certain songs and nothing new being found


1. Square/1 (Square One)
2. Fury
3. Talk
4. Echo my name (I Can't Believe You're Gone)
5. Deja vu
6. What if
7. White Shadow's
8. Something aint right
9. Pour Me
10. Til kingdom come
11. The Hardest part
12. Until The Water Flows Over/Solid ground
13. X&Y
14. Zurich
15. In isolation
16. Leonardo
17. Ladder to the sun
18. Proof 
19. The World Turns Upside Down/Turn Your World Around 
20. Fix you/Lights will guide you home",,2003/2004,N/A,Coldplay,
X&Y,X&Y,"mid 2004 tracklist of the album, from AHFOD Doc. Not in any order

X

1. X&Y
2. Talk
3. Things i dont understand
4. The Speed of Sound
5. Til Kingdom Come
6. Square one
7. Fix you
8. The Hardest Part
9. Swallowed in the sea
10. How we see the world
11. Low

11. In isolation
12. Leonardo",,2004,Clear,Coldplay,
X&Y,X&Y,"Supposed early tracklist of the album, from a promo CD. 

X

1. Talk
2. Low
3. The Hardest Part
4. Speed Of Sound
5. What If
6. X&Y

Y

1. Square One
2. White Shadows
3. Fix You
4. A Message
5. Twisted Logic
6. Swallowed In The Sea",,2005,Clear,Secondary,
X&Y,X&Y,"Officially released tracklist for X&Y.

1. Square One
2. What If
3. White Shadows
4. Fix You
5. Talk
6. X&Y
7. Speed of Sound
8. A Message
9. Low
10. The Hardest Part
11. Swallowed In The Sea
12. Twisted Logic
13. Til Kingdom Come",,2005,Clear,Coldplay,
Viva la Vida,LeftrightLeftRightleft,"Early tracklist for Viva la Vida without both of its titular songs. Back when the album was called LeftrightLeftRightleft

1. Lost!
2. Cemeteries of London
3. Violet Hill
4. Poppyfields
5. 42
6. Yes!
7. Leftrightleftrightleft
8. Rainy Day",,"Sep 5, 2007",N/A,Coldplay,
Viva la Vida,Viva la Vida or Death and All His Friends,"Early tracklist for Viva la Vida without one of its titular songs.

1. Life in Technicolor
2. Cemeteries of London
3. Lost!
4. Prospekt's March
5. Lovers in Japan
6. Yes
7. Chinese Sleep Chant
8. Reign of Love
9. Death and All His Friends",,2007,Clear,Coldplay,
Viva la Vida,Viva la Vida or Death and All His Friends,"Rough tracklist for Viva la Vida that also includes songs that were later postponed to Prospekt's March. Written on a CD of VLV-era demos given to Debs Wild.

1. Life in Technicolor (instrumental) (Life in Technicolor)
2. Cemeteries of London
3. Lost!
4. 42
5. Lovers in Japan
6. School / Death and All His Friends
7. Reign of Love
8. Yes
9. Chinese Sleep Chant
10. Viva la Vida
11. Strawberry Swing
12. Life in Technicolor (Life in Technicolor ii)
13. The Escapist
14. Violet Hill
15. Postcards from Far Away / Glass of Water",,,Clear,Coldplay,
Viva la Vida,Viva la Vida or Death and All His Friends,"Early tracklist for ¡Viva la Vida!. The written tracklist includes additional writing at the top - it is impossible to make out what it says and is likely not an extra track name due the the same tracklist being shown elsewhere.

1. 42
2. Glass Of Water
3. Lost!
4. Postcards From Far Away / Chinese Sleep Chant
5. Prospekt's March / Poppy Fields
6. Yes
7. Death And All His Friends
8. Cemeteries Of London
9. Rainy Day
10. ¡Viva la Vida!
11. The Escapist",,,Clear,Coldplay,
Viva la Vida,Prospekt's March E.P. (?),"Unknown VLV-era tracklist.

1. Life in Technicolour
2. Prospekt's March
3. Lukas
4. Chinese U.F.O. / Chinese Dreams
5. Lhuna
6. The Goldrush
7. Rainy Day
---
Lost?",,2007,Blurry,Coldplay,
Viva la Vida,Viva la Vida or Death And All His Friends,"Officially released tracklist for Viva La Vida or Death and All His Friends.

1. Life in Technicolor
2. Cemeteries Of London
3. Lost!
4. 42
5. Lovers in Japan / Reign Of Love
6. Yes
7. Viva La Vida
8. Violet Hill
9. Strawberry Swing
10. Death And All His Friends",,2008,Clear,Coldplay,
Viva la Vida,Prospekt's March E.P.,"Officially released tracklist for Prospekt's March.

1. Life in Technicolor ii
2. Postcards From Far Away
3. Glass Of Water
4. Rainy Day
5. Prospekt's March / Poppyfields
6. Lost+
7. Lovers in Japan (Osaka Sun Mix)
8. Now My Feet Won't Touch The Ground",,2008,Clear,Coldplay,
The Wedding Album,The Wedding Album,"Early tracklist for The Wedding Album. Written on a whiteboard seen on Coldplay's episode of the South Bank Show.

1. Wedding Bells
2. Love In A Lethal Dose
3. Drunks & Guns
4. Cartoon Heart (Charlie Brown)
5. 1000-1 (Ballad Of St. John) (Bani Adam)
6. Gardeners On The Frontline
7. Famous Old Painters
8. Cartoon Head
9. Spanish Rain
10. Christmas Lights",,2009,Clear,Coldplay,
The Wedding Album,The Wedding Album,"(Allegedly) finished tracklist for The Wedding Album. Not in order.

Small World
Wedding Bells
Cartoon Heart (Charlie Brown)
Weirdo
Don Quixote/ Spanish Rain
Arabesque
Cartoon Head
Rescue Street
Christmas Lights",,,N/A,Secondary,
Mylo Xyloto,Mylo Xyloto,"Early tracklist seen in the MX Notebook.

1. Great Expectations (U.F.O., Mylo Xyloto)
2. Charlie Brown
3. Paradise
4. W (Weirdo)
5. Hurts Like Heaven
6. M.M.I.X.
7. Major Minus
8. Moving To Mars
9. Car Kids
10. A Hopeful Transmission
11. Every Teardrop Is A Waterfall",,"Jun 16, 2010",Clear,Coldplay,
Mylo Xyloto,Mylo Xyloto,"Early tracklist seen in the MX Notebook.

1. Mylo Xyloto/Great Expectations
2. Hurts Like Heaven
3. Paradise
4. Charlie Brown
5. Up With The Birds
6. Us Against The World
7. Princess Of China
8. A Hopeful Transmission
9. Car Kids
10. Moving To Mars
11. Every Teardrop Is A Waterfall",,2010,Clear,Coldplay,
Mylo Xyloto,Mylo Xyloto,"Early tracklist seen in the MX Notebook.

1. Mylo Xyloto
2. Hurts Like Heaven
3. Princess of China
4. Charlie Brown
5. Paradise
6. Us Against The World
7. Major Minus
8. Up With The Birds
9. UFO
10. Every Teardrop Is A Waterfall

Others:
Tomorrow
Moving To Mars
A Hopeful Transmission",,2010,Clear,Coldplay,
Mylo Xyloto,Mylo Xyloto,"Early tracklist seen in the MX Notebook.

1. Mylo Xyloto
2. Hurts Like Heaven
3. Paradise
4. Charlie Brown
5. Car Kids
6. Moving To Mars
7. Every Teardrop Is A Waterfall
8. Major Minus
9. Rescue St.
10. UFO
11. A Hopeful Transmission
12. Us Against The World
13. Up With The Birds
14. Princess Of China",,2010,Clear,Coldplay,
