Era,"Name
(CHECK OUT THE WEBSITE)",Notes,Art Type,Image,Project Type,Use,Link(s)
Before The Come Up,,,,,,,
The Come Up,The Come Up,"Front Cover of ""The Come Up""",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music211/v4/7b/e7/82/7be782a5-3b4d-f4fb-d59c-30ce454008f0/24UM1IM29702.rgb.jpg
The Come Up,The Come Up,More saturated version of the cover above.,Digital,,Front Cover,Alternate,https://archive.org/services/img/J_Cole_-_The_Come_Up_Mixtape_Vol_1/full/pct:500/0/default.jpg
The Come Up,The Come Up,"Back cover of ""The Come Up""",Digital,,Back Cover,Used,https://i.discogs.com/36D9ScaLyUwSZHtyIDMp1pbKVggtpaBMFM_TfUKmYxk/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzMTY1/NjAtMTMyNTQ1ODkx/Mi5qcGVn.jpeg
The Warm Up,The Warm Up To The Warm Up,"Cover for ""The Warm Up To The Warm Up"".",Digital,,Front Cover,Used,
The Warm Up,The Warm Up To The Warm Up [Back],"Back cover for ""The Warm Up To The Warm Up"".",Digital,,Back Cover,Used,
The Warm Up,The Warm Up,"Cover for ""The Warm Up"".",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music221/v4/ae/a3/83/aea3833c-28ef-9f35-da1b-ba781e15b714/24UM1IM31506.rgb.jpg
The Warm Up,The Warm Up [Back],"Back cover for ""The Warm Up"".",Digital,,Back Cover,Used,https://i.discogs.com/GAcBfDebh0rtTGHJZ8RC0c_yNEE8K3oxwXSgiU6ie-I/rs:fit/g:sm/q:90/h:440/w:440/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4NTI2/MjYtMTI0Nzg4MzYx/NS5qcGVn.jpeg
Friday Night Lights,Friday Night Lights,"Cover for ""Friday Night Lights"".",Digital,,Front Cover,Used,
Friday Night Lights,Friday Night Lights [Back],"Back cover for ""Friday Night Lights"".",Digital,,Back Cover,Used,https://i.discogs.com/VWBe3QBrmvOcxl4XbJamkihAEVGHsji4E9WTP_KdMfg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzMTY1/OTMtMTMyNTQ2MDk0/Mi5qcGVn.jpeg
Cole World,Cole World: The Sideline Story,"Cover for ""Cole World: The Sideline Story"".",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music126/v4/3c/4e/6c/3c4e6c35-c1cf-49f9-8cbb-524b1db743f5/18UMGIM69899.rgb.jpg
Cole World,Cole World: The Sideline Story,Clean version of the cover above.,Digital,,Front Cover,Alternate,https://a5.mzstatic.com/us/r1000/0/Music112/v4/4f/be/d2/4fbed251-5117-c028-bec6-86a29e2fc269/18UMGIM74053.rgb.jpg
Cole World,Cole World: The Sideline Story,"Back cover for ""Cole World: The Sideline Story"".",Digital,,Back Cover,Used,
Truly Yours,Truly Yours,"Front cover of ""Truly Yours"".",Digital,,Front Cover,Used,
Truly Yours 2,Truly Yours 2,"Front cover of ""Truly Yours 2"".",Digital,,Front Cover,Used,
Born Sinner,Born Sinner,"Cover for ""Born Sinner"".",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music124/v4/89/f9/aa/89f9aae3-fa6b-6fb8-5c74-e358ddd2febc/886444025942.jpg
Born Sinner,Born Sinner,Less saturated version of the cover above.,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music112/v4/7e/aa/3b/7eaa3b96-320f-ca41-885c-abe5d3ca8450/20UMGIM75715.rgb.jpg
Born Sinner,Born Sinner [Clean],Clean version of the cover above.,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music124/v4/da/52/41/da52415b-d0ac-d61f-422c-e84bf5ef8162/20UMGIM66000.rgb.jpg
Born Sinner,Born Sinner,"Back cover for ""Born Sinner"".",Digital,,Back Cover,Used,
Born Sinner,Born Sinner [Deluxe],"Cover for the deluxe edition of ""Born Sinner"".",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music114/v4/4f/c3/f3/4fc3f366-1148-74fe-2e88-ee37d4e633dd/20UMGIM65999.rgb.jpg
Born Sinner,Born Sinner [Deluxe],"Back cover for the deluxe edition of ""Born Sinner"".",Digital,,Back Cover,Used,
J. Cole x Kendrick Project,,,,,,,
J. Cole x Chance Project,,,,,,,
Truly Yours 4,,,,,,,
Revenge of the Dreamers 2,,,,,,,
2014 Forest Hills Drive,2014 Forest Hills Drive,"Cover for ""2014 Forest Hills Drive"".",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music116/v4/92/b9/62/92b9624d-e9fb-0e4f-f14b-6f1f96c0a3e0/21UM1IM54414.rgb.jpg
