Era,"Name
Check out the Tracker Website! ","Notes
(Join the Discord: CudiZone)",Length,Date,Type,Currently Available,Link(s),
,"A Kid Named Cudi
(2004-2008)","(10/07/04) (Scott Mescudi moves to New York) (Kid Mesc becomes KiD CuDi)
(07/17/08) (A Kid Named Cudi officially releases)",,,,,,
A Kid Named Cudi,A Kid Named Cudi Mixtape Trailer,Official Trailer for 'A Kid Named Cudi.',,,Advertisement,Yes,https://www.youtube.com/watch?v=ACsVSREfV6o,
A Kid Named Cudi,Heaven At Nite (Official Music Video),"Official Music Video for ""Heaven at Nite."" Directed by Va$htie. Produced by Kareem Johnson. Executive Produced by Aahmek Richards.",,,Music Video,Yes,https://vimeo.com/5024477,
A Kid Named Cudi,Behind The Scenes of Heaven At Nite,"Behind the Scenes Footage of the ""Heaven at Nite"" Music Video.",,,Behind The Scenes,Yes,https://www.youtube.com/watch?v=R6EEE3WNLtg&feature=related,
A Kid Named Cudi,When Lines Are Crossed,"A funny short fictional skit of Va$htie writing a video for Kid Cudi when he ""unexpectedly"" appears in her room and starts goofing around as a nerdy, funny, creeper(in a way). Va$htie is Computer Girl. Kid Cudi is Chauncy Wilkins McFalon.",,Aug 2008,Skit,Yes,https://www.youtube.com/watch?v=PiMcvX3b7tg,
,"Man On The Moon [V1]
(The Demo Tape, Pre Man On The Moon, Man On The Moon: The Guardians)
(2008-2009)","(07/17/08) (A Kid Named Cudi officially releases, and Cudi keeps working on music at Avex Recording Studio)
(07/23/2009) (Demo tapes start leaking online and Cudi decides to redo a lot of the album.)",,,,,,
Man On The Moon [V1],Day N Nite (Crookers Remix),"Official Music Video for ""Day N Nite (Crookers Remix).""",,,Music Video,Yes,https://www.youtube.com/watch?v=S-VveKWBz_k,
Man On The Moon [V1],Day N Nite (Crookers Remix) (BBGun Edition),"Official Music Video for ""Day N Nite (Crookers Remix) (BBGun Edition).""",,,Music Video,Yes,https://www.youtube.com/watch?v=yTAJ0PHYFU4,
Man On The Moon [V1],Super Boo (Official Music Video),"May be real, may be fake. No Kid Cudi.",,,Music Video,Yes,https://www.youtube.com/watch?v=QV19Wczs6aE,
Man On The Moon [V1],Sebastian Tellier - Look (Official Music Video),"Unreleased Official Music Video for ""Look."" Kid Cudi makes a funny cameo. Directed by Mano.",,,Music Video,Yes,https://www.youtube.com/watch?v=ZH-dA5nTLy0&t=89s,
Man On The Moon [V1],Solange - T.O.N.Y.,"Official Music Video for ""T.O.N.Y."" Kid Cudi makes a cameo.",,,Music Video,Yes,https://www.youtube.com/watch?v=BjPpdJdQNEI,
Man On The Moon [V1],Kanye West - Welcome To Heartbreak,"Official Music Video for ""Welcome to Heartbreak.""",,,Music Video,Yes,https://www.youtube.com/watch?v=wMH0e8kIZtE,
Man On The Moon [V1],Consequence - Buggin Out,"Official Music Video for ""Buggin Out."" Censored.",,,Music Video,Yes,https://www.youtube.com/watch?v=f7qjZ29B7K0,
,"Man On The Moon: The End Of Day
(Man On The Moon: The Guardians)
(Man On The Moon)","(07/23/2009) (The Demo Tapes start leaking online and Kid Cudi decides to redo most of the album)
(9/15/2009) (Man On The Moon: The End Of Day officially releases)",,,,,,
Man On The Moon,MOTM I Moon Print Trailer,First trailer for Kid Cudi's Debut album Man on the Moon: The End of Day.,,,Advertisement,Yes,https://www.youtube.com/watch?v=UkWOEadvVAk,
Man On The Moon,MOTM I Asteroid Trailer,Second trailer for Kid Cudi's Debut album Man on the Moon: The End of Day.,,,Advertisement,Yes,https://www.youtube.com/watch?v=9d0m_2VNONo,
Man On The Moon,MOTM I End Of Day Trailer,Final trailer for Kid Cudi's Debut album Man on the Moon: The End of Day.,,,Advertisement,Yes,https://www.youtube.com/watch?v=x3iwvIMrCik,
Man On The Moon,Soundtrack 2 My Life (Official Music Video),Official Music Video for Soundtrack 2 My Life.,,,Music Video,Yes,https://www.youtube.com/watch?v=TEmp41IbU-E,
Man On The Moon,Day 'N' Nite (Official Music Video),Official Music Video for Day N Nite.,,,Music Video,Yes,https://www.youtube.com/watch?v=VrDfSZ_6f4U,
Man On The Moon,Make Her Say (Official Music Video),Official Music Video for Make Her Say. CD Rip download available in the second link.,,,Music Video,Yes,https://www.youtube.com/watch?v=Xt22KvnRSL4,https://mega.nz/file/T3Rg3YyR#6lw339DnpnbV_W3oZZu7wKP3WvXYomVWRqLeVuBPkXE
Man On The Moon,Pursuit Of Happiness (Official Music Video),"Official Music Video for Pursuit of Happiness. Drake, Consequence, Johnny Polygon, & Actor Jake Hoffman make a cameo.",,,Music Video,Yes,https://www.youtube.com/watch?v=7xzU9Qqdqww,
Man On The Moon,Pursuit Of Happiness (Official Music Video) (Megaforce Edition),Alternate Official Music Video for Pursuit of Happiness. the duo Ratatat make a cameo.,,,Music Video,Yes,https://www.youtube.com/watch?v=3Z_Ys3BO_4M,
Man On The Moon,Sky Might Fall (Official Music Video),"Kid Cudi tweeted on his very first twitter account ""the video for Sky Might Fall will be a mini movie, it will be epic, shootin it in a couple weeks with Make Her Say."" Also, in a Q&A with OMG Blog when answering a question for ""Favorite Music Video"" Cudi replies with ""Can You Feel It"" by The Jackson Five, and says ""I’m gonna mock that video for ‘Sky Might Fall’ ⎯ you know how it starts in the mountains and then goes into the narrative? It’s so cinematic and that’s how I want all my stuff to be.""",,,Music Video,N/A (Confirmed),https://web.archive.org/web/20090523204852/http://datnewcudi.com/2009/05/20/omg-blog-qa-with-kid-cudi,
Man On The Moon,Behind The Scenes of Pursuit Of Happiness,Behind the Scenes footage of the Pursuit of Happiness Music Video with Headbanga.,,,Behind The Scenes,Yes,https://vimeo.com/11003712,
Man On The Moon,MOTM I End Of Day DVD RIP,"Footage of concerts, and a Mini Documentary of The End of Day Tour.",,,Other,Yes,https://mega.nz/file/PvoX2Raa#D_Eg9hQJOJWvmvJt-i26C4fG27wnmAQ8Lwki89V8xk4,
Man On The Moon,MOTM I Ragin' In Aussie Town DVD RIP,Various moments around Australia while touring.,,,Other,Yes,https://mega.nz/file/W2JAAYpL#U90q9bZdZItK_ejMEmVGTRXwoUeo-yAe7N_uIRE-VlE,
Man On The Moon,MOTM I Golf With The Broskis DVD RIP (Commentary),Kid Cudi & Dot Da Genius golfing in Australia. With Commentary.,,,Other,Yes,https://mega.nz/file/u7B0lKbZ#2KbcajW_U0GtejJ7_Wc4ud-z8rg_PS8ZO-bUhlLjSq0,
Man On The Moon,MOTM I Golf With The Broskis DVD RIP (No Commentary),Kid Cudi & Dot Da Genius golfing in Australia. Without Commentary.,,,Other,Yes,https://mega.nz/file/u2hxCTqD#yXoIDi5OZ9yZuM7oCjc8n1DNbZVP7prC5iBBfoRz5t0,
Man On The Moon,Behind The Scenes of Make Her Say DVD RIP,Behind the scenes footage of the Make Her Say video. DVD Rip got messed up. No download.,,,Other,Yes,https://www.youtube.com/watch?v=CqFUlJ5bf58,
Man On The Moon,BET Rising Icons (Full Episode),Additional info to be provided.,,,Other,Yes,https://vimeo.com/34718322,
Man On The Moon,Cudderisback (Official Music Video),Official Music Video for Cudderisback. Directed by Jason Goldwatch. Credits to Deconmedia.,,,Music Video,Yes,https://www.youtube.com/watch?v=fRk6K-H1Lxc,
Man On The Moon,I Gotta Feeling (Official Music Video),"Official Music Video for I Gotta Feeling. Kid Cudi, & David Guetta make a short cameo.",,,Music Video,Yes,https://www.youtube.com/watch?v=uSD4vsh1zDA,
Man On The Moon,Memories (Official Music Video),Official Music Video for Memories.,,,Music Video,Yes,https://www.youtube.com/watch?v=NUVCQXMUVnI,
Man On The Moon,Behind The Scenes of Memories,Behind the scenes footage of the Memories Music Video.,,,Behind The Scenes,Yes,https://www.youtube.com/watch?v=ICHhO0L8swg,
Man On The Moon,Did It Again (Official Music Video),Official Music Video for Did It Again.,,,Music Video,Yes,https://www.youtube.com/watch?v=xE2onUOa5u4,
Man On The Moon,Complex Video 2009,Behind the scenes footage from Kid Cudi's 2009 Complex Magazine interview.,,,Behind The Scenes,Yes,https://www.youtube.com/watch?time_continue=21&v=bWVPdgxMjUQ&feature=emb_logo,
,"Man On The Moon II: The Legend Of Mr. Rager
(Man On The Moon II: The Ghost In The Machine)","(01/14/2010) (Kid Cudi announces that he is no longer working on Cudder: The Revolution Of Evolution and is now working on Man On The Moon II)
(11/9/2010) (Man On The Moon II: The Legend Of Mr. Rager officially releases)",,,,,,
Man On The Moon II,MOTM II Trailer,Official trailer for Kid Cudi's Sophomore album Man on the Moon II: The Legend of Mr. Rager.,0:30,,Advertisement,Yes,https://www.youtube.com/watch?v=6S8iEOlUdm4,
Man On The Moon II,MOTM II Journey Of Mr. Rager,Mini-documentary packaged alongside the deluxe edition of Man On The Moon II. DVD Rip got messed up. No download.,,,Advertisement,Yes,https://vimeo.com/16740298,
Man On The Moon II,REVOFEV (Live at The Bape Store),More of a live performance than a Official Music Video. Back at the Bape Store. Small Interview as well.,,,Other,Yes,https://www.youtube.com/watch?v=23J8ldem_Hs&t=149s,
Man On The Moon II,Marijuana (Official Music Video),Official Music Video for Marijuana.,,,Music Video,Yes,https://www.youtube.com/watch?v=yN_EMqk7HcI,
Man On The Moon II,Mojo So Dope (Official Music Video),Official Music Video for Mojo So Dope.,,,Music Video,Yes,https://www.youtube.com/watch?v=RRS69IoxVYw,
Man On The Moon II,Erase Me (Official Music Video),"Official Music Video for Erase Me. Cameos by Actors Christopher Mintz-Plasse, & Clark Duke. Kid Cudi gives off a Jimi Hendrix-esque look but assures you it was just coincidence in some interviews.",,,Music Video,Yes,https://mega.nz/file/qvYhQCyK#KHvMSBIM34nhukxsXHicTl7emqBPTxdkCfCyc3wk3Lw,
Man On The Moon II,Mr. Rager (Official Music Video),Official Music Video for Mr. Rager. Kanye West makes a small cameo.,,,Music Video,Yes,https://www.youtube.com/watch?v=06r35x1nvo0,
Man On The Moon II,Mr. Rager (8-bit Version),"OG Filename: background.mp3
An 8-bit version of Mr. Rager found on the ""membersoftherage"" website",,,Other,Yes,https://pillowcase.su/f/c93beecfdafe0dce8db6c9ea4231b997,
Man On The Moon II,That Tree (Official Music Video),Official Music Video for That Tree.,,,Music Video,Yes,https://www.youtube.com/watch?v=b6speA_XhP4,
Man On The Moon II,Symphonies (Official Music Video),Official Music Video for Symphonies.,,,Music Video,Yes,https://www.youtube.com/watch?v=uWWG75lLemA,
Man On The Moon II,All Summer (Official Music Video),Official Music Video for All Summer.,,,Music Video,Yes,https://www.youtube.com/watch?v=FwPNNH38KnM,
Man On The Moon II,KatalystHQ: Crazy for Kenna (feat. Kid Cudi),Additional info to be provided.,,,,Yes,https://www.youtube.com/watch?v=4vT9blzman4,
Man On The Moon II,HollywoodTV,Infamous video of The Rager at the end of a night out. (A Drunken Cudi).,,,,Yes,https://www.youtube.com/watch?v=48r7cA8Dk8E,
Man On The Moon II,Converse You're It,Kid Cudi is in Cleveland and talks about a friend who made beats and inspired him to write and record. He mentions while working he'd hum tunes and think of creating music. ,,,,Yes,https://www.youtube.com/watch?v=JGNyIylScXA,
Man On The Moon II,MOTM II Complex Article,Kid Cudi's 2010 Complex article.,,,,Yes,http://joelapuma.com/?page_id=3,
Man On The Moon II,Complex Presents Kid Cudi,Behind the scenes footage from Kid Cudi's 2010 Complex Magazine interview.,,,,Yes,https://vimeo.com/15368927,
,"A Man Named Scott
(2011)","(01/26/2011) (Kid Cudi announces the mixtape on Twitter)
(08/21/2011) (Kid Cudi tweets the mixtape is scrapped)",,,,,,
A Man Named Scott,No One Believes Me (Official Music Video),Official Music Video for No One Believes Me.,,,Music Video,Yes,https://www.youtube.com/watch?v=mzAx0Fo0mlw,
A Man Named Scott,Run (Official Music Video),Official Music Video for Run.,,,Music Video,Yes,https://www.youtube.com/watch?v=W_zflryd-I8,
A Man Named Scott,My Last (Official Music Video),Official Music Video for My Last. Kid Cudi has a small cameo.,,,Music Video,Yes,https://www.youtube.com/watch?app=desktop&v=EeTPi2a2Ld4,
A Man Named Scott,Kid Cudi & Dot Da Genius In The Studio,Kid Cudi & Dot Da Genius get into a Lightsaber battle.,,,Other,Yes,https://www.youtube.com/watch?v=TXaKcRXJklI,
,"WZRD
(Collaboration with Dot Da Genius)
(Wizard, 2 Be Continuum)","(01/27/2011) (Kid Cudi announces WZRD on Twitter)
(02/28/2012) (WZRD officially releases)",,,,,,
WZRD,"Teleport 2 Me, Jamie (Official Music Video)","Leaked Official Music Video for Teleport 2 Me, Jamie.",,,Music Video,Yes,https://www.youtube.com/watch?v=N9djKaYbuJY,
WZRD,"Teleport 2 Me, Jamie (Alternate Directors Cut)","Alternate Original Music Video for Teleport 2 Me, Jamie.",,,Music Video,Yes,https://vimeo.com/109187708,
WZRD,Mercy (Official Music Video),Official Music Video for Mercy. Kid Cudi is not featured on the song but he cameos in the video as he is part of G.O.O.D Music at the time.,,,Music Video,Yes,https://www.youtube.com/watch?v=7Dqgr0wNyPo,
WZRD,Old School Caddy (Official Music Video),Official Music Video for Old School Caddy.,,,,Yes,https://www.youtube.com/watch?v=9SyLA0-MTDA,
,INDICUD,"(06/05/2012) (Kid Cudi announces INDICUD on Twitter.)
(04/16/2013) (INDICUD officially releases)",,,,,,
INDICUD,Flaunt Magazine Preview,,,Apr 2013,,Yes,https://vimeo.com/63765519,
INDICUD,Just What I Am (Official Music Video),"Official Music Video for Just What I Am. Steve Aoki, & Mac Miller make a small cameo.",,,,Yes,https://www.youtube.com/watch?v=hGbP_kTM4CA,
INDICUD,King Wizard (Official Music Video),Official Music Video for King Wizard.,,,,Yes,https://www.youtube.com/watch?v=FmvU3urYQgI,
,Satellite Flight: The Journey To Mother Moon,"(10/16/2013) (Kid Cudi announces he would be releasing a EP as a prelude to his next project. )
(02/25/2014) (Satellite Flight: The Journey To Mother Moon officially releases)",,,,,,
Satellite Flight,Satellite Flight Trailer,Trailer for Satellite Flight.,,,,Yes,https://www.youtube.com/watch?v=ZhQaLparhgw&ab_channel=CudiOfficial,
,Passion Pain & Demon Slayin,"(12/05/15) (Kid Cudi releases Speedin' Bullet 2 Heaven)
(12/16/2016) (Passion Pain & Demon Slayin officially releases)",,,,,,
Passion Pain & Demon Slayin,Frequency (Official Music Video),Official Music Video for The Frequency.,,,Music Video,Yes,https://www.youtube.com/watch?v=KzvywmVRWAo,
Passion Pain & Demon Slayin,Behind The Scenes for Frequency,Behind the Scenes Footage for The Frequency Music Video.,,,Behind The Scenes,Yes,https://vimeo.com/185666331,
