Era,Name,Notes,Length,"Release
Date",Type,Streaming,Link(s),Alternate Link(s)
,,"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""!
Do NOT do this if you are an Editor!",,,,,,
,A Kid Named Cudi,"(10/07/04) (Scott Mescudi moves to New York, Kid Mesc becomes KiD CuDi)
(07/17/08) ('A Kid Named Cudi' officially releases)
(2004-2008)",,,"""A Kid Named Cudi"" is the debut mixtape by Kid Cudi, released in 2008 by independent record label ""Fool's Gold Records"" & New York City streetwear brand 10 Deep. The album was Cudi's first big success, establishing his fan base, being reviewed well by critics, and catching the ear of hip-hop superstar Kanye West, who would sign Cudi to G.O.O.D. Music later that year. Three of the mixtape's songs, ""Man On The Moon,"" ""Day N Nite,"" and ""TGIF,"" would later make it onto Cudi's debut album ""Man on the Moon: The End of Day."" In June 2008, Cudi quit his job at the Bape store.",,,
A Kid Named Cudi,"My Time
(prod. A-Trak)
(Catch Up), (Me and My Sneakers)",Released on a 43 minute continuous mix for Running Man: Nike+ Original Run by A-Trak. Mastered by Joe Lambert. No Uncensored version.,5:12,Jun 2008,Other,No,https://www.youtube.com/watch?v=l9Y0jx3MZGM,https://krakenfiles.com/view/bCWy4Ea45d/file.html
A Kid Named Cudi,"Day N Nite
(prod. Kid Cudi, & Dot Da Genius)","Written by Scott Mescudi, & Oladipo Omishore. Made in 2006. Released alongside Dat New ""New"" on the Day N Nite - EP.",3:43,Feb 2008,EP,No,https://www.youtube.com/watch?v=iD0mNoEYpZw&list=PLxjkwclpxxIxLJMBYQO6e4eN0Uq21qwjY,
A Kid Named Cudi,"Dat New ""New""
(prod. Kid Cudi, & Dot Da Genius)","Written by Scott Mescudi, & Oladipo Omishore. Made in 2007. Released alongside Day N Nite on the Day N Nite - EP.",4:14,Feb 2008,EP,No,https://www.youtube.com/watch?v=4JW9zHZI3VA,https://krakenfiles.com/view/NHRz7Q0y7H/file.html
A Kid Named Cudi,"Intro
(prod. Plain Pat, & Emile)","Track 1 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Contains a sample of the ""Dreamworks Movie Studio Intro.""",:50,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=WukRMjQvoqQ,https://pillowcase.su/f/a203228a38553a78c50a6c5ac1d451fa
A Kid Named Cudi,"Down & Out
(prod. OutKast, & Emile)","Track 2 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Kid Cudi raps over the Instrumental ""Chonkyfire"" by OutKast.",4:09,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=doiKY7wRxME,https://pillowcase.su/f/56af179c55780aff40db348f37920da6
A Kid Named Cudi,"Is There Any Love?
(prod. Emile) (feat. Wale)","Track 3 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Contains a sample of the song ""Is There Any Love"" by Trevor Dandy.",3:31,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=kJUa3a3NSDs&list=PL1EBAE8ACCD7642B9&index=4,https://pillowcase.su/f/e51684d67e243276673cb8e56895d867
A Kid Named Cudi,"Cudi Get
(prod. J Dilla, & Emile)","Track 4 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Kid Cudi raps over the Instrumental ""Wild"" by J Dilla.",2:20,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=kJUa3a3NSDs&list=PL1EBAE8ACCD7642B9&index=4,https://pillowcase.su/f/a3e5e212e188d58128f9565f287903e5
A Kid Named Cudi,"Man On The Moon (The Anthem)
(prod. Nosaj Thing, & Emile)","Track 5 from Kid Cudi's 2008 mixtape A Kid Named Cudi. Kid Cudi raps over the Instrumental ""Aquarium"" by Nosaj Thing.",3:27,Jul 2008,Mixtape Track,No,https://www.youtube.com/watch?v=AO9yOmwgX2Q,https://pillowcase.su/f/0a7014744846482c8e068c42dc394343
