Era,"Name
Check out the Tracker Website! ","Notes
(Join the Discord: CudiZone)",File Date,Full Length,BPM,Available Length,Quality,Link(s)
,"A Kid Named Cudi
(2004-2008)",,,,,,,
A Kid Named Cudi,"Day N Nite (Instrumental)
(prod. Kid Cudi, & Dot Da Genius)",Instrumental for Day N Nite. Released alongside Day N Nite on the Day N Nite - EP.,,3:43,69,Full,Lossless,https://krakenfiles.com/view/Q7AKjVoBH6/file.html
A Kid Named Cudi,"Dat New ""New"" (Instrumental)
(prod. Kid Cudi, & Dot Da Genius)","Instrumental for Dat New ""New."" Released alongside Day N Nite on the Day N Nite - EP.",,4:14,88,Full,Lossless,https://krakenfiles.com/view/B8Dlq7KKYf/file.html
,"Man On The Moon: The End Of Day
(Man On The Moon: The Guardians)
(Man On The Moon)",,,,,,,
Man On The Moon,"Make Her Say (Instrumental)
(feat. Kanye West, & Common) (Prod. Kanye West)
(Make Her Say)","Official instrumental for ""Make Her Say.""",,3:57,99,Full,High Quality,https://pillowcase.su/f/724425e62f10620b041bb849222c22ff
Man On The Moon,Memories (Stems),Lost Memories Stems.,,,,Full,CD Quality,
Man On The Moon,Soundtrack 2 My Life,Found in MOTM 1 Tour DVD.,,,,Partial,High Quality,
Man On The Moon,Heart Of A Lion,"Official instrumental for ""Heart Of A Lion.""",,,,Full,CD Quality,
Man On The Moon,Up Up & Away,"Official instrumental for ""Up Up & Away.""",,,,Full,CD Quality,
,"Man On The Moon II: The Legend Of Mr. Rager
(Man On The Moon II: The Ghost In The Machine)","(01/14/2010) (Kid Cudi announces that he is no longer working on Cudder: The Revolution Of Evolution and is now working on Man On The Moon II)
(11/9/2010) (Man On The Moon II: The Legend Of Mr. Rager officially releases)",,,,,,
Man On The Moon II,"Kanye West - All Of The Lights
(feat. Rihanna, Kid Cudi, John Legend, Tony Williams, Alvin Fields, Ken Lewis, Elton John, Alicia Keys, Charlie Wilson, Drake, La Roux, Fergie, Ryan Leslie & The-Dream) (prod. Kanye West, Jeff Bhasker, MIKE DEAN, Ken Lewis, Rosie Danvers & Tommy D.)
(Ghetto University)","Seemingly release multitrack stems for ""All Of The Lights."" Differences are unknown with the short snippet that leaked 4/30/24.",,,,Snippet ,CD Quality,https://pillowcase.su/f/3ddab93c6986472e7947a2f78a6fc70d
Man On The Moon II,"Kanye West - Runaway
(ref. ???) (feat. Kid Cudi, ???, Pusha T, The WRLDFMS Tony Williams & The-Dream) (prod. Kanye West, Jeff Bhasker, MIKE DEAN & Emile)","Session for ""Runaway"" that has ""thousands of files and ""over 50 OG versions."" There are many altenate versions with various dfferent people doing features/references. Snippet leaked 5/31/24.",,,85,Snippet ,CD Quality,https://pillowcase.su/f/864750589f61ccb68faf859f2816482c
Man On The Moon II,"Kanye West - All Of The Lights
(prod. Kanye West & Jeff Bhasker)","Official instrumental for ""All Of The Lights.""",,,,Full,High Quality,https://pillowcase.su/f/1b4fc9a5a5a3dfe6e88702d5188383cd
,INDICUD,"(06/05/2012) (Kid Cudi announces INDICUD on Twitter.)
(04/16/2013) (INDICUD officially releases)",,,,,,
,Kanye West - Yeezus Tour Mix,This was in Misc. Said it had many with Cudi. Putting here for now.,,,,,,
INDICUD,"Kanye West - Guilt Trip
(feat. Kid Cudi) (prod. S1, MIKE DEAN, Kanye West, Daft Punk & Travis Scott)","OG Filename: GUILT TRIP 68.5
Stems for ""Guilt Trip,"" dated April 1st, 2013.",4/1/2013,4:30,68.5,Full,Lossless,https://pillowcase.su/f/a1e04eb6cd1ac29437c220de96449629
INDICUD,"Kanye West - Guilt Trip
(feat. Kid Cudi) (prod. Kanye West, Noah Goldstein, MIKE DEAN, Travis Scott, Ackee Juice Rockers & S1)","OG Filename: Guilt Trip copy
Session + stems for a slightly earlier version of ""Guilt Trip.""",,,,Full,Lossless,https://pillowcase.su/f/cef299d3784565b38e159800e1668778
INDICUD,"Kanye West - Guilt Trip
(feat. Kid Cudi) (prod. S1, MIKE DEAN, Kanye West & Travis Scott)","OG Filename: Guilt Trip copy
Leaked on May 26th, 2023. Includes a seperate ZIP for stems.",,,,Full,Lossless,"https://pillowcase.su/f/3d78553284984809118b0f610e413dc2
https://big.fileditchnew.ch/b11/XKgYvzjJvYkqJlzRbUO.zip
https://mega.nz/file/krpWTSwA#MNorUlIQ7j8iAUt8hCgpEAb2BUIeqbWb21YOJSNyaE8"
INDICUD,"Kanye West - Guilt Trip
(feat. Kid Cudi) (prod. S1, MIKE DEAN, Kanye West & Travis Scott)","Official stems for ""Guilt Trip,"" leaked 10/22/23.",,,,Full,Lossless,https://pillowcase.su/f/332ce439408b44d0a1f2a95f9a4c02aa
INDICUD,"Kanye West - Guilt Trip (Acapella)
(feat. Kid Cudi) (prod. S1, MIKE DEAN, Kanye West & Travis Scott)","Official acapella for ""Guilt Trip.""",,2:59,,Full,Lossless,https://pillowcase.su/f/ecf6a5e85404958f3ca3850e6fb9bd25
INDICUD,Creepers,,,,,Full,CD Quality,https://krakenfiles.com/view/Qpk0z0aWP7/file.html
,Passion Pain & Demon Slayin,"(12/05/15) (Kid Cudi releases Speedin' Bullet 2 Heaven)
(12/16/2016) (Passion Pain & Demon Slayin officially releases)",,,,,,
Studio Stems,,,,,,,,
Passion Pain & Demon Slayin,"Father Stretch My Hands, Pt. 1 (TV Track)
(feat. Kid Cudi) (prod. Kanye West, Kevin Smith, Robert Bisel, Ricardo Kim, MIKE DEAN, DJDS, Noah Goldstein, Rick Rubin, Allen Ritter, Metro Boomin & Plain Pat)
(Father, Father Stretch, Liberated)","OG Filename: Father Stretch My Hands Pt. 1 TV @ 113 BPM
TV track for ""Father Stretch My Hands Pt. 1."" Leaked alongside the Kanye acapella for the track.",,,,Full,Lossless,https://pillowcase.su/f/f82991f6e9a413f104147a30d367fd62
Instrumentals,,,,,,,,
Passion Pain & Demon Slayin,Travis Scott - Through The Late Night (Stems),"Instrumental and acapella stems. Snippet leaked December 16, 2022.",,,,Snippet ,CD Quality,https://krakenfiles.com/view/lQAZ3ynCNS/file.html
Passion Pain & Demon Slayin,"Damn Come On
(ref. Kid Cudi) (prod. Plain Pat & MIKE DEAN)
(Maple)","OG Filename: 2 29 16 1 Damn Come On
Session for the Kid Cudi reference track ""Damn Come On"" that leaked 5/16/24 as a bonus for the DAYTONA groupbuy. Also has Kanye vocals in session.",Feb 2016,4:53,,Full,Lossless,https://pillowcase.su/f/a80f569df323c707ad6ae1ec03adcc9b
Passion Pain & Demon Slayin,"Damn Come On
(ref. Kid Cudi) (prod. Plain Pat & MIKE DEAN)
(Maple)","OG Filename: 2 29 16 1 inst reff
Instrumental for the Kid Cudi reference track for """"Damn Come On""."" Leaked on January 8, 2023.",,,,Full,Lossless,https://pillowcase.su/f/77de9be088617b3c4b33e19fa40385e4
Passion Pain & Demon Slayin,"Pusha T - Santeria
(feat. KIDS SEE GHOSTS)","OG Filename: Copy of Santeria - KW Back in (5.10.18)
Session for ""Santeria"" with Kid Cudi and Kanye vocals. Leaked on 5/16/24 as part of a groupbuy. The""Cudi Vox 1_01"" that was in the unreleased tab as ""Santeria [Accapella] is in these sessions. ",Dec 2016,,,Full,Lossless,https://pillowcase.su/f/1c19b8d85aedd6c8d684125034d3718d
,"KIDS SEE GHOSTS
(Collaboration with Kanye West)
(Everybody Wins)","(12/??/2016) (Kid Cudi, Kanye West, and other frequent collaborators start production at West's house)
(06/08/2018) (Kids See Ghosts officially releases)",,,,,,
Studio Stems,,,,,,,,
KIDS SEE GHOSTS,"No Mistakes
(feat. Kid Cudi, Caroline Shaw & Charlie Wilson) (prod. Kanye West, MIKE DEAN, Che Pope, Eric Danchick & Caroline Shaw)",,,,,Full,Lossless,
KIDS SEE GHOSTS,"Ghost Town
(feat. PARTYNEXTDOOR, Kid Cudi & 070 Shake) (prod. Kanye West, MIKE DEAN, Francis & the Lights & benny blanco)
(Someday)",,,,,Full,Lossless,
Acapellas,,,,,,,,
KIDS SEE GHOSTS,"Reborn
(prod. Kid Cudi, Dot Da Genius, Plain Pat, E.VAX & benny blanco)","OG Filename: REBORN MIX 5 ACAPELLA
Acapella for an earlier mix of Reborn, leaked on June 3, 2022.",,5:32,100,Full,Lossless,https://krakenfiles.com/view/5YGSJyRGWG/file.html
Instrumentals,,,,,,,,
KIDS SEE GHOSTS,"4th Dimension 
(prod. Kanye West)","OG Filename: 4TH DIMENSION JESS MIKE MIX 6 INST
Instrumental for a slightly different mix of ""4th Dimension,"" leaked on June 29, 2022.",,2:38,,Full,Lossless,"https://krakenfiles.com/view/OLDYxwm4kg/file.html
https://krakenfiles.com/view/fx3vfewpNb/file.html"
KIDS SEE GHOSTS,"Freeee (Instrumental)
(prod. Kanye West, Kid Cudi, MIKE DEAN, Jeff Bhasker, BoogzDaBeast, Andrew Dawson, Andy C & Russell ""Love"" Crews)","OG Filename: 2018 Ye Free 151-156bpm 128 Inst
A seemingly earlier version of the ""Freeee"" instrumental from Kids See Ghosts.",,3:26,,Full,CD Quality,https://krakenfiles.com/view/aWl1k5PIWw/file.html
KIDS SEE GHOSTS,"Freeee (Instrumental)
(prod. Kanye West, Kid Cudi, MIKE DEAN, Jeff Bhasker, BoogzDaBeast, Andrew Dawson, Andy C & Russell ""Love"" Crews)","OG Filename: FREEEEE PATY MIX 4 INST 10
Instrumental for a slightly earlier mix of Freeee, leaked on June 3, 2022.",,3:30,,Full,CD Quality,https://krakenfiles.com/view/bVXqdwrz4Y/file.html
KIDS SEE GHOSTS,"Reborn
(prod. Kid Cudi, Dot Da Genius, Plain Pat, E*vax & benny blanco)","OG Filename: REBORN MIX 5 INST
Instrumental for an earlier mix of Reborn, leaked on June 3, 2022.",,5:35,,Full,Low Quality,https://krakenfiles.com/view/UbbXyA9ijv/file.html
KIDS SEE GHOSTS,"Kids See Ghosts (Instrumental)
(feat. Yasiin Bey)",,,,,Full,CD Quality,https://krakenfiles.com/view/ffXk4it64C/file.html
,Entergalactic [V1],"(6/08/2018) (Kids See Ghost releases and Cudi begins working on other projects.)
(??/??/19) (Kid Cudi makes ""2 or 3"" songs that don't fit the current projects and creates Man On The Moon III)",,,,,,
Sessions,,,,,,,,
Entergalactic [V1],"Kanye West - XXX (Sessions)
(feat. Kid Cudi, XXXTENTACION, Ty Dolla $ign, Ant Clemons & Francis and the Lights) (prod. Ronny J, BoogzDaBeast, FnZ & MIKE DEAN)
(Everything We Need, Jeet, Leave It In, The Storm, We Begin, We Begin After the Storm Inside)","Sessions for XXX, also known as The Storm.",,,,Full,Lossless,https://mega.nz/file/m8ZUlRyK#MWSChAHCip8HifFHZXakzoxhVdHqca7knVP_SXTZfBU
Studio Stems,,,,,,,,
