Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
The Hoodstar Diary,Dash [prod. justxrolo],"Single cover for ""Dash [prod. justxrolo]"".",Digital,Digital,,Front Cover,Used,/d4vdgold/art/dash-prod-justxrolo.jpg
The Hoodstar Diary,Turnt Up,"Single cover for ""Turnt Up""",Digital,Digital,,Front Cover,Used,/d4vdgold/art/turnt-up.png
The Hoodstar Diary,The Hoodstar Diary (Uncropped),Uncropped/Original photo for The Hoodstar Diary cover.,Digital,Digital,,Front Cover,Alternate,/d4vdgold/art/the-hoodstar-diary-uncropped.jpg
The Hoodstar Diary,The Hoodstar Diary,Official cover for The Hoodstar Diary.,Digital,Digital,,Front Cover,Used,/d4vdgold/art/the-hoodstar-diary.jpg
Love Is Blind,Run Away,"Single cover for ""Run Away"".",Digital,Digital,,Front Cover,Used,/d4vdgold/art/run-away.jpg
Love Is Blind,You and I,"Single cover for ""You and I"".",,,,Front Cover,Used,/d4vdgold/art/you-and-i.jpg
Love Is Blind,life's a dream (OG Cover),"Original cover for ""life's a dream"". Had to be changed due to copyright issues.",Digital,Digital,,Front Cover,Alternate,/d4vdgold/art/life-s-a-dream-og-cover.jpg
Love Is Blind,life's a dream,"New cover for ""life's a dream"".",Digital,Digital,,Front Cover,Used,/d4vdgold/art/life-s-a-dream.jpg
Love Is Blind,Bleed Out,"Single cover for ""Bleed Out""",Digital,Digital,,Front Cover,Used,/d4vdgold/art/bleed-out.jpg
Love Is Blind,0.9583333333333334,"Single cover for ""11:00 PM"".",Digital,Digital,,Front Cover,Used,/d4vdgold/art/0-9583333333333334.jpg
Love Is Blind,It's That Time Again,"Single cover for ""It's That Time Again""",Digital,Digital,,Front Cover,Used,/d4vdgold/art/it-s-that-time-again.jpg
Love Is Blind,Decide,,,,,Front Cover,Used,/d4vdgold/art/decide.jpg
Love Is Blind,More Than Just Friends,,,,,Front Cover,Used,/d4vdgold/art/more-than-just-friends.jpg
Love Is Blind,Dirty Secrets (OG),,,,,Front Cover,Alternate,/d4vdgold/art/dirty-secrets-og.jpg
Love Is Blind,Dirty Secrets,,,,,Front Cover,Used,/d4vdgold/art/dirty-secrets.jpg
Love Is Blind,Take Me To The Sun (OG),,,,,Front Cover,Alternate,/d4vdgold/art/take-me-to-the-sun-og.jpg
Love Is Blind,Take Me To The Sun,,,,,Front Cover,Used,/d4vdgold/art/take-me-to-the-sun.jpg
Love Is Blind,Seperate (OG),,,,,Front Cover,Alternate,/d4vdgold/art/seperate-og.jpg
