Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2026,,,I'm Good,"I'm Good

Eighth groupbuy hosted by D4HUB.

Main Song/s:
I'm Good","$1,666","March 9th, 2026",,Normal,Forceleaked,
2026,,,Drown Me,"Drown Me
(You And Me)

Seventh groupbuy hosted by D4HUB.

Main Song/s:
You And Me [V2]

Bonus/es:
Lil Nas X - Lie 2 U (feat. d4vd)",~$800,"March 4th, 2026","March 7th, 2026",Normal,Yes,"https://pillows.su/f/47b431663dce472506b788c65aeffd95
https://pillows.su/f/7ca76f5b9aed2c49870f7325511004c1"
2026,,Marcescence,How Do You Sleep,"How Do You Sleep

Sixth groupbuy hosted by D4HUB.

Main Song/s:
How Do You Sleep [V1]","$1,000","March 2nd, 2026","March 2nd, 2026",Flash,Yes,https://pillows.su/f/0f50bd56be96e6716e4ddaf36a4bb83e
2026,,,Purpose,"Purpose

Fifth groupbuy hosted by D4HUB.

Main Song/s:
Purpose [V1]

Bonus/es:
How I See You",$310,"February 26th, 2026","February 27th, 2026",Normal,Yes,"https://pillows.su/f/d2f63dd592cfed26a76084fd50b70801
https://pillows.su/f/23ad1bcc3517fc0ca16b6930eece1f3f"
2026,,WITHERED,Break Up Szn,"Break Up Szn

Fourth groupbuy hosted by D4HUB.

Main Song/s:
Break Up Season",$210,"February 15th, 2026","February 17th, 2026",Flash,Yes,https://imgur.gg/f/qhTcw6z
2026,,WITHERED,I Wish You Love Me,"I Wish You Love Me

Third groupbuy hosted by D4HUB.

Main Song/s:
I Wish You Love Me",$475,"February 7th, 2026","February 15th, 2025",Normal,Yes,https://pillows.su/f/423a63dc5a699f19ee9ab61ae4cd8809
2026,,Marcescence,3x Fortnite Jam Tracks,"3x Fortnite Jam Tracks

Second groupbuy hosted by D4HUB.

Main Song/s:
Don't Leave Me In The Storm
Never Lose
Running 4Ever [V1]
Running 4Ever [V2]

Bonus/es:
Take The Photos (feat. Malcom Todd) [OG File]
Hear Me Now [V3]",$300,"January 31st, 2026","February 2nd, 2026",Blind,Yes,"https://imgur.gg/f/O0klM1U
https://imgur.gg/f/OsoSvU5 
https://imgur.gg/f/gof82qq"
Unknown,,,Ruined Your Life,Ruined Your Life,$333,,,Normal,No,
2026,,Marcescence,Promise,"Promise

First official groupbuy hosted by D4HUB.

Main Song/s:
Promise (Scrapped Fortnite Jam Track)

Bonus/es:
Romantic Homicide [Instrumental + OG File]",$100,"January 27th, 2026","January 27th, 2025",Normal,Yes,"https://imgur.gg/f/dmU3QDI 
https://pixeldrain.com/u/pAtAGQjm"
2025,,Marcescence,Take The Photos (feat. Malcom Todd),"Take The Photos (feat. Malcom Todd)

Leaked by TheCat after being gifted a €5 Steam gift card.","€5
($5.90)","September 21st, 2025","September 21st, 2025",Normal,Yes,https://pillows.su/f/a55c15f14b681f6830cde9a9792304ea
