Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
WITHERED Deluxe: Marcescence,⚠️ Party,"Song recorded in June of 2025. Has lyrics about matching tattoos. Snippet leaked on May 2nd, 2026. Leaked after a successful charity groupbuy on July 25th, 2026.",2:34,,"Jul 25, 2026",Full,Lossless,https://pillows.su/f/94f237e35c10b235e7eacf22a5626672
Post-Incident,"🎤 Sins Of The Father [V1]
[prod. Daniel Caesar, Aver Ray, Tiana Kruskic, Matthew Burnett & Jordan Evans]
(Alchemical Transmutation)","Cover/Remix of Daniel Caesar's ""Sins Of The Father"" recorded in January 2026 for a gospel album. Has original lyrics from d4vd at the end. Leaked after a successful charity groupbuy on July 22nd, 2026. ",3:56,,"Jul 22, 2026",Full,Lossless,https://pillows.su/f/217432a084f43e7de46b2718c811d046
Love Is Blind,"???
(Come Over, She Wanna Come Over)","Song recorded in 2022. Sources claim this song to be completely lost. Snippet resurfaced on July 21st, 2026.",0:21,,"Jul 21, 2026",Snippet,High Quality,https://imgur.gg/f/reinzEy
Garden Of Eden,Alive,"OG Filename: AL!VE 3.71.wav
Recorded some time in mid-late 2023. First leaked on November 13th, 2023. OG File leaked on July 20th, 2026.",3:52,,"Jul 20, 2026",OG File,Lossless,https://pillows.su/f/b5a9130911b6793475752ca3c754243b
Post-Incident,"Jesus, I","Song recorded in 2026 for a gospel album. Snippet leaked on May 9th, 2026. Leaked on July 18th, 2026. ",2:20,,"Jul 18, 2026",Full,Lossless,https://pillows.su/f/4868be0f1941444b65348a4395f4b401
WITHERED,I Never Needed You [V1],"OG Filename: never needed uuuu.m4a
Demo version of I Never Needed You exported on November 1st, 2024. Has less backing vocals and a different outro that has no Celeste voicemail. Leaked on July 15th, 2026.",2:35,,"Jul 15, 2026",OG File,CD Quality,https://pillows.su/f/2dd3707eaf13fd1af7e757836031a279
WITHERED,"⭐️ Hold On [V2]
(Seasons Change)",,3:42,,"Jul 1, 2026",Full,Lossless,https://pillows.su/f/2593ad811ff91541596f8a8faa1f45e8
Love Is Blind,Torture,"Recorded in November of 2022. First snippet leaked on April 27th, 2026. Second snippet leaked on June 30th, 2026.",0:12,,"Jun 30, 2026",Snippet,High Quality,"1. https://imgur.gg/f/eowZayR
2. https://imgur.gg/f/fF1wxEU"
Unknown,🗑️ Call The Plug,,2:10,,"Jun 26, 2026",Full,High Quality,https://pillows.su/f/cd1f825fb5e3c6c98c743c99b1d9dfb6
Garden Of Eden,"🏆 Odetari - PURPLE HEART [V2]
(feat. d4vd & Don Toliver) [prod. Odetari]","Later version of PURPLE HEART with more production and supposedly a verse from Don Toliver. First snippet leaked on June 10th, 2026. Second snippet leaked on June 22nd, 2026.","0:06
0:08",,"Jun 22, 2026",Snippet,High Quality,"1. https://imgur.gg/f/bFJGIeF
2. https://imgur.gg/f/d24nlFa"
