Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"Number of Leaks
Number of LQ Leaks
Number of Snippets
Number of Recordings
Number of Unavailable",Love Is Blind,Notes about era,,,,,
Love Is Blind,Run Away,Notes,2:23,"December 21st, 2021",Single,Yes,https://soundcloud.com/d4vddd/runaway?si=3d1d1468053640adbea7cba1f271761b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,"You and I - Single [V1]
[prod. grayskies]",Notes,2:31,"January 8th, 2022",Single,No,https://soundcloud.com/d4vddd/you-and-i?si=1ca9fd6b8a1648798300fe4f73acbefa&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,"life's a dream
(Life Is A Dream)",,2:10,,Single,Yes,https://soundcloud.com/d4vddd/lifes-a-dream?si=4c2adf28316246c7843aedf587d272eb&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,"11:00 PM [V1]
(11PM)",,,,Single,No,https://soundcloud.com/d4vddd/1100-pm?si=557b51dc28da4198b81b9c3c2448b364&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Bleed Out,,2:48,,Single,Yes,https://soundcloud.com/d4vddd/bleed-out?si=318f72fcf1bd47dbbf3f090e16e98422&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,It's That Time Again,,3:09,,Single,Yes,https://soundcloud.com/d4vddd/its-that-time-again?si=81ebfff183ff4a9994d3accbb771f03a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Decide,,3:31,,Single,Yes,https://soundcloud.com/d4vddd/decide?si=b76f6f67daa14cd1866593de9716eceb&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,"Lost
(feat. Flaws)",,,,Single,No,https://soundcloud.com/d4vddd/lost?si=d70aab2c02d94a5598c45d8b204fccc7&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,More Than Just Friends,,2:06,,Single,Yes,https://soundcloud.com/d4vddd/more-than-just-friends?si=f4c7aafdd282484ab83e9d394e9484e6&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Dirty Secrets [V1],,2:34,,Single,No,https://soundcloud.com/d4vddd/dirty-secrets?si=8a97af37fa474ab59205956694c8d1db&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Take Me To The Sun,,2:46,,Single,Yes,https://soundcloud.com/d4vddd/take-me-to-the-sun?si=c6278b396dc2488b884d89e4dec2e9be&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Separate,,1:49,,Single,Yes,https://open.spotify.com/track/4WekxJLRjVgjMo1JiZr0uR?si=b39e03f7fbb44cb8
Love Is Blind,Fly Away,,2:31,,Single,Yes,https://soundcloud.com/d4vddd/fly-away-1?si=82791f83c9444673a5f25bf073be6ce9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,NEVER AGAIN,,1:41,,Single,Yes,https://soundcloud.com/d4vddd/neveragain?si=0b759ff18c4d40ce8acd6e0f8333c091&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Wasting Your Time,,2:26,,Single,Yes,https://soundcloud.com/d4vddd/wastingyourtime?si=4b48bc97dc644f6a9180611f05ff1949&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Right Now,,2:29,,Single,Yes,https://soundcloud.com/d4vddd/rightnow?si=407413ccce6f4e0999d53b0de3dccd93&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,DTN,,1:59,,Single,Yes,https://soundcloud.com/d4vddd/dtn?si=b1ed42092bd542c0b59560b60699d943&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Pluto Projector (Cover),"Cover of Rex Orange County's ""Pluto Projector"" posted to d4vd's SoundCloud 
on July 15th, 2022.",1:53,,Other,No,https://soundcloud.com/d4vddd/pluto-projector-cover?si=7fc34d74da0343da9aaac211084db6ac&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Here With Me - Single,,,,Single,Yes,https://soundcloud.com/d4vddd/here-with-me?si=a37d0a71c9ef4406943268a4c783b4dd&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Romantic Homicide - Single,,,,Single,Yes,https://soundcloud.com/d4vddd/romantic-homicide?si=cdc7334cacdb49798eb142430b826fe0&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Romantic Homicide (Sped Up),,,,Single,No,https://soundcloud.com/d4vddd/romantic-homicide-sped-up?si=306cd113388b45a1a348e0e41312a136&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,Poetic Vulgarity - Single,,,,Single,No,https://soundcloud.com/d4vddd/poetic-vulgarity?si=efe4e43b5541409db22cf7233f3bea85&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Love Is Blind,"CANDY MANSON - red eye
(Take My Soul Away)","Track 3 on CANDY MANSON's album ""by the way, i'm on the way"". Has 
an uncredited feature from d4vd.",,"June 22nd, 2022",Feature,Yes,
"Number of Leaks
Number of LQ Leaks
Number of Snippets
Number of Recordings
Number of Unavailable",Petals To Thorns,"(Start Date) (Start Action)
(End Date) (End Action)

Notes about era",,,,,
Petals To Thorns [V2],"Song Title
(feat. [Feature 1], [Feature 2] & [Feature 3]) (prod. [Producer 1], [Producer 2] & [Producer 3])
([Alt Title 1], [Alt Title 2], [Alt Title 3])",Notes,Length of song,Mar 2021,Other,,"Link
Link 2
Link 3"
Petals To Thorns [V2],Sleep Well ,,2:55,,Other,Yes,https://open.spotify.com/track/61MhXxcy6MUhrDeHCDE7AP?si=9354b500675a42d6
Petals To Thorns [V2],"Here With Me
[prod. Dan Darmawan]",,4:02,,Other,Yes,https://open.spotify.com/track/0NLm9bQG7ikL5k9x9TtYT7?si=427c4e8577c340f6
Petals To Thorns [V2],Don't Forget About Me,,2:29,,Other,Yes,https://open.spotify.com/track/6qQEJzrfwHtKtrC3abJY0C?si=9611da539b674d8c
