Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Love Is Blind,For The Both Of Us,Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/SGQAzyD
Love Is Blind,???,"Session dates to August 8th, 2021.",,,,,Full,Lossless,https://imgur.gg/f/5cs67OI
Love Is Blind,"Romantic Homicide
[prod. Dan Darmawan]
(Romantic Murder)","OG Filename: rhmix._.132bpm._.4_.4.wav
Instrumental for Romantic Homicide. Leaked as a bonus for a groupbuy on January 27th, 2026.",,,,,OG File,Lossless,https://pixeldrain.com/u/pAtAGQjm
Love Is Blind,"Dirty Secrets
[prod. grayskies]","Posted to grayskies' YouTube under the name ""fever."" Raw file given in the Darkroom Records box.",,,,,Full,Lossless,https://pillows.su/f/856cd66cb08b137181a40dcd0b630c76
Love Is Blind,"Take Me To The Sun
[prod. grayskies]","Posted to grayskies' YouTube under the name ""shadow people."" Raw file given in the Darkroom Records box.",,,,,Full,Lossless,https://pillows.su/f/f3e859ae98e48dfd8f92f472471e5f59
Love Is Blind,"Placebo Effect
[prod. Dan Darmawan]","Posted to Dan Darmawan's YouTube under the name ""sad hours."" Raw file given in the Darkroom Records box.",,,,,Full,Lossless,https://pillows.su/f/b3b857e42c14021a6d087ba16c63f260
Love Is Blind,"Fly Away
[prod. grayskies]","Posted to grayskies' YouTube under the name ""aquarium."" Raw file given in the Darkroom Records box.",,,,,Full,Lossless,https://pillows.su/f/775e467c77ed4730acc901ff8c9ceda0
Love Is Blind,"Bleed Out
[prod. grayskies]","Posted to grayskies' YouTube under the name ""descend."" Raw file given in the Darkroom Records box.",,,,,Full,Lossless,https://pillows.su/f/5f2c7d25939832cc7e95676741a861f3
Love Is Blind,"DTN [V2]
[prod. vinoluf]",GIven in the Darkroom Records box.,,,,,Full,Lossless,https://pillows.su/f/fb27b713773b6db42e69de331b3af773
Love Is Blind,"Beautiful Mourning
[prod. Dan Darmawan]","Posted to Dan Darmawan's YouTube under the name ""low.""",,,,,Full,CD Quality,https://imgur.gg/f/2nGxVqq
Love Is Blind,"I Let You Down
[prod. grayskies]","Posted to grayskies' YouTube under the name ""dawn.""",,,,,Full,CD Quality,https://pillows.su/f/b109a162cd541c8f834a5a027e42beb0
Love Is Blind,"Dancing Through The End Of The World
[prod. Dan Darmawan]
(Let's Dance, DTTEOTW)","Posted to Dan Darmawan's YouTube under the name ""some time alone.""",,,,,Full,CD Quality,https://pillows.su/f/3f2b4eb8cc8b6001c39ad9944532b289
Love Is Blind,"War
[prod. grayskies]","Posted to grayskies' YouTube under the name ""leafbound.""",,,,,Full,CD Quality,https://pillows.su/f/f93e741886434a736620fb84252202f8
Love Is Blind,"Decide
[prod. grayskies]","Posted to grayskies' YouTube under the name ""burn.""",,,,,Full,CD Quality,https://pillows.su/f/e51b193d74d02213df5e025b0b5ceb36
Love Is Blind,"???
[prod. musicbynicho]
(Dream, When I'm With You, Convenience)","Posted to music by nicho's YouTube under the name ""convenience.""",,,,,Full,CD Quality,https://imgur.gg/f/XD3uqQv
Love Is Blind,"11:00 PM
[prod. grayskies]
(11PM)","Posted to grayskies' YouTube under the name ""sometimes.""",,,,,Full,CD Quality,https://pillows.su/f/197a9e72f2b7c0b8ac5e2be38ef06a54
Love Is Blind,"Losing Focus
[prod. rareflower]","Posted to lurepurple's YouTube as a type-beat to Joji's ""Will He."" File linked is slowed down and pitched to sound the exact same as the snippet version. Real instrumental is linked here.",,,,,Full,CD Quality,https://pillows.su/f/df28efd50308200ac36f46182a82e657
Love Is Blind,"Your Love
[prod. sahara]
(We Wouldn't Last)","Posted to sahara's YouTube under the name ""same old ways.""",,,,,Full,CD Quality,https://imgur.gg/f/phRC8ks
Love Is Blind,"Poison
[prod. Fantom]","Posted to Fantom's beat website under the name ""Exile.""",,,,,Full,CD Quality,https://pillows.su/f/3ef3f1798d40c30176ecc6d9698c9df0
Love Is Blind,"Monkey Breesh
[prod. saint urya]","Posted to saint urya's YouTube under the name ""BEAT HIM UP.""",,,,,Full,CD Quality,https://imgur.gg/f/jtHHV75
Love Is Blind,"Moonlight
[prod. Dan Darmawan]","Posted to Dan Darmawan's YouTube under the name ""birds.""",,,,,Full,CD Quality,https://pillows.su/f/b9a0b6b96b838ae3b83be6936ebb4d06
Love Is Blind,Fallen From Grace,Given in the Darkroom Records box.,,,,,Full,Lossless,https://pillows.su/f/bbb7f025a33c6fc8a3738ef8d8a1c9be
Love Is Blind,Day To Day,Given in the Darkroom Records box.,,,,,Full,Lossless,https://pillows.su/f/53fc57f8d13f1df862da3a404535a525
Petals To Thorns [V2],"Sleep Well (Stems + Session)
[prod. Spencer Stewart, Stint, Josh Shpak, & Amber Navran]",Has both stems and the session for the song. Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/f01s72s
Petals To Thorns [V2],"Sleep Well (More Stems)
[prod. Spencer Stewart, Stint, Josh Shpak, & Amber Navran]",Slightly different style of stems. Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/HSnqpyr
Petals To Thorns [V2],"Here With Me
[prod. Dan Darmawan]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/Y2PnEpI
Petals To Thorns [V2],"This Is How It Feels
(feat. Laufey) [prod. Noah Ehler]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/rZOxdc8
Petals To Thorns [V2],"Don't Forget About Me
[prod. nextime & MOTELSXWEEK]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/T0oeMyI
Petals To Thorns [V2],"Don't Forget About Me (More Stems)
[prod. nextime & MOTELSXWEEK]",Slightly different style of stems. Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/5z7nhB5
Petals To Thorns [V2],"WORTHLESS
[prod. Spencer Stewart, Casey Smith, & Sofia Valdés]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/jhmyecw
Petals To Thorns [V2],"Backstreet Girl
[prod. Matt Bartkus]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/5UfX79K
Petals To Thorns [V2],"Romantic Homicide [Instrumental]
[prod. Dan Darmawan]
(Romantic Murder)",Stems for the instrumental of Romantic Homicide. Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/5c9na0X
Petals To Thorns [V2],"The Bridge
[prod. Chris Marek & Michael Harrison]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/5Zi6mfQ
Petals To Thorns [V2],"Forever In Love [Instrumental]
[prod. Dan Darmawan]",Stems for the instrumental of Forever In Love. Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/m8pcu43
Petals To Thorns [V2],"Sleep Well
[prod. Spencer Stewart, Stint, Josh Shpak, & Amber Navran]",Given in the Darkroom Records box.,,,,,Full,Lossless,https://imgur.gg/f/w0bh5Ra
