Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
The Hoodstar Diary,The Hoodstar Diary,"Official tracklist for ""The Hoodstar Diary""

1. What A World
2. Gazer
3. Hoodstar Diary
4. Turnt Up
5. Believe In Love
6. Shot Down
7. Like Wick (feat. yrsci)
8. Rainy Days",,,Clear,d4vd,
Love Is Blind,Love Is Blind [V1],"Early tracklist for ""Love Is Blind""

?. 11:00 PM
?. Company
?. Fall Down
?. Hard To Find
?. Possibilites
?. Reason
?. Rooftop",,,Unavailable,Insiders,
Love Is Blind,Love Is Blind [V2],"Later tracklist for ""Love Is Blind"" with singles added.
? Thorns
?. Run Away
?. 11:00 PM
?. Company
?. Fall Down
?. You And I
?. Hard To Find
?. Decide
?. Bleed Out
?. Possibilities
?. Reason
?. Rooftop",,N/A,Unavailable,Insiders,
Untitled Rock EP,Untitled Rock EP,"Official tracklist for the EP.

1. WATCH YOUR HANDS
2. YOUTH
3. DON'T FOLLOW ME
4. BREAK OUT",,8/16/2022,Clear,Leaked,
Untitled 2023 Album,Untitled 2023 Album,"Tracklist leaked for a scrapped album, all which have production from Spencer Stewart.

1. Birthday Suicide
2. Hide Your Face From The Devil
3. My Better Halves
4. Present Beauty
5. The Shy Girl
6. Time Waits For No Man
7. Why Haven't I Found Love By Now?",,1/9/2023,Clear,Leaked,
Petals To Thorns [V2],The Root Of It All [V1],"Early tracklist with ""From Whence You Came"" as an interlude and ""Accident"" as the outro track.

1. Sleep Well
2. Here With Me
3. This Is How It Feels (with Laufey)
4. From Whence You Came
5. Don't Forget About Me
6. WORTHLESS
7. The Backstreet Girl
8. You And I
9. Romantic Homicide
10. The Bridge
11. Accident",,4/25/2023,Clear,Insiders,
Petals To Thorns [V2],Petals To Thorns [V2],"Official released version of ""Petals To Thorns"" Before the removal of This Is How It Feels.

1. Sleep Well
2. Here With Me
3. This Is How It Feels (with Laufey)
4. Don't Forget About Me
5. WORTHLESS
6. Backstreet Girl
7. You And I
8. Romantic Homicide
9. The Bridge",,5/26/2023,Clear,d4vd,
Petals To Thorns [V2],Petals To Thorns (Japanese CD Version),"Japanese CD exclusive tracklist of Petals To Thorns with 2 bonus tracks

1. Sleep Well
2. Here With Me
3. This Is How It Feels (with Laufey)
4. Don't Forget About Me
5. WORTHLESS
6. Backstreet Girl
7. You And I
8. Romantic Homicide
9. The Bridge
10. Placebo Effect
11. Backstreet Girl (Live)",,5/26/2023,Clear,d4vd,
Garden Of Eden,The Lost Petals,"Official released version of ""The Lost Petals"" available on all DSPs.

1. Notes From A Wrist
2. Hollow Prayers
3. Rehab
4. Poetic Vulgarity
5. Once More",,09/08/2023,Clear,d4vd,
Garden Of Eden,Garden Of Eden [V1],"Early tracklist for Garden Of Eden thats said to be 12 tracks long. Unknown which songs are on it.

1-12. ???",,N/A,Unavailable,Insiders,
Garden Of Eden,Garden Of Eden [V2],"Tracklist for Garden Of Eden with some known tracks. Unknown which order they're in.

1. Gaslight
2-12. ???
?. Bad News
?. Lost Now
?. Nomad
?. Worthy
?. We Don't Have To Die To Reach God",,N/A,Unavailable,Insiders,
WITHERED,Withering,"Official released version of ""Withering"" available on all DSPs.

1. Leave Her
2. 2016",,,Clear,d4vd,
