Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"1 Full
0 Tagged
1 Partial
1 Snippet
1 Unavailable",Old,,,,,,,
Old,ODB,Originally posted as a single for the album but never appeared officially due to sample issues. Danny had said it was intended to be the final track of the album.,,,,Full,HQ,https://pillowcase.su/f/9f84c50ae0df5215e8b0ad539617a775
Old,"A$AP Rocky - 1 Train [V1] [session]
(feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.) 
(prod. Hit-Boy)",a snippet posted on lcx,,,,Snippet,CDQ,https://pillowcase.su/f/08360be982255aab994a459a661546ee
Old,"A$AP Rocky - 1Train [V2-V?] [session]
(feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)
(prod. Hit-Boy)","According to the seller of the sessions for ""1Train"" there are ""lots of vocal takes"". It can be assumed there are multiple vocal takes for each person featured on the song.",,,,Confirmed,Not Available,
Old,"A$AP Mob - Hella Hoes [V1]
(with A$AP Rocky, A$AP Ferg, A$AP Twelvvy, A$AP NAST, Danny Brown & A$ton Matthews) (prod. Nyrell)","On A$AP Yams' Tumblr he shared a video of an early version of the song ""Hella Hoes"" with the original features of Danny Brown and A$ton Matthews. This version also features different verse arrangements as A$ton Matthews goes after A$AP Twelvvy's verse instead of Rocky. The two artists that were originally featured on the song were eventually taken off, and this caused a small feud between the A$AP Mob and Danny Brown as when the official song released he talked about how he was cut off the song. Danny expressed that he recorded for the song while on the road so he had to pay for the studio time. Eventually, on February 24th, 2016 there was a remix posted as a part of the ""Wavy Wednesdays"" series leading up to the release of the ""Cozy Tapes: Vol. 1 Friends -"" album release, as previously stated the song's arrangement is different as on the remix Rocky goes before A$ton as on this version he goes after A$AP Twelvvy.",,,,Partial,Recording,https://pillowcase.su/f/6eb6f88ff4d281186f69fab313ae271b
"1 Full
0 Tagged
0 Partial
1 Snippet
1 Unavailable",Atrocity Exhibition,,,,,,,
Atrocity Exhibition,"???
(Ft. Kendick Lamar)
(Prod. The Alchemist)","Danny Brown confirmed in a 2020 Twitch stream that he and Kendrick have an unreleased track over an Alchemist beat that he might play for fans someday. Most likely made during ""Atrocity Exhibition"" sessions.",?:??,,4/2/2020,Confirmed,Not Available,https://www.complex.com/music/2020/04/danny-brown-why-kendrick-lamar-body-me-on-early-really-doe
Atrocity Exhibition,"City Boyz
(Feat. Kendrick Lamar) 
(Prod. Black Milk)
(Really Doe)","OG Filename: City Boyz Danny Brown Kdot verse Ruff 1
Early version of ""Really Doe"" without Earl and Soulo's verses confirmed by Danny Brown in an interview to Complex. Made in 2016 according to its metadata. Leaked on October 12nd, 2023.",,,10/12/2023,Full,CDQ,https://pillowcase.su/f/67e15736cfa1f92dadd8d4ba4dcb97ac
Atrocity Exhibition,Homebase,apparently a snippet from 2015 according to some ppl on leaked,,,,Snippet,Not Available,NEED LINK
"1 Full
0 Tagged
0 Partial
0 Snippet
0 Unavailable",Reign Supreme,,,,,,,
Reign Supreme,Reign Supreme,,,,,Full,HQ,https://pillowcase.su/f/4bbb1a62ce9ede96dce57bb8a7b68dfc
"1 Full
0 Tagged
1 Partial
1 Snippet
0 Unavailable",SCARING THE HOES,,,,,,,
SCARING THE HOES,???,from the onlyfiles breach,,,,Partial,Recording,https://pillowcase.su/f/b1fb52c0ba58ba06f971a4d64b2d3e81
SCARING THE HOES,Burfict [V1],previewed on NTS,,,,Full,CDQ,https://pillowcase.su/f/71d147b81a3b690dc5b12ecd0a5e7366
SCARING THE HOES,Peggy,instrumental posted on STH tour site,,,,Snippet,Recording,https://pillowcase.su/f/dd4cc99cdf9b801d390a3993256c2273
"5 Full
1 Tagged
6 Partial
0 Production
1 Unavailable",Quaranta,,,,,,,
Quaranta,"Dark Sword Angel [V1]
(prod. Quelle Chris & Chris Keys)
(Monopoly 2)","Also known as ""Monopoly 2"" as a sequel to a legendary XXX song",,,,Full,HQ,"https://pillowcase.su/f/e6dcdfa39cb4b4bd7b831d7873a3cc6b
https://pillowcase.su/f/aeb5eb993ff5f06522ac8db07898fb85"
Quaranta,Get Low,Throwaway that was previewed on his Twitch,,,,Partial,HQ,https://pomf2.lain.la/f/2hkz2a97.webm
Quaranta,Jenn’s Terrific Vacation [V1],OG version of Jenn’s Terrific Vacation that was sold on thesource in 2020 or so,,,,Tagged,CDQ,https://pillowcase.su/f/48ad4d9c6441e615b7deeef532040da0
Quaranta,Jenn’s Terrific Vacation [V2],more developed version of JTV,,,,Full,HQ,https://pillowcase.su/f/051dc8229fb145075b89044fd1626b37
