Era,Name,Notes,Length,Release Date,On Streaming?,Link(s),Type
CuRRy Wuz Here,,,,,,,
,CuRRy Wuz Here,,,,,,
CuRRy Wuz Here,Intro-CuRRy Wuz Here,"Track 1 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/be4f8183aafb61853f5fb7f23dfcaebd,Mixtape Track
CuRRy Wuz Here,Yeeeeee!,"Track 2 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/5862cfece8babbe5f18c75a625307167,Mixtape Track
CuRRy Wuz Here,Big Brother Snap!,"Track 3 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"". Uses the instrumental to the Kanye West song ""Big Brother"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/54aa69057e2c37e94833c32e0a268c33,Mixtape Track
CuRRy Wuz Here,"Aquemini
(feat. Reela)","Track 4 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"". Uses the instrumental to the OutKast song ""Aquemini"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/fc663eb92995b76a61c8a7dbd4d6e733,Mixtape Track
CuRRy Wuz Here,Zone 3 Anthem Part 1,"Track 5 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/eda0b71f98a6effaa7d05f13a26a90b4,Mixtape Track
CuRRy Wuz Here,CuRRy Intermission Everlasting,"Track 6 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/554868f43063fc60adb54de838bd5708,Mixtape Track
CuRRy Wuz Here,Zone 3 Anthem Part 2,"Track 7 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/8e1345764fd2f0e185249df1c41bcb79,Mixtape Track
CuRRy Wuz Here,One Day Tribute,"Track 8 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/8f0f8a614433f516c8c160e2f394c519,Mixtape Track
CuRRy Wuz Here,Dirty South Interlude,"Track 9 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/40d1cfaac05d7ecdec322818dc559427,Mixtape Track
CuRRy Wuz Here,Hard In The Taco!!!!!!,"Track 10 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"". Uses the instrumental to the Waka Flocka Flame song ""Hard In The Paint"". Might have inspired STILL IN THE PAINT from KING OF THE MISCHEVIOUS SOUTH VOL 2",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/2eecac5a16136959e68643b867e5ed0a,Mixtape Track
CuRRy Wuz Here,Day N NIght Throwback,"Track 11 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"". Cover of the Kid Cudi song ""Day 'n Nite"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/65173d6b1c3b488b49ee74dd92e0c040,Mixtape Track
CuRRy Wuz Here,Alejandro,"Track 12 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/6d4ff85949539b1c0b0f4eae5b897000,Mixtape Track
CuRRy Wuz Here,BAR,"Track 13 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/2a49c8b22d6b536f47ec6f0d252d6b45,Mixtape Track
CuRRy Wuz Here,"Freestyle
(feat. Deejay & 758Quan)","Track 14 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/f092ed6e713fc16134baa9325a58fe99,Mixtape Track
CuRRy Wuz Here,CuRRy Wuz Here-Outro,"Track 15 off of Denzel Curry's 2011 mixtape, ""CuRRy Wuz Here"".",,"Jan 16, 2011",Off Streaming,https://pillows.su/f/544eca49507659fb347e75af7f477cfb,Mixtape Track
,Singles/Loose Songs,,,,,,
