Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Debut Album [V2],Smoke Break,Era unknown,,,"Jan 4, 2026",Snippet,Recording,https://imgur.gg/f/bBroeIq
Bra-Less,Revelation,"OG Filename: 01-10-21 (Revelation 2 01-10-21)
Leaked on October 16, 2025.",2:29,"Jan 10, 2021","Oct 16, 2025",Full,CD Quality,https://music.froste.lol/song/17be151d308f76d3854fc2de9a3ba75c
she / her / black bitch,"Alemeda - Beat A Bitch Up
(feat. Doechii)","OG Filename: Alemeda x Doechii - Beat A Bitch Up_Doechii Vrs.1
First ever full Doechii leak.",2:06,,"Jun 28, 2025",OG File,High Quality,http://music.froste.lol/song/16d13e572be4fe646a161f31b59fdf83/play
Debut Album [V2],"Get Right [V3] 
(feat. Tyler, The Creator) (prod. Pharrell Williams)",New version with Tyler on it. Played at LV runway show.,,,"Jun 25, 2025",Full,Low Quality,http://music.froste.lol/song/5a3574274d61d0719d12aefaaf3648f5/play
Alligator Bites Never Heal,CRUSH,Partial song leaked by okcool in Doechii Hub on May 19th. Forceleaked by coochie demon on May 23rd after it was resold multiple times.,3:02,,"May 23, 2025",Full,CD Quality,https://music.froste.lol/song/dc136b8858e60419d6689c40e3d81a3b
Debut Album [V2],"⭐ MOP IT UP [DIRTY]
(prod. J White Did It)",Forceleaked by coochie demon.,,,"May 22, 2025",Full,CD Quality,https://music.froste.lol/song/1c3572a94ae2247aa69f4b1223358d24
Debut Album [V2],MOP IT UP [CLEAN],Released for NBA 2k25 soundtruck but later deleted.,,,"May 19, 2025",Full,CD Quality,https://music.froste.lol/song/56089f7610826f533e37eeb0c5aa6d15
Debut Album [V2],"⭐Get Right [V1]
(feat. M.I.A.) (prod. Pharrell Williams)",Samples a 2005 verse from M.I.A. (Bucky Done Gun). Leaked as a part of a forceleak.,2:44,,"May 18, 2025",Full,CD Quality,https://pillowcase.su/f/e4fd2937a6ff598687cb01b438563482
Debut Album [V2],"Get Right [V2]
(prod. Pharrell Williams)",Forceleaked during the Get Right + Pop GB.,2:06,,"May 18, 2025",Full,Lossless,https://pillowcase.su/f/75c5e0b0a99258938b355e8ff1fbeb71
she / her / black bitch,"🏆 Bitch I'm Nice [Remix]
(feat. LAKEYAH) (prod. Bankroll)","From she / her / black bitch sessions. Extended version of that was finished but scrapped for unknown reasons. Confirmed by Gabriel to have a Lakeyah feature. Track has 3 minute runtime. A VERY low quality snippet leaked via Doechii Hub on May 10, 2025
this leaked sometime november 2025 but i cba to update link so just check on leaked.cx.

(ts never leaking 😭)",3∼,2022,"May 10, 2025",Full,High Quality,https://music.froste.lol/song/847892c54a7c808d9fd544689d1e2c02
Coven Music Sessions Vol.1,Cherry Wood,"Released on SoundCloud in late 2018, later deleted. Resurfaced on May 9th, 2025.",3:05,2018,"May 9, 2025",Full,High Quality,https://music.froste.lol/song/994a22ef67f8c74fc47cf907b39f434e
Debut Album [V1],"Cocoa
(prod. Pharrell Williams)","OG Filename: Doechii Cocoa My Lil Cocoa 1.8
Seen on a 2023 tracklist. Leaked after a successful GB.",5:17,,"May 8, 2025",OG File,CD Quality,https://music.froste.lol/song/3a630ddfd24ed09bef00c006313d1ea7
Debut Album [V1],"The Pyramid [V1]
(prod. Saint 808)",Poorly mixed mumble demo track for Pyramid. Leaked as a bonus to the Cocoa GB.,3:27,,"May 8, 2025",Full,CD Quality,https://music.froste.lol/song/a3fefb9ca6bdf510b31ccdd50a8ba25e
Alligator Bites Never Heal,WAIT,Demo of WAIT. Contains additional 2 verses. Leaked after a succesful gb.,4:41,,"May 8, 2025",Full,CD Quality,https://music.froste.lol/song/2defc2e6146b1bbaa10584a7c1214563
she / her / black bitch,24,"OG Filename: 24 - RUFF v2
Part of to the 3x Bundle GB",4:16,,"Apr 30, 2025",OG File,CD Quality,https://music.froste.lol/song/0a9f47477a35ed3c97e8617fbd9dc2d5
Alligator Bites Never Heal,COUGH DROPS [V2],Bonus to the 3x Bundle. Longer outro and different mix.,3:04,,"Apr 30, 2025",Full,CD Quality,https://music.froste.lol/song/3d4ca7865dde8a8225d059c86fec5067
