Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
#VALUE!,Coven Music Sessions Vol.1,"(???) (Doechii starts making music)
(May 15, 2019) (Coven Music Sessions Vol.1 is released)",,,Other,,
Coven Music Sessions Vol.1,"El Chapo
(feat. taylxrmxxn)","Said by Doechii to be the first song she ever recorded. released on Mar 27, 2016.",,"Mar 27, 2016",Single,No,https://music.froste.lol/song/9fdcbaa6b03d3fc372d5e4ca2c0383cb
Coven Music Sessions Vol.1,"Lipton
(feat. Cloudmaster Price)","Released on August 13, 2016.",,"Aug 13, 2016",Single,No,https://music.froste.lol/song/097ee2d12c09334d80918d61a9c66438
Coven Music Sessions Vol.1,Rich,,,"Dec 1, 2017",Single,No,https://music.froste.lol/song/790d2435787bbbe591f302b27609a4c8
Coven Music Sessions Vol.1,Girls,,,2018,Single,Yes,https://open.spotify.com/track/7zV60o01JXW3Hff1xgTHOX?si=71628059ce3d409b
Coven Music Sessions Vol.1,⭐ Say you'll,,,2018,Single,No,https://music.froste.lol/song/375d49f2d44b026541dee75b7468b56c
Coven Music Sessions Vol.1,deathnote,,,2018,Single,No,https://music.froste.lol/song/87f552ee432d4380cbc14030577d3f0d
Coven Music Sessions Vol.1,Cherry Wood,"Released sometime in 2018, but later got removed. Resurfaced on May 6, 2025 via Doechii Hub.",,2018,Single,Removed,https://music.froste.lol/song/994a22ef67f8c74fc47cf907b39f434e
Coven Music Sessions Vol.1,⭐ Doechii Potion,"Released on Jan 5, 2019 on streaming, but later deleted.",,"Jan 5, 2019",Single,Removed,https://music.froste.lol/song/04e92dc8c0618006b3396ad6f39ade05
Coven Music Sessions Vol.1,Pencil Pouch,,,"May 15, 2019",Other,Yes,https://open.spotify.com/track/4T6NaVoXEiCDzkK1NG2ybP?si=c1769652dbea43b0
Coven Music Sessions Vol.1,Bills,,,"May 15, 2019",Other,Yes,https://open.spotify.com/track/4qXBIFAjXJMwNxXTYN8Qyj?si=4462262117504d11
Coven Music Sessions Vol.1,Doechii 101,,,"May 15, 2019",Other,Yes,https://open.spotify.com/track/6R6HFFyMrNoiNzSY3DI10D?si=84172e09bcb94c2b
Coven Music Sessions Vol.1,Spookie Cooechie Live (interlude),,,"May 15, 2019",Other,Yes,https://open.spotify.com/track/3BQltgzaQ8IOUaSvhzM22l?si=001f1c9b409d48c1
Coven Music Sessions Vol.1,Body Offer,,,"May 15, 2019",Other,Yes,https://open.spotify.com/track/6ua7C8ZXXzfsjop4xMs3Gt?si=052b2438b32e4714
Coven Music Sessions Vol.1,Weeknd,,,"May 15, 2019",Other,Yes,https://open.spotify.com/track/6497u5rSZTwQlYj8um9OrY?si=86275b9b8d4044a1
Coven Music Sessions Vol.1,"⭐ Mocking Bird
(feat. Mike Escanor)",,,"May 15, 2019",Other,Yes,https://open.spotify.com/track/6497u5rSZTwQlYj8um9OrY?si=0ff68220492145d2
Coven Music Sessions Vol.1,Everything You Needed,,,"May 15, 2019",Other,Yes,https://open.spotify.com/track/06Ko6feY6xp05ymhBFXEW8?si=cf798bdbec484b0c
#VALUE!,Coven Music Sessions Vol.2,"(May 15, 2019) (Coven Music Sessions Vol.1 is released)
(May 14, 2020) (Doechii releases last Coven Music Session video)",,,Other,,
Coven Music Sessions Vol.2,⭐ Spookie Coochie,,,"Oct 20, 2019",Single,Yes,https://open.spotify.com/track/3QKKtAgmUkgt4uKpX5Hmlf?si=9ca97cdf011b4643
Coven Music Sessions Vol.2,"Mike Escanor - Afro Blues
(feat. Doechii)",,,"Feb 22, 2020",Feature,Yes,https://open.spotify.com/track/5EfDqGykBZWPbxopMU7xyj?si=18123ae8f45b46dc
Coven Music Sessions Vol.2,Anxiety [V1],,,"May 14, 2020",Single,No,https://youtu.be/4a8pHjLkkz8
#VALUE!,Oh The Places You’ll Go,"(May 14, 2020) (Doechii releases last Coven Music Session video)
(November 27, 2020) (Oh The Places You'll Go is released)",,,Other,,
Oh The Places You’ll Go,"JAYPROB - Right Now
(feat. Doechii)",,4:02,"Jul 30, 2020",Feature,Yes,https://open.spotify.com/track/2mONvIzuPoOhWXRfV5PykG?si=d55fcff7d17f4c5a
Oh The Places You’ll Go,Yucky Blucky Fruitcake,First Single for OHTPYLG.,4:35,"Sep 23, 2020",Single,Yes,https://open.spotify.com/track/20g2ScIIZX6pF00xwdQp82?si=080649620a0449bc
Oh The Places You’ll Go,What's Your Name,Second Single for OHTPYLG.,2:39,"Oct 23, 2020",Single,Yes,https://open.spotify.com/album/14Y8qqFp8IoOSX8xWe33Ru?si=9Lh7sSwlSF2BVklw9rHuZQ
Oh The Places You’ll Go,Oh The Places You’ll Go,Track 1 on OHTPYLG.,1:32,"Nov 27, 2020",Other,Yes,https://open.spotify.com/album/0VV963BfZvQmjzZ14ai7Gu
Oh The Places You’ll Go,⭐ Yucky Blucky Fruitcake,Track 2 on OHTPYLG.,4:35,"Nov 27, 2020",Other,Yes,https://open.spotify.com/album/0VV963BfZvQmjzZ14ai7Gu
Oh The Places You’ll Go,⭐ Black Girl Memoir,Track 3 on OHTPYLG.,3:40,"Nov 27, 2020",Other,Yes,https://open.spotify.com/album/0VV963BfZvQmjzZ14ai7Gu
Oh The Places You’ll Go,God,Track 4 on OHTPYLG. Interlude,2:36,"Nov 27, 2020",Other,Yes,https://open.spotify.com/album/0VV963BfZvQmjzZ14ai7Gu
Oh The Places You’ll Go,Something Real,Track 5 on OHTPYLG.,3:34,"Nov 27, 2020",Other,Yes,https://open.spotify.com/album/0VV963BfZvQmjzZ14ai7Gu
Oh The Places You’ll Go,⭐ What's Your Name,Track 6 on OHTPYLG.,2:39,"Nov 27, 2020",Other,Yes,https://open.spotify.com/album/0VV963BfZvQmjzZ14ai7Gu
Oh The Places You’ll Go,Drop Out,Track 7 on OHTPYLG.,3:01,"Nov 27, 2020",Other,Yes,https://open.spotify.com/album/0VV963BfZvQmjzZ14ai7Gu
#VALUE!,Bra-Less,"(November 27, 2020) (Oh The Places You'll Go is released)
(April 3, 2021) (Bra-Less is released)",,,Other,,
Bra-Less,⭐ Pms,Track 1 on Bra-Less,,"Apr 3, 2021",Other,Yes,https://open.spotify.com/track/1bkrjP1Ng2W4k2xC48PKzc?si=f4094d36e0334a77
Bra-Less,Truth,Track 2 on Bra-Less,,"Apr 3, 2021",Other,Yes,https://open.spotify.com/track/0IKtWsq2bcDtnwExB1qPcS?si=1092d5af35c242fa
Bra-Less,Shit,Track 3 on Bra-Less,,"Apr 3, 2021",Other,Yes,https://open.spotify.com/track/5A1brlnMQDvsDl9W2IOY69?si=9167eaec65b44c47
Bra-Less,Girls,Track 4 on Bra-Less,,"Apr 3, 2021",Other,Yes,https://open.spotify.com/track/7AKvCIL8Aps9UQ9n3G5i4F?si=bfd79db8fb194ddb
#VALUE!,she / her / black bitch,"(April 3, 2021) (Bra-Less is released)
(August 5, 2022) (she / her / black bitch is released)",,,Other,,
