Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
"2 Total Full
0 OG File
0 Partial / Cut
0 Snippet
1 Unavailable",Coven Music Sessions Vol.1,,,,,,,
Coven Music Sessions Vol.1,Cherry Wood,"Released on SoundCloud in late 2018, later deleted. Resurfaced on May 9th, 2025.",3:05,2018,"May 9, 2025",Full,High Quality,https://music.froste.lol/song/994a22ef67f8c74fc47cf907b39f434e
Coven Music Sessions Vol.1,⭐ Doechii Potion,"Released on Jan 5, 2019, later deleted.",,,"Jan 5, 2019",Full,High Quality,https://music.froste.lol/song/bac8128b29316bcce868cea7e3d68507
Coven Music Sessions Vol.1,[Unknown Coven Music Sessions Vol.1 Songs],,,,,Confirmed,Not Available,
"0 Total Full
0 OG File
0 Partial / Cut
0 Snippet
0 Unavailable",Coven Music Sessions Vol.2,,,,,,,
Coven Music Sessions Vol.2,[Unknown Coven Music Sessions Vol.2 Songs],,,,,Confirmed,Not Available,
"0 Total Full
0 OG File
0 Partial / Cut
0 Snippet
0 Unavailable",Oh The Places You’ll Go,,,,,,,
Oh The Places You’ll Go,[Unknown Oh The Places You’ll Go Songs],,,,,Confirmed,Not Available,https://plwcse.top/f/7c0ecaa5f878b64503b606e48f1f9f11
"1 Total Full
0 OG File
0 Partial / Cut
0 Snippet
1 Unavailable",Bra-Less,,,,,,,
Bra-Less,Revelation,"OG Filename: 01-10-21 (Revelation 2 01-10-21)
Leaked on October 16, 2025.",2:29,"Jan 10, 2021","Oct 16, 2025",Full,CD Quality,https://music.froste.lol/song/17be151d308f76d3854fc2de9a3ba75c
Bra-Less,[Unknown Bra-Less Songs],,,,,Confirmed,Not Available,
"5 Total Full
0 OG File
0 Partial / Cut
0 Snippet
0 Unavailable",Unfinished Love Songs,,,,,,,
Unfinished Love Songs,"Childish [V1]
(Fireflies)",Fireflies OG released on an old EP and later deleted.,,,,Full,High Quality,https://music.froste.lol/song/083a5fd26ee91aceb4cb8f61269d7efd
Unfinished Love Songs,"Emotions
(feat. leo conoza)","Track from the deleted EP. Featuring her bf at the time, now ex.",,,,Full,High Quality,https://music.froste.lol/song/9906af0b7fb4125d003ae85e15385861
Unfinished Love Songs,⭐ Roll,Track from the deleted EP.,,,,Full,High Quality,https://music.froste.lol/song/2016140450dcea1fe82b1206e98eb0a1
Unfinished Love Songs,Foolish,Track from the deleted EP.,,,,Full,High Quality,https://music.froste.lol/song/922d97300e041190cf77e180d509b474
Unfinished Love Songs,🏆 With You,"Song from an unknown era, but due to the sound and themes, most likely from the Uninished Love Songs EP era.",,,,Full,Low Quality,https://music.froste.lol/song/064469d151b346e37b65fcb94acd788d
"4 Total Full
3 OG File
2 Partial / Cut
0 Snippet
4 Unavailable",she / her / black bitch,,,,,,,
she / her / black bitch,24,"OG Filename: 24 - RUFF v2
Part of to the 3x Bundle GB",4:16,,"Apr 30, 2025",OG File,CD Quality,https://music.froste.lol/song/0a9f47477a35ed3c97e8617fbd9dc2d5
she / her / black bitch,Pop,"From unknown era, but due to the sound probably she / her / black bitch or older. Bonus to a Doechii Hub GB, but didnt surface due to the main song forceleaking. Most of the song is already out, only missing 30 seconds which probably is chorus + beat outro.",,,,Cut,High Quality,https://music.froste.lol/song/fd9033b02ac3af7da87fe8b445c6b1d8
she / her / black bitch,"Pillow Talk
(prod. Bankroll)",From she / her / black bitch sessions.,,,"May 28, 2022",Cut,High Quality,https://music.froste.lol/song/c889b8212e6f763f60717c0556b5011b
she / her / black bitch,"Rain [V2]
(prod. Pharrell Williams)","OG Filename: DOECHII_RAIN_BRIDGE_UPDATE
First ever full Doechii leak.",2:39,,"Sep 6, 2021",OG File,High Quality,https://music.froste.lol/song/512b63928212d2f69fe680412d6de43d
she / her / black bitch,"Alemeda - Beat A Bitch Up
(feat. Doechii)","OG Filename: Alemeda x Doechii - Beat A Bitch Up_Doechii Vrs.1
First ever full Doechii leak.",2:06,,"Jun 28, 2025",OG File,High Quality,http://music.froste.lol/song/16d13e572be4fe646a161f31b59fdf83/play
she / her / black bitch,"🏆 Bitch I'm Nice [Remix]
(feat. LAKEYAH) (prod. Bankroll)","From she / her / black bitch sessions. Extended version of that was finished but scrapped for unknown reasons. Confirmed by Gabriel to have a Lakeyah feature. Track has 3 minute runtime. A VERY low quality snippet leaked via Doechii Hub on May 10, 2025
this leaked sometime november 2025 but i cba to update link so just check on leaked.cx.

(ts never leaking 😭)",3∼,2022,"May 10, 2025",Full,High Quality,https://music.froste.lol/song/847892c54a7c808d9fd544689d1e2c02
she / her / black bitch,Rain [V1],The filename of the second version suggests there is an earlier version of Rain.,,,,Confirmed,Not Available,
she / her / black bitch,"Crazy [Remix]
(feat. Aryius)",From she / her / black bitch sessions.,,,,Confirmed,Not Available,
she / her / black bitch,STANKA POOH [V1],"Jayda Love Doechii first recorded with her at the end of Summer 2021, and their first session was STANKA POOH.",,Aug 2021,,Confirmed,Not Available,https://www.revolt.tv/article/studio-sessions-jayda-love-discusses-doechii-unique-recording-process
she / her / black bitch,[Unknown she / her / black bitch Songs],,,,,Confirmed,Not Available,
"3 Total Full
1 OG File
4 Partial / Cut
1 Snippet
8 Unavailable",Debut Album [V1],,,,,,,
Debut Album [V1],"Cocoa
(prod. Pharrell Williams)","OG Filename: Doechii Cocoa My Lil Cocoa 1.8
Seen on a 2023 tracklist. Leaked after a successful GB.",5:17,,"May 8, 2025",OG File,CD Quality,https://music.froste.lol/song/3a630ddfd24ed09bef00c006313d1ea7
Debut Album [V1],🏆 I Told 'Em*,Previewed during the Afropunk festival.,,,"Sep 10, 2022",Full,Performance,https://music.froste.lol/song/1ae43625572ef6cfe52d78f9db20a0a1
Debut Album [V1],"The Pyramid [V1]
(prod. Saint 808)",Poorly mixed mumble demo track for Pyramid. Leaked as a bonus to the Cocoa GB.,3:27,,"May 8, 2025",Full,CD Quality,https://music.froste.lol/song/a3fefb9ca6bdf510b31ccdd50a8ba25e
Debut Album [V1],"🏆 Pyramid [V2]
(prod. Saint 808)","Previewed during an IG live, and later previewed in part via a twitter post. Called by Doechii ""Pacer's Baby Siter"". Most likely lost.",,,"Sep 28, 2022",Partial,Recording,https://music.froste.lol/song/be10842371d2f0896f80c7d461d392de
Debut Album [V1],Love,From Debut Album OG most likely.,,,,Partial,Recording,
Debut Album [V1],🏆 Sweat,"Jersey club song seen on a tracklist. Previewed during a performance on Jun 2, 2024.",,,"Jun 2, 2024",Snippet,Performance,https://music.froste.lol/song/f0c615229c57bca1a0b2d79468fa6637
Debut Album [V1],"🏆 Wala*
(feat. Baby Tate)",Rumored to feature Baby Tate.,,,,Partial,Recording,https://music.froste.lol/song/28a16c91970bcc819500c356ed2e41ad
Debut Album [V1],"REASON - Make It Rain*
(feat. Doechii)",Previewd on an IG live. Doechii said she doesnt like the unplayed part of the song. Uses same bass line as Beyonce's All Up In Your Mind.,,,,Partial,Recording,https://music.froste.lol/song/64e80a0e1cb7508d8f841e3e036df091
Debut Album [V1],Alter Ego [V1],Solo. Seen on a tracklist.,,,,Confirmed,Not Available,
Debut Album [V1],"Boom Bap [V1]
(feat. ???)",Version of Boom Bap containing a feature. Seen on a tracklist.,,,,Confirmed,Not Available,
Debut Album [V1],"Dancing with My Clothes Off 
(feat. ???)",Seen on a tracklist. Contains an unknown feature. Contains strings.,,,,Confirmed,Not Available,
Debut Album [V1],Ignant,Seen on a tracklist.,,,,Confirmed,Not Available,
Debut Album [V1],Mop It Up [V1],"Explicit version of Mop It Up, held by members of the community.",,,,Confirmed,Not Available,
Debut Album [V1],"Turn Me On
(feat. ???)",Seen on a tracklist. Contains an unknown feature.,,,,Confirmed,Not Available,
Debut Album [V1],"Wicked
(feat. ???)",Seen on a tracklist. Contains an unknown feature.,,,,Confirmed,Not Available,
Debut Album [V1],[Unknown Debut Album Songs],,,,,Confirmed,Not Available,
"9 Total Full
1 OG File
0 Partial / Cut
1 Snippet
4 Unavailable",Alligator Bites Never Heal,,,,,,,
Alligator Bites Never Heal,COUGH DROPS [V2],Bonus to the 3x Bundle. Longer outro and different mix.,3:04,,"Apr 30, 2025",Full,CD Quality,https://music.froste.lol/song/3d4ca7865dde8a8225d059c86fec5067
Alligator Bites Never Heal,⭐ COUGH DROPS [V4],"Part of to the 3x Bundle GB. Vocals end 2:12, and has an open 1:30 - 1:45. Leaked after a succesful gb",2:51,,"Apr 30, 2025",Full,CD Quality,https://music.froste.lol/song/fe0b123038ec9bfedbf7a01a7473fc39
Alligator Bites Never Heal,CRUSH,Partial song leaked by okcool in Doechii Hub on May 19th. Forceleaked by coochie demon on May 23rd after it was resold multiple times.,3:02,,"May 23, 2025",Full,CD Quality,https://music.froste.lol/song/dc136b8858e60419d6689c40e3d81a3b
Alligator Bites Never Heal,⭐ FIREFLIES [V1],"Bonus to the 3x Bundle GB. Features a 10 second cut verse, alt production and only vocals from the second part of fireflies. It was later combined with Childish to create the FIREFLIES released on ABNH. Has long instrumental outro. Leaked as a bonus to the 3x bundle gb.",,,"Apr 30, 2025",Full,CD Quality,https://music.froste.lol/song/8c500317cfa8d47ddc2a392e749f02cb
Alligator Bites Never Heal,"🏆 PASSPORT
(prod. Stoic)",Produced by Stoic.,,,,Full,Recording,https://music.froste.lol/song/c526b7011184b7e92d69843b0aaeff63
Alligator Bites Never Heal,"⭐ PEACH RINGS [V2]
(prod. Rosalindo)",Part of to the 3x Bundle GB. Features a minute long sample outro. Samples Masquarade by Carpenters.,2:28,,"Apr 30, 2025",Full,CD Quality,https://music.froste.lol/song/10982698748a1e73b70d7979b1d795a7
Alligator Bites Never Heal,STANKA POOH [V2],Demo of Stanka Pooh. Alt mix.,,,,Full,Recording,https://music.froste.lol/song/1745f3bbed5aeeb42cd201326759a644
Alligator Bites Never Heal,WAIT,Demo of WAIT. Contains additional 2 verses. Leaked after a succesful gb.,4:41,,"May 8, 2025",Full,CD Quality,https://music.froste.lol/song/2defc2e6146b1bbaa10584a7c1214563
Alligator Bites Never Heal,"GTF [V1]
(feat. KUNTFETISH)
(GTFO)","OG Filename: GTF_abMIX_3
Has a different rougher take from KUNTFETISH, sligthly different lyrics, different prod & mix, more KUNTFETISH adlibs. Suprise bonus for the 3x bundle gb.",,,"Apr 30, 2025",OG File,CD Quality,https://music.froste.lol/song/9a5e9b60c6aa40a842e8ba66d4ca44ff
Alligator Bites Never Heal,FIRE*,Previewed during an IG live.,,,,Snippet,Recording,https://music.froste.lol/song/11865ca47f1de92b87f11a78024a43d2
Alligator Bites Never Heal,COUGH DROPS [V1],"Confirmed to exist. Unknown differences from the other versions, except that there are no differences in vocals.",,,,Confirmed,Not Available,N/A
Alligator Bites Never Heal,COUGH DROPS [V3],"Confirmed to exist. Unknown differences from the other versions, except that there are no differences in vocals.",,,,Confirmed,Not Available,N/A
Alligator Bites Never Heal,PEACH RINGS [V1],OG version of Peach Rings has been confirmed to exist. Differences are unknown.,,,,Confirmed,Not Available,N/A
Alligator Bites Never Heal,[Unknown Alligator Bites Never Heal Songs],,,,,Confirmed,Not Available,
"5 Total Full
0 OG File
0 Partial / Cut
1 Snippet
1 Unavailable",Debut Album [V2],,,,,,,
Debut Album [V2],"⭐Get Right [V1]
(feat. M.I.A.) (prod. Pharrell Williams)",Samples a 2005 verse from M.I.A. (Bucky Done Gun). Leaked as a part of a forceleak.,2:44,,"May 18, 2025",Full,CD Quality,https://pillowcase.su/f/e4fd2937a6ff598687cb01b438563482
Debut Album [V2],"Get Right [V2]
(prod. Pharrell Williams)",Forceleaked during the Get Right + Pop GB.,2:06,,"May 18, 2025",Full,Lossless,https://pillowcase.su/f/75c5e0b0a99258938b355e8ff1fbeb71
Debut Album [V2],"Get Right [V3] 
(feat. Tyler, The Creator) (prod. Pharrell Williams)",New version with Tyler on it. Played at LV runway show.,,,"Jun 25, 2025",Full,Low Quality,http://music.froste.lol/song/5a3574274d61d0719d12aefaaf3648f5/play
Debut Album [V2],MOP IT UP [CLEAN],Released for NBA 2k25 soundtruck but later deleted.,,,"May 19, 2025",Full,CD Quality,https://music.froste.lol/song/56089f7610826f533e37eeb0c5aa6d15
Debut Album [V2],"⭐ MOP IT UP [DIRTY]
(prod. J White Did It)",Forceleaked by coochie demon.,,,"May 22, 2025",Full,CD Quality,https://music.froste.lol/song/1c3572a94ae2247aa69f4b1223358d24
Debut Album [V2],Smoke Break,Era unknown,,,"Jan 4, 2026",Snippet,Recording,https://imgur.gg/f/bBroeIq
Debut Album [V2],[Unknown Debut Album [V2] Songs],,,,,Confirmed,Not Available,
