Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
Before Space Age Pimping,Sounds from Monday morning,The cover art used for the oldest track featuring Don Toliver on the internet by t3nf0 (Yung Josh 93) on soundcloud.,Unknown,Digital,,Front Cover,Used,/dongold/art/sounds-from-monday-morning.jpg
Before Space Age Pimping,Pep Rally ft Caleb,The cover art used for Pep Rally ft Caleb,Unknown,Photo,,Front Cover,Used,/dongold/art/pep-rally-ft-caleb.png
Before Space Age Pimping,Smoke Session,The cover art used for Smoke Session featuring Yung Josh,Unknown,Photo,,Front Cover,Used,/dongold/art/smoke-session.png
Before Space Age Pimping,BRICKS FT CALEB,The cover art used for BRICKS FT CALEB,Unknown,Photo,,Front Cover,Used,/dongold/art/bricks-ft-caleb.png
Before Space Age Pimping,island girl ft caleb,The cover art used for island girl ft caleb,Unknown,Photo,,Front Cover,Used,/dongold/art/island-girl-ft-caleb.png
Before Space Age Pimping,Old NEWS ft Yung Josh,The cover art used for Old NEWS ft Yung Josh,Unknown,Photo,,Front Cover,Used,/dongold/art/old-news-ft-yung-josh.png
Before Space Age Pimping,Switch It Up ft Yung Josh,The cover art used for Switch It Up ft Yung Josh,Unknown,Photo,,Front Cover,Used,/dongold/art/switch-it-up-ft-yung-josh.png
Before Space Age Pimping,South Side,The cover art used for South Side,Unknown,Digital,,Front Cover,Used,/dongold/art/south-side.png
Before Space Age Pimping,LSTC,The cover art used for LSTC,Unknown,Photo,,Front Cover,Used,/dongold/art/lstc.png
Before Space Age Pimping,IMA DOG ft Don Toliver,The cover art used for IMA DOG ft Don Toliver,Unknown,Digital,,Front Cover,Used,/dongold/art/ima-dog-ft-don-toliver.png
Before Space Age Pimping,YOUNG NIGGA FREESTYLE,The cover art used for YOUNG NIGGA FREESTYLE (actual image is lost right now so we got a shitty 120p version of it✌️✌️✌️),Unknown,Recreation,,Front Cover,Used,/dongold/art/young-nigga-freestyle.png
Before Space Age Pimping,Break From The S.W.A.T.,The cover art used for Break From The S.W.A.T.,Unknown,Digital,,Front Cover,Used,/dongold/art/break-from-the-s-w-a-t.png
Before Space Age Pimping,Never Change Freestyle,The cover art used for Never Change Freestyle,Unknown,Photo,,Front Cover,Used,/dongold/art/never-change-freestyle.png
Before Space Age Pimping,Donny Womack,The cover art used for Donny Womack,Unknown,Digital,,Front Cover,Used,/dongold/art/donny-womack.png
Before Space Age Pimping,Earths Child,The cover art used for Earths Child,Unknown,Digital,,Front Cover,Used,/dongold/art/earths-child.png
Before Space Age Pimping,This Dat Shit,The cover art used for This Dat Shit,Unknown,Photo,,Front Cover,Used,/dongold/art/this-dat-shit.png
Before Space Age Pimping,No Wrong,The cover art used for No Wrong,Unknown,Photo,,Front Cover,Used,/dongold/art/no-wrong.png
Before Space Age Pimping,Say What You Mean,The cover art used for Say What You Mean,Unknown,Photo,,Front Cover,Used,/dongold/art/say-what-you-mean.png
Before Space Age Pimping,WHY!,The cover art used for WHY!,Unknown,Photo,,Front Cover,Used,/dongold/art/why.png
Before Space Age Pimping,TroubleShooting,The cover art used for TroubleShooting,Unknown,Photo,,Front Cover,Used,/dongold/art/troubleshooting.png
Before Space Age Pimping,What Happen,The cover art used for What Happen,Unknown,Photo,,Front Cover,Used,/dongold/art/what-happen.png
Before Space Age Pimping,Life Line,The cover art used for Life Line,Unknown,Photo,,Front Cover,Used,/dongold/art/life-line.png
Before Space Age Pimping,I Can See,The cover art used for I Can See,Unknown,Photo,,Front Cover,Used,/dongold/art/i-can-see.png
Before Space Age Pimping,Who Likes To Be Bored?,The cover art used for Who Likes To Be Bored?,Unknown,Photo,,Front Cover,Used,/dongold/art/who-likes-to-be-bored.png
Before Space Age Pimping,Unfortunate Events.,The cover art used for Unfortunate Events.,Unknown,Photo,,Front Cover,Used,/dongold/art/unfortunate-events.png
Before Space Age Pimping,Donny Forever,The cover art used for Donny Forever,Unknown,Photo,,Front Cover,Used,/dongold/art/donny-forever.png
Before Space Age Pimping,Never Like Me,The cover art used for Never Like Me,Unknown,Photo,,Front Cover,Used,/dongold/art/never-like-me.png
Before Space Age Pimping,Right Time,The cover art used for Right Time,Unknown,Photo,,Front Cover,Used,/dongold/art/right-time.png
Before Space Age Pimping,Tell Me,The cover art used for Tell Me,Unknown,Photo,,Front Cover,Used,/dongold/art/tell-me.png
Before Space Age Pimping,Nobody Else ft Caleb,The cover art used for Nobody Else ft Caleb,Unknown,Digital,,Front Cover,Used,/dongold/art/nobody-else-ft-caleb.png
