Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
"To view only songs that are not on streaming, right-click the G column and click ""Sort sheet A to Z""!
Do NOT do this if you are an Editor!",,,,,,,
"0 Album Track(s)
0 Single(s)
0 Feature(s)
0 Production
0 Other",Before Space Age Pimping,"(06/12/1994) (Caleb Zackery is born in Alief, Texas)
(04/09/2012) (""Sounds from Monday Morning"" is released)",,,"Caleb Zackery ""Don"" Toliver (born June 12, 1994) is an American singer, rapper, and songwriter. His debut mixtape, Donny Womack (2018) was released a day prior to fellow Houston rapper Travis Scott's album Astroworld (2018), on which Toliver guest appeared on its song ""Can't Say"". In the following week, he signed with Scott's record label, Cactus Jack Records, in a joint venture with Atlantic Records.",,
Before Space Age Pimping,Sounds From Monday Morning,"OG Filename: Record190.aiff
Don Toliver's first known song, released on one of Don's childhood friends SoundCloud. Beat is from 9th Wonder's ""Sweetest Language"" that samples ""You Taught Me How To Speak In Love"" by Marlena Shaw.",2:02,"Apr 9, 2012",Other,Soundcloud,https://soundcloud.com/t3nf0/sounds-from-monday-morning-1
,Features,,,,,,
Before Space Age Pimping,"Yung Josh - Pep Rally
(feat. Don Toliver)","OG Filename: Pep_Rally_ft_Caleb.ogg
Released on one of Don's childhood friends SoundCloud",1:48,"Mar 11, 2014",Other,Soundcloud,https://soundcloud.com/dalton_zr1/pep-rally-ft-caleb
Before Space Age Pimping,"Yung Josh - BRICKS
(feat. Don Toliver)","OG Filename: BRICKS_FT_CALEB.ogg
Released on one of Don's childhood friends SoundCloud",1:58,"Mar 12, 2014",Other,Soundcloud,https://soundcloud.com/dalton_zr1/bricks-ft-caleb
Before Space Age Pimping,"Yung Josh - 360
(feat. Don Toliver)","OG Filename: 360.ogg
Released on one of Don's childhood friends SoundCloud",2:08,"Mar 20, 2014",Other,Soundcloud,https://soundcloud.com/dalton_zr1/360-1
Before Space Age Pimping,"Yung Josh - Let Me See
(feat. Don Toliver)","OG Filename: Let_Me_See.ogg
Released on one of Don's childhood friends SoundCloud",2:01,"Mar 20, 2014",Other,Soundcloud,https://soundcloud.com/dalton_zr1/let-me-see
Before Space Age Pimping,"Yung Josh - INeedIt
(feat. Don Toliver) (prod. Go Grizzly)","OG Filename: INeedIT.ogg
Don Toliver's first ever track released on one of Don's childhood friends SoundCloud",2:10,"Mar 21, 2014",Other,Soundcloud,https://soundcloud.com/dalton_zr1/ineedit
Before Space Age Pimping,"Yung Josh - Tried To Tell 'Em
(feat. Don Toliver)","OG Filename: Tried_To_Tell'em.ogg
Don Toliver's first ever track released on one of Don's childhood friends SoundCloud",1:39,"Mar 23, 2014",Other,Soundcloud,https://soundcloud.com/dalton_zr1/tried-to-tellem
Before Space Age Pimping,"Yung Josh - Smoke Session
(feat. Don Toliver)","OG Filename: Smoke_Session.ogg
Don Toliver's first ever track released on one of Don's childhood friends SoundCloud",2:09,"Apr 3, 2014",Other,Soundcloud,https://soundcloud.com/dalton_zr1/smoke-session
Before Space Age Pimping,"Yung Josh - Logic
(feat. Don Toliver) (prod. Lobotomize)","Was an unknown lost song but was found reuploaded by someone on SoundCloud in 2016. Remix of Logic's ""All I Do"", uses a looped beat",3:22,2015,Other,Soundcloud,https://soundcloud.com/maria-rincon-2/logic-ft-don-toliver?in=maria-rincon-2/sets/yungjoshhoustonfreestyles&si=07335c7e71454361b5ac498b4a1abf2b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Before Space Age Pimping,"Yung Josh - Mann Freestyle
(feat. Don Toliver) (prod. Noke-D)","Was considered lost but was found reuploaded by someone on SoundCloud in 2016. Remix of Big Moe's ""Maan!""",2:56,"Jan 25, 2015",Other,Soundcloud,https://soundcloud.com/maria-rincon-2/mann-houston-classic-freesyle?in=maria-rincon-2/sets/yungjoshhoustonfreestyles&si=0d796901f1af4b659bea397ed249f280&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Before Space Age Pimping,"Yung Josh - Me And My Drank Freestyle
(feat. Don Toliver) (prod. Elradawi)","Was considered lost but was found reuploaded by someone on SoundCloud in 2016. Remix of Lil Wayne's ""Me And My Drank"", uses a remade beat",4:48,"Feb 10, 2015",Other,Soundcloud,https://soundcloud.com/maria-rincon-2/me-and-my-drank-freestyle?in=maria-rincon-2/sets/yungjoshhoustonfreestyles&si=8a90e506a27e4520a5d244bdbce68002&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
"12 Album Track(s)
0 Single(s)
0 Feature(s)
0 Production
0 Other","Space Age Pimping Trilogy
(Collaboration with Yung Josh)
(2015)","(02/20/2015) (Space Age Pimping 1 is released)
(03/04/2015) (Space Age Pimping 2 is released)
(05/15/2015) (Space Age Pimping 3 is released)",,,"Space Age Pimping is a deleted trilogy of collaborative mixtapes with Yung Josh released on SoundCloud. The name ""Space Age Pimping"" comes from 8Ball & MJG's song of the same name. Little is known about Don's early work with Yung Josh because they deleted their old accounts due to running out of space for not paying for SoundCloud Pro.",,
,Space Age Pimping I,(02/20/2015) (Space Age Pimping 1 is released),,,,,
Space Age Pimping Trilogy,Space Age Intro,One of four known tracks on SAP1. Likely isn't the same song as Realer Remix since that was released after this song,,,Album Track,No,Link Needed
Space Age Pimping Trilogy,Servin 'Em All,One of four known tracks on SAP1,,,Album Track,No,Link Needed
Space Age Pimping Trilogy,Since Day One,One of four known tracks on SAP1,,,Album Track,No,Link Needed
Space Age Pimping Trilogy,Space Age Outro,One of four known tracks on SAP1,,,Album Track,No,Link Needed
,Space Age Pimping II,(03/04/2015) (Space Age Pimping 2 is released),,,,,
Space Age Pimping Trilogy,Back To The Streets,One of three known tracks on SAP2,,,Album Track,No,Link Needed
Space Age Pimping Trilogy,"Cash
(Dear Summer)","OG Filename: DEAR SUMMER- ROUGHMIX- CA_2
One of three known tracks on SAP2, still available",2:12,"Mar 4, 2015",Album Track,Soundcloud,"https://pillows.su/f/e886b7cc6a1359689267674a574e3493
https://soundcloud.com/yung_josh/cash"
Space Age Pimping Trilogy,"Dreams
(Blazing)","OG Filename: BLAZING_2-FINAL MIX- CA_5
One of three known tracks on SAP2, still available",3:02,"Mar 4, 2015",Album Track,Soundcloud,https://soundcloud.com/yung_josh/dreams
,Space Age Pimping III,(05/15/2015) (Space Age Pimping 3 is released),,,,,
Space Age Pimping Trilogy,GLOBAL WIDE PIMP BROTHERS,,,,Album Track,No,Link Needed
Space Age Pimping Trilogy,MONEY COMING IN,"Performed live by Don & Josh, one of seven known tracks on SAP3",,,Album Track,No,Link Needed
Space Age Pimping Trilogy,"NEW EDITION
(prod. Mickey Bvss)",One of seven known tracks on SAP3,,,Album Track,No,Link Needed
Space Age Pimping Trilogy,RIGHT THERE,"Performed live by Don & Josh, one of seven known tracks on SAP3",,,Album Track,No,Link Needed
Space Age Pimping Trilogy,SPACE AGE FOREVER,One of seven known tracks on SAP3,,,Album Track,No,Link Needed
"0 Album Track(s)
0 Single(s)
0 Feature(s)
0 Production
2 Other","Pimp Olympics
(Collaboration With Yung Josh)
(2015 - 2016)","(10/24/2015) (Pimp Olympics is announced)
(12/10/2016) (Pimp Olympics is scrapped and Life Before Death EP is released)",,,"This project was mentioned in the description of the music video for ""Dear Summer / Global Wide Pimping"" released on October 24, 2015. Little is known about Don's early work with Yung Josh because they deleted their old accounts due to running out of space for not paying for SoundCloud Pro.",,
,Features,,,,,,
Pimp Olympics,"Yung Josh - Realer (Remix)
(feat. Don Toliver)","OG Filename: REALER- REMIX - FINAL 5 - CA.mp3
Released on Yung Josh's SoundCloud. Unsure if this a remix of a Yung Josh song that was already released or a song of the same title",2:44,"May 15, 2015",Other,Soundcloud,https://soundcloud.com/yung_josh/realer-remix-space-age-intro
Pimp Olympics,"Yung Josh - IMA DOG
(feat. Don Toliver)","OG Filename: IMA DOG -FINAL 4(NO AUTO) - CA
Released on Yung Josh's SoundCloud",3:51,"Aug 9, 2015",Other,Soundcloud,https://soundcloud.com/yung_josh/ima-dog-ft-caleb
"8 Album Track(s)
0 Single(s)
0 Feature(s)
0 Production
0 Other","Life Before Death
(2016)","(05/15/2015) (Space Age Pimping 3 is released)
(12/10/2016) (Life Before Death EP is released)",,,"Only physical copies exist of this lost EP. On December 10, 2016, Don personally handed out the disc to his friends and at a pop-up at a store called Lo-Fi from 4pm to 10pm. Some people are known to own the CD, but it hasn’t surfaced yet. There’s a few videos of him handing out the CD in New York on Yung Josh’s YouTube channel. Pictures of the tracklist confirm there are 5 songs on the EP with 2 bonus tracks.",,
Life Before Death,"He Said [V1]
(Intro, He Said She Said)","Contains a rougher mix. Leaked in CDQ by Tim (Lil Uzi) on June 21, 2022.",3:31,,Album Track,No,https://pillows.su/f/554f7010c0b7434dd479a4b8302cf4f4
Life Before Death,"He Said [V2]
(Intro, He Said She Said)","Track 1 on Life Before Death. Leaked in CDQ by Tim (Lil Uzi) on June 21, 2022.",3:31,,Album Track,No,https://pillows.su/f/fb039579313e015f1a007df0620759f7
Life Before Death,Cash Money,"Track 2 on Life Before Death. Leaked in CDQ by Tim (Lil Uzi) on June 21, 2022.",2:01,,Album Track,No,https://pillows.su/f/456d4f6e75742a1dc2c9a90232bf7f64
Life Before Death,IDK,Track 3 on Life Before Death. First previewed on Twitter in 2017.,,,Album Track,No,https://pillows.su/f/45af5b9517b9a2394b97a40904d0ec76
Life Before Death,You Know It,Track 4 on Life Before Death. Previewed by Don on Snapchat,,,Album Track,No,https://pillows.su/f/95a8f3b0ed0f8ba78b414e5745f69984
Life Before Death,Po A 4,Track 5 on Life Before Death,,,Album Track,No,
Life Before Death,My Time,Track 6 on Life Before Death,,,Album Track,No,
Life Before Death,"Play Me [Clean]
(feat. Yung Josh)","Remix of Thouxbanfauni's ""DJ YoungKash Interlude"". Track 7 on Life Before Death",,,Album Track,No,
"10 Album Track(s)
0 Single(s)
1 Feature(s)
0 Production
0 Other",Playa Familia,"05/17/2017: Playa Familia is released
Early 2018: Playa Familia 2 is scrapped",,,"PLAYA FAMILIA is a collaborative mixtape by Houston artists YungJosh93 and Don Toliver. It was released on SoundCloud on May 17, 2017. The mixtape was preceded by two singles: “Play Me” which was released November 16, 2016, and “Magic & Bird” which released February 27, 2017.",,
,Album,,,,,,
Playa Familia,Magic & Bird,"OG Filename: MAGIC & BYRD -RM1- TM
Track 1 on Playa Familia. Recorded in 2016",2:56,"May 17, 2017",Album Track,Soundcloud,https://soundcloud.com/yung_josh/magic-bird-ft-don-toliver
Playa Familia,No Questions,"OG Filename: NO QUESTIONS -RM1- TM
Track 2 on Playa Familia",1:22,"May 17, 2017",Album Track,Soundcloud,https://soundcloud.com/yung_josh/no-questions-yungjosh93-x-don-toliver
Playa Familia,Pimpin Pimpin,"OG Filename: PIMPIN PIMPIN -RM1- JB-1
Track 3 on Playa Familia",3:11,"May 17, 2017",Album Track,Soundcloud,https://soundcloud.com/yung_josh/pimpin-pimpin-yungjosh93-x-don-toliver
Playa Familia,Stay Away,"OG Filename: STAY AWAY -M1 -JB
Track 4 on Playa Familia. Originally recorded in 2015",3:20,"May 17, 2017",Album Track,Soundcloud,https://soundcloud.com/yung_josh/percoset-yungjosh93-x-don-toliver
Playa Familia,Percoset,"OG Filename: PERCOCET -M3-DC
Track 5 on Playa Familia. Recorded in 2017",3:10,"May 17, 2017",Album Track,Soundcloud,https://soundcloud.com/yung_josh/percoset-yungjosh93-x-don-toliver
Playa Familia,Chief Keef,"OG Filename: CHIEF KEEF -RM2(NO TAGS)- TM
Track 6 on Playa Familia. Doesn't have Don vocals; solo Yung Josh",2:46,"May 17, 2017",Album Track,Soundcloud,https://soundcloud.com/yung_josh/chief-keef-yungjosh93
Playa Familia,"Fifty
(prod. Yung Hydro Beatz)","OG Filename: FIFTY -RM2- IG.mp3
Track 7 on Playa Familia. Recorded in 2016",2:21,"May 17, 2017",Album Track,Soundcloud,https://soundcloud.com/yung_josh/fifty-yungjosh93-x-don-toliver
Playa Familia,"Cheefin
(Chiefing)","OG Filename: CHIEFING -RM2-DC
Track 8 on Playa Familia. Samples Jodeci's ""What About Us""",3:07,"May 17, 2017",Album Track,Soundcloud,https://soundcloud.com/yung_josh/chefin-don-toliver
