Era,Name,Notes,Date,Type,Portion,Quality,Link(s)
,"N.W.A. And The Posse
(Collaboration with N.W.A.)","(Late 1986) (N.W.A. Is Formed)
(11/06/1987) (N.W.A. And The Posse officially releases)",,N.W.A. And The Posse is the debut compilation album of Compton rap group N.W.A.,,,
N.W.A. And The Posse,,,,,Confirmed,Not Available,
N.W.A. And The Posse,,,,,Confirmed,Not Available,
,"Straight Outta Compton
(Collaboration with N.W.A.)","(11/06/1987) (N.W.A. And The Posse officially releases)
(01/25/1989) (Straight Outta Compton officially releases)",,Straight Outta Compton is the debut studio album of Compton rap group N.W.A.,,,
,Music Videos,,,,,,
Straight Outta Compton,"Express Yourself [Music Video]
(dir. Rupert Wainwright)",Official music video for Express Yourself.,,Music Video,Full,High Quality,https://youtu.be/u31FO_4d9TY?si=GfYdr2pkExMChzTV
Straight Outta Compton,"Straight Outta Compton [Music Video]
(dir. Rupert Wainwright)",Official music video for Straight Outta Compton.,,Music Video,Full,High Quality,https://youtu.be/TMZi25Pq3T8?si=lA5Jv0NxQBMgVinl
,"100 Miles & Runnin'
(Collaboration with N.W.A.)","(01/25/1989) (Straight Outta Compton officially releases)
(01/??/1990) (Ice Cube leaves N.W.A.)
(08/14/1990) (100 Miles & Runnin' officially releases)",,EP recorded and released after the success of Straight Outta Compton.,,,
,Music Videos,,,,,,
100 Miles & Runnin',"100 Miles & Runnin' [Music Video]
(dir. Eric Meza)",Official music video for 100 Miles & Runnin'.,1990,Music Video,Full,High Quality,https://youtu.be/GiDti_Xnnmo?si=t5klNh788iIu5GCq
100 Miles & Runnin',"Eazy-E - Eazy-er Said Than Dunn [Music Video]
(dir. John Lloyd Miller)",Official music video for Eazy-er Said Than Dunn.,,Music Video,Full,High Quality,https://youtu.be/8GUSIx2eKBQ?si=hBTmTpnSG3EvO8n-
100 Miles & Runnin',"Eazy-E - We Want Eazy [Music Video]
(feat. N.W.A. & Michel'le) (dir. J. Kevin Swain)",Official music video for We Want Eazy.,,Music Video,Full,High Quality,https://youtu.be/Wdk_zq1y_rE?si=IzZGbCXp-kp8LJAw
100 Miles & Runnin',"Michel'le - Nicety [Music Video]
(feat. Dr. Dre) (dir. Jane Simpson)",Official music video for Nicety.,,Music Video,Full,High Quality,https://youtu.be/aY1pH4juTK4?si=6nSWAvJv8JwI9u5S
100 Miles & Runnin',"Michel'le - No More Lies [Music Video]
(feat. Dr. Dre) (dir. Jane Simpson)",Official music video for No More Lies.,,Music Video,Full,High Quality,
100 Miles & Runnin',The D.O.C. - The D.O.C. And The Doctor [Music Video],Official music video for The D.O.C. And The Doctor.,,Music Video,Full,High Quality,https://youtu.be/4QdgC6w0gL4?si=v9w_BdeCdXRklwPR
100 Miles & Runnin',The D.O.C. - It's Funky Enough [Music Video],Official music video for It's Funky Enough.,,Music Video,Full,High Quality,https://youtu.be/UiPbeIXZpD4?si=SObA03KEscMIyhrG
100 Miles & Runnin',"The D.O.C. - The Formula [Music Video]
(dir. Jane Simpson)",Official music video for The Formula.,,Music Video,Full,High Quality,https://youtu.be/9k1XyvwM4no?si=YFsCYKUfuuFLIlB_
,"efiL4zaggiN
(Collaboration with N.W.A.)
(Niggaz4Life)","(08/14/1990) (100 Miles & Runnin' officially releases)
(05/28/1991) (efiL4zaggiN officially releases)",,"efiL4zaggiN (Niggaz4Life spelled backwards) is the second and final studio album by N.W.A., and the only N.W.A. album to not feature Ice Cube as a group member. The project is notable for its extremely dark sound, lyrics and subject matter such as rape and mutilation, teetering on horrorcore at some points. This is in stark contrast to other N.W.A. projects which are somewhat lighter in tone.",,,
,Music Videos,,,,,,
efiL4zaggiN,"Alwayz Into Somethin' [Music Video]
(dir. Mark Gerard)",Official music video for Always Into Somethin'.,,Music Video,Full,CD Quality,https://youtu.be/O0v6OywGWSY?si=uhuim6D5WonmURk4
efiL4zaggiN,"Appetite For Destruction [Music Video]
(dir. Mark Gerard)",Official music video for Appetite For Destruction.,,Music Video,Full,CD Quality,https://youtu.be/zaaoFbNsyf4?si=4wWqhPH0DZoIQgpR
efiL4zaggiN,"Approach To Danger [Music Video]
(dir. DJ Yella & Donovan Smith)",Official music video for Approach To Danger.,,Music Video,Full,High Quality,https://youtu.be/tECe8nj9snU?si=pgHjWVO0EYrdxkfy
,The Chronic,"(05/28/1991) (Efil4Zaggin officially releases)
(12/15/1992) (The Chronic officially releases)",,The Chronic is the debut studio album of Compton rapper/producer Dr. Dre.,,,
,Music Videos,,,,,,
The Chronic,"Deep Cover [Music Video]
(feat. Snoop Dogg)",Official music video for Deep Cover.,,Music Video,Full,High Quality,https://youtu.be/uo3rZjJB1hY?si=OqLODpqG-S3hYvSx
The Chronic,"Fuck Wit Dre Day (And Everybody's Celebrating) [Music Video]
(feat. Snoop Dogg)",Official music video for Fuck Wit Dre Day.,,Music Video,Full,High Quality,https://youtu.be/_bI4HKjKF-E?si=V3p6EDWt5VUUBSd5
The Chronic,"Let Me Ride [Music Video]
(feat. Jewell) (dir. Dr. Dre)",Official music video for Let Me Ride.,,Music Video,Full,High Quality,https://youtu.be/cKu3_3mp1U8?si=KbGJc7d4ylMZvh75
The Chronic,"Lil' Ghetto Boy [Music Video]
(feat. Snoop Dogg) (dir. Dr. Dre)",Official music video for Lil' Ghetto Boy.,,Music Video,Full,High Quality,https://youtu.be/3udf34bKdzo?si=yTcYHZMDrTrYNtnc
The Chronic,"Nuthin' But A G Thang [Music Video]
(feat. Snoop Dogg) (dir. Dr. Dre)",Official music video for Nuthin' But A G Thang.,,Music Video,Full,High Quality,https://youtu.be/8GliyDgAGQI?si=vLMOT4LwYxX2rlMs
,"Helter Skelter
(Collaboration with Ice Cube)
(Heltah Skeltah)","(12/15/1992) (The Chronic officially releases)
(04/XX/1995) (The D.O.C. and Erotic D start working on his version of Helter Skelter)
(01/23/1996) (The D.O.C. releases his version of Helter Skelter)",,"Helter Skelter was a scrapped collab album between Dr. Dre and Ice Cube, and was slated to release as the next Death Row Records album following Snoop Dogg's ""Doggystyle"" album. According to The D.O.C., Dre wanted to base the album off of post-apocalyptic themes, and asked The D.O.C. to read various novels on the apocalypse whilst writing verses on the album for him. Although the exact reason for scrapping the project is unknown, the final nail in the coffin was The D.O.C. leaving Death Row Records due to a dispute with Dre and releasing tracks intended for Helter Skelter on his own album of the same name in January 1996. The album's lead single, Natural Born Killaz, was released on the Murder Was The Case soundtrack in 1994.",,,
,Music Videos,,,,,,
Helter Skelter,Natural Born Killaz [Music Video],Official music video for Natural Born Killaz.,,Music Video,Full,High Quality,https://youtu.be/w8sDp65dyeA?si=qr8ezkcTOEnEAu0u
,Never Recorded,,,,,,
Helter Skelter,Secret Plan [V1],"The D.O.C. mentioned on Twitter that Secret Plan from his version of Helter Skelter was planned to be on the Dre and Ice Cube project, but never got past the idea stage.",,OG,Never Recorded,N/A,https://x.com/WESTCOASTDOC/status/1961376699771208083
,The Chronic II: A New World Odor (Poppa's Got A Brand New Funk),"(12/15/1992) (The Chronic officially releases)
(03/22/1996) (Dr. Dre leaves Death Row Records)",,Cover by imrobtyler. The title is not a typo. The Chronic II: A New World Odor (Poppa's Got A Brand New Funk) was the working title of Compton rapper/producer Dr. Dre's planned sophomore studio album.,,,
,Music Videos,,,,,,
The Chronic II,"Keep Their Heads Ringin' [Music Video]
(dir. Felix Gary Gray)",Official music video for Keep Their Heads Ringin'.,,Music Video,Full,High Quality,https://youtu.be/Gg5KfL-4asE?si=T9yFffyLaFdrW3qP
The Chronic II,"2Pac - California Love [Music Video]
(feat. Dr. Dre) (dir. Hype Williams)",Official music video for California Love.,,Music Video,Full,CD Quality,https://youtu.be/omfz62qu_Bc?si=2y41Npic_Id0PHSD
The Chronic II,The D.O.C. - Return Of Da Livin' Dead [Music Video],Official music video for Return Of Da Livin' Dead.,,Music Video,Full,CD Quality,https://youtu.be/i3k7ajNcrs4?si=blGV1K4zkiodCFz4
,Never Recorded,,,,,,
The Chronic II,"??? [V1]
(prod. Bud'da)
(Bow Down)","According to Bud'da, he played the beat to ""Bow Down"" by Ice Cube to Dr. Dre, and Dre said he wanted it but Bud'da had already given the beat to Cube.",,OG,Never Recorded,N/A,https://chadkiser.com/2011/05/29/budda-talks-dr-dre-creating-bow-down-for-westside-connection-the-dubcnn-interview/
,"Dr. Dre Presents... The Aftermath
(Compilation album, prod. Dr. Dre)","(03/22/1996) (Dr. Dre leaves Death Row Records)
(11/26/1996) (Dr. Dre Presents... The Aftermath officially releases)",,Dr. Dre Presents... The Aftermath was a compilation album by Dr. Dre and was the first release on Aftermath Entertainment. The album was primarily produced by the Soul Kitchen production team.,,,
,Music Videos,,,,,,
