Era,Name,Track Number / Info,Track Length,Release Date,Type,Streaming,Link(s)
"14 Total
11 Album Track
3 Production","N.W.A. And The Posse
(Collaboration with N.W.A.)","(Late 1986) (N.W.A. Is Formed)
(11/06/1987) (N.W.A. And The Posse officially releases)",,,,N.W.A. And The Posse is the debut compilation album of Compton rap group N.W.A.,
N.W.A. And The Posse,"Boyz-N-The-Hood
(prod. Dr. Dre)",Track 1 on N.W.A. And The Posse.,5:39,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/5RGXoZt1qxmAErdhbyKJKq?si=kW1mztqrQQ2ax55MJ0PB5A
N.W.A. And The Posse,"8 Ball
(prod. Dr. Dre)",Track 2 on N.W.A. And The Posse.,4:25,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/2JuKS0vF3hpmx8LQ0qtk5o?si=hYdXdXtbRbWWTRsl7FK5aw
N.W.A. And The Posse,"Dunk The Funk
(prod. Dr. Dre & Dr. Rock)",Track 3 on N.W.A. And The Posse.,5:03,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/004V9qiH0ByHi8Cz2DltKT?si=CB7Ib7eKSdCxZ5AYQODDgw
N.W.A. And The Posse,"A Bitch Iz A Bitch
(prod. Dr. Dre & DJ Yella)",Track 4 on N.W.A. And The Posse.,3:09,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/6annH9QTaMrIAm5soWhV46?si=IjQPjrgBRMicptJHHhAIVg
N.W.A. And The Posse,"Drink It Up
(prod. Dr. Dre & Dr. Rock)",Track 5 on N.W.A. And The Posse.,4:44,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/1OGeohw7AmZDTQ6yInadUg?si=m4v0us0KRx29EgyAG8vKuw
N.W.A. And The Posse,"Panic Zone
(prod. Arabian Prince & Dr. Dre)",Track 6 on N.W.A. And The Posse.,3:31,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/6szfyVbU8VEEagcMyrbaAV?si=cW9jEdoSRg6lfhCEcd06Bg
N.W.A. And The Posse,"L.A. Is The Place
(prod. Dr. Dre)",Track 7 on N.W.A. And The Posse.,4:33,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/0FJyFOTAJ49VDqx2PfjUnm?si=-OGfjPZMQeC535yP7SHYYQ
N.W.A. And The Posse,"Dope Man
(prod. Dr. Dre & DJ Yella)",Track 8 on N.W.A. And The Posse.,6:18,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/4fukZMkYV1JgJ68NegVLtN?si=_LBjf5oMQbCtPj8eV2_kQQ
N.W.A. And The Posse,"Tuffest Man Alive
(prod. Dr. Dre)",Track 9 on N.W.A. And The Posse.,2:15,"Nov 6, 1987",Album Track,Yes,https://open.spotify.com/track/3wOh6dS417xMthW5FJ8V4G?si=o6vCc8eSQveqZ3AP7llByA
