Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
Before So Far Gone,Room For Improvement,Main Room for Improvement cover.,Unknown,Digital,,Front Cover,Used,https://www.udiscovermusic.com/wp-content/uploads/2020/02/Drake-Room-For-Improvement-mixtape-artwork-8201-820x820.jpg
Before So Far Gone,Room For Improvement [Alternate Cover],Second cover for Room For Improvement.,Unknown,Digital,,Front Cover,Used,https://t2.genius.com/unsafe/1696x0/https%3A%2F%2Fimages.genius.com%2Fb0d2206f7edb32fcd8ddcfeb008ddc98.500x500x1.jpg
Before So Far Gone,Room For Improvement (Back Cover #1),Room for Improvement back cover mostly used on physical releases.,Unknown,Digital,,Back Cover,Used,
Before So Far Gone,Room For Improvement (Back Cover #2),Room for Improvement back cover mostly used on physical releases.,Unknown,Photo,,Back Cover,Used,https://i.discogs.com/EfJw-qNmji1IVI8ACQQk16HoRZOzQXIaj6quiEGour0/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMjEy/MjY2LTE2Mzg1NDUw/MzYtMTQ4My5qcGVn.jpeg
Before So Far Gone,Comeback Season,"Cover for Drake's second mixtape ""Comeback Season"". Designed by Toronto artist and founder of Legends League, Bryan Espiritu.",Bryan Espiritu,Digital,,Front Cover,Used,
Before So Far Gone,Comeback Season [Back Cover],"Back cover for Drake's second mixtape ""Comeback Season"".",Unknown,Digital,,Back Cover,Used,
So Far Gone,So Far Gone,"The cover art for the So Far Gone mixtape features a silhouette of a child (representing the purer stage of life before the corruptions of growing up and becoming an adult/man) standing on top of white bold letters that spell out “DRAKE. SO FAR GONE AN OCTOBER’S VERY OWN PRESENTATION” with money cascading down. The EP’s cover has a black background with “DRAKE SO FAR GONE” in bold, white letters, and red hearts and money spilling from above. The reason for the child, red hearts and red money can be found in the following quote,

""One night we were having a discussion about women and the way we were talking about them. It was so brazen and so disrespectful. He texted me right after we got off the phone and he was like, ‘Are we becoming the men that our mothers divorced?’ That’s really where the cover comes from, too. It’s just this kid in pursuit of love and money.""",Darkie,Digital,,Front Cover,Used,
So Far Gone,So Far Gone (5 Year Anniversary),"Cover of Drake's third mixtape So Far Gone, made for the five year anniversary.",Darkie,Digital,,Other,Used,
So Far Gone,So Far Gone (10 Year Anniversary),"Drake used this image in a post announcing the streaming re-release of So Far Gone in honor of its ten-year anniversary. In the original cover, the silhouette of a boy is seen reaching upwards towards the wealth and love that are falling down upon him. However, this image portrays the boy now looking down on these things, as he already indulged in them. The updated artwork is a representation of Drake’s career. At the time of the tape’s original 2009 release, Drake was barely starting to become a household name. Ten years later, Drake is arguably the biggest artist in the entire world and a modern legend of the music industry. Also, the silhouette in this image only wields money, which could allude to Drake having prioritized attaining wealth over seeking love. Although Drake posted this cover, it was not officially attached to the tape’s re-release.",Darkie,Digital,,Other,Unused,https://hiphop-n-more.com/wp-content/uploads/2019/02/so-far-gone-streaming-1.jpg
So Far Gone,So Far Gone [Back Cover],The back cover of So Far Gone in the same style of the mixtape’s cover art.,Darkie,Digital,,Back Cover,Used,
So Far Gone,So Far Gone (EP),Cover of the So Far Gone EP.,Unknown,Digital,,Front Cover,Used,https://images.genius.com/a44fb885215734bbceb314dc325b4a96.1000x1000x1.jpg
So Far Gone,So Far Gone (EP) [Back Cover],Back cover of the So Far Gone EP.,Unknown,Digital,,Back Cover,Used,https://hiphop-n-more.com/wp-content/uploads/2009/08/drake-so-far-gone-retail-back-1200x1189.jpg
Thank Me Later,Thank Me Later,"This cover art was made by Darkie who also designed the So Far Gone mixtape cover art. As the debut studio album for Drake, the simple bold design featuring Drake’s face and title serve the purpose of introducing the start of Drake’s career and self-branding with style and clarity. When speaking of the creation Darkie said the following,

""Thank Me Later was totally different. At this point, Oliver and I had a pretty comfortable working relationship. He approached me regarding doing the album artwork and, of course, I was down. He must have had this one planned out for a while ‘cause he had pulled a mood board that was the exact vibe of the theme, which was a play on Hezbollah’s propaganda war. It was nuts, but ill at the same time.""",Darkie,Digital,,Front Cover,Used,https://images.genius.com/b82b8f57f581e62776896064454dc40a.1000x1000x1.jpg
Thank Me Later,Thank Me Later [Back Cover],,Unknown,Digital,,Back Cover,Used,https://ibb.co/wBJ8t7Y
Thank Me Later,Thank Me Later (Booklet),"The booklet for Drake's debut studio album ""Thank Me Later"".",Unknown,Digital,,Booklet,Used,Link Needed
