Era,Name,"Notes
(Join The Drake Alt Tracker Discord)",Made By,Type,Currently Available,Link(s)
Thank Me Later,"Go Thriller
(feat. Kanye West)","Fake leak using Drake vocals from ""Over"" and a Kanye verse from ""Heavy Hitters"".",Unknown,Fake Leak,Full HQ,https://www.youtube.com/watch?v=7d8ahS266V8
Nothing Was The Same,"416
(feat. Saukrates) prod. Boi-1da)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father. Obviously not related to the unreleased Big Sean x Drake song of the same name.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"All Kinds
(feat. Justin Timberlake) (prod. 40)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"Back To Me
(feat. Frank Ocean) (prod. 40)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"Dream Crew
(prod. T-Minus)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"Here But I'm Gone
(feat. PARTYNEXTDOOR) (prod. B!nk & 40)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"Her Regrets
(prod. James Blake)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"It's Yours
(feat. A$AP Rocky) (prod. Clams Casino & 40)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father. Unrelated with Wu-Tang Forever BTW.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"Just Know
(prod. Just Blaze)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"Know Yourself
(feat. JAY-Z) (prod. Swizz Beatz & Timbaland)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"La Familia
(feat. Lil Wayne & Birdman) (prod. Mike Zombie)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"Moments In Time
(feat. Future) (prod. Boi-1da & 40)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,"Same City, Same Friends
(prod. 40)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
Nothing Was The Same,The One,A random song made by a Drake impersonator sold as a Drake song.,Unknown,Impression,Full CDQ,https://krakenfiles.com/view/kE0V9w4aLM/file.html
Nothing Was The Same,"The Storm
(prod. 40)",Track that was found on a fake NWTS tracklist posted on Instagram by someone posing as Drake's father.,KTT,Fake Rumor,Not Available,https://cdn.discordapp.com/attachments/1231608184838426665/1346979041709658173/IMG-7521.png?ex=67ca277d&is=67c8d5fd&hm=19803333a3b8f579c024685fe2876b01af7f536b75692418313ef0a8ef8e1644&
If You're Reading This It's Too Late,Big Business,"🗣 TRAP-A-HOLICS, AI snippet most likely done in Udio judging by the length.",Unknown,AI,CDQ Snippet,https://krakenfiles.com/view/nM44f94C8D/file.html
If You're Reading This It's Too Late,Views From The 6,"OG version of the 3rd verse of ""U With Me?"". Leaked by E. Batt, a rapper with no association to Drake who got the song early and added his own verse via Soundcloud. During OVOMark's April 7th Instagram Live, a full version of the track was played and subsequently an edit was made combining ""U With Me?"" and the leaked verse from Soundcloud to make the full OG version of the track.",Unknown,Stem Edit,Full CDQ,https://pillows.su/f/58627f917afc822548837c8f0ad9929f
Views,"Summer Sixteen
(with Kanye West)",Edit sold by scammer Logan Smitherman that cut off the Pop Style demo to capitalize on the amount of money he'd get. OG file was leaked weeks after. ,Logan Smitherman,Fake Leak,Full CDQ,https://dbree.org/v/fa42f0
Views,"Lulu Island
(with Kanye West)","Fake rumor made up by Music Mafia, confirmed fake.",Music Mafia,Fake Rumor,Not Available,
Wolves,"Bordeaux
(with Kanye West) (prod. Kanye West, Noah ""40"" Shebib & Boi-1da)
(Jumpin In Bordeaux)","Kanye To The troll song created back in 2018 including lyrics that was shortly posted on Genius, now thanks to AI this came to life, in form of a HQ snippet, contains a sample of ""Am I Dreaming"" by Atlantic Starr.",KanyeToThe,AI,HQ Snippet,"https://www.kanyetothe.com/threads/drake-bordeaux-feat-kanye-west-not-out.7840426/

https://youtu.be/VjHf8Z0PRl8?si=R6dPDeSaUNdVZ7DS"
What A Time To Be Alive 2,"20 Hoes (Remix)
(feat. Young Thug)
(Kendall / Kylie)","Snippet was first previewed on Future's Snapchat and was referred to as ""Kendall / Kylie"". A longer portion of the song was later previewed again on @nighowlsound's May 21st Instagram Live. An edit was then made using the existing CDQ leak with the Instagram Live audio to create the full track.",Unknown,Stem Edit,Full CDQ,https://pillows.su/f/7139ef0252bae4316728720ba326001e
Scorpion [V1],"Vital
(Grave)","On November 6th, 2017, Drake debuted the track at his Boy Meets World concert in New Zealand, where he sang a small portion of the track. He followed up this performance with another performance of the track on June 25, 2018. Transitions from ""Zodiac Sign"" which possibly means it was meant for OG Scorpion. A hook was leaked that fits perfectly with the end of the track as can be heard in this extended edit.",Unknown,Stem Edit,Full CDQ,https://pillows.su/f/cff73e515123d812006742c68d0ed08f
Scorpion,"Nice For What
(feat. Kanye West)","Certain sources say Kanye recorded on Drake's 2018 hit 'Nice For What', yet this never has been confirmed and there is no good source behind it.",Unknown,Fake Rumor,Not Available,
Certified Lover Boy [V1],"Laugh Now Cry Later
(feat. Playboi Carti)","Fake snippet with Playboi Carti vocals on ""Laugh Now Cry Later"".",Unknown,Fake Leak,CDQ Snippet,Link Needed
Certified Lover Boy [V1],"Playboi Carti - Place
(feat. Drake) (prod. Pi'erre Bourne)","Rumored to exist from reputable insiders, debunked later.",Unknown,Fake Leak,Not Available,Link Needed
Certified Lover Boy [V2],"Forgot I Was Famous
(feat. Lil Uzi Vert) (prod. Metro Boomin, SAUCEboy, Preme & 40)
(All Painted, At The Gates)","Fake leak of ""At The Gates"" posted on LEAKED.CX.",Unknown,Fake Leak,Full CDQ,Link Needed
Certified Lover Boy [V2],"Pop Smoke - Slow Down
(feat. Drake)",Featured on a fake Pop Smoke album tracklist.,Unknown,Fake Leak,Not Available,Link Needed
Certified Lover Boy [V2],"Lil Baby - ???
(feat. Drake & Lil Durk*)
(Woi Oi*)","Faked mashup. Drake's vocals are from War (says ""Woi Oi"" right at the beginning). Unknown where the beat is from, likely made as a fake. Snippet was recorded in low quality to make more it more convincing that it's a rare snippet.",Unknown,Fake Leak,LQ Snippet,https://pillows.su/f/ba2a3aa5ba2dffd215692945d1d30d96
"Honestly, Nevermind","Yeat - Nü Money
(feat. Travis Scott & Drake) (prod. BNYX® & Metro Boomin)","Snippet released on April Fools Day in 2022 by producer BNYX®, with Drake's infamous ""Ayy, yuh"" adlibs and a fake Metro Boomin tag. Reuploaded to several snippet channels despite being proven fake shortly after. Drake and Travis eventually did hop on the beat for the song 'Meltdown' however",BNYX,Fake Leak,Full HQ,https://pillows.su/f/a0f0d69c197feb6b4010661da2b60f42
FATD,"Quavo & Selena Gomez - Rapunzel
(ref. Drake & Ariana Grande)","Fake snippet labelled as a demo for Selena Gomez and Quavo for their song ""Rapunzel"" that uses Drake & Ariana AI over Quavo and Selena's vocals. Surfaced on Dbree.",Unknown,Fake Leak,CDQ Snippet,https://krakenfiles.com/view/DDTZE3dDNM/file.html
100 GIGS,Drunk While You Text,"AI track uploaded to YT, months later reposted by Lachlan on Drake Hub as a leak 😭.",Unknown,AI,Full HQ,
100 GIGS,Man In The Mirror,"Fake AI leak that was made after somewhat reputable insider Playa released an info dump regarding ""Drake's response to the Pop Out show that Kendrick had"" and that Drake ""was going to crash out"" saying that he had a track called ""Man In The Mirror"" releasing soon which would talk about The Pop Out.",Unknown,AI,Full HQ,Link Needed
ICEMAN,"National Treasure
(feat. Pressa)","Uploaded to the plottttwisttttt twitter account, proven to be a larp account as AK can be heard in the background of this ""full HQ"" and some parts are missing.",plottttwisttttt,Fake Leak,Full HQ,https://pillows.su/f/ce8e5cab13336c2a18cc77424dc131ad
ICEMAN,Who Was It,"Fake rumor talked about by ""insiders"" (What's The Dirt & an ""anonymous"" source), hours before ICEMAN EPISODE 3 was set to start streaming. Was said to be the next single after ""Which One"". It was also said to be the ""TRUE red button"". Come on bro.",Unknown,Fake Rumor,Not Available,
ICEMAN,"""Spirits Anniversary""","""Spirits Anniversary"" is a larp centered around the ICEMAN rollout.",Unknown,Fake Rumor,Not Available,
