Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2025,"$2,800.00",ICEMAN,Best Friend,Best Friend (feat. Rod Wave),"$1,400",,,Blind,Yes,
2025,"$2,800.00",Certified Lover Boy [V1],Waiting To Exhale,Waiting To Exhale (feat. 21 Savage),Info Needed,Info Needed,"Apr 6, 2025",Normal,Yes,Link Needed
2025,"$2,800.00",For All The Dogs,Cheerios,Cheerios,"$1,400",Info Needed,"Apr 6, 2025",Normal,No (Funds Transferred),Link Needed
2024,"$2,500.00",Before 100 GIGS,2 Many Freaks,2 Many Freaks,"$2,500",Info Needed,Info Needed,Normal,No,Link Needed
2023,"$3,500.00",Certified Lover Boy [V2],Wet Up,Wet Up (feat. Shenseea),"$3,500",Info Needed,Info Needed,Normal,No,Link Needed
2022,N/A,Take Care,Tell Me,Dr. Dre - Tell Me (Drake Reference),Info Needed,Info Needed,Info Needed,Normal,No,Link Needed
2021,"$1,300.00",Scorpion [V1],Come Back To Me,Come Back To Me (Blind Faith [OG]),"$1,300",Info Needed,Info Needed,Normal,Yes,Link Needed
2021,"$1,300.00",Views,30 Hours (Drake Reference),Kanye West - 30 Hours (Drake Reference),Info Needed,Info Needed,Info Needed,Normal,No,Link Needed
2021,"$1,300.00","Honestly, Nevermind",Splash Brothers,"French Montana - Splash Brothers (feat. Drake)
French Montana - Splash Brothers (feat. Drake & Rick Ross)",Info Needed,Info Needed,Info Needed,Normal,No,Link Needed
2020,"$10,150.00",Certified Lover Boy [V1],Get Along Better,Get Along Better [OG],Info Needed,Info Needed,Info Needed,Normal,No,Link Needed
2020,"$10,150.00",Certified Lover Boy [V1],Race My Mind,Race My Mind,Info Needed,Info Needed,Info Needed,Normal,No,Link Needed
2020,"$10,150.00",Certified Lover Boy [V1],What A Time To Be Alive,What A Time To Be A Slime (feat. Young Thug),"$2,000",Info Needed,"Dec 19, 2020",Normal,Yes,Link Needed
2020,"$10,150.00",Scorpion [V1],Vital (Hook),Vital (Hook),Info Needed,Info Needed,Info Needed,Normal,No,Link Needed
2020,"$10,150.00",If You're Reading This It's Too Late,Concentrate,Concentrate,Info Needed,Info Needed,Info Needed,Normal,No,Link Needed
2020,"$10,150.00",Take Care,Stay Down,Stay Down (feat. Busta Rhymes),Info Needed,"Jun 6, 2020","Jun 17, 2020",Normal,Yes,Link Needed
2020,"$10,150.00",Certified Lover Boy [V1],Not Around,Not Around (TSU [OG]),"$1,500",Info Needed,"May 1, 2020",Normal,Yes,Link Needed
2020,"$10,150.00",Scorpion [V1],From Florida With Love,From Florida With Love [OG],"$1,750",Info Needed,"Apr 10, 2020",Normal,Yes,Link Needed
2020,"$10,150.00",Scorpion [V1],Deep Pockets,Deep Pockets [OG],"$1,500",Info Needed,"Apr 7, 2020",Normal,Yes,Link Needed
2020,"$10,150.00",If You're Reading This It's Too Late,Slow Motion,USHER - Slow Motion (feat. Drake),Info Needed,Info Needed,"Feb 29, 2020",Normal,Yes,Link Needed
2020,"$10,150.00",More Life,Body 2 Body / Lovesick*,Body 2 Body / Lovesick*,$900,Info Needed,"Feb 22, 2020",Normal,Yes,Link Needed
2020,"$10,150.00",Views,Don't Run,PARTYNEXTDOOR - Don't Run (Drake Reference),Info Needed,Info Needed,"Feb 20, 2020",Normal,Yes,Link Needed
2020,"$10,150.00",What A Time To Be Alive 2,Desires,Desires (with Future) [OG],"$2,500",Info Needed,"Jan 4, 2020",Normal,Yes,Link Needed
2019,N/A,Certified Lover Boy [V1],Like I'm Supposed To / Do Things*,Like I'm Supposed To / Do Things*,Info Needed,Info Needed,"Nov 9, 2019",Normal,Yes,Link Needed
2019,N/A,More Life,Real Bad Karma,Real Bad Karma (with Bryson Tiller),Info Needed,Info Needed,"Nov 1, 2019",Normal,Yes,Link Needed
2019,N/A,What A Time To Be Alive 2,Big Mood,Big Mood (with Future),Info Needed,Info Needed,"Jul 25, 2019",Normal,Yes,Link Needed
