Era,Name,Notes,"File
Date",Full Length,BPM,Available Length,Quality,Link(s)
,Thank Me Later,,,,,,,
,Acapellas,,,,,,,
Thank Me Later,"Forever (Acapella) [Clean]
(feat. Kanye West, Lil Wayne & Eminem)","Official acapella for ""Forever"". Does not include the hook and is censored.",,5:58,158,Full,Lossless,https://pillows.su/f/6f122dbf2d9fcc2639ef70abb3629190
Thank Me Later,"Forever (Acapella) [Explicit]
(feat. Kanye West, Lil Wayne & Eminem)","Official acapella for ""Forever"". Includes the hook and is explicit.",,6:43,158,Full,High Quality,https://pillows.su/f/c18b95e94930c88e2a43760be2b1e958
Thank Me Later,"Jamie Foxx - Digital Girl (Remix)
(feat. Kanye West & Drake)","Official acapella for the remix of ""Digital Girl"" by Jamie Foxx.",,4:38,107,Full,CD Quality,https://pillows.su/f/46f7dad83f6313046bae3fdadcd0816e
Thank Me Later,"Find Your Love (Acapella)
(prod. Kanye West, No I.D. & Jeff Bhasker)","Acapella for ""Find Your Love"".",,3:27,96,Full,High Quality,https://pillows.su/f/c407b57cf30f2e6dfd384777605766de
,Instrumentals,,,,,,,
Thank Me Later,Forever (Instrumental),"Official instrumental for ""Forever"". Includes the hook in the instrumental.",,5:55,158,Full,Lossless,https://pillows.su/f/7cccf0354dd4695d73d02b4a38e85cb6
Thank Me Later,"Find Your Love (Instrumental)
(prod. Kanye West, No I.D. & Jeff Bhasker)","Official instrumental for ""Find Your Love"".",,3:27,96,Full,High Quality,https://pillows.su/f/c407b57cf30f2e6dfd384777605766de
,TV Tracks,,,,,,,
Thank Me Later,"Forever
(feat. Kanye West, Lil Wayne & Eminem) (prod. Boi-1da)","TV track for ""Forever"" by Drake.",,5:58,158,Full,Lossless,https://pillows.su/f/c74dab842dff7eacc7012124912c67e5
,Take Care,,,,,,,
,Studio Stems,,,,,,,
Take Care,"Kanye West - All Of The Lights
(feat. Rihanna, Kid Cudi, John Legend, Tony Williams, Alvin Fields, Ken Lewis, Elton John, Alicia Keys, Charlie Wilson, Drake, La Roux, Fergie, Ryan Leslie & The-Dream) (prod. Kanye West, Jeff Bhasker, MIKE DEAN, Ken Lewis, Rosie Danvers & Tommy D.)
(Ghetto University)","Seemingly release multitrack stems for ""All Of The Lights"". Differences are unknown with the short snippet that leaked 4/30/24.",,,142,Snippet,CD Quality,LINK NOT PROVIDED
,Instrumentals,,,,,,,
Take Care,"Dreams Money Can Buy
(prod. 40)","Instrumental for ""Dreams Money Can Buy"". Might be official because it sounds extremely accurate.",,4:36,,Full,CD Quality,https://pillows.su/f/dae7cea7b8245cbe83c8bb2c6770beca
Take Care,"Dr. Dre - Tell Me
(ref. Drake)","OG Filename: 8888 - Rotten Apple 80bpm NEW (1)
Alternate instrumental for Drake's reference track for Dr. Dre's ""Tell Me"".",,,,OG File,High Quality,https://pillows.su/f/8e53515abeff3080ad11a14bd6d3c5e7
Take Care,"Kendrick Lamar - Poetic Justice
(prod. Scoop DeVille & Sounwave)","Instrumental for ""Poetic Justice"" by Kendrick Lamar. Released officially to Scoop DeVille's soundcloud on March 29, 2013. Recovered by Techno in 128kbps. Lossless version found on Soulseek on May 11, 2023.",,,,Full,Lossless,https://pillows.su/f/d80d3c870e971fb52df8fcec4302ae83
,Nothing Was The Same,,,,,,,
,Studio Stems,,,,,,,
Nothing Was The Same,"A$AP Rocky - Fuckin' Problems
(feat. Drake, 2 Chainz, & Kendrick Lamar) (prod. Drake & 40)","Stems for ""Fuckin' Problems"" that leaked as a bonus for the Mr. Morale sessions GB.",,,97.1,Full,CD Quality,https://we.tl/t-d0xZTA1Pqh
,If You're Reading This It's Too Late,,,,,,,
,Acapellas,,,,,,,
IYRTITL,"Big Sean - Blessings
(feat. Drake)","OG Filename: Blessings - Acapella MIX 1G -3db MASTERED DK
Acapella for ""Blessings"" by Big Sean, no Ye.",,4:08,119,Full,Lossless,https://pillows.su/f/1a3b7283607782bc6b94aeb7f1c450f4
,TV Tracks,,,,,,,
IYRTITL,"Big Sean - Blessings
(feat. Drake)","OG Filename: Blessed - 2 Verse - Dirty - Tv Track
TV Track for ""Blessings"", no Ye.",,3:05,119,Full,Lossless,https://pillows.su/f/ecee718a267180f3d30231e258f0c68c
IYRTITL,"Big Sean - Blessings
(feat. Drake)","OG Filename: Blessings - 1 Verse - Dirty - Summerjam NY - TV Track
TV Track for ""Blessings"", no Ye. Likely for Sean's performance at 2015's Hot 97 Summer Jam.",,2:01,119,Full,Lossless,https://pillows.su/f/b34809d5ae401367d02acfe001ee6f01
IYRTITL,"Big Sean - Blessings [Extended Version]
(feat. Drake, Kanye West, Gregg Rominiecki, Allison Porter, Jahaan Sweet, Jake Nelson, Michael St. Peter & Sophia Kaminski) (prod. Vinylz & Allen Ritter)","OG Filename: BLESSINGS - TV V3 - SEAN V1 V2 KANYE - mj 02.07.15
Complete TV Track for ""Blessings"" by Big Sean.","Feb 7, 2015",3:54,119,Full,Lossless,https://pillows.su/f/ca20199caf28524131459f8eab85219b
IYRTITL,"Big Sean - Blessings [Extended Version]
(feat. Drake, Kanye West, Gregg Rominiecki, Allison Porter, Jahaan Sweet, Jake Nelson, Michael St. Peter & Sophia Kaminski) (prod. Vinylz & Allen Ritter)","OG Filename: BLESSINGS TV
Complete TV track for ""Blessings"" by Big Sean, including an extra open for Sean's second verse on the non-extended version of the track.","Nov 0?, 2015",5:06,119,Full,Lossless,https://pillows.su/f/880911eb544eba3381c7da21085e68b3
,Views,,,,,,,
,Studio Stems,,,,,,,
Views,"One Dance
(feat. Kyla & Wizkid) (prod. DJ Maphorisa, 40, Wizkid & Nineteen85)","Studio stems for ""One Dance"", Unknown if they actually contain Drake on them since is been said that Drake doesn't make a appearance in the files but that's probably just the owner not wanting to show the Drake part of the stems, owned by [REDACTED]. Was played in a voice channel in a Discord server but was never recorded. Not leaked yet but they are confirmed to exist.",,,,Rumored,Not Available,
,Acapellas,,,,,,,
Views,"Pop Style
(feat. The Throne) (prod. Noah ""40"" Shebib, Boi-1da, Sevn Thomas & Frank Dukes)","OG Filename: Pop Style ACC @ 133 BPM GOVS BALL 2016 Ref 1
Leaked acapella for Kanye's verse on ""Pop Style"". Metadata is missing the second digit of the day in the filedate","Apr 0?, 2016",1:23,133,Full,Lossless,LINK NOT PROVIDED
,Instrumentals,,,,,,,
Views,"Pop Style
(prod. Noah ""40"" Shebib, Boi-1da, Sevn Thomas & Frank Dukes)","OG Filename: Pop Style Philippines 1 Instrumental @ 133 BPM
Leaked instrumental for ""Pop Style"". Metadata is missing the second digit of the day in the filedate","Jun 0?, 2016",1:46,133,Full,Lossless,https://pillows.su/f/5d10be602b96802594424be1d71026f9
,TV Tracks,,,,,,,
Views,"Drake - Pop Style
(feat. The Throne) (prod. Noah ""40"" Shebib, Boi-1da, Sevn Thomas & Frank Dukes)","OG Filename: Pop Style TV @ 133 BPM GOVS BALL 2016 Ref 1
Leaked TV Track for ""Pop Style"". Metadata is missing the second digit of the day in the filedate","Jun 0?, 2016",1:23,133,Full,Lossless,https://pillows.su/f/7caa598197e4d15455d00ead5dc36d3c
,"Wolves
(Collabaration with Kanye West)
(New Abu Dhabi, Calabasas Is The New Abu Dhabi)",,,,,,,
,Sessions,,,,,,,
Wolves,"Pop Style
(Summer Sixteen, Family)","Included in the full ""30 Hours"" session that leaked November 21st 2023.",,,133,Full,Lossless,LINKS NOT PROVIDED
Wolves,Revenge,"Included in the full ""30 Hours"" session that leaked November 21st 2023.",,,149,Full,Lossless,LINKS NOT PROVIDED
,Instrumentals,,,,,,,
Wolves,FRIENDFLIP,"OG Filename: FRIENDFLIP 77
Beat meant for the Wolves sessions. It is unknown if Drake or Kanye actually recorded on it though. Leaked as a bonus for the 38 minute version of the VULTURES 2 throwaway ""THIRSTY"" on 12/15/24.",,3:46,77,OG File,CD Quality,LINK NOT PROVIDED
Wolves,Precon,"OG Filename: Precon 80 Am
Beat meant for the Wolves sessions. It is unknown if Drake or Kanye actually recorded on it though. Leaked as a bonus for the 38 minute version of the VULTURES 2 throwaway ""THIRSTY"" on 12/15/24.",,1:03,80,OG File,CD Quality,LINK NOT PROVIDED
Wolves,Rasp,"OG Filename: Rasp 77 Dm
An instrumental shown to Kanye in the Wolves sessions with Drake. Was rebounced by the producer in 2018. Unknown if Kanye recorded.",,1:30,77,OG File,CD Quality,LINK NOT PROVIDED
Wolves,Sail,"OG Filename: Sail nd no 808
Beat meant for the Wolves sessions. It is unknown if Drake or Kanye actually recorded on it though. Leaked as a bonus for the 38 minute version of the VULTURES 2 throwaway ""THIRSTY"" on 12/15/24.",,1:20,,OG File,CD Quality,LINK NOT PROVIDED
,"More Life
(A Playlist By October Firm)",,,,,,,
,Instrumentals,,,,,,,
More Life,"Portland
(prod. CuBeatz & Murda Beatz)","Final instrumental. Posted to Hipstrumentals on August 22, 2019.",,3:57,,Full,CD Quality,https://pillows.su/f/ad8ca57406b0aa4b44ffaa23ad81e616
,Acapellas,,,,,,,
More Life,"Get It Together
(feat. Jorja Smith)","OG Filename: Get It Together - Jorja Smith Voc 170228 RD
Jorja Smith's vocal stem for ""Get It Together"".","Feb 28, 2017",,,OG File,Lossless,https://pillows.su/f/a5c5b3aab3c29c7d431e4d107aa9a822
,Scorpion [V2],,,,,,,
,Acapellas,,,,,,,
Scorpion,"Travis Scott - SICKO MODE
(feat. Drake)","Leaked sometime before August 19, 2020. Lacks the final part.",,2:35,,Full,CD Quality,https://pillows.su/f/fc7f7aaf197dc9c33e0cbcea2b428c6f
,Instrumentals,,,,,,,
Scorpion,"Travis Scott - SICKO MODE
(prod. CuBeatz, Hit-Boy, MIKE DEAN, Misrad Dirvic, OZ, Roget Chahayed, & Tay Keith)","Final instrumental. Posted to Hipinstrumentals on August 12, 2019.",,5:17,,Full,CD Quality,https://krakenfiles.com/view/BQ3pwOXQWP/file.html
Scorpion,"Quavo - FLIP THE SWITCH
(feat. Drake)","Sample loop for ""FLIP THE SWITCH"" by Quavo.",,,,Full,High Quality,Link Needed
,Certified Lover Boy [V1],,,,,,,
,Instrumentals,,,,,,,
Certified Lover Boy [V1],"Behind Barz
(prod. Richie Beats)",Instrumental for Drake's Behind Barz freestyle.,,,,Full,Not Available,Link Needed
Certified Lover Boy [V1],"Money In The Grave
(prod. Cydney Christine, Ljay Currie, DeLorean Black & Asoteric)","Instrumental for ""Money In The Grave"".",,,,Full,Lossless,https://pillows.su/f/98fe707cef7e9aee3d59ca130e6edde9
Certified Lover Boy [V1],"Pain 1993
(prod. Pi'erre Bourne)","OG Filename: melee_154.5bpm
Instrumental to ""Pain 1993"". The filename shows the beat was named ""Melee"".",,,154.5,Full,Lossless,https://pillows.su/f/ccd1304616bc7a0b0501085359e69742
Certified Lover Boy [V1],"War
(prod. AXL Beats)","Instrumental for ""War"".",,,,Full,Lossless,https://pillows.su/f/5b28d1ccd71a8e1af2917ac8d2d7afbc
Certified Lover Boy [V1],"Chris Brown - No Guidance
(prod. Vinylz, J-Louis, Noah Shebib & Teddy Walton)","Instrumental for ""No Guidance"" by Chris Brown.",,,,Full,Lossless,https://pillows.su/f/c6b09759e518c05a41ff5c387b6e87b5
Certified Lover Boy [V1],"Lil Yachty - Oprah's Bank Account
(prod. Earl on the Beat)","Instrumental for ""Oprah's Bank Account"" by Lil Yachty.",,,,Full,Lossless,https://pillows.su/f/9c05f6a52746d9e29d88f91b7b83bad8
Certified Lover Boy [V1],"Rick Ross - Gold Roses
(prod. OZ, Syk Sense, Vinylz & The Rascals)","Instrumental for ""Gold Roses"" by Rick Ross.",,,,Full,Lossless,https://pillows.su/f/c8f1abdc1ec2527cb761ec2e2e9f9364
Certified Lover Boy [V1],"Roddy Ricch - In The Cut
(Hurt 2, Under Pressure)","OG Filename: currupted_625bpm
Sample loop for ""In The Cut"" by Roddy Ricch.",,,,Full,Lossless,https://pillows.su/f/772196f89fcc223dee937b2672180642
,Certified Lover Boy [V2],,,,,,,
,Instrumentals,,,,,,,
Certified Lover Boy [V2],"Way 2 Sexy
(feat. Young Thug & Future) (prod. TM88 & Too Dope)","Instrumental for ""Way 2 Sexy"". Only difference is that there's no ""Too Sexy"" sample in the background.",,,,Full,Lossless,https://pillows.su/f/44f4f04ae9b9a4e5e85b236b440dd337
Certified Lover Boy [V2],"Bryson Tiller - Outta Time
(prod. Nineteen85, Vinylz & 40)","Instrumental for ""Outta Time"" by Bryson Tiller.",,,,Full,Lossless,https://pillows.su/f/015eb625fa2bc939c15d1a32239a5b6a
Certified Lover Boy [V2],"Brent Faiyaz - Wasting Time
(prod. The Neptunes)","Instrumental for ""Wasting TIme"" by Brent Faiyaz.",,,,Full,Lossless,https://pillows.su/f/1b09c6afacc1c4a3b1f52b34d3ef8dc4
Certified Lover Boy [V2],"Nicki Minaj - Seeing Green
(prod. Kid Masterpiece & GOVI)","Instrumental for ""Seeing Green"" by Nicki Minaj.",,,,Full,Lossless,Link Needed
Certified Lover Boy [V2],"Trippie Redd - Betrayal
(prod. Taz Taylor, ​PinkGrillz & Dynox)","Instrumental for ""Betrayal"" by Trippie Redd.",,,,Full,Lossless,https://pillows.su/f/ee0755bf38e3a577714f255007c22dfc
Certified Lover Boy [V2],"Young Stoner Life - Solid
(prod. Elyas, Foreign Tack, OZ & Wheezy)","Instrumental for ""Solid"" by Young Stoner Life.",,,,Full,CD Quality,Link Needed
,"Honestly, Nevermind",,,,,,,
,Acapellas,,,,,,,
"Honestly, Nevermind","Jack Harlow - Churchill Downs
(feat. Drake) (prod. Boi-1da, BEDRM, Ace G & Audi)
(Have A Turn, Throwing Stones)","Dolby Atmos acapella from ""Churchill Downs"" by Jack Harlow.",,4:32,,Full,Lossless,Link Needed
,Instrumentals,,,,,,,
"Honestly, Nevermind","Massive
(prod. Gordo, Johannes Klahr & Richard Zastenker)","Instrumental from ""Massive"".",,,,Full,Lossless,https://pillows.su/f/102a50b5074eb3f46105b8dedeb23be6
"Honestly, Nevermind","Tie That Binds
(prod. Gordo, Beau Nox, Alex Lustig, Ramon Ginton & Vlado)","Instrumental from ""Tie That Binds"".",,,,Full,Lossless,https://pillows.su/f/a93220853e020f33130d9cd12bd0bb1c
