Era,Name,Track Number / Info,Track Length,Release Date,Type,Streaming,Link(s)
"3 Total
2 Feature(s)
1 Feature / Single(s)",Before Power Of The Dollar,"(07/06/1975) (Curtis Jackson is born)
(??/??/1999) (50 Cent signs to Columbia Records)",,,,,
,Album Tracks,,,,,,
Before Power Of The Dollar,"Allure - Let It Be
(feat. 50 Cent) (prod. Poke & Tone, Cory Rooney & Timothy ""Tyme"" Riley)","Track #11 on ""Woo (Music From The Motion Picture)"".",4:09,"Mar 25, 1998",Feature,Yes,https://open.spotify.com/track/4VmyrJ9flfJN9AlWHIU1o6?si=7ca11c4ea4574a59
Before Power Of The Dollar,"Onyx - React
(feat. 50 Cent, X-1, Bonifucco & Still Livin') (add. Clay The Raider) (prod. Bud'da)","Track #13 on ""Shut 'Em Down"". Released as a single on the same day as the album. Clay The Raider does the outro uncredited.",4:09,"Jun 2, 1998",Feature / Single,Yes,https://open.spotify.com/track/1XYObY6gX24O2X1gaNiElH?si=a06c4bda459d41e1
Before Power Of The Dollar,"Pretty Ugly - Hit 'Em Up (Now)
(feat. P-Dap & 50 Cent) (prod. Sha Money XL)","Released on the ""Stack G's Regardless / Hit 'Em Up"" single, later released as track #5 on ""Game Tight - The Very Best of Game Recordings"" and track #7 on ""Spit"".",3:28,2001,Feature,Yes,https://open.spotify.com/track/5grqs7kMDNI0jKit6VSaS9?si=902f2532d56a47a9
"12 Total
4 Single / Album Track(s)
2 Album Track(s)
2 Intro(s)
1 Compilation Track(s)
3 Production(s)",Power Of The Dollar,"(??/??/1999) (50 Cent signs to Columbia Records)
(05/24/2000) (50 Cent is shot 9 times)
(07/04/2000) (Power Of The Dollar fails to release and 50 is dropped)",,,"Power Of The Dollar is the unreleased original debut album by 50 Cent, it was meant to drop on July 4th, 2000 but was not released due to 50 Cent getting shot 9 times.",,
,Album Tracks,,,,,,
Power Of The Dollar,"Thug Love
(feat. Destiny's Child) (prod. Rashad Smith)","Released as the 2nd single to Power of The Dollar, 50 got shot 3 days before shooting the MV 🥀. Later released as track #1 on POTD EP.",3:16,"Sep 21, 1999",Single / Album Track,No,
Power Of The Dollar,"I'm a Hustler
(prod. DJ Scratch)","Released as track #2 on Power of The Dollar EP, was track 17 on the album version.",3:54,"Sep 12, 2000",Album Track,No,
Power Of The Dollar,"Da Heatwave
(feat. Noreaga) (prod. Erick Sermon)","Released as track #3 on Power of The Dollar EP, only song from the EP that was not on the album version of POTD.",3:56,"Sep 12, 2000",Album Track,No,
Power Of The Dollar,"Your Life's On The Line [V1]
(prod. Terence Dudley)","Released for the first time as track #4 on Power of The Dollar EP, later as track #7 on ""Guess Who's Back"" and re-released as track #19 on ""Get Rich Or Die Tryin'"" under the title ""Life's On The Line"".",3:44,"Oct 12, 1999",Single / Album Track,Yes,https://open.spotify.com/track/4MwYBgpiNjmY42ak3mAh2o?si=360046623e72439f
Power Of The Dollar,"The Good Die Young
(prod. Al West)","Released on the B-Side of ""Your Life's On The Line"", was track 3 on Power Of The Dollar.",4:02,"Oct 12, 1999",Single / Album Track,No,
Power Of The Dollar,"How To Rob [V2]
(feat. The Madd Rapper) (prod. Trackmasters)","Released as the lead single from Power of The Dollar, was track #18 on the album, later released on the ""In Too Deep"" soundtrack and Power Of The Dollar EP, both as track #5, also on ""Tell 'Em Why You Madd"" as track #24. The original version with lines aimed at Mariah Carey was released years later on ""Best Of"", for V1 check SKI [V2].",4:25,"Aug 10, 1999",Single / Album Track,Yes,https://open.spotify.com/track/7bJ6lqDOQnfHq0V1o8TixL?si=b5ec8e49ee64470b
,Non-Album Tracks,,,,,,
Power Of The Dollar,"Columbia Records 99 Hot Shit Freestyle
(with Nature & The Madd Rapper)
(Get On The Floor)","Track #12 on ""Columbia Records '99 Hot Shit"", freestyle over ""We Can Freak It"" by Kurupt and Noreaga.",2:49,1999,Intro,No,
Power Of The Dollar,"Doop Woop Freestyle
(prod. Erick Sermon)","Freestyle over ""Symphony 2000"" by EPMD, released for the first time as track #3 on ""#3 - 3 Down 2 To Go"" and later re-released as track #19 on ""Guess Who's Back?"" under the name ""Doo Wop Freestyle"".",2:25,1999,Compilation Track,No,
Power Of The Dollar,,,,,Intro,Yes,
Power Of The Dollar,,,,,Production,No,
Power Of The Dollar,,,,,Production,No,
Power Of The Dollar,,,,,Production,No,
"37 Total
2 Intro(s)
15 Album Track(s)
4 Bonus Track(s)
15 Mixtape Track(s)
1 Skit(s)",Get Rich Or Die Tryin',"(07/04/2000) (Power Of The Dollar fails to release and 50 is dropped)
(06/17/2002) (50 Cent signs to Shady Records)
(02/06/2003) (Get Rich Or Die Tryin' officially releases)",,,"Get Rich Or Die Trying is the first studio album by New York rapper 50 Cent, and is executive produced by Compton rapper/producer Dr. Dre and Detroit rapper Eminem.",,
,Album Tracks,,,,,,
Get Rich Or Die Tryin',Intro,Track #1 on Get Rich Or Die Tryin'.,0:06,"Feb 6, 2003",Intro,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"What Up Gangsta
(prod. Robert Tewlow)",Track #2 on Get Rich Or Die Tryin'.,2:59,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Patiently Waiting
(feat. Eminem) (prod. Eminem)",Track #3 on Get Rich Or Die Tryin'.,4:48,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Many Men (Wish Death)
(prod. Darrell ""Digga"" Branch, Eminem & Luis Resto)",Track #4 on Get Rich Or Die Tryin'.,4:16,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"In Da Club
(prod. Dr. Dre & Mike Elizondo)",Track #5 on Get Rich Or Die Tryin'.,3:13,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"High All The Time
(prod. DJ Rad, Eminem & Sha Money XL)",Track #6 on Get Rich Or Die Tryin'.,4:29,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Heat
(prod. Dr. Dre)",Track #7 on Get Rich Or Die Tryin'.,4:14,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"If I Can't
(prod. Dr. Dre & Mike Elizondo)",Track #8 on Get Rich Or Die Tryin'.,3:16,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Blood Hound
(feat. Young Buck) (prod. Sean Blaze)",Track #9 on Get Rich Or Die Tryin'.,4:00,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Back Down
(prod. Dr. Dre)",Track #10 on Get Rich Or Die Tryin'.,4:03,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"P.I.M.P.
(prod. Mr. Porter)",Track #11 on Get Rich Or Die Tryin'.,4:09,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Like My Style
(feat. Tony Yayo) (prod. Rockwilder)",Track #12 on Get Rich Or Die Tryin'.,3:13,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Poor Lil Rich
(prod. Sha Money XL)",Track #13 on Get Rich Or Die Tryin'.,3:19,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"21 Questions
(feat. Nate Dogg) (prod. Dirty Swift)",Track #14 on Get Rich Or Die Tryin'.,3:44,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Don't Push Me
(feat. Lloyd Banks & Eminem) (prod. Eminem)",Track #15 on Get Rich Or Die Tryin'.,4:08,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Gotta Make It To Heaven
(prod. Megahertz)",Track #16 on Get Rich Or Die Tryin'.,4:00,"Feb 6, 2003",Album Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Wanksta
(with 50 Cent) (prod. J-Praize)",Track #17 on Get Rich Or Die Tryin'.,3:39,"Feb 6, 2003",Bonus Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"U Not Like Me [V2]
(prod. Red Spyda)",Track #18 on Get Rich Or Die Tryin'.,4:15,"Feb 6, 2003",Bonus Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"Life's On The Line [V3]
(prod. Terence Dudley)",Track #19 on Get Rich Or Die Tryin'.,3:38,"Feb 6, 2003",Bonus Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
Get Rich Or Die Tryin',"P.I.M.P. (Remix)
(feat. Snoop Dogg, Lloyd Banks & Young Buck) (prod. Mr. Porter)",Track #20 on Get Rich Or Die Tryin'.,4:48,"Feb 6, 2003",Bonus Track,Yes,https://open.spotify.com/album/5G5rgQHzdQnw32SI0WjIo5?si=N2YDpL_RQ-KlVYm6lrMB5w
,Features,,,,,,
Get Rich Or Die Tryin',,,,,,Yes,
,Non-Album Tracks,,,,,,
Get Rich Or Die Tryin',"Killa Tape (Intro)
(prod. N.O. Joe)","Track #1 on ""Guess Who's Back"".",2:58,"Apr 26, 2002",Intro,No,
Get Rich Or Die Tryin',"Rotten Apple
(prod. Haas G)","Track #2 on ""Guess Who's Back"".",3:08,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',Drop (Skit),"Track #3 on ""Guess Who's Back"".",0:16,"Apr 26, 2002",Skit,No,
Get Rich Or Die Tryin',"That's What's Up
(with G-Unit) (prod. True Master)","Track #4 on ""Guess Who's Back"".",4:09,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"U Not Like Me [V1]
(prod. Red Spyda)","Track #5 on ""Guess Who's Back"", later re-released as track 18 on ""Get Rich Or Die Tryin'"".",4:10,"Apr 26, 2002",Mixtape Track,No,
Get Rich Or Die Tryin',"50 Bars
(prod. Sha Money XL)","Track #6 on ""Guess Who's Back"".",3:33,"Apr 26, 2002",Mixtape Track,No,
